name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Antwerp vs Union Saint-Gilloise,2025-07-25 18:45:00,Game ended in draw.,Belgium Liga Pro,Antwerp,Union Saint-Gilloise,1,1,1.0,15.0,2.0,5.0,3.0,7.0,8.0,17.0,73.0,126.0,27.0,44.0,43.0,57.0,,,7.0,13.0,1.0,4.0,5.0,1.0,9.0,4.0,5.0,13.0,9.0,16.0,6.0,3.0,3.0,3.0,4.59,3.67,1.83,2.03,1.83,,,1.9,1.98,2.01,1.87,4.2,3.5,1.8,1.95,1.8,,,1.82,1.97,1.95,1.85,2025-2026
Dender vs Cercle Brugge,2025-07-26 14:00:00,Game ended in draw.,Belgium Liga Pro,Dender,Cercle Brugge,0,0,13.0,11.0,3.0,3.0,6.0,6.0,11.0,10.0,106.0,106.0,49.0,49.0,54.0,46.0,,,10.0,8.0,1.0,2.0,4.0,4.0,12.0,7.0,7.0,5.0,13.0,13.0,2.0,3.0,0.0,2.0,2.76,3.34,2.69,2.19,1.71,,,,,1.95,1.93,2.62,3.25,2.62,2.05,1.7,,,,,1.92,1.87,2025-2026
Zulte-Waregem vs Mechelen,2025-07-26 16:15:00,Game ended in draw.,Belgium Liga Pro,Zulte-Waregem,Mechelen,1,1,7.0,14.0,9.0,6.0,7.0,3.0,21.0,7.0,143.0,71.0,74.0,34.0,56.0,44.0,1.0,0.0,13.0,4.0,7.0,3.0,,,7.0,10.0,11.0,5.0,8.0,8.0,1.0,4.0,3.0,3.0,3.31,3.82,2.13,2.82,1.46,,,,,,,3.2,3.7,2.05,2.5,1.5,,,,,1.82,1.97,2025-2026
La Louvière vs Standard Liège,2025-07-26 18:45:00,Standard Liège won after full-time.,Belgium Liga Pro,La Louvière,Standard Liège,0,2,13.0,5.0,6.0,1.0,6.0,3.0,14.0,9.0,104.0,66.0,52.0,23.0,45.0,55.0,0.0,1.0,8.0,5.0,6.0,4.0,1.0,2.0,5.0,8.0,5.0,7.0,15.0,12.0,2.0,2.0,2.0,1.0,2.9,3.11,2.73,1.75,2.14,1.91,1.97,2.1,1.81,2.05,1.83,2.75,3.0,2.75,1.7,2.05,1.85,1.95,2.02,1.77,2.0,1.8,2025-2026
Anderlecht vs Westerlo,2025-07-27 11:30:00,Anderlecht won after full-time.,Belgium Liga Pro,Anderlecht,Westerlo,5,2,15.0,12.0,8.0,3.0,7.0,2.0,25.0,10.0,98.0,74.0,65.0,24.0,48.0,52.0,,,18.0,8.0,7.0,2.0,5.0,0.0,2.0,10.0,17.0,4.0,14.0,14.0,1.0,5.0,4.0,2.0,1.81,3.9,4.43,2.41,1.6,,,,,,,1.75,3.7,4.2,2.2,1.61,,,,,,,2025-2026
OH Leuven vs Sporting Charleroi,2025-07-27 14:00:00,Game ended in draw.,Belgium Liga Pro,OH Leuven,Sporting Charleroi,2,2,13.0,12.0,4.0,8.0,3.0,5.0,7.0,16.0,67.0,118.0,38.0,69.0,44.0,56.0,,,6.0,14.0,1.0,2.0,2.0,5.0,8.0,5.0,4.0,10.0,15.0,14.0,6.0,1.0,2.0,2.0,2.43,3.34,3.1,2.19,1.72,,,,,1.92,1.96,2.37,3.25,2.87,2.05,1.7,,,,,1.9,1.9,2025-2026
Club Brugge vs Genk,2025-07-27 16:30:00,Club Brugge won after full-time.,Belgium Liga Pro,Club Brugge,Genk,2,1,10.0,14.0,8.0,6.0,8.0,6.0,18.0,17.0,117.0,87.0,59.0,32.0,56.0,44.0,,,14.0,11.0,4.0,6.0,2.0,0.0,8.0,8.0,13.0,13.0,10.0,7.0,8.0,2.0,1.0,2.0,1.64,4.12,5.34,2.41,1.61,,,,,,,1.6,4.1,4.75,2.1,1.66,,,,,,,2025-2026
Sint-Truiden vs Gent,2025-07-27 17:15:00,Sint-Truiden won after full-time.,Belgium Liga Pro,Sint-Truiden,Gent,3,1,11.0,9.0,4.0,6.0,6.0,2.0,13.0,12.0,92.0,109.0,41.0,51.0,48.0,52.0,0.0,1.0,11.0,6.0,2.0,6.0,0.0,4.0,7.0,10.0,11.0,5.0,13.0,10.0,1.0,3.0,1.0,1.0,2.16,3.8,3.24,2.7,1.5,,,,,,,2.15,3.5,3.1,2.5,1.5,,,,,1.82,1.97,2025-2026
Mechelen vs Club Brugge,2025-08-01 18:45:00,Mechelen won after full-time.,Belgium Liga Pro,Mechelen,Club Brugge,2,1,7.0,4.0,2.0,3.0,2.0,9.0,9.0,20.0,73.0,148.0,27.0,80.0,35.0,65.0,1.0,0.0,6.0,13.0,3.0,7.0,1.0,1.0,16.0,4.0,8.0,15.0,11.0,7.0,5.0,3.0,4.0,0.0,4.52,4.0,1.77,2.62,1.52,,,,,,,4.2,4.0,1.72,2.37,1.53,,,,,,,2025-2026
Westerlo vs Zulte-Waregem,2025-08-02 14:00:00,Westerlo won after full-time.,Belgium Liga Pro,Westerlo,Zulte-Waregem,3,1,16.0,8.0,3.0,5.0,3.0,5.0,13.0,12.0,104.0,94.0,36.0,50.0,48.0,52.0,,,10.0,4.0,3.0,8.0,0.0,1.0,17.0,3.0,4.0,8.0,7.0,10.0,3.0,2.0,1.0,1.0,2.13,3.77,3.34,2.96,1.42,,,,,,,2.05,3.8,3.1,2.62,1.44,,,,,,,2025-2026
Standard Liège vs Dender,2025-08-02 16:15:00,Game ended in draw.,Belgium Liga Pro,Standard Liège,Dender,1,1,4.0,12.0,5.0,1.0,3.0,5.0,10.0,9.0,118.0,115.0,42.0,37.0,46.0,54.0,,,5.0,6.0,4.0,3.0,1.0,0.0,8.0,10.0,9.0,6.0,11.0,13.0,1.0,5.0,3.0,3.0,2.38,3.28,3.25,1.94,1.91,,,1.94,1.94,2.03,1.81,2.2,3.1,3.3,1.9,1.9,,,1.87,1.92,2.02,1.77,2025-2026
Gent vs La Louvière,2025-08-02 18:45:00,Gent won after full-time.,Belgium Liga Pro,Gent,La Louvière,1,0,15.0,16.0,5.0,2.0,3.0,4.0,11.0,5.0,152.0,80.0,55.0,20.0,78.0,22.0,,,9.0,2.0,2.0,3.0,3.0,0.0,10.0,11.0,12.0,5.0,12.0,19.0,1.0,5.0,0.0,1.0,1.73,3.79,5.14,1.98,1.87,,,1.82,2.08,2.06,1.84,1.66,3.6,5.25,1.95,1.8,,,1.77,2.02,1.9,1.9,2025-2026
Genk vs Antwerp,2025-08-03 11:30:00,Game ended in draw.,Belgium Liga Pro,Genk,Antwerp,1,1,15.0,11.0,4.0,2.0,9.0,0.0,16.0,6.0,155.0,64.0,58.0,31.0,73.0,27.0,,,10.0,4.0,5.0,2.0,0.0,1.0,1.0,11.0,12.0,5.0,11.0,10.0,4.0,2.0,0.0,2.0,1.7,4.06,4.92,2.24,1.69,,,,,,,1.66,4.0,4.75,2.2,1.61,,,,,,,2025-2026
Cercle Brugge vs Anderlecht,2025-08-03 14:00:00,Anderlecht won after full-time.,Belgium Liga Pro,Cercle Brugge,Anderlecht,0,2,13.0,3.0,5.0,3.0,5.0,3.0,12.0,9.0,128.0,65.0,52.0,38.0,54.0,46.0,0.0,1.0,7.0,6.0,5.0,3.0,2.0,2.0,7.0,9.0,6.0,9.0,7.0,21.0,2.0,2.0,2.0,2.0,3.29,3.46,2.27,2.25,1.68,,,,,1.92,1.96,3.2,3.3,2.2,2.05,1.7,,,,,1.87,1.92,2025-2026
Union Saint-Gilloise vs OH Leuven,2025-08-03 16:30:00,Union Saint-Gilloise won after full-time.,Belgium Liga Pro,Union Saint-Gilloise,OH Leuven,5,0,12.0,10.0,4.0,7.0,5.0,3.0,18.0,6.0,85.0,62.0,55.0,51.0,52.0,48.0,1.0,0.0,12.0,5.0,6.0,1.0,4.0,1.0,10.0,9.0,14.0,2.0,12.0,9.0,0.0,5.0,1.0,2.0,1.36,4.99,9.84,1.76,2.12,,,,,1.87,2.02,1.38,4.75,7.5,1.66,2.1,,,,,1.8,2.0,2025-2026
Sporting Charleroi vs Sint-Truiden,2025-08-03 17:15:00,Game ended in draw.,Belgium Liga Pro,Sporting Charleroi,Sint-Truiden,1,1,11.0,4.0,1.0,7.0,0.0,5.0,4.0,14.0,58.0,113.0,25.0,62.0,37.0,63.0,0.0,1.0,2.0,10.0,2.0,4.0,1.0,1.0,7.0,4.0,2.0,7.0,18.0,14.0,3.0,1.0,5.0,1.0,2.08,3.47,3.77,2.25,1.68,,,,,1.85,2.04,2.1,3.4,3.6,2.05,1.7,,,,,1.85,1.95,2025-2026
Sint-Truiden vs Dender,2025-08-08 18:45:00,Sint-Truiden won after full-time.,Belgium Liga Pro,Sint-Truiden,Dender,2,0,3.0,11.0,4.0,2.0,8.0,1.0,14.0,6.0,109.0,99.0,62.0,28.0,52.0,48.0,1.0,0.0,11.0,4.0,3.0,2.0,5.0,4.0,4.0,12.0,11.0,5.0,18.0,7.0,2.0,1.0,3.0,0.0,2.13,3.57,3.53,2.23,1.67,,,,,1.84,2.06,2.0,3.6,3.3,2.1,1.66,,,,,1.8,2.0,2025-2026
Club Brugge vs Cercle Brugge,2025-08-09 14:00:00,Club Brugge won after full-time.,Belgium Liga Pro,Club Brugge,Cercle Brugge,2,0,6.0,14.0,9.0,5.0,4.0,8.0,14.0,11.0,100.0,77.0,64.0,43.0,65.0,35.0,,,9.0,8.0,5.0,2.0,3.0,1.0,7.0,8.0,11.0,8.0,15.0,11.0,2.0,3.0,2.0,3.0,1.5,4.59,6.48,2.02,1.84,,,,,,,1.48,4.2,6.25,1.95,1.8,,,,,,,2025-2026
Westerlo vs Mechelen,2025-08-09 16:15:00,Mechelen won after full-time.,Belgium Liga Pro,Westerlo,Mechelen,0,1,7.0,5.0,8.0,5.0,10.0,2.0,18.0,5.0,84.0,96.0,64.0,51.0,47.0,53.0,,,11.0,5.0,7.0,0.0,0.0,2.0,3.0,15.0,9.0,3.0,9.0,7.0,2.0,2.0,1.0,1.0,2.18,3.89,3.13,3.15,1.39,,,,,,,2.1,3.8,2.87,2.75,1.4,,,,,,,2025-2026
Gent vs Union Saint-Gilloise,2025-08-09 18:45:00,Union Saint-Gilloise won after full-time.,Belgium Liga Pro,Gent,Union Saint-Gilloise,2,3,8.0,4.0,5.0,10.0,12.0,3.0,20.0,12.0,106.0,108.0,42.0,39.0,48.0,52.0,,,12.0,12.0,8.0,0.0,3.0,5.0,7.0,10.0,14.0,14.0,11.0,10.0,5.0,4.0,1.0,4.0,5.37,4.0,1.66,1.99,1.87,,,,,1.86,2.02,4.75,3.9,1.65,1.95,1.8,,,,,1.85,1.95,2025-2026
La Louvière vs Sporting Charleroi,2025-08-10 11:30:00,La Louvière won after full-time.,Belgium Liga Pro,La Louvière,Sporting Charleroi,1,0,16.0,9.0,4.0,3.0,7.0,6.0,11.0,15.0,69.0,123.0,44.0,56.0,32.0,68.0,,,7.0,8.0,4.0,7.0,3.0,1.0,9.0,8.0,9.0,10.0,11.0,11.0,4.0,2.0,3.0,0.0,3.48,3.45,2.19,2.01,1.85,,,1.82,2.08,1.91,1.88,3.4,3.3,2.1,1.95,1.8,,,1.77,2.02,2.02,1.77,2025-2026
Anderlecht vs Zulte-Waregem,2025-08-10 14:00:00,Zulte-Waregem won after full-time.,Belgium Liga Pro,Anderlecht,Zulte-Waregem,2,3,4.0,13.0,6.0,5.0,9.0,0.0,20.0,9.0,143.0,72.0,85.0,28.0,71.0,29.0,1.0,0.0,10.0,8.0,10.0,1.0,0.0,2.0,3.0,15.0,14.0,5.0,11.0,11.0,3.0,6.0,0.0,3.0,1.66,4.07,5.33,2.27,1.67,,,,,,,1.66,4.0,4.33,2.1,1.66,,,,,,,2025-2026
Standard Liège vs Genk,2025-08-10 16:30:00,Standard Liège won after full-time.,Belgium Liga Pro,Standard Liège,Genk,2,1,6.0,13.0,2.0,6.0,0.0,7.0,6.0,20.0,37.0,147.0,22.0,73.0,24.0,76.0,1.0,0.0,5.0,12.0,1.0,7.0,4.0,0.0,9.0,2.0,5.0,11.0,11.0,16.0,4.0,3.0,4.0,3.0,4.17,3.61,1.92,2.0,1.85,,,1.83,2.07,2.0,1.89,4.1,3.5,1.85,1.95,1.8,,,1.82,1.97,1.97,1.82,2025-2026
Antwerp vs OH Leuven,2025-08-10 17:15:00,Antwerp won after full-time.,Belgium Liga Pro,Antwerp,OH Leuven,3,1,10.0,16.0,5.0,3.0,3.0,0.0,12.0,5.0,90.0,76.0,38.0,30.0,62.0,38.0,2.0,0.0,5.0,5.0,7.0,0.0,5.0,2.0,2.0,6.0,7.0,1.0,8.0,21.0,0.0,1.0,3.0,5.0,1.65,3.72,6.14,1.92,1.93,,,,,2.0,1.89,1.57,3.9,5.5,1.8,1.95,,,,,1.95,1.85,2025-2026
OH Leuven vs Genk,2025-08-15 18:45:00,Genk won after full-time.,Belgium Liga Pro,OH Leuven,Genk,1,2,16.0,14.0,6.0,6.0,8.0,5.0,22.0,15.0,72.0,96.0,58.0,41.0,39.0,61.0,,,17.0,12.0,5.0,3.0,2.0,2.0,7.0,8.0,15.0,12.0,16.0,10.0,5.0,6.0,2.0,2.0,4.69,3.92,1.76,2.24,1.68,,,,,,,4.5,4.0,1.7,2.05,1.7,,,,,1.8,2.0,2025-2026
Zulte-Waregem vs Club Brugge,2025-08-16 14:00:00,Club Brugge won after full-time.,Belgium Liga Pro,Zulte-Waregem,Club Brugge,0,1,8.0,6.0,3.0,9.0,1.0,7.0,5.0,18.0,75.0,128.0,28.0,68.0,32.0,68.0,,,0.0,13.0,5.0,6.0,0.0,1.0,10.0,3.0,3.0,8.0,9.0,9.0,2.0,2.0,1.0,2.0,5.12,4.42,1.62,2.3,1.66,,,,,,,4.75,4.33,1.6,2.1,1.66,,,,,,,2025-2026
Mechelen vs Gent,2025-08-16 16:15:00,Game ended in draw.,Belgium Liga Pro,Mechelen,Gent,1,1,4.0,11.0,2.0,11.0,3.0,5.0,6.0,23.0,80.0,140.0,31.0,62.0,37.0,63.0,,,3.0,16.0,3.0,7.0,2.0,0.0,11.0,5.0,5.0,15.0,9.0,9.0,10.0,2.0,2.0,1.0,2.18,3.59,3.37,2.43,1.6,,,,,,,2.1,3.5,3.3,2.25,1.57,,,,,,,2025-2026
Union Saint-Gilloise vs Standard Liège,2025-08-16 18:45:00,Union Saint-Gilloise won after full-time.,Belgium Liga Pro,Union Saint-Gilloise,Standard Liège,3,0,2.0,4.0,12.0,1.0,6.0,2.0,23.0,4.0,138.0,50.0,87.0,7.0,70.0,30.0,,,17.0,3.0,7.0,1.0,4.0,1.0,2.0,9.0,19.0,4.0,13.0,6.0,2.0,7.0,1.0,2.0,1.35,4.77,11.22,1.6,2.42,,,1.84,2.05,1.91,1.97,1.33,4.5,10.0,1.57,2.25,,,1.8,2.0,1.87,1.92,2025-2026
Dender vs Anderlecht,2025-08-17 11:30:00,Anderlecht won after full-time.,Belgium Liga Pro,Dender,Anderlecht,0,2,14.0,6.0,2.0,7.0,3.0,11.0,8.0,17.0,82.0,122.0,42.0,85.0,41.0,59.0,,,5.0,9.0,3.0,8.0,2.0,0.0,12.0,4.0,6.0,13.0,7.0,12.0,3.0,4.0,1.0,1.0,3.42,3.65,2.14,2.25,1.68,,,,,1.84,2.05,3.1,3.5,2.25,2.1,1.66,,,,,1.8,2.0,2025-2026
