name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Schalke 04 vs Hertha BSC,2025-08-01 18:30:00,Schalke 04 won after full-time.,Germany Bundesliga 2,Schalke 04,Hertha BSC,2.0,1.0,1.0,12.0,5.0,10.0,6.0,6.0,14.0,9.0,71.0,117.0,33.0,57.0,37.0,63.0,,,9.0,5.0,5.0,4.0,0.0,2.0,9.0,11.0,11.0,8.0,19.0,12.0,2.0,3.0,7.0,1.0,3.07,3.61,2.32,2.54,1.55,,,,,,,2.9,3.5,2.25,2.5,1.5,,,,,,,0.33,0.28,0.43,0.65,0.39,,,,,,,0.34,0.29,0.44,0.4,0.67,,,,,,,2025-2026
Darmstadt 98 vs VfL Bochum 1848,2025-08-02 11:00:00,Darmstadt 98 won after full-time.,Germany Bundesliga 2,Darmstadt 98,VfL Bochum 1848,4.0,1.0,2.0,4.0,5.0,8.0,6.0,6.0,19.0,10.0,90.0,79.0,41.0,30.0,43.0,57.0,,,16.0,7.0,3.0,3.0,1.0,2.0,8.0,10.0,12.0,10.0,12.0,13.0,2.0,3.0,2.0,3.0,2.29,3.64,3.1,2.58,1.54,,,,,,,2.4,3.5,2.75,2.37,1.53,,,,,,,0.44,0.27,0.32,0.65,0.39,,,,,,,0.42,0.29,0.36,0.42,0.65,,,,,,,2025-2026
Karlsruher SC vs Preußen Münster,2025-08-02 11:00:00,Karlsruher SC won after full-time.,Germany Bundesliga 2,Karlsruher SC,Preußen Münster,3.0,2.0,11.0,17.0,6.0,5.0,5.0,3.0,13.0,11.0,82.0,84.0,51.0,25.0,33.0,67.0,,,9.0,6.0,4.0,4.0,1.0,2.0,5.0,4.0,7.0,7.0,18.0,17.0,1.0,0.0,3.0,3.0,2.2,3.68,3.26,2.23,1.69,,,,,,,2.05,3.5,3.3,2.2,1.61,,,,,,,0.45,0.27,0.31,0.59,0.45,,,,,,,0.49,0.29,0.3,0.45,0.62,,,,,,,2025-2026
Paderborn vs Holstein Kiel,2025-08-02 11:00:00,Paderborn won after full-time.,Germany Bundesliga 2,Paderborn,Holstein Kiel,2.0,1.0,9.0,16.0,3.0,0.0,2.0,4.0,9.0,7.0,91.0,83.0,36.0,48.0,47.0,53.0,,,3.0,2.0,5.0,5.0,3.0,1.0,11.0,6.0,8.0,6.0,13.0,12.0,1.0,1.0,1.0,3.0,2.33,3.51,3.13,2.36,1.62,,,,,,,2.25,3.5,3.0,2.25,1.57,,,,,,,0.43,0.28,0.32,0.62,0.42,,,,,,,0.44,0.29,0.33,0.44,0.64,,,,,,,2025-2026
Elversberg vs Nürnberg,2025-08-02 11:00:00,Elversberg won after full-time.,Germany Bundesliga 2,Elversberg,Nürnberg,1.0,0.0,15.0,3.0,2.0,4.0,5.0,5.0,12.0,11.0,101.0,74.0,45.0,52.0,55.0,45.0,,,6.0,5.0,6.0,5.0,2.0,1.0,5.0,9.0,9.0,3.0,16.0,23.0,3.0,3.0,2.0,3.0,2.04,3.67,3.71,2.45,1.58,,,,,,,2.05,3.6,3.4,2.25,1.57,,,,,,,0.49,0.27,0.27,0.63,0.41,,,,,,,0.49,0.28,0.29,0.44,0.64,,,,,,,2025-2026
DSC Arminia Bielefeld vs Fortuna Düsseldorf,2025-08-02 18:30:00,DSC Arminia Bielefeld won after full-time.,Germany Bundesliga 2,DSC Arminia Bielefeld,Fortuna Düsseldorf,5.0,1.0,6.0,8.0,8.0,3.0,4.0,6.0,15.0,11.0,115.0,59.0,56.0,37.0,64.0,36.0,1.0,0.0,9.0,7.0,6.0,4.0,3.0,4.0,7.0,8.0,12.0,5.0,12.0,14.0,1.0,3.0,4.0,4.0,2.62,3.69,2.62,2.7,1.5,,,,,,,2.55,3.6,2.5,2.5,1.5,,,,,,,0.38,0.27,0.38,0.67,0.37,,,,,,,0.39,0.28,0.4,0.4,0.67,,,,,,,2025-2026
Magdeburg vs Eintracht Braunschweig,2025-08-03 11:30:00,Eintracht Braunschweig won after full-time.,Germany Bundesliga 2,Magdeburg,Eintracht Braunschweig,0.0,1.0,11.0,12.0,12.0,2.0,8.0,2.0,19.0,9.0,140.0,78.0,82.0,30.0,67.0,33.0,,,13.0,1.0,5.0,8.0,0.0,1.0,5.0,15.0,12.0,4.0,17.0,11.0,3.0,2.0,4.0,1.0,1.7,4.07,4.97,2.5,1.57,,,,,,,1.66,4.33,4.33,2.37,1.53,,,,,,,0.59,0.25,0.2,0.64,0.4,,,,,,,0.6,0.23,0.23,0.42,0.65,,,,,,,2025-2026
Hannover 96 vs Kaiserslautern,2025-08-03 11:30:00,Hannover 96 won after full-time.,Germany Bundesliga 2,Hannover 96,Kaiserslautern,1.0,0.0,8.0,7.0,5.0,5.0,6.0,6.0,14.0,9.0,130.0,81.0,64.0,38.0,62.0,38.0,,,10.0,5.0,4.0,4.0,1.0,0.0,4.0,10.0,11.0,3.0,13.0,14.0,0.0,4.0,2.0,3.0,2.27,3.65,3.13,2.67,1.51,,,,,,,2.05,3.75,3.25,2.5,1.5,,,,,,,0.44,0.27,0.32,0.66,0.37,,,,,,,0.49,0.27,0.31,0.4,0.67,,,,,,,2025-2026
SpVgg Greuther Fürth vs Dynamo Dresden,2025-08-03 11:30:00,SpVgg Greuther Fürth won after full-time.,Germany Bundesliga 2,SpVgg Greuther Fürth,Dynamo Dresden,3.0,2.0,10.0,9.0,4.0,10.0,4.0,12.0,10.0,21.0,37.0,108.0,24.0,76.0,31.0,69.0,,,8.0,10.0,2.0,11.0,1.0,3.0,13.0,6.0,8.0,17.0,8.0,11.0,2.0,2.0,1.0,0.0,2.6,3.4,2.81,2.38,1.61,,,,,,,2.25,3.3,2.62,2.2,1.61,,,,,,,0.38,0.29,0.36,0.62,0.42,,,,,,,0.44,0.3,0.38,0.45,0.62,,,,,,,2025-2026
Nürnberg vs Darmstadt 98,2025-08-08 16:30:00,Darmstadt 98 won after full-time.,Germany Bundesliga 2,Nürnberg,Darmstadt 98,0.0,1.0,15.0,2.0,4.0,5.0,7.0,7.0,12.0,14.0,83.0,83.0,33.0,31.0,47.0,53.0,,,6.0,5.0,6.0,7.0,2.0,1.0,15.0,10.0,10.0,10.0,11.0,15.0,3.0,3.0,2.0,2.0,2.92,3.71,2.37,2.6,1.53,,,,,1.91,1.91,2.62,3.6,2.45,2.5,1.5,,,,,1.9,1.9,0.34,0.27,0.42,0.65,0.38,,,,,0.52,0.52,0.38,0.28,0.41,0.4,0.67,,,,,0.53,0.53,2025-2026
Preußen Münster vs Paderborn,2025-08-08 16:30:00,Game ended in draw.,Germany Bundesliga 2,Preußen Münster,Paderborn,1.0,1.0,11.0,6.0,5.0,5.0,3.0,3.0,7.0,16.0,69.0,118.0,26.0,62.0,56.0,44.0,,,4.0,13.0,3.0,3.0,1.0,2.0,11.0,2.0,6.0,7.0,10.0,17.0,7.0,2.0,,,3.29,3.37,2.31,2.22,1.7,,,,,1.93,1.95,3.25,3.3,2.2,2.0,1.72,,,,,1.9,1.9,0.3,0.3,0.43,0.59,0.45,,,,,0.52,0.51,0.31,0.3,0.45,0.5,0.58,,,,,0.53,0.53,2025-2026
Eintracht Braunschweig vs SpVgg Greuther Fürth,2025-08-09 11:00:00,Eintracht Braunschweig won after full-time.,Germany Bundesliga 2,Eintracht Braunschweig,SpVgg Greuther Fürth,3.0,2.0,8.0,4.0,3.0,9.0,2.0,5.0,9.0,20.0,77.0,82.0,18.0,52.0,40.0,60.0,1.0,0.0,6.0,8.0,3.0,12.0,4.0,0.0,6.0,5.0,6.0,8.0,11.0,11.0,2.0,1.0,2.0,3.0,2.48,3.52,2.89,2.46,1.58,,,,,1.91,1.97,2.35,3.5,2.87,2.37,1.53,,,,,1.8,2.0,0.4,0.28,0.35,0.63,0.41,,,,,0.52,0.51,0.43,0.29,0.35,0.42,0.65,,,,,0.56,0.5,2025-2026
Fortuna Düsseldorf vs Hannover 96,2025-08-09 11:00:00,Hannover 96 won after full-time.,Germany Bundesliga 2,Fortuna Düsseldorf,Hannover 96,0.0,2.0,18.0,9.0,5.0,2.0,6.0,6.0,9.0,10.0,105.0,72.0,55.0,29.0,53.0,47.0,0.0,1.0,4.0,8.0,5.0,2.0,1.0,5.0,6.0,10.0,7.0,10.0,18.0,14.0,1.0,1.0,6.0,4.0,2.56,3.59,2.74,2.54,1.55,,,,,,,2.5,3.7,2.6,2.37,1.53,,,,,,,0.39,0.28,0.36,0.65,0.39,,,,,,,0.4,0.27,0.38,0.42,0.65,,,,,,,2025-2026
Dynamo Dresden vs Magdeburg,2025-08-09 11:00:00,Magdeburg won after full-time.,Germany Bundesliga 2,Dynamo Dresden,Magdeburg,1.0,2.0,11.0,15.0,6.0,5.0,8.0,1.0,23.0,9.0,101.0,59.0,61.0,18.0,60.0,40.0,,,8.0,7.0,7.0,2.0,1.0,2.0,6.0,10.0,8.0,5.0,10.0,14.0,3.0,1.0,1.0,3.0,2.9,3.71,2.38,2.66,1.51,,,,,,,2.75,3.6,2.3,2.5,1.5,,,,,,,0.34,0.27,0.42,0.66,0.38,,,,,,,0.36,0.28,0.43,0.4,0.67,,,,,,,2025-2026
Kaiserslautern vs Schalke 04,2025-08-09 18:30:00,Kaiserslautern won after full-time.,Germany Bundesliga 2,Kaiserslautern,Schalke 04,1.0,0.0,14.0,7.0,5.0,3.0,6.0,4.0,11.0,9.0,105.0,97.0,43.0,41.0,55.0,45.0,1.0,0.0,6.0,5.0,5.0,4.0,3.0,2.0,6.0,6.0,9.0,7.0,8.0,16.0,4.0,1.0,4.0,4.0,2.58,3.66,2.68,2.44,1.59,,,,,1.82,2.02,2.35,3.3,2.6,2.25,1.57,,,,,1.85,1.97,0.39,0.27,0.37,0.63,0.41,,,,,0.55,0.5,0.43,0.3,0.38,0.44,0.64,,,,,0.54,0.51,2025-2026
Hertha BSC vs Karlsruher SC,2025-08-10 11:30:00,Game ended in draw.,Germany Bundesliga 2,Hertha BSC,Karlsruher SC,,,14.0,6.0,5.0,10.0,7.0,11.0,14.0,19.0,89.0,96.0,33.0,56.0,51.0,49.0,,,8.0,13.0,7.0,6.0,1.0,2.0,13.0,9.0,11.0,12.0,8.0,11.0,2.0,4.0,0.0,1.0,1.87,4.03,3.99,2.6,1.53,,,,,,,1.8,4.0,3.8,2.25,1.57,,,,,,,0.53,0.25,0.25,0.65,0.38,,,,,,,0.56,0.25,0.26,0.44,0.64,,,,,,,2025-2026
Holstein Kiel vs DSC Arminia Bielefeld,2025-08-10 11:30:00,DSC Arminia Bielefeld won after full-time.,Germany Bundesliga 2,Holstein Kiel,DSC Arminia Bielefeld,0.0,2.0,13.0,5.0,9.0,7.0,7.0,4.0,15.0,12.0,84.0,87.0,50.0,39.0,59.0,41.0,,,6.0,7.0,8.0,5.0,3.0,1.0,8.0,10.0,15.0,6.0,13.0,15.0,1.0,7.0,0.0,6.0,2.36,3.63,3.0,2.39,1.61,,,,,,,2.35,3.5,2.87,2.25,1.57,,,,,,,0.42,0.28,0.33,0.62,0.42,,,,,,,0.43,0.29,0.35,0.44,0.64,,,,,,,2025-2026
