name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Casa Pia vs Sporting CP,2025-08-08 19:15:00,Sporting CP won after full-time.,Liga Portugal,Casa Pia,Sporting CP,0,2,5.0,16.0,2.0,9.0,3.0,9.0,7.0,27.0,53.0,112.0,39.0,58.0,33.0,67.0,,,3.0,20.0,4.0,7.0,1.0,1.0,11.0,7.0,4.0,18.0,14.0,11.0,8.0,2.0,4.0,1.0,9.68,5.46,1.33,1.75,2.15,,,,,1.84,2.04,8.5,5.25,1.33,1.7,2.05,,,,,1.82,2.02,2025-2026
Nacional vs Gil Vicente,2025-08-09 14:30:00,Gil Vicente won after full-time.,Liga Portugal,Nacional,Gil Vicente,0,2,14.0,2.0,14.0,6.0,8.0,6.0,14.0,12.0,93.0,45.0,42.0,14.0,60.0,40.0,,,10.0,7.0,4.0,5.0,4.0,1.0,7.0,12.0,10.0,7.0,21.0,16.0,0.0,3.0,3.0,6.0,2.71,2.96,3.07,1.75,2.14,2.12,1.8,2.04,1.8,,,2.62,2.87,3.0,1.7,2.05,1.97,1.87,2.05,1.8,,,2025-2026
Arouca vs AVS,2025-08-09 19:30:00,Arouca won after full-time.,Liga Portugal,Arouca,AVS,3,1,12.0,17.0,4.0,5.0,3.0,8.0,9.0,15.0,82.0,67.0,27.0,37.0,53.0,47.0,,,8.0,8.0,1.0,7.0,0.0,1.0,10.0,10.0,7.0,9.0,13.0,17.0,1.0,1.0,2.0,0.0,1.75,3.66,5.25,1.81,2.06,,,1.89,2.0,2.05,1.84,1.72,3.6,5.0,1.75,2.0,,,1.85,2.0,2.05,1.8,2025-2026
Famalicão vs Santa Clara,2025-08-10 16:00:00,Famalicão won after full-time.,Liga Portugal,Famalicão,Santa Clara,3,0,11.0,8.0,2.0,3.0,2.0,5.0,6.0,7.0,81.0,86.0,37.0,25.0,46.0,54.0,,,4.0,4.0,2.0,3.0,,,7.0,8.0,5.0,6.0,20.0,15.0,2.0,0.0,4.0,2.0,2.29,3.06,3.7,1.75,2.13,1.95,1.93,,,,,2.2,3.0,3.7,1.66,2.1,1.92,1.92,2.02,1.82,,,2025-2026
Moreirense vs Alverca,2025-08-10 19:30:00,Moreirense won after full-time.,Liga Portugal,Moreirense,Alverca,2,1,6.0,15.0,6.0,2.0,3.0,5.0,10.0,7.0,115.0,70.0,43.0,33.0,58.0,42.0,0.0,1.0,6.0,2.0,4.0,4.0,1.0,0.0,4.0,4.0,6.0,5.0,15.0,5.0,1.0,1.0,3.0,1.0,1.98,3.29,4.42,1.83,2.03,,,2.02,1.87,,,1.9,3.3,4.1,1.75,2.0,,,2.0,1.85,,,2025-2026
Sporting Braga vs Tondela,2025-08-10 19:30:00,Sporting Braga won after full-time.,Liga Portugal,Sporting Braga,Tondela,3,0,5.0,9.0,5.0,3.0,2.0,3.0,8.0,7.0,93.0,64.0,38.0,30.0,68.0,32.0,1.0,0.0,5.0,4.0,3.0,3.0,3.0,6.0,7.0,3.0,8.0,6.0,10.0,9.0,3.0,3.0,1.0,3.0,1.52,4.17,7.25,1.81,2.06,,,,,1.84,2.05,1.5,4.1,6.5,1.75,2.0,,,,,1.92,1.92,2025-2026
Estoril vs Estrela Amadora,2025-08-11 17:45:00,Game ended in draw.,Liga Portugal,Estoril,Estrela Amadora,1,1,7.0,12.0,4.0,4.0,0.0,3.0,8.0,9.0,129.0,52.0,47.0,28.0,66.0,34.0,,,5.0,4.0,3.0,5.0,1.0,3.0,6.0,9.0,5.0,9.0,13.0,16.0,4.0,3.0,4.0,1.0,1.74,3.7,5.23,1.9,1.95,,,1.93,1.95,2.07,1.81,1.72,3.5,5.0,1.7,2.05,,,1.9,1.95,2.05,1.8,2025-2026
Porto vs Vitória SC,2025-08-11 19:45:00,Porto won after full-time.,Liga Portugal,Porto,Vitória SC,3,0,9.0,8.0,7.0,4.0,6.0,4.0,17.0,10.0,85.0,71.0,46.0,22.0,50.0,50.0,,,10.0,5.0,7.0,5.0,2.0,2.0,6.0,10.0,18.0,4.0,18.0,9.0,2.0,6.0,1.0,3.0,1.45,4.53,7.88,1.93,1.92,,,,,1.81,2.03,1.4,4.0,6.5,1.8,1.95,,,,,1.82,2.02,2025-2026
AVS vs Casa Pia,2025-08-15 14:45:00,Casa Pia won after full-time.,Liga Portugal,AVS,Casa Pia,0,2,13.0,14.0,1.0,3.0,4.0,3.0,10.0,10.0,82.0,69.0,24.0,27.0,51.0,49.0,1.0,0.0,3.0,7.0,7.0,3.0,2.0,0.0,9.0,11.0,6.0,8.0,20.0,20.0,3.0,3.0,4.0,5.0,2.83,3.08,2.82,1.8,2.07,,,2.11,1.8,,,2.87,3.0,2.7,1.75,2.0,1.8,2.05,2.1,1.77,,,2025-2026
Tondela vs Famalicão,2025-08-16 14:30:00,Famalicão won after full-time.,Liga Portugal,Tondela,Famalicão,0,1,15.0,1.0,2.0,7.0,7.0,7.0,15.0,14.0,98.0,84.0,46.0,67.0,49.0,51.0,,,8.0,8.0,7.0,6.0,2.0,1.0,10.0,12.0,10.0,6.0,17.0,19.0,3.0,4.0,0.0,1.0,4.38,3.3,1.99,1.85,2.01,,,2.03,1.86,,,4.1,3.3,1.95,1.75,2.0,,,2.02,1.82,,,2025-2026
Vitória SC vs Estoril,2025-08-16 17:00:00,Vitória SC won after full-time.,Liga Portugal,Vitória SC,Estoril,3,2,16.0,9.0,4.0,2.0,8.0,4.0,16.0,11.0,94.0,81.0,65.0,60.0,55.0,45.0,1.0,0.0,7.0,5.0,9.0,6.0,4.0,3.0,7.0,8.0,11.0,10.0,18.0,17.0,4.0,1.0,4.0,3.0,1.88,3.67,4.36,1.94,1.91,,,1.83,2.04,2.02,1.86,1.85,3.5,4.33,1.95,1.8,,,1.82,2.02,2.0,1.85,2025-2026
Estrela Amadora vs Benfica,2025-08-16 19:30:00,Benfica won after full-time.,Liga Portugal,Estrela Amadora,Benfica,0,1,13.0,7.0,5.0,4.0,9.0,7.0,15.0,14.0,77.0,93.0,18.0,34.0,43.0,57.0,0.0,1.0,5.0,9.0,10.0,5.0,1.0,1.0,9.0,12.0,10.0,9.0,14.0,23.0,2.0,2.0,3.0,3.0,14.41,6.96,1.2,1.65,2.28,,,,,,,13.0,6.5,1.2,1.61,2.2,,,,,,,2025-2026
Rio Ave vs Nacional,2025-08-17 14:30:00,Game ended in draw.,Liga Portugal,Rio Ave,Nacional,1,1,13.0,15.0,6.0,6.0,4.0,2.0,20.0,13.0,77.0,87.0,29.0,46.0,62.0,38.0,,,9.0,9.0,11.0,4.0,,,6.0,7.0,13.0,10.0,16.0,18.0,5.0,8.0,2.0,4.0,2.17,3.34,3.65,2.05,1.82,,,1.84,2.06,2.08,1.81,2.15,3.25,3.5,1.9,1.9,,,1.82,2.02,,,2025-2026
Alverca vs Sporting Braga,2025-08-17 17:00:00,Sporting Braga won after full-time.,Liga Portugal,Alverca,Sporting Braga,0,3,14.0,2.0,1.0,5.0,6.0,3.0,12.0,12.0,72.0,119.0,60.0,49.0,33.0,67.0,0.0,1.0,9.0,6.0,3.0,6.0,2.0,0.0,7.0,11.0,6.0,10.0,15.0,6.0,3.0,2.0,2.0,1.0,5.78,3.9,1.64,1.81,2.06,,,,,2.03,1.86,5.25,3.9,1.61,1.8,1.95,,,,,2.0,1.85,2025-2026
Santa Clara vs Moreirense,2025-08-17 17:00:00,Moreirense won after full-time.,Liga Portugal,Santa Clara,Moreirense,0,1,16.0,7.0,3.0,0.0,6.0,3.0,12.0,5.0,125.0,60.0,54.0,21.0,58.0,42.0,,,8.0,3.0,4.0,2.0,2.0,2.0,5.0,12.0,9.0,5.0,20.0,18.0,1.0,3.0,4.0,5.0,1.94,3.17,4.85,1.57,2.5,2.02,1.85,,,,,1.9,3.1,4.5,1.5,2.5,2.0,1.85,,,,,2025-2026
Sporting CP vs Arouca,2025-08-17 19:30:00,Sporting CP won after full-time.,Liga Portugal,Sporting CP,Arouca,6,0,6.0,5.0,6.0,1.0,6.0,3.0,19.0,7.0,139.0,56.0,49.0,17.0,57.0,43.0,1.0,0.0,12.0,1.0,7.0,6.0,2.0,1.0,2.0,12.0,16.0,2.0,7.0,7.0,1.0,4.0,1.0,0.0,1.18,7.77,15.36,1.73,2.15,,,,,,,1.18,7.0,15.0,1.7,2.05,,,,,,,2025-2026
Gil Vicente vs Porto,2025-08-18 19:15:00,Porto won after full-time.,Liga Portugal,Gil Vicente,Porto,0,2,6.0,5.0,1.0,5.0,7.0,8.0,14.0,15.0,77.0,80.0,41.0,46.0,41.0,59.0,,,9.0,11.0,5.0,4.0,0.0,1.0,10.0,7.0,9.0,12.0,9.0,20.0,2.0,1.0,2.0,4.0,7.96,4.78,1.42,1.67,2.23,,,,,1.97,1.91,7.5,4.5,1.4,1.61,2.2,,,,,1.92,1.92,2025-2026
Moreirense vs Vitória SC,2025-08-23 15:00:00,Moreirense won after full-time.,Liga Portugal,Moreirense,Vitória SC,2,0,5.0,9.0,3.0,7.0,3.0,5.0,10.0,11.0,72.0,99.0,34.0,52.0,48.0,52.0,,,7.0,4.0,3.0,7.0,0.0,2.0,9.0,4.0,7.0,5.0,17.0,17.0,4.0,2.0,5.0,2.0,3.16,3.21,2.47,1.83,2.02,,,2.08,1.82,,,3.0,3.2,2.4,1.75,2.0,1.77,2.1,2.05,1.8,,,2025-2026
Nacional vs Sporting CP,2025-08-23 17:00:00,Sporting CP won after full-time.,Liga Portugal,Nacional,Sporting CP,1,4,14.0,1.0,3.0,13.0,1.0,11.0,3.0,27.0,60.0,116.0,19.0,73.0,26.0,74.0,,,3.0,16.0,0.0,11.0,1.0,1.0,12.0,2.0,3.0,15.0,18.0,7.0,2.0,0.0,3.0,2.0,12.64,6.69,1.23,1.76,2.08,,,,,,,11.0,6.25,1.22,1.7,2.05,,,,,,,2025-2026
Benfica vs Tondela,2025-08-23 19:30:00,Benfica won after full-time.,Liga Portugal,Benfica,Tondela,3,0,6.0,17.0,13.0,2.0,5.0,2.0,21.0,9.0,103.0,67.0,62.0,32.0,66.0,34.0,,,19.0,6.0,2.0,3.0,1.0,1.0,5.0,8.0,13.0,6.0,10.0,12.0,4.0,7.0,2.0,2.0,1.16,8.56,17.0,1.64,2.27,,,,,,,1.16,7.0,15.0,1.61,2.2,,,,,,,2025-2026
Arouca vs Rio Ave,2025-08-23 19:30:00,Game ended in draw.,Liga Portugal,Arouca,Rio Ave,3,3,9.0,11.0,4.0,2.0,6.0,5.0,14.0,15.0,88.0,78.0,27.0,27.0,56.0,44.0,,,11.0,12.0,3.0,3.0,,,7.0,11.0,11.0,12.0,13.0,17.0,3.0,3.0,3.0,2.0,2.35,3.33,3.26,2.04,1.81,,,1.82,2.08,2.08,1.82,2.3,3.2,3.2,2.0,1.75,,,1.8,2.05,2.05,1.8,2025-2026
Famalicão vs Gil Vicente,2025-08-24 14:30:00,Game ended in draw.,Liga Portugal,Famalicão,Gil Vicente,0,0,5.0,9.0,2.0,9.0,7.0,7.0,11.0,20.0,73.0,88.0,34.0,46.0,45.0,55.0,,,8.0,10.0,3.0,9.0,2.0,3.0,4.0,12.0,10.0,11.0,17.0,18.0,8.0,3.0,3.0,1.0,1.88,3.35,4.87,1.78,2.08,1.99,1.9,2.06,1.83,,,1.85,3.2,4.5,1.7,2.05,1.85,2.0,2.02,1.82,,,2025-2026
