team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Standard Liège,0.3,300.0,3.0,87.0,87.0,870,183.5,184.5,190.0,177.88,182.41,44.9,44.9,449,4.1,4.1,41,38.1,38.1,381,10.5,10.5,105,10,5,5,10,8,3,2,0,0,6,3,0,0,0,,,,432868.0,7.11,2.0,0.2,2.0,10.0,100,1.0,5.0,11,2.3,2.3,23,369.5,615.83,38.89,3695,100.0,0.0,3.0,4,18,1,0.1,0.1,0.0,0.0,1.0,1494698.0,100.0,95,9.5,27,57,36,32,38,300,95,14.8,14.8,148,4.35,1.4,166.0,95.0,95.0,166.0,900,2.7,2.7,0,0.0,27,96445,0.2,0.2,0.0,0.0,2.0,97592.0,Belgium Liga Pro
Mechelen,1.0,90.0,10.0,81.5,81.5,815,178.57,185.63,190.0,176.8,182.46,47.9,47.9,479,5.2,5.2,52,43.3,43.3,433,9.8,9.8,98,10,5,5,10,7,3,1,0,0,9,3,1,0,0,0.0,1.0,1.0,37296404.0,7.87,2.0,0.2,2.0,7.9,79,2.0,90.0,15,1.2,1.2,12,382.5,347.73,35.75,3825,100.0,0.0,1.0,9,17,0,,,,,,,69.23,107,10.7,24,75,40,43,32,1,107,16.9,16.9,169,6.76,1.69,172.0,68.0,68.0,172.0,900,2.4,2.4,0,0.0,24,1479090,,,,,,,Belgium Liga Pro
Zulte-Waregem,0.9,100.0,9.0,92.4,92.4,924,187.8,185.5,192.5,179.33,184.89,47.2,47.2,472,4.6,4.6,46,42.8,42.8,428,11.1,11.1,111,10,5,5,10,7,4,2,0,0,7,5,1,0,0,1.0,1.0,1.0,37551489.0,7.3,3.0,0.3,3.0,6.9,69,2.0,30.0,14,1.1,1.1,11,392.9,357.18,33.87,3929,100.0,0.0,2.0,7,10,0,0.1,0.1,0.0,0.0,1.0,37527034.0,69.23,116,11.6,41,67,32,43,47,900,116,14.1,14.1,141,7.05,1.27,,,,,900,1.9,1.9,0,0.0,19,37619977,,,,,,,Belgium Liga Pro
OH Leuven,0.5,180.0,5.0,82.2,82.2,822,181.25,182.11,188.0,177.43,181.04,46.1,46.1,461,4.6,4.6,46,44.0,44.0,440,17.0,17.0,170,10,5,5,10,8,7,2,1,1,7,1,0,0,0,0.0,1.0,0.0,13590995.0,6.95,2.0,0.2,2.0,8.2,82,1.0,3.0,14,2.2,2.2,22,342.2,488.86,29.0,3422,,,,8,19,0,,,,,,,112.5,118,11.8,34,81,47,37,37,700,118,17.1,17.1,171,5.03,1.0,249.0,119.0,119.0,249.0,900,3.1,3.1,0,0.0,31,61870,0.1,0.1,0.0,0.0,1.0,61784.0,Belgium Liga Pro
Dender,0.2,465.0,2.0,94.5,94.5,945,182.88,186.29,191.0,181.86,184.52,47.5,47.5,475,2.9,2.9,29,39.0,39.0,390,9.6,9.6,96,10,5,5,10,8,5,2,0,0,3,0,0,0,0,,,,4969793.0,7.4,,,,9.6,96,1.0,85.0,13,2.2,2.2,22,411.9,1.0,47.9,4119,,,,5,18,2,0.2,0.2,0.0,0.0,2.0,9939008.0,310.0,86,8.6,20,63,32,34,24,300,86,18.2,18.2,182,10.11,1.86,146.0,30.0,30.0,146.0,930,1.3,1.3,0,0.0,13,37385333,0.1,0.1,0.0,0.0,1.0,37385333.0,Belgium Liga Pro
Union Saint-Gilloise,1.3,69.23076923076923,13.0,106.1,106.1,1061,180.25,187.71,197.33,179.45,183.52,54.1,54.1,541,6.1,6.1,61,53.3,53.3,533,12.9,12.9,129,10,6,4,10,4,1,0,0,0,8,6,3,1,1,1.0,4.0,2.0,13155985.0,7.45,3.0,0.3,3.0,8.2,82,2.0,90.0,17,2.9,2.9,29,433.7,255.12,28.72,4337,66.67,1.0,2.0,5,23,0,,,,,,,47.37,151,15.1,30,113,58,63,37,1,151,19.2,19.2,192,8.35,1.44,526.0,223.0,223.0,526.0,900,2.3,2.3,0,0.0,23,30446987,,,,,,,Belgium Liga Pro
La Louvière,0.4,232.5,4.0,84.1,84.1,841,183.43,181.25,187.0,175.86,180.79,34.1,34.1,341,4.8,4.8,48,42.6,42.6,426,11.9,11.9,119,10,5,5,10,5,3,1,0,0,5,2,0,0,0,,,,335635.0,7.3,2.0,0.2,2.0,9.6,96,1.0,70.0,9,1.8,1.8,18,259.2,648.0,27.0,2592,,,,7,16,1,,,,,,,132.86,96,9.6,20,64,49,27,33,400,96,14.4,14.4,144,8.0,1.19,,,,,930,1.8,1.8,0,0.0,18,37352806,,,,,,,Belgium Liga Pro
Club Brugge,1.2,75.0,12.0,120.3,120.3,1203,183.71,185.56,189.33,181.33,184.14,63.0,63.0,630,6.7,6.7,67,67.2,67.2,672,9.5,9.5,95,10,5,5,10,6,2,1,1,1,9,5,1,1,1,2.0,3.0,1.0,633.0,8.51,6.0,0.6,6.0,7.7,77,2.0,59.0,19,1.8,1.8,18,572.4,357.75,34.28,5724,0.0,1.0,0.0,7,21,0,0.1,0.1,0.0,0.0,1.0,37618415.0,52.94,167,16.7,61,118,54,52,50,1,167,13.6,13.6,136,8.5,1.43,554.0,335.0,335.0,554.0,900,1.4,1.4,0,0.0,14,24817182,,,,,,,Belgium Liga Pro
Antwerp,0.6,150.0,6.0,89.3,89.3,893,179.0,187.14,191.75,183.25,185.17,47.8,47.8,478,3.9,3.9,39,37.8,37.8,378,11.9,11.9,119,10,5,5,10,9,3,0,0,0,7,2,1,0,0,0.0,1.0,0.0,37600595.0,7.13,2.0,0.2,2.0,10.6,106,2.0,36.0,13,3.0,3.0,30,369.7,462.13,33.01,3697,66.67,1.0,2.0,6,17,2,0.1,0.1,0.0,0.0,1.0,61654.0,90.0,112,11.2,30,64,40,42,48,600,112,17.4,17.4,174,7.57,1.46,155.0,84.0,84.0,155.0,900,2.3,2.3,0,0.0,23,25564,,,,,,,Belgium Liga Pro
Gent,1.6,56.25,16.0,104.4,104.4,1044,183.43,185.56,190.33,180.56,183.93,55.1,55.1,551,4.4,4.4,44,44.3,44.3,443,10.0,10.0,100,10,5,5,10,8,3,2,0,0,9,5,2,1,0,1.0,4.0,2.0,19625676.0,7.78,5.0,0.5,5.0,9.6,96,2.0,87.0,19,1.6,1.6,16,486.9,304.31,36.89,4869,100.0,0.0,1.0,7,22,1,0.1,0.1,0.0,0.0,1.0,37560677.0,52.94,132,13.2,34,85,49,49,47,1,132,13.0,13.0,130,6.84,1.27,287.0,151.0,151.0,287.0,900,1.8,1.8,0,0.0,18,37539471,,,,,,,Belgium Liga Pro
