team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Sønderjyske Fodbold,0.82,110.0,9.0,89.09,89.09,980,183.6,184.29,193.5,184.2,185.05,44.27,44.27,487,3.36,3.36,37,40.55,40.55,446,11.27,11.27,124,11,6,5,11,9,5,2,1,1,9,6,1,0,0,2.0,1.0,0.0,537399.0,7.18,3.0,0.27,3.0,8.36,92,2.0,53.0,22,1.45,1.45,16,421.27,331.0,37.07,4634,100.0,0.0,2.0,7,11,0,0.09,0.09,0.0,0.0,1.0,27422485.0,61.88,125,11.36,41,75,48,36,50,1,125,15.27,15.27,168,7.64,1.33,11.0,11.0,11.0,11.0,990,1.64,1.64,0,0.0,18,85764,0.09,0.09,0.0,0.0,1.0,37761070.0,Denmark Superliga
Randers FC,0.91,99.0,10.0,95.55,95.55,1051,180.5,185.6,189.0,180.44,182.7,49.09,49.09,540,4.82,4.82,53,46.27,46.27,509,12.09,12.09,133,11,6,5,11,8,4,2,1,1,9,4,1,0,0,1.0,0.0,0.0,25577.0,7.19,3.0,0.27,3.0,10.18,112,2.0,53.0,17,1.73,1.73,19,494.73,453.5,44.98,5442,100.0,0.0,1.0,4,17,3,,,,,,,70.71,121,11.0,28,89,44,49,34,1,121,17.36,17.36,191,8.3,1.43,,,,,990,2.09,2.09,0,0.0,23,459307,,,,,,,Denmark Superliga
Brøndby IF,1.18,76.15384615384616,13.0,103.91,103.91,1143,181.29,188.5,189.67,181.44,184.08,53.0,53.0,583,3.73,3.73,41,58.82,58.82,647,10.0,10.0,110,11,5,6,11,7,3,1,0,0,8,6,2,1,1,0.0,2.0,2.0,25417.0,7.53,3.0,0.27,3.0,10.36,114,2.0,8.0,15,1.45,1.45,16,531.91,365.69,33.24,5851,100.0,0.0,2.0,6,18,1,,,,,,,55.0,176,16.0,52,111,64,60,65,1,176,18.36,18.36,202,9.62,1.84,138.0,69.0,69.0,138.0,990,1.91,1.91,0,0.0,21,23277904,,,,,,,Denmark Superliga
FC København,1.55,58.23529411764706,17.0,126.45,126.45,1391,187.14,178.5,185.0,181.89,182.59,57.91,57.91,637,4.64,4.64,51,57.45,57.45,632,12.09,12.09,133,11,6,5,11,9,4,2,0,0,11,8,4,1,1,2.0,5.0,2.0,37652792.0,7.22,2.0,0.18,2.0,10.27,113,2.0,90.0,23,1.82,1.82,20,572.91,286.45,36.64,6302,100.0,0.0,3.0,8,17,3,0.09,0.09,0.0,0.0,1.0,37619474.0,39.6,172,15.64,46,116,65,61,54,1,172,15.36,15.36,169,9.39,1.25,173.0,90.0,90.0,173.0,990,1.64,1.64,2,0.18,18,26719,,,,,,,Denmark Superliga
Viborg FF,1.0,90.0,11.0,102.45,102.45,1127,190.4,185.11,190.33,181.22,185.38,47.82,47.82,526,3.64,3.64,40,43.45,43.45,478,11.36,11.36,125,11,6,5,11,9,6,3,0,0,9,5,0,0,0,0.0,3.0,1.0,37656066.0,7.39,1.0,0.09,1.0,7.64,84,2.0,18.0,20,0.91,0.91,10,463.91,392.54,39.56,5103,100.0,0.0,1.0,2,20,5,,,,,,,70.71,129,11.73,23,95,53,53,42,1,129,18.91,18.91,208,11.56,1.61,40.0,8.0,8.0,40.0,990,1.64,1.64,0,0.0,18,84031,,,,,,,Denmark Superliga
AGF,0.91,99.0,10.0,100.64,100.64,1107,185.83,190.0,189.0,182.78,185.62,53.91,53.91,593,5.0,5.0,55,55.18,55.18,607,10.0,10.0,110,11,5,6,11,8,2,0,0,0,10,6,4,2,1,0.0,4.0,3.0,192860.0,7.52,,,,9.27,102,2.0,10.0,17,2.36,2.36,26,513.27,282.3,31.19,5646,50.0,3.0,3.0,7,13,2,,,,,,,43.04,181,16.45,53,121,68,60,63,1,181,16.91,16.91,186,9.79,1.75,,,,,990,1.91,1.91,0,0.0,21,37337584,,,,,,,Denmark Superliga
Nordsjælland,0.91,99.0,10.0,117.73,117.73,1295,183.5,182.73,187.0,180.86,182.73,57.73,57.73,635,4.36,4.36,48,52.82,52.82,581,10.36,10.36,114,11,6,5,11,8,6,4,1,0,9,5,2,0,0,1.0,2.0,1.0,37601923.0,7.34,6.0,0.55,6.0,9.0,99,2.0,4.0,20,1.27,1.27,14,617.45,452.8,48.86,6792,,,,6,16,6,0.09,0.09,0.0,0.0,1.0,84605.0,61.88,139,12.64,34,94,47,58,47,1,139,14.55,14.55,160,8.0,1.4,18.0,2.0,2.0,18.0,990,1.64,1.64,1,0.09,18,37762150,,,,,,,Denmark Superliga
FC Midtjylland,1.91,47.142857142857146,21.0,103.45,103.45,1138,186.14,187.83,198.0,182.91,186.08,47.82,47.82,526,4.36,4.36,48,46.73,46.73,514,10.73,10.73,118,11,5,6,11,8,4,2,0,0,9,8,5,2,1,0.0,4.0,2.0,37563833.0,7.56,6.0,0.55,6.0,8.64,95,4.0,90.0,25,2.0,2.0,22,417.0,191.13,29.22,4587,100.0,0.0,1.0,8,16,0,0.09,0.09,0.0,0.0,1.0,1548571.0,38.08,157,14.27,32,100,58,67,54,2,157,18.36,18.36,202,7.21,1.71,215.0,124.0,124.0,215.0,990,2.27,2.27,1,0.09,25,1548396,0.09,0.09,0.0,0.0,1.0,37567325.0,Denmark Superliga
Silkeborg IF,0.82,110.0,9.0,97.09,97.09,1068,181.0,190.0,193.5,182.78,185.73,51.0,51.0,561,4.18,4.18,46,38.18,38.18,420,7.18,7.18,79,11,6,5,11,11,8,4,1,0,7,5,3,1,0,0.0,3.0,0.0,5967839.0,7.78,2.0,0.18,2.0,9.0,99,1.0,15.0,22,1.27,1.27,14,580.18,490.92,49.47,6382,66.67,1.0,2.0,6,15,4,,,,,,,61.88,129,11.73,44,75,34,51,54,1,129,15.18,15.18,167,15.18,2.11,33.0,11.0,11.0,33.0,990,1.0,1.0,0,0.0,11,32796136,,,,,,,Denmark Superliga
Odense BK,0.73,123.75,8.0,96.73,96.73,1064,190.0,188.0,192.0,179.1,184.71,46.91,46.91,516,4.55,4.55,50,39.0,39.0,429,13.0,13.0,143,11,5,6,11,11,8,4,3,2,10,4,4,0,0,0.0,1.0,1.0,2538544.0,7.51,5.0,0.45,5.0,11.18,123,1.0,3.0,25,1.91,1.91,21,454.0,356.71,40.6,4994,100.0,0.0,4.0,2,15,8,,,,,,,55.0,123,11.18,27,81,55,41,40,1,123,18.45,18.45,203,8.46,1.4,23.0,10.0,10.0,23.0,990,1.91,1.91,0,0.0,21,37717305,0.09,0.09,0.0,0.0,1.0,37717305.0,Denmark Superliga
