team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Arsenal,1.29,70.0,9.0,98.29,98.29,688,182.0,186.33,185.5,182.5,184.0,58.0,58.0,406,7.57,7.57,53,60.14,60.14,421,11.29,11.29,79,7,3,4,7,3,0,0,0,0,6,4,2,1,1,2.0,2.0,2.0,5270466.0,7.68,3.0,0.43,3.0,6.86,48,2.0,90.0,10,1.29,1.29,9,483.43,282.0,31.63,3384,100.0,0.0,2.0,12,12,1,,,,,,,45.0,107,15.29,37,83,41,29,24,1,107,16.0,16.0,112,12.44,1.42,1265.0,607.0,607.0,1265.0,630,1.29,1.29,0,0.0,9,23278684,,,,,,,England Premier League
Nottingham Forest,0.43,210.0,3.0,100.86,100.86,706,179.86,187.89,193.67,181.4,184.31,56.0,56.0,392,4.71,4.71,33,60.43,60.43,423,11.43,11.43,80,7,4,3,7,7,3,2,0,0,3,1,1,0,0,1.0,0.0,0.0,332047.0,7.18,2.0,0.29,2.0,7.71,54,1.0,5.0,9,1.14,1.14,8,502.57,703.6,43.98,3518,,,,6,22,1,,,,,,,126.0,80,11.43,24,54,28,28,26,500,80,13.57,13.57,95,6.79,1.19,789.0,341.0,341.0,789.0,630,2.0,2.0,0,0.0,14,11720838,,,,,,,England Premier League
AFC Bournemouth,1.29,70.0,9.0,105.14,105.14,736,176.83,180.33,191.0,179.2,179.93,50.86,50.86,356,5.71,5.71,40,52.57,52.57,368,11.43,11.43,80,7,3,4,7,4,2,1,1,0,6,4,1,0,0,0.0,1.0,0.0,10990678.0,7.4,3.0,0.43,3.0,8.0,56,2.0,90.0,13,2.14,2.14,15,423.71,296.6,32.59,2966,100.0,0.0,1.0,9,16,2,,,,,,,57.27,91,13.0,29,54,31,31,36,900,91,18.0,18.0,126,7.88,1.58,539.0,260.0,260.0,539.0,630,2.29,2.29,0,0.0,16,262324,,,,,,,England Premier League
Brighton & Hove Albion,1.0,90.0,7.0,74.57,74.57,522,185.6,185.38,191.0,179.78,183.79,46.71,46.71,327,4.29,4.29,30,42.0,42.0,294,13.14,13.14,92,7,4,3,7,7,3,0,0,0,6,3,1,0,0,3.0,0.0,0.0,37655226.0,7.13,3.0,0.43,3.0,7.43,52,2.0,90.0,12,2.14,2.14,15,387.14,338.75,33.05,2710,66.67,1.0,2.0,7,16,1,,,,,,,63.0,82,11.71,18,51,34,30,31,600,82,19.71,19.71,138,6.27,1.48,607.0,286.0,286.0,607.0,630,3.29,3.29,1,0.14,23,2461,,,,,,,England Premier League
Crystal Palace,0.57,157.5,4.0,76.71,76.71,537,181.29,185.0,190.33,182.7,183.73,41.29,41.29,289,3.29,3.29,23,35.71,35.71,250,11.14,11.14,78,7,4,3,7,4,1,0,0,0,5,3,1,0,0,0.0,2.0,0.0,7643.0,7.43,2.0,0.29,2.0,9.29,65,3.0,37.0,9,1.29,1.29,9,360.14,315.13,28.65,2521,100.0,0.0,1.0,7,18,2,,,,,,,70.0,88,12.57,20,61,32,36,27,700,88,21.43,21.43,150,8.82,1.92,521.0,245.0,245.0,521.0,630,2.43,2.43,0,0.0,17,2332,,,,,,,England Premier League
Sunderland,0.86,105.0,6.0,90.14,90.14,631,180.5,185.0,191.0,177.9,181.69,43.71,43.71,306,3.86,3.86,27,37.57,37.57,263,9.14,9.14,64,7,4,3,7,4,2,0,0,0,4,2,1,0,0,,,,1887.0,7.37,2.0,0.29,2.0,8.14,57,2.0,90.0,10,1.0,1.0,7,385.14,449.33,38.51,2696,100.0,0.0,1.0,11,15,0,0.14,0.14,0.0,0.0,1.0,163108.0,90.0,70,10.0,19,52,32,19,18,500,70,17.71,17.71,124,8.86,1.94,657.0,303.0,303.0,657.0,630,1.86,1.86,0,0.0,13,37630179,,,,,,,England Premier League
Everton,1.0,90.0,7.0,102.29,102.29,716,191.0,184.22,191.0,181.4,185.19,46.0,46.0,322,3.57,3.57,25,50.71,50.71,355,10.29,10.29,72,7,3,4,7,5,2,0,0,0,5,3,1,0,0,2.0,2.0,1.0,1116.0,7.4,1.0,0.14,1.0,8.29,58,1.0,23.0,8,0.86,0.86,6,386.86,338.5,32.63,2708,100.0,0.0,1.0,6,20,1,,,,,,,70.0,83,11.86,25,58,33,25,25,700,83,16.86,16.86,118,6.56,1.64,502.0,245.0,245.0,502.0,630,2.57,2.57,1,0.14,18,540613,,,,,,,England Premier League
Aston Villa,0.86,105.0,6.0,97.0,97.0,679,179.5,185.5,194.0,182.22,183.91,57.14,57.14,400,5.43,5.43,38,50.29,50.29,352,10.14,10.14,71,7,3,4,7,5,1,1,0,0,3,2,1,0,0,0.0,2.0,0.0,97626.0,7.4,,,,6.0,42,1.0,67.0,8,1.71,1.71,12,465.14,542.67,42.84,3256,,,,3,4,16,0.14,0.14,0.0,0.0,1.0,7124.0,105.0,76,10.86,25,49,28,23,26,600,76,12.57,12.57,88,6.29,1.24,921.0,399.0,399.0,921.0,630,1.86,1.86,0,0.0,13,6524,,,,,,,England Premier League
Fulham,0.71,126.0,5.0,94.14,94.14,659,182.57,186.0,188.0,181.56,183.6,50.57,50.57,354,4.57,4.57,32,46.86,46.86,328,14.0,14.0,98,7,4,3,7,6,3,2,0,0,6,1,1,0,0,,,,25400.0,7.03,3.0,0.43,3.0,6.14,43,1.0,90.0,13,2.0,2.0,14,435.0,507.5,41.71,3045,,,,8,17,0,,,,,,,78.75,73,10.43,21,47,29,23,25,600,73,17.71,17.71,124,7.75,1.27,472.0,256.0,256.0,472.0,630,2.29,2.29,2,0.29,16,130248,,,,,,,England Premier League
Leeds United,0.43,210.0,3.0,82.43,82.43,577,179.57,186.0,194.67,182.29,184.2,45.29,45.29,317,4.0,4.0,28,37.0,37.0,259,10.43,10.43,73,7,3,4,7,5,3,1,1,1,4,2,1,0,0,0.0,1.0,0.0,173737.0,7.39,2.0,0.29,2.0,7.86,55,1.0,31.0,10,1.14,1.14,8,402.86,470.0,33.18,2820,100.0,0.0,1.0,6,18,1,,,,,,,90.0,85,12.14,28,54,33,24,31,500,85,19.29,19.29,135,13.5,1.85,721.0,366.0,366.0,721.0,630,1.43,1.43,0,0.0,10,12542,,,,,,,England Premier League
