team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Olympique Marseille,1.29,70.0,9.0,107.71,107.71,754,178.0,184.2,189.5,181.64,182.17,57.29,57.29,401,6.29,6.29,44,54.0,54.0,378,12.43,12.43,87,7,4,3,7,4,1,0,0,0,5,4,3,2,1,0.0,2.0,1.0,20333643.0,7.39,4.0,0.57,4.0,6.14,43,3.0,90.0,13,1.14,1.14,8,566.29,330.33,39.25,3964,66.67,1.0,2.0,9,21,1,0.14,0.14,1.0,0.14,1.0,28575687.0,42.0,101,14.43,23,65,40,38,36,1,101,13.43,13.43,94,5.53,1.08,689.0,326.0,326.0,689.0,630,2.29,2.29,1,0.14,16,512560,,,,,,,France Ligue 1
Lorient,1.14,78.75,8.0,88.0,88.0,616,180.8,184.33,189.67,177.71,182.05,43.43,43.43,304,2.71,2.71,19,40.86,40.86,286,12.29,12.29,86,7,4,3,7,6,3,2,2,1,4,2,2,1,0,0.0,2.0,2.0,37536423.0,7.25,4.0,0.57,4.0,9.86,69,1.0,45.0,17,1.57,1.57,11,423.0,329.0,36.56,2961,0.0,1.0,0.0,3,19,1,0.14,0.14,0.0,0.0,1.0,35271244.0,70.0,81,11.57,21,53,32,28,28,900,81,13.0,13.0,91,3.79,1.06,114.0,71.0,71.0,114.0,630,3.29,3.29,0,0.0,23,37715699,,,,,,,France Ligue 1
Nice,1.0,90.0,7.0,96.43,96.43,675,179.44,185.83,188.0,179.56,181.62,52.86,52.86,370,6.43,6.43,45,48.71,48.71,341,12.57,12.57,88,7,3,4,7,6,3,2,1,0,6,2,1,0,0,0.0,1.0,0.0,30920.0,7.45,1.0,0.14,1.0,8.43,59,1.0,3.0,11,1.71,1.71,12,454.71,454.71,33.16,3183,100.0,0.0,1.0,7,18,3,,,,,,,70.0,96,13.71,28,59,38,30,36,600,96,14.14,14.14,99,5.21,1.13,586.0,270.0,270.0,586.0,630,2.29,2.29,0,0.0,16,10310744,0.14,0.14,0.0,0.0,1.0,305358.0,France Ligue 1
Nantes,0.43,210.0,3.0,74.86,74.86,524,180.2,185.4,186.5,182.3,182.91,44.29,44.29,310,3.71,3.71,26,27.14,27.14,190,11.43,11.43,80,7,4,3,7,5,2,0,0,0,3,2,0,0,0,1.0,1.0,0.0,95617.0,7.52,2.0,0.29,2.0,7.57,53,1.0,8.0,8,1.14,1.14,8,388.71,544.2,41.23,2721,0.0,1.0,0.0,7,13,2,,,,,,,126.0,66,9.43,24,39,28,14,27,500,66,16.14,16.14,113,10.27,1.38,217.0,94.0,94.0,217.0,630,1.57,1.57,1,0.14,11,161320,,,,,,,France Ligue 1
Auxerre,0.43,210.0,3.0,97.0,97.0,679,183.6,181.75,188.0,181.29,182.83,44.29,44.29,310,4.57,4.57,32,37.86,37.86,265,12.57,12.57,88,7,3,4,7,5,4,1,0,0,5,0,0,0,0,,,,7691269.0,6.95,3.0,0.43,3.0,10.0,70,1.0,53.0,8,1.43,1.43,10,374.0,654.5,33.56,2618,0.0,1.0,0.0,5,18,0,0.29,0.29,0.0,0.0,2.0,95346.0,126.0,78,11.14,29,46,26,23,32,400,78,21.43,21.43,150,7.14,1.69,90.0,64.0,64.0,90.0,630,2.29,2.29,1,0.14,16,433075,0.14,0.14,0.0,0.0,1.0,13225178.0,France Ligue 1
Monaco,1.43,63.0,10.0,114.86,114.86,804,181.75,184.0,192.0,179.5,182.89,56.57,56.57,396,5.14,5.14,36,57.0,57.0,399,12.43,12.43,87,7,3,4,7,7,4,1,0,0,6,5,3,1,1,0.0,3.0,2.0,23269740.0,7.95,4.0,0.57,4.0,9.0,63,2.0,90.0,19,2.57,2.57,18,516.29,328.55,42.52,3614,100.0,0.0,3.0,8,20,1,,,,,,,39.38,85,12.14,21,60,39,25,25,800,85,16.57,16.57,116,6.82,1.32,443.0,196.0,196.0,443.0,630,2.14,2.14,0,0.0,15,32738,0.14,0.14,0.0,0.0,1.0,32738.0,France Ligue 1
LOSC Lille,1.43,63.0,10.0,103.43,103.43,724,181.8,182.2,188.5,183.1,182.93,55.14,55.14,386,5.86,5.86,41,53.43,53.43,374,13.14,13.14,92,7,3,4,7,6,2,2,0,0,5,3,2,1,1,0.0,1.0,0.0,37652750.0,7.21,4.0,0.57,4.0,10.29,72,4.0,90.0,18,1.43,1.43,10,471.29,253.77,30.55,3299,50.0,1.0,1.0,10,16,1,0.0,0.0,1.0,0.14,0.0,,45.0,108,15.43,41,76,35,32,32,1,108,14.86,14.86,104,6.93,1.13,419.0,199.0,199.0,419.0,630,2.14,2.14,2,0.29,15,95168,,,,,,,France Ligue 1
Toulouse,0.71,126.0,5.0,83.86,83.86,587,179.6,185.57,187.33,178.0,181.87,40.0,40.0,280,4.0,4.0,28,41.14,41.14,288,14.14,14.14,99,7,4,3,7,5,3,1,1,1,6,4,1,0,0,2.0,1.0,0.0,37577447.0,7.2,5.0,0.71,5.0,9.29,65,2.0,89.0,15,1.14,1.14,8,336.57,235.6,27.4,2356,33.33,2.0,1.0,6,16,0,0.14,0.14,0.0,0.0,1.0,37729240.0,57.27,86,12.29,24,63,33,29,23,900,86,16.86,16.86,118,5.9,1.18,285.0,180.0,180.0,285.0,630,2.71,2.71,1,0.14,19,455796,,,,,,,France Ligue 1
Metz,0.57,157.5,4.0,80.0,80.0,560,179.0,184.43,201.5,179.75,182.56,48.14,48.14,337,4.14,4.14,29,33.86,33.86,237,11.29,11.29,79,7,3,4,7,6,4,4,1,1,3,2,0,0,0,0.0,1.0,0.0,96733.0,7.16,1.0,0.14,1.0,6.29,44,1.0,22.0,14,1.29,1.29,9,456.43,798.75,58.09,3195,50.0,1.0,1.0,8,16,1,0.14,0.14,0.0,0.0,1.0,37683588.0,126.0,55,7.86,20,39,22,13,16,300,55,18.86,18.86,132,16.5,1.65,69.0,25.0,25.0,69.0,630,1.0,1.0,0,0.0,7,163764,,,,,,,France Ligue 1
Angers SCO,0.29,315.0,2.0,66.29,66.29,464,177.8,182.43,187.33,180.17,181.38,36.29,36.29,254,3.86,3.86,27,29.86,29.86,209,10.43,10.43,73,7,4,3,7,6,2,1,1,1,3,0,0,0,0,1.0,0.0,0.0,474517.0,7.21,,,,8.57,60,1.0,9.0,8,1.86,1.86,13,347.43,1.0,42.67,2432,100.0,0.0,1.0,5,16,0,0.14,0.14,0.0,0.0,1.0,33991167.0,210.0,57,8.14,14,40,25,18,17,100,57,19.14,19.14,134,12.18,1.72,230.0,83.0,83.0,230.0,630,1.57,1.57,1,0.14,11,97621,,,,,,,France Ligue 1
