team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
DSC Arminia Bielefeld,1.25,72.0,10.0,106.25,106.25,850,183.89,183.43,191.5,183.71,184.32,57.0,57.0,456,5.63,5.63,45,49.0,49.0,392,12.88,12.88,103,8,3,5,8,6,4,2,0,0,8,3,1,1,1,1.0,1.0,0.0,15763368.0,7.86,3.0,0.38,3.0,8.0,64,2.0,45.0,17,2.63,2.63,21,458.25,282.0,35.94,3666,100.0,0.0,1.0,5,16,3,0.13,0.13,0.0,0.0,1.0,1525246.0,51.43,102,12.75,22,64,44,36,38,1,102,15.63,15.63,125,4.81,1.2,30.0,14.0,14.0,30.0,720,2.75,2.75,0,0.0,22,35037,0.13,0.13,0.0,0.0,1.0,22888778.0,Germany Bundesliga 2
Magdeburg,0.63,144.0,5.0,102.88,102.88,823,181.13,184.6,188.67,182.0,183.26,54.88,54.88,439,5.13,5.13,41,46.88,46.88,375,13.75,13.75,110,8,4,4,8,8,5,3,2,1,3,2,1,1,0,0.0,1.0,0.0,37592149.0,7.19,4.0,0.5,4.0,9.13,73,2.0,28.0,16,1.88,1.88,15,448.0,512.0,29.62,3584,0.0,1.0,0.0,5,22,4,,,,,,,102.86,121,15.13,34,77,49,38,45,700,121,15.13,15.13,121,4.17,1.09,429.0,249.0,249.0,429.0,720,3.25,3.25,0,0.0,26,32683,0.13,0.13,0.0,0.0,1.0,44040.0,Germany Bundesliga 2
Paderborn,0.88,102.85714285714286,7.0,104.63,104.63,837,185.13,186.75,190.5,181.33,185.17,52.88,52.88,423,5.25,5.25,42,49.13,49.13,393,11.25,11.25,90,8,4,4,8,4,1,0,0,0,7,4,0,0,0,1.0,2.0,0.0,34088.0,7.42,1.0,0.13,1.0,9.0,72,2.0,90.0,10,2.25,2.25,18,474.38,379.5,28.32,3795,50.0,1.0,1.0,4,15,5,0.13,0.13,0.0,0.0,1.0,37266076.0,65.45,134,16.75,48,91,43,43,43,900,134,19.25,19.25,154,11.0,1.75,184.0,104.0,104.0,184.0,720,1.63,1.63,0,0.0,13,37627017,,,,,,,Germany Bundesliga 2
VfL Bochum 1848,0.63,144.0,5.0,96.5,96.5,772,185.0,184.0,189.0,183.44,184.46,50.25,50.25,402,6.38,6.38,51,53.5,53.5,428,14.38,14.38,115,8,5,3,8,7,5,2,1,0,6,2,0,0,0,0.0,1.0,0.0,32698.0,7.24,4.0,0.5,4.0,7.88,63,2.0,90.0,15,2.5,2.5,20,394.5,450.86,26.3,3156,50.0,1.0,1.0,8,14,7,,,,,,,90.0,120,15.0,43,87,49,28,32,600,120,16.38,16.38,131,3.64,1.14,217.0,104.0,104.0,217.0,720,4.5,4.5,0,0.0,36,37650245,,,,,,,Germany Bundesliga 2
Darmstadt 98,1.13,80.0,9.0,92.25,92.25,738,185.43,186.13,191.5,178.33,184.35,49.25,49.25,394,4.5,4.5,36,46.25,46.25,370,13.0,13.0,104,8,4,4,8,4,1,1,0,0,7,4,2,1,0,1.0,2.0,2.0,191329.0,7.44,4.0,0.5,4.0,8.13,65,2.0,62.0,15,1.63,1.63,13,415.25,237.29,29.4,3322,,,,5,16,2,,,,,,,51.43,113,14.13,22,76,51,40,33,1,113,15.25,15.25,122,9.38,1.17,229.0,89.0,89.0,229.0,720,1.63,1.63,0,0.0,13,7026561,,,,,,,Germany Bundesliga 2
Eintracht Braunschweig,0.75,120.0,6.0,94.13,94.13,753,187.43,186.0,188.67,179.5,185.22,42.5,42.5,340,4.0,4.0,32,33.38,33.38,267,13.25,13.25,106,8,4,4,8,7,6,2,1,0,7,1,1,0,0,,,,11704894.0,7.1,,,,9.88,79,1.0,82.0,15,2.13,2.13,17,361.88,361.88,37.12,2895,100.0,0.0,1.0,3,17,6,0.38,0.38,0.0,0.0,3.0,418253.0,80.0,78,9.75,25,37,26,27,38,700,78,13.63,13.63,109,4.04,1.04,158.0,66.0,66.0,158.0,720,2.88,2.88,0,0.0,23,47394,0.13,0.13,0.0,0.0,1.0,459775.0,Germany Bundesliga 2
Schalke 04,0.88,102.85714285714286,7.0,101.88,101.88,815,184.75,186.75,193.5,181.78,185.0,44.0,44.0,352,5.5,5.5,44,49.75,49.75,398,12.88,12.88,103,8,4,4,8,5,0,0,0,0,6,4,0,0,0,,,,32122.0,7.37,,,,8.88,71,1.0,16.0,9,2.13,2.13,17,333.0,333.0,23.79,2664,100.0,0.0,2.0,2,23,2,,,,,,,72.0,112,14.0,27,74,45,40,36,600,112,20.63,20.63,165,7.5,1.59,142.0,116.0,116.0,142.0,720,2.38,2.38,0,0.0,19,74109,0.13,0.13,0.0,0.0,1.0,74109.0,Germany Bundesliga 2
Holstein Kiel,1.0,90.0,8.0,77.38,77.38,619,184.0,188.14,192.0,183.7,185.75,49.13,49.13,393,3.63,3.63,29,36.0,36.0,288,14.5,14.5,116,8,4,4,8,5,3,0,0,0,6,2,1,0,0,0.0,2.0,2.0,19616116.0,7.35,2.0,0.25,2.0,10.63,85,1.0,84.0,9,1.88,1.88,15,429.63,381.89,33.7,3437,0.0,1.0,0.0,4,19,1,,,,,,,80.0,102,12.75,19,61,48,35,40,900,102,11.5,11.5,92,3.83,0.74,141.0,76.0,76.0,141.0,720,3.13,3.13,0,0.0,25,532249,,,,,,,Germany Bundesliga 2
Karlsruher SC,1.25,72.0,10.0,90.25,90.25,722,183.4,187.5,189.5,180.9,183.91,45.13,45.13,361,6.13,6.13,49,48.5,48.5,388,13.38,13.38,107,8,4,4,8,4,3,2,0,0,5,4,2,0,0,0.0,4.0,1.0,33524.0,7.67,2.0,0.25,2.0,8.63,69,1.0,7.0,11,1.13,1.13,9,384.25,279.45,27.2,3074,,,,4,17,2,,,,,,,65.45,113,14.13,34,76,43,36,35,1,113,18.88,18.88,151,8.39,1.42,171.0,94.0,94.0,171.0,720,2.25,2.25,0,0.0,18,349840,,,,,,,Germany Bundesliga 2
Nürnberg,0.63,144.0,5.0,99.0,99.0,792,184.25,184.78,190.5,181.29,183.41,51.88,51.88,415,6.0,6.0,48,55.63,55.63,445,12.63,12.63,101,8,4,4,8,7,4,1,0,0,4,2,1,0,0,1.0,1.0,0.0,37539823.0,7.51,3.0,0.38,3.0,6.88,55,1.0,74.0,12,1.75,1.75,14,431.13,574.83,29.48,3449,100.0,0.0,1.0,6,20,4,,,,,,,102.86,117,14.63,36,68,41,40,49,500,117,13.88,13.88,111,5.55,1.06,176.0,83.0,83.0,176.0,720,2.5,2.5,0,0.0,20,37266179,,,,,,,Germany Bundesliga 2
Hannover 96,1.25,72.0,10.0,108.75,108.75,870,181.83,188.57,194.0,180.22,184.21,58.0,58.0,464,6.13,6.13,49,57.88,57.88,463,15.0,15.0,120,8,4,4,8,6,3,1,0,0,7,6,2,0,0,2.0,2.0,0.0,3862358.0,7.42,2.0,0.25,2.0,5.38,43,2.0,43.0,15,2.0,2.0,16,479.25,319.5,31.69,3834,75.0,1.0,3.0,6,14,4,,,,,,,48.0,121,15.13,37,89,45,39,31,900,121,14.88,14.88,119,6.61,0.98,147.0,66.0,66.0,147.0,720,2.25,2.25,0,0.0,18,458905,,,,,,,Germany Bundesliga 2
Hertha BSC,1.0,90.0,8.0,80.88,80.88,647,185.0,187.5,193.0,178.44,184.73,43.88,43.88,351,4.25,4.25,34,38.13,38.13,305,14.63,14.63,117,8,4,4,8,4,3,0,0,0,4,3,2,0,0,1.0,2.0,1.0,37266141.0,7.22,1.0,0.13,1.0,10.75,86,1.0,89.0,9,2.0,2.0,16,368.5,327.56,31.36,2948,,,,7,13,6,,,,,,,80.0,94,11.75,18,68,49,27,27,900,94,15.63,15.63,125,4.81,1.06,281.0,156.0,156.0,281.0,720,2.88,2.88,0,0.0,23,37748959,0.13,0.13,0.0,0.0,1.0,37543259.0,Germany Bundesliga 2
Preußen Münster,1.63,55.38461538461539,13.0,82.63,82.63,661,184.6,186.44,192.0,182.78,185.2,60.75,60.75,486,3.75,3.75,30,26.25,26.25,210,13.88,13.88,111,8,4,4,8,8,4,2,1,0,8,4,1,0,0,1.0,3.0,1.0,6599979.0,7.32,,,,8.0,64,2.0,32.0,14,1.0,1.0,8,621.5,382.46,50.73,4972,,,,7,11,8,0.13,0.13,0.0,0.0,1.0,20691933.0,55.38,98,12.25,26,61,36,36,33,1,98,16.88,16.88,135,5.87,1.21,62.0,19.0,19.0,62.0,720,2.88,2.88,0,0.0,23,32206,,,,,,,Germany Bundesliga 2
Fortuna Düsseldorf,0.88,102.85714285714286,7.0,90.75,90.75,726,187.78,188.5,191.0,184.14,187.36,45.88,45.88,367,3.88,3.88,31,46.63,46.63,373,12.13,12.13,97,8,4,4,8,6,4,3,1,1,5,3,0,0,0,2.0,0.0,0.0,741531.0,7.14,1.0,0.13,1.0,6.5,52,2.0,35.0,16,1.38,1.38,11,419.25,479.14,37.27,3354,100.0,0.0,1.0,6,20,2,,,,,,,90.0,90,11.25,28,57,37,25,33,600,90,17.13,17.13,137,5.96,1.4,145.0,75.0,75.0,145.0,720,2.5,2.5,0,0.0,20,198066,0.13,0.13,0.0,0.0,1.0,418498.0,Germany Bundesliga 2
SpVgg Greuther Fürth,1.75,51.42857142857143,14.0,74.63,74.63,597,189.75,186.33,189.0,180.88,185.42,43.0,43.0,344,4.75,4.75,38,34.5,34.5,276,12.13,12.13,97,8,4,4,8,8,6,3,1,0,5,5,3,1,1,1.0,5.0,1.0,31626.0,7.52,4.0,0.5,4.0,8.25,66,2.0,24.0,20,1.13,1.13,9,355.38,189.53,30.24,2843,,,,5,17,2,0.13,0.13,0.0,0.0,1.0,37418717.0,48.0,94,11.75,28,54,31,35,43,1,94,15.25,15.25,122,6.78,1.27,203.0,98.0,98.0,203.0,720,2.25,2.25,0,0.0,18,31626,,,,,,,Germany Bundesliga 2
Kaiserslautern,1.5,60.0,12.0,99.63,99.63,797,183.43,186.83,194.5,180.8,184.08,44.88,44.88,359,5.38,5.38,43,38.38,38.38,307,11.63,11.63,93,8,4,4,8,6,3,0,0,0,6,4,4,1,0,0.0,3.0,1.0,133934.0,7.7,4.0,0.5,4.0,9.38,75,2.0,90.0,17,1.25,1.25,10,375.0,230.77,27.27,3000,100.0,0.0,2.0,7,17,1,0.13,0.13,0.0,0.0,1.0,3862090.0,48.0,110,13.75,25,71,46,39,38,1,110,13.75,13.75,110,4.78,1.18,241.0,102.0,102.0,241.0,720,2.75,2.75,0,0.0,22,418355,,,,,,,Germany Bundesliga 2
Elversberg,1.5,60.0,12.0,91.5,91.5,732,182.5,184.71,186.5,179.09,181.92,54.88,54.88,439,6.0,6.0,48,49.13,49.13,393,12.0,12.0,96,8,4,4,8,4,2,0,0,0,7,5,2,2,0,1.0,5.0,4.0,37660397.0,7.6,3.0,0.38,3.0,7.38,59,3.0,90.0,12,1.0,1.0,8,439.38,234.33,28.12,3515,100.0,0.0,1.0,4,15,5,,,,,,,45.0,125,15.63,38,84,44,43,39,1,125,15.25,15.25,122,4.69,1.27,300.0,177.0,177.0,300.0,720,3.25,3.25,0,0.0,26,41288,0.13,0.13,0.0,0.0,1.0,35001.0,Germany Bundesliga 2
Dynamo Dresden,0.88,102.85714285714286,7.0,89.63,89.63,717,189.75,184.0,190.33,182.22,185.04,51.88,51.88,415,4.88,4.88,39,51.75,51.75,414,12.38,12.38,99,8,4,4,8,8,6,2,0,0,6,5,1,0,0,1.0,3.0,0.0,43504.0,7.05,4.0,0.5,4.0,5.5,44,2.0,90.0,18,2.63,2.63,21,405.88,295.18,28.23,3247,,,,5,17,3,0.13,0.13,0.0,0.0,1.0,43161.0,60.0,115,14.38,37,65,50,28,41,1,115,15.25,15.25,122,8.13,1.22,11.0,10.0,10.0,11.0,720,1.75,1.75,0,0.0,14,31738,,,,,,,Germany Bundesliga 2
