team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Bayer 04 Leverkusen,0.83,108.0,5.0,105.67,105.67,634,181.43,187.14,191.33,176.36,181.93,56.83,56.83,341,4.17,4.17,25,40.67,40.67,244,10.5,10.5,63,6,2,4,6,5,2,1,0,0,6,4,2,0,0,0.0,3.0,1.0,160208.0,7.43,3.0,0.5,3.0,7.33,44,1.0,6.0,10,1.33,1.33,8,573.5,344.1,47.14,3441,100.0,0.0,2.0,7,20,1,,,,,,,45.0,73,12.17,14,44,29,30,30,800,73,14.33,14.33,86,3.74,1.37,535.0,239.0,239.0,535.0,540,2.83,2.83,1,0.17,17,37259163,0.33,0.33,0.0,0.0,2.0,34880.0,Germany Bundesliga
Eintracht Frankfurt,2.33,38.57142857142857,14.0,101.5,101.5,609,183.0,184.89,192.0,181.56,184.24,55.83,55.83,335,5.83,5.83,35,54.0,54.0,324,9.5,9.5,57,6,3,3,6,6,4,4,2,0,5,4,4,2,1,0.0,4.0,1.0,37598726.0,7.72,5.0,0.83,5.0,9.17,55,2.0,47.0,17,1.0,1.0,6,500.83,187.81,34.94,3005,100.0,0.0,1.0,4,20,1,,,,,,,31.76,86,14.33,22,54,33,31,32,1,86,15.67,15.67,94,7.23,1.65,389.0,178.0,178.0,389.0,540,2.17,2.17,0,0.0,13,84528,,,,,,,Germany Bundesliga
Heidenheim,0.5,180.0,3.0,77.17,77.17,463,183.14,187.17,189.5,185.86,185.68,40.5,40.5,243,4.33,4.33,26,33.5,33.5,201,11.33,11.33,68,6,3,3,6,6,4,1,0,0,3,1,0,0,0,,,,37540851.0,7.18,3.0,0.5,3.0,10.17,61,1.0,29.0,10,2.0,2.0,12,337.33,506.0,37.48,2024,,,,5,15,4,0.17,0.17,0.0,0.0,1.0,84625.0,135.0,54,9.0,10,38,24,20,17,400,54,13.83,13.83,83,6.38,1.22,158.0,73.0,73.0,158.0,540,2.0,2.0,0,0.0,12,37538010,,,,,,,Germany Bundesliga
Borussia Dortmund,1.83,49.09090909090909,11.0,118.67,118.67,712,181.4,188.33,195.5,183.0,185.6,57.67,57.67,346,5.17,5.17,31,59.83,59.83,359,12.0,12.0,72,6,3,3,6,2,1,1,0,0,6,4,2,0,0,0.0,2.0,1.0,3862352.0,7.3,1.0,0.17,1.0,7.0,42,1.0,34.0,9,2.0,2.0,12,565.17,282.58,46.45,3391,0.0,1.0,0.0,6,19,0,0.17,0.17,0.0,0.0,1.0,37602269.0,45.0,73,12.17,17,53,24,32,20,1,73,10.33,10.33,62,6.2,0.86,702.0,330.0,330.0,702.0,540,1.5,1.5,0,0.0,9,62502,,,,,,,Germany Bundesliga
FC Union Berlin,0.83,108.0,5.0,78.5,78.5,471,186.17,186.89,187.0,183.38,185.6,30.67,30.67,184,5.0,5.0,30,33.67,33.67,202,13.83,13.83,83,6,3,3,6,5,4,3,1,0,3,3,1,1,0,1.0,1.0,1.0,37645082.0,6.99,3.0,0.5,3.0,9.0,54,1.0,18.0,12,1.83,1.83,11,270.17,202.63,22.51,1621,0.0,1.0,0.0,5,20,0,0.33,0.33,1.0,0.17,2.0,29676.0,67.5,72,12.0,16,52,34,22,20,800,72,14.5,14.5,87,7.25,1.05,190.0,55.0,55.0,190.0,540,2.0,2.0,1,0.17,12,34668,,,,,,,Germany Bundesliga
TSG Hoffenheim,0.83,108.0,5.0,104.83,104.83,629,186.5,186.22,189.5,182.83,185.7,52.0,52.0,312,5.67,5.67,34,50.67,50.67,304,15.0,15.0,90,6,3,3,6,6,3,2,1,0,5,2,1,1,0,0.0,2.0,0.0,27441544.0,7.33,3.0,0.5,3.0,7.33,44,1.0,25.0,11,1.5,1.5,9,427.17,366.14,32.44,2563,100.0,0.0,2.0,6,15,3,,,,,,,60.0,79,13.17,21,58,28,30,20,500,79,17.5,17.5,105,8.75,1.17,288.0,128.0,128.0,288.0,540,2.17,2.17,0,0.0,13,37538104,,,,,,,Germany Bundesliga
FSV Mainz 05,0.33,270.0,2.0,110.67,110.67,664,178.14,185.57,192.33,177.63,181.76,53.33,53.33,320,6.33,6.33,38,70.83,70.83,425,11.33,11.33,68,6,3,3,6,6,2,1,1,0,2,1,1,1,0,0.0,1.0,1.0,31238688.0,7.25,,,,10.5,63,1.0,14.0,8,3.17,3.17,19,417.67,626.5,31.33,2506,100.0,0.0,1.0,3,14,8,0.33,0.33,0.0,0.0,2.0,32338.0,108.0,80,13.33,30,62,33,17,18,300,80,12.67,12.67,76,4.47,1.12,224.0,98.0,98.0,224.0,540,2.0,2.0,2,0.33,12,31982,0.17,0.17,0.0,0.0,1.0,31982.0,Germany Bundesliga
RB Leipzig,1.17,77.14285714285714,7.0,87.0,87.0,522,183.0,184.78,192.5,181.36,183.61,48.83,48.83,293,6.83,6.83,41,45.33,45.33,272,10.67,10.67,64,6,4,2,6,3,1,1,1,1,5,2,1,0,0,,,,31077.0,7.7,1.0,0.17,1.0,10.67,64,1.0,48.0,11,2.17,2.17,13,440.0,330.0,26.14,2640,0.0,1.0,0.0,7,19,2,,,,,,,67.5,101,16.83,32,67,43,26,34,800,101,16.5,16.5,99,11.0,1.55,509.0,267.0,267.0,509.0,540,1.5,1.5,0,0.0,9,31077,,,,,,,Germany Bundesliga
SC Freiburg,0.67,135.0,4.0,97.67,97.67,586,186.5,185.11,190.0,181.5,184.68,49.17,49.17,295,4.0,4.0,24,48.67,48.67,292,9.0,9.0,54,6,3,3,6,4,2,2,1,0,5,2,2,0,0,1.0,0.0,0.0,37681576.0,7.13,1.0,0.17,1.0,10.0,60,1.0,84.0,10,2.0,2.0,12,405.83,487.0,34.79,2435,100.0,0.0,3.0,7,18,0,0.17,0.17,0.0,0.0,1.0,37681576.0,60.0,70,11.67,19,49,32,19,21,200,70,13.17,13.17,79,7.18,1.44,226.0,116.0,116.0,226.0,540,1.83,1.83,1,0.17,11,3862097,,,,,,,Germany Bundesliga
VfB Stuttgart,1.17,77.14285714285714,7.0,115.0,115.0,690,183.0,187.6,191.67,185.22,186.68,59.17,59.17,355,5.83,5.83,35,49.5,49.5,297,11.17,11.17,67,6,3,3,6,3,2,1,0,0,6,2,0,0,0,2.0,1.0,1.0,32384.0,7.41,1.0,0.17,1.0,9.0,54,1.0,86.0,8,1.67,1.67,10,537.17,460.43,35.42,3223,50.0,1.0,1.0,8,14,3,,,,,,,67.5,91,15.17,29,55,30,32,36,600,91,13.33,13.33,80,8.0,1.19,461.0,230.0,230.0,461.0,540,1.67,1.67,0,0.0,10,12426453,,,,,,,Germany Bundesliga
