team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Olympiacos F.C.,2.17,41.53846153846154,13.0,133.0,133.0,798,177.6,183.4,195.33,175.5,181.23,61.67,61.67,370,8.0,8.0,48,72.17,72.17,433,12.83,12.83,77,6,3,3,6,3,2,0,0,0,6,4,2,1,1,0.0,1.0,0.0,74345.0,7.64,5.0,0.83,5.0,9.17,55,5.0,90.0,18,2.0,2.0,12,472.5,202.5,27.79,2835,0.0,1.0,0.0,7,17,4,,,,,,,38.57,102,17.0,25,64,45,32,38,1,102,13.67,13.67,82,9.11,1.06,341.0,149.0,149.0,341.0,540,1.5,1.5,0,0.0,9,1421,,,,,,,Greece Super Liga
Panserraikos,0.5,180.0,3.0,66.33,66.33,398,180.22,184.0,188.5,179.38,181.7,35.33,35.33,212,1.67,1.67,10,29.83,29.83,179,15.67,15.67,94,6,3,3,6,6,2,1,1,1,3,1,0,0,0,2.0,1.0,0.0,37537143.0,7.33,1.0,0.17,1.0,9.33,56,1.0,69.0,10,2.5,2.5,15,262.83,394.25,30.92,1577,,,,8,15,8,0.17,0.17,0.0,0.0,1.0,4599.0,135.0,51,8.5,13,33,29,9,18,400,51,11.83,11.83,71,3.38,0.75,24.0,6.0,6.0,24.0,540,3.5,3.5,0,0.0,21,22136576,,,,,,,Greece Super Liga
Panaitolikos,0.5,180.0,3.0,70.5,70.5,423,181.25,183.75,188.33,180.3,182.29,36.17,36.17,217,2.5,2.5,15,24.0,24.0,144,13.67,13.67,82,6,3,3,6,4,4,1,1,1,3,1,0,0,0,,,,216154.0,7.15,1.0,0.17,1.0,8.0,48,1.0,65.0,9,1.0,1.0,6,304.67,609.33,38.08,1828,100.0,0.0,1.0,5,16,5,0.33,0.33,0.0,0.0,2.0,186878.0,135.0,48,8.0,17,30,22,9,18,200,48,13.33,13.33,80,3.08,0.98,52.0,25.0,25.0,52.0,540,3.67,3.67,0,0.0,22,22158825,0.17,0.17,0.0,0.0,1.0,19979719.0,Greece Super Liga
Volos NFC,1.0,90.0,6.0,75.67,75.67,454,181.67,182.14,187.0,172.89,178.57,44.5,44.5,267,3.5,3.5,21,29.67,29.67,178,16.5,16.5,99,6,4,2,6,6,3,0,0,0,3,3,1,1,1,0.0,2.0,2.0,186524.0,7.48,,,,8.0,48,1.0,11.0,11,1.33,1.33,8,332.33,221.56,28.9,1994,,,,5,12,5,,,,,,,60.0,69,11.5,16,43,24,29,25,900,69,14.67,14.67,88,4.4,0.87,42.0,18.0,18.0,42.0,540,3.33,3.33,0,0.0,20,1498092,,,,,,,Greece Super Liga
Atromitos,0.17,540.0,1.0,78.17,78.17,469,181.8,182.5,196.0,175.22,180.59,49.67,49.67,298,3.33,3.33,20,37.5,37.5,225,16.67,16.67,100,6,4,2,6,5,1,0,0,0,4,1,0,0,0,0.0,1.0,1.0,54061.0,7.14,,,,8.5,51,2.0,18.0,6,1.0,1.0,6,434.17,651.25,52.1,2605,100.0,0.0,1.0,9,10,5,,,,,,,108.0,50,8.33,17,30,22,11,21,300,50,13.0,13.0,78,4.33,0.78,16.0,4.0,4.0,16.0,540,2.33,2.33,0,0.0,14,177654,0.17,0.17,0.0,0.0,1.0,1452177.0,Greece Super Liga
Aris,1.0,90.0,6.0,113.17,113.17,679,176.9,183.44,190.0,177.57,180.77,64.17,64.17,385,6.33,6.33,38,62.0,62.0,372,15.67,15.67,94,6,3,3,6,4,2,1,0,0,4,2,0,0,0,0.0,1.0,0.0,219091.0,7.52,,,,6.17,37,1.0,64.0,9,2.5,2.5,15,479.17,479.17,30.91,2875,,,,6,22,2,,,,,,,90.0,93,15.5,19,52,43,31,40,600,93,13.33,13.33,80,8.89,0.85,61.0,34.0,34.0,61.0,540,1.5,1.5,0,0.0,9,97614,,,,,,,Greece Super Liga
Kifisia,0.83,108.0,5.0,77.5,77.5,465,181.14,183.0,186.0,178.22,181.26,42.5,42.5,255,4.17,4.17,25,40.83,40.83,245,18.83,18.83,113,6,3,3,6,6,3,2,0,0,5,4,2,0,0,0.0,2.0,2.0,37603288.0,7.52,2.0,0.33,2.0,5.17,31,2.0,79.0,12,1.0,1.0,6,266.83,177.89,21.07,1601,50.0,1.0,1.0,7,18,5,0.17,0.17,0.0,0.0,1.0,107924.0,49.09,76,12.67,13,48,33,30,29,800,76,16.33,16.33,98,4.08,0.86,46.0,21.0,21.0,46.0,540,3.83,3.83,0,0.0,23,25217663,,,,,,,Greece Super Liga
Panathinaikos,0.8,112.5,4.0,103.8,103.8,519,183.83,184.25,190.67,177.33,182.5,59.2,59.2,296,5.0,5.0,25,61.0,61.0,305,16.2,16.2,81,5,2,3,5,4,1,1,0,0,5,2,0,0,0,,,,460314.0,7.29,3.0,0.6,3.0,7.0,35,2.0,48.0,9,3.0,3.0,15,545.2,454.33,39.51,2726,100.0,0.0,1.0,6,20,2,,,,,,,64.29,69,13.8,21,45,28,20,24,500,69,17.4,17.4,87,7.25,1.09,238.0,109.0,109.0,238.0,450,2.6,2.6,1,0.2,13,28581,,,,,,,Greece Super Liga
Asteras Tripolis,0.67,135.0,4.0,73.67,73.67,442,185.25,184.14,191.8,175.89,182.88,43.83,43.83,263,3.67,3.67,22,35.67,35.67,214,12.83,12.83,77,6,4,2,6,6,5,1,0,0,4,2,1,0,0,0.0,1.0,1.0,2815999.0,6.99,3.0,0.5,3.0,6.67,40,1.0,20.0,10,2.17,2.17,13,322.83,322.83,40.35,1937,100.0,0.0,1.0,3,18,5,,,,,,,77.14,48,8.0,14,29,13,21,18,500,48,12.33,12.33,74,2.85,0.95,31.0,16.0,16.0,31.0,540,3.83,3.83,0,0.0,23,750,0.17,0.17,0.0,0.0,1.0,37676868.0,Greece Super Liga
Larissa,0.83,108.0,5.0,76.0,76.0,456,180.67,184.83,190.33,178.0,181.92,41.83,41.83,251,3.83,3.83,23,32.17,32.17,193,14.5,14.5,87,6,3,3,6,6,2,1,1,1,5,2,0,0,0,1.0,0.0,0.0,785997.0,7.32,,,,6.5,39,1.0,50.0,12,2.67,2.67,16,318.83,382.6,26.57,1913,100.0,0.0,2.0,0,0,24,0.17,0.17,0.0,0.0,1.0,108604.0,77.14,72,12.0,17,42,34,21,30,300,72,13.0,13.0,78,3.12,0.91,,,,,540,4.17,4.17,0,0.0,25,785997,,,,,,,Greece Super Liga
