team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Cagliari,0.5,180.0,3.0,70.0,70.0,420,180.5,187.89,191.75,184.67,185.47,43.17,43.17,259,3.33,3.33,20,28.83,28.83,173,15.5,15.5,93,6,3,3,6,5,1,0,0,0,4,2,0,0,0,0.0,1.0,1.0,22146095.0,7.3,2.0,0.33,2.0,8.33,50,2.0,33.0,7,1.33,1.33,8,347.83,417.4,32.11,2087,100.0,0.0,1.0,6,23,0,,,,,,,90.0,65,10.83,13,44,32,20,21,400,65,15.67,15.67,94,7.23,1.01,177.0,78.0,78.0,177.0,540,2.17,2.17,0,0.0,13,24816773,,,,,,,Italy Serie A
Parma,0.17,540.0,1.0,88.83,88.83,533,185.7,188.78,188.33,177.75,184.77,46.5,46.5,279,3.83,3.83,23,42.0,42.0,252,12.17,12.17,73,6,3,3,6,5,2,0,0,0,2,1,0,0,0,,,,16837816.0,7.01,,,,6.0,36,1.0,85.0,7,0.67,0.67,4,354.0,1.0,30.34,2124,100.0,0.0,1.0,9,19,2,,,,,,,180.0,70,11.67,22,40,31,17,29,100,70,14.5,14.5,87,9.67,1.21,113.0,56.0,56.0,113.0,540,1.5,1.5,0,0.0,9,36074594,,,,,,,Italy Serie A
Juventus,1.33,67.5,8.0,106.5,106.5,639,180.88,188.0,191.25,184.0,185.19,58.5,58.5,351,6.33,6.33,38,56.0,56.0,336,11.5,11.5,69,6,2,4,6,3,1,1,0,0,5,2,1,1,0,1.0,1.0,0.0,37598725.0,7.52,2.0,0.33,2.0,7.17,43,1.0,59.0,8,0.83,0.83,5,493.5,329.0,30.84,2961,,,,10,14,3,0.17,0.17,0.0,0.0,1.0,37260234.0,60.0,96,16.0,28,53,36,32,43,900,96,15.33,15.33,92,8.36,1.33,644.0,280.0,280.0,644.0,540,1.83,1.83,2,0.33,11,37533245,,,,,,,Italy Serie A
Inter,2.5,36.0,15.0,111.5,111.5,669,185.4,189.33,187.33,180.11,185.15,62.0,62.0,372,8.67,8.67,52,60.83,60.83,365,13.17,13.17,79,6,2,4,6,4,2,1,1,0,6,5,3,2,1,0.0,4.0,3.0,129842.0,7.64,1.0,0.17,1.0,6.5,39,1.0,18.0,13,2.5,2.5,15,532.67,199.75,26.41,3196,,,,6,18,2,,,,,,,31.76,121,20.17,27,82,57,37,37,1,121,12.67,12.67,76,9.5,0.96,1044.0,500.0,500.0,1044.0,540,1.33,1.33,0,0.0,8,1835,,,,,,,Italy Serie A
Fiorentina,0.33,270.0,2.0,90.33,90.33,542,184.2,187.75,193.67,181.8,185.46,51.33,51.33,308,4.0,4.0,24,33.0,33.0,198,15.17,15.17,91,6,3,3,6,4,3,1,0,0,4,0,0,0,0,,,,129512.0,7.01,2.0,0.33,2.0,8.0,48,1.0,68.0,6,2.33,2.33,14,389.17,583.75,32.43,2335,,,,7,19,1,,,,,,,135.0,72,12.0,23,40,35,14,31,400,72,17.0,17.0,102,8.5,1.13,297.0,161.0,161.0,297.0,540,2.0,2.0,3,0.5,12,36681,,,,,,,Italy Serie A
Napoli,1.17,77.14285714285714,7.0,109.17,109.17,655,187.2,186.0,194.0,179.64,184.67,62.0,62.0,372,6.5,6.5,39,51.5,51.5,309,13.33,13.33,80,6,3,3,6,4,2,0,0,0,6,4,2,0,0,1.0,3.0,2.0,49420.0,7.52,1.0,0.17,1.0,5.5,33,2.0,57.0,11,1.17,1.17,7,565.17,339.1,35.32,3391,100.0,0.0,2.0,10,20,0,,,,,,,45.0,96,16.0,31,67,28,37,29,800,96,12.17,12.17,73,14.6,0.88,862.0,423.0,423.0,862.0,540,0.83,0.83,0,0.0,5,1371,,,,,,,Italy Serie A
Roma,0.83,108.0,5.0,115.67,115.67,694,183.33,185.78,192.75,179.29,184.54,59.33,59.33,356,5.67,5.67,34,50.83,50.83,305,15.0,15.0,90,6,3,3,6,2,0,0,0,0,5,2,0,0,0,0.0,1.0,1.0,37529822.0,7.59,,,,8.17,49,1.0,53.0,5,1.17,1.17,7,482.5,413.57,37.6,2895,,,,9,16,1,,,,,,,77.14,77,12.83,17,49,32,28,28,700,77,15.17,15.17,91,11.38,1.01,601.0,247.0,247.0,601.0,540,1.5,1.5,0,0.0,9,37608995,,,,,,,Italy Serie A
Torino,0.67,135.0,4.0,82.33,82.33,494,181.43,188.43,191.0,183.0,184.82,44.17,44.17,265,4.17,4.17,25,36.33,36.33,218,14.83,14.83,89,6,4,2,6,4,4,3,1,1,3,1,1,0,0,1.0,1.0,0.0,23269662.0,6.95,1.0,0.17,1.0,7.0,42,1.0,59.0,9,1.67,1.67,10,357.67,429.2,31.1,2146,0.0,1.0,0.0,6,20,2,,,,,,,108.0,69,11.5,19,41,21,29,28,500,69,13.67,13.67,82,7.45,0.95,305.0,183.0,183.0,305.0,540,2.0,2.0,1,0.17,12,37532950,,,,,,,Italy Serie A
Atalanta,1.33,67.5,8.0,89.83,89.83,539,184.71,190.14,192.0,183.7,186.56,53.67,53.67,322,5.5,5.5,33,44.33,44.33,266,10.33,10.33,62,6,3,3,6,5,0,0,0,0,6,2,2,1,0,0.0,1.0,1.0,23269660.0,7.6,1.0,0.17,1.0,6.83,41,1.0,50.0,8,1.5,1.5,9,467.0,254.73,31.84,2802,,,,7,20,0,,,,,,,49.09,88,14.67,21,57,39,28,31,1,88,16.33,16.33,98,9.8,1.42,389.0,162.0,162.0,389.0,540,1.17,1.17,1,0.17,7,1717,0.17,0.17,0.0,0.0,1.0,1717.0,Italy Serie A
Lecce,0.67,135.0,4.0,89.33,89.33,536,184.0,189.0,193.67,182.67,185.83,41.83,41.83,251,4.83,4.83,29,40.67,40.67,244,11.5,11.5,69,6,3,3,6,4,4,1,1,0,4,1,0,0,0,0.0,1.0,0.0,37592696.0,6.93,1.0,0.17,1.0,5.67,34,1.0,82.0,9,1.17,1.17,7,324.17,389.0,34.73,1945,,,,6,22,1,,,,,,,108.0,56,9.33,16,36,23,17,20,500,56,15.83,15.83,95,7.92,1.38,189.0,73.0,73.0,189.0,540,2.0,2.0,0,0.0,12,37551656,,,,,,,Italy Serie A
