team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Estoril,0.88,102.85714285714286,7.0,94.5,94.5,756,180.5,183.56,190.67,181.2,183.17,50.75,50.75,406,3.25,3.25,26,42.5,42.5,340,13.25,13.25,106,8,4,4,8,8,4,1,0,0,5,4,1,0,0,1.0,3.0,0.0,161308.0,7.22,2.0,0.25,2.0,7.25,58,1.0,36.0,12,1.25,1.25,10,390.38,347.0,33.22,3123,,,,9,12,1,,,,,,,72.0,94,11.75,20,60,44,30,34,900,94,14.88,14.88,119,4.25,1.1,416.0,192.0,192.0,416.0,720,3.5,3.5,0,0.0,28,36084461,,,,,,,Liga Portugal
Santa Clara,0.38,240.0,3.0,91.0,91.0,728,178.67,183.0,191.5,179.4,181.33,48.13,48.13,385,4.88,4.88,39,38.0,38.0,304,13.75,13.75,110,8,4,4,8,6,3,1,0,0,5,1,0,0,0,1.0,0.0,0.0,37562124.0,6.96,2.0,0.25,2.0,8.38,67,2.0,90.0,10,1.75,1.75,14,378.63,1.0,31.88,3029,100.0,0.0,3.0,3,21,0,0.13,0.13,0.0,0.0,1.0,37384363.0,120.0,95,11.88,23,63,39,33,32,0,95,12.63,12.63,101,4.21,0.92,244.0,105.0,105.0,244.0,720,3.0,3.0,1,0.13,24,29710712,,,,,,,Liga Portugal
Benfica,0.88,102.85714285714286,7.0,113.88,113.88,911,176.63,181.63,194.5,181.9,181.21,60.25,60.25,482,4.75,4.75,38,60.63,60.63,485,13.25,13.25,106,8,4,4,8,4,0,0,0,0,7,4,2,0,0,0.0,2.0,2.0,24065403.0,7.54,4.0,0.5,4.0,8.13,65,1.0,31.0,9,1.13,1.13,9,499.63,399.7,35.69,3997,100.0,0.0,3.0,4,22,2,,,,,,,55.38,112,14.0,29,75,41,42,37,700,112,16.38,16.38,131,5.7,1.22,779.0,418.0,418.0,779.0,720,2.5,2.5,0,0.0,20,1822,0.13,0.13,0.0,0.0,1.0,22493645.0,Liga Portugal
Alverca,0.63,144.0,5.0,72.13,72.13,577,180.88,185.83,190.5,179.5,183.38,44.25,44.25,354,2.63,2.63,21,34.25,34.25,274,13.88,13.88,111,8,4,4,8,6,5,1,0,0,7,3,1,0,0,1.0,1.0,0.0,37562125.0,7.4,7.0,0.88,7.0,9.0,72,2.0,45.0,16,1.13,1.13,9,347.88,347.88,37.61,2783,100.0,0.0,2.0,6,12,0,,,,,,,65.45,74,9.25,15,45,28,31,28,600,74,16.75,16.75,134,5.15,1.23,106.0,56.0,56.0,106.0,720,2.5,2.5,0,0.0,20,30446969,0.25,0.25,0.0,0.0,2.0,30446969.0,Liga Portugal
Tondela,0.25,360.0,2.0,97.63,97.63,781,183.0,181.5,,175.88,179.53,46.25,46.25,370,4.0,4.0,32,43.13,43.13,345,14.63,14.63,117,8,5,3,8,7,4,3,0,0,2,2,0,0,0,,,,4479.0,7.13,3.0,0.38,3.0,9.88,79,1.0,90.0,10,3.5,3.5,28,339.38,905.0,26.88,2715,33.33,2.0,1.0,4,6,2,0.13,0.13,0.0,0.0,1.0,159983.0,180.0,101,12.63,18,60,46,37,40,200,101,18.38,18.38,147,5.65,1.31,126.0,41.0,41.0,126.0,720,2.88,2.88,0,0.0,23,221841,0.13,0.13,0.0,0.0,1.0,37621484.0,Liga Portugal
AVS,0.5,180.0,4.0,89.38,89.38,715,177.29,185.38,189.0,179.0,181.56,43.5,43.5,348,3.38,3.38,27,33.5,33.5,268,16.13,16.13,129,8,4,4,8,8,7,5,0,0,4,1,0,0,0,,,,128450.0,6.8,4.0,0.5,4.0,8.13,65,1.0,90.0,13,1.38,1.38,11,337.0,539.2,34.56,2696,0.0,1.0,0.0,8,17,1,0.13,0.13,0.0,0.0,1.0,37576215.0,144.0,78,9.75,20,44,39,19,33,500,78,16.5,16.5,132,7.76,1.02,93.0,11.0,11.0,93.0,720,2.0,2.0,0,0.0,16,162481,,,,,,,Liga Portugal
Moreirense,1.38,65.45454545454545,11.0,76.5,76.5,612,176.4,182.5,194.33,172.0,178.61,48.88,48.88,391,4.13,4.13,33,32.25,32.25,258,15.13,15.13,121,8,4,4,8,6,3,2,0,0,6,5,1,0,0,0.0,3.0,1.0,162208.0,8.09,3.0,0.38,3.0,9.0,72,1.0,27.0,16,1.5,1.5,12,405.88,270.58,42.72,3247,,,,6,16,0,0.13,0.13,0.0,0.0,1.0,37354831.0,60.0,76,9.5,20,50,30,26,26,1,76,14.88,14.88,119,4.58,0.98,251.0,81.0,81.0,251.0,720,3.13,3.13,0,0.0,25,159143,,,,,,,Liga Portugal
Rio Ave,1.0,90.0,8.0,70.25,70.25,562,184.83,188.17,190.0,180.85,184.04,43.63,43.63,349,3.5,3.5,28,25.25,25.25,202,14.63,14.63,117,8,4,4,8,6,4,3,0,0,6,3,2,0,0,1.0,1.0,1.0,37579645.0,7.29,2.0,0.25,2.0,9.5,76,1.0,13.0,15,1.0,1.0,8,369.0,295.2,35.14,2952,100.0,0.0,1.0,9,17,1,,,,,,,65.45,84,10.5,27,52,20,37,32,900,84,15.13,15.13,121,4.65,1.03,231.0,114.0,114.0,231.0,720,2.88,2.88,0,0.0,23,25206251,0.13,0.13,0.0,0.0,1.0,37402386.0,Liga Portugal
Porto,2.0,45.0,16.0,99.13,99.13,793,182.14,184.3,184.5,178.29,182.12,55.0,55.0,440,6.0,6.0,48,48.38,48.38,387,14.0,14.0,112,8,4,4,8,1,0,0,0,0,7,6,4,2,0,0.0,5.0,5.0,8403613.0,7.29,,,,7.75,62,2.0,12.0,10,1.5,1.5,12,454.88,202.17,30.33,3639,100.0,0.0,1.0,5,21,0,,,,,,,37.89,120,15.0,27,81,47,46,39,1,120,11.63,11.63,93,3.44,0.78,566.0,261.0,261.0,566.0,720,3.0,3.0,0,0.0,24,26687,0.13,0.13,0.0,0.0,1.0,37593176.0,Liga Portugal
Nacional,0.63,144.0,5.0,87.0,87.0,696,182.75,183.75,192.0,179.75,182.86,43.63,43.63,349,4.88,4.88,39,36.0,36.0,288,15.25,15.25,122,8,4,4,8,6,4,1,1,0,6,2,1,0,0,1.0,0.0,0.0,286894.0,7.25,2.0,0.25,2.0,10.63,85,1.0,83.0,11,2.25,2.25,18,293.38,391.17,26.08,2347,75.0,1.0,3.0,8,15,0,0.13,0.13,1.0,0.13,1.0,37436238.0,80.0,90,11.25,24,45,34,32,44,300,90,14.88,14.88,119,4.25,0.98,136.0,24.0,24.0,136.0,720,2.75,2.75,2,0.25,22,8417849,0.25,0.25,0.0,0.0,2.0,11298651.0,Liga Portugal
