team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Necaxa,0.42,216.0,5.0,84.67,84.67,1016,181.83,182.9,191.5,175.38,181.0,49.5,49.5,594,4.58,4.58,55,41.58,41.58,499,12.92,12.92,155,12,6,6,12,11,5,5,0,0,8,2,1,0,0,2.0,2.0,0.0,443528.0,7.36,1.0,0.08,1.0,8.08,97,1.0,21.0,20,0.83,0.83,10,394.92,526.56,24.81,4739,100.0,0.0,1.0,6,15,3,0.17,0.17,0.0,0.0,2.0,1525415.0,98.18,191,15.92,54,94,83,54,97,800,191,16.92,16.92,203,5.34,1.3,11.0,,,11.0,1080,2.75,2.75,0,0.0,33,443528,0.08,0.08,0.0,0.0,1.0,468451.0,Mexico Liga MX
Juárez,0.83,108.0,10.0,95.33,95.33,1144,175.57,182.71,186.5,178.1,179.31,48.75,48.75,585,4.5,4.5,54,43.42,43.42,521,13.5,13.5,162,12,6,6,12,10,3,2,0,0,10,5,1,0,0,2.0,1.0,1.0,512926.0,7.1,2.0,0.17,2.0,8.5,102,2.0,90.0,16,1.08,1.08,13,378.17,349.08,33.12,4538,100.0,0.0,3.0,6,16,1,0.08,0.08,0.0,0.0,1.0,37352710.0,67.5,137,11.42,21,81,79,37,57,1,137,15.83,15.83,190,5.59,1.18,98.0,60.0,60.0,98.0,1080,2.67,2.67,0,0.0,32,238447,,,,,,,Mexico Liga MX
Mazatlán,0.75,120.0,9.0,73.83,73.83,886,181.5,180.0,184.0,175.85,178.84,43.83,43.83,526,3.33,3.33,40,36.58,36.58,439,12.58,12.58,151,12,6,6,12,11,6,3,1,0,9,6,0,0,0,4.0,2.0,0.0,237880.0,7.05,9.0,0.75,9.0,10.0,120,2.0,65.0,19,2.17,2.17,26,331.0,283.71,32.83,3972,33.33,2.0,1.0,7,13,10,0.08,0.08,0.0,0.0,1.0,254339.0,72.0,121,10.08,25,72,57,39,48,1,121,15.67,15.67,188,5.22,1.23,20.0,8.0,8.0,20.0,1080,3.0,3.0,0,0.0,36,443517,,,,,,,Mexico Liga MX
Pumas UNAM,0.92,98.1818181818182,11.0,85.83,85.83,1030,182.33,177.83,184.0,173.58,176.74,51.92,51.92,623,4.25,4.25,51,43.75,43.75,525,13.58,13.58,163,12,6,6,12,9,5,4,1,0,10,3,1,1,0,0.0,2.0,1.0,512743.0,6.99,6.0,0.5,6.0,7.58,91,2.0,59.0,22,2.42,2.42,29,412.33,380.62,36.12,4948,50.0,2.0,2.0,6,14,1,0.08,0.08,0.0,0.0,1.0,238227.0,72.0,137,11.42,42,97,56,39,43,1,137,13.42,13.42,161,3.74,0.98,245.0,103.0,103.0,245.0,1080,3.33,3.33,0,0.0,40,37600543,0.08,0.08,0.0,0.0,1.0,37261436.0,Mexico Liga MX
Pachuca,0.92,98.1818181818182,11.0,88.83,88.83,1066,183.71,177.0,184.0,176.62,178.87,53.42,53.42,641,4.83,4.83,58,43.83,43.83,526,11.67,11.67,140,12,6,6,12,8,5,0,0,0,8,5,3,0,0,0.0,2.0,0.0,37701412.0,7.31,2.0,0.17,2.0,7.58,91,1.0,51.0,19,1.75,1.75,21,419.75,387.46,28.3,5037,66.67,1.0,2.0,6,19,2,0.17,0.17,0.0,0.0,2.0,236902.0,67.5,178,14.83,42,93,81,55,85,1,178,15.08,15.08,181,5.48,1.22,60.0,4.0,4.0,60.0,1080,2.67,2.67,0,0.0,32,219451,,,,,,,Mexico Liga MX
Cruz Azul,1.33,67.5,16.0,101.83,101.83,1222,178.83,180.4,186.0,176.73,178.79,59.83,59.83,718,6.92,6.92,83,58.33,58.33,700,11.5,11.5,138,12,6,6,12,9,5,1,0,0,10,7,4,1,0,2.0,2.0,0.0,255102.0,7.27,2.0,0.17,2.0,6.08,73,2.0,90.0,20,2.42,2.42,29,463.25,308.83,25.5,5559,100.0,0.0,4.0,0,2,22,0.33,0.33,0.0,0.0,4.0,37514199.0,49.09,218,18.17,53,113,92,73,103,1,218,18.25,18.25,219,8.11,1.55,59.0,23.0,23.0,59.0,1080,1.83,1.83,0,0.0,22,215543,0.08,0.08,0.0,0.0,1.0,37546337.0,Mexico Liga MX
Atlas,1.25,72.0,15.0,64.75,64.75,777,176.43,181.0,185.33,169.0,178.71,39.25,39.25,471,3.67,3.67,44,30.0,30.0,360,12.42,12.42,149,12,6,6,12,12,9,5,1,0,9,7,5,0,0,0.0,5.0,0.0,37563879.0,7.19,7.0,0.58,7.0,6.83,82,2.0,9.0,26,1.5,1.5,18,286.5,202.24,28.41,3438,100.0,0.0,4.0,9,10,4,0.08,0.08,0.0,0.0,1.0,3872629.0,51.43,121,10.08,29,70,49,43,47,1,121,14.42,14.42,173,4.33,1.18,,,,,1080,2.67,2.67,0,0.0,32,25096,0.17,0.17,0.0,0.0,2.0,253476.0,Mexico Liga MX
Santos Laguna,0.67,135.0,8.0,75.17,75.17,902,179.33,179.75,182.0,174.13,177.96,43.17,43.17,518,4.0,4.0,48,30.75,30.75,369,12.08,12.08,145,12,6,6,12,9,6,4,2,0,8,4,1,0,0,1.0,3.0,1.0,253753.0,7.51,4.0,0.33,4.0,7.67,92,2.0,14.0,19,1.25,1.25,15,313.75,313.75,32.18,3765,50.0,1.0,1.0,4,18,1,0.25,0.25,0.0,0.0,3.0,188340.0,83.08,117,9.75,35,76,39,43,42,1,117,14.25,14.25,171,3.98,1.16,21.0,21.0,21.0,21.0,1080,2.58,2.58,0,0.0,31,237213,0.25,0.25,0.0,0.0,3.0,4545544.0,Mexico Liga MX
Tigres UANL,1.0,90.0,12.0,93.25,93.25,1119,176.17,180.0,188.0,170.33,177.11,56.33,56.33,676,6.0,6.0,72,53.08,53.08,637,11.5,11.5,138,12,6,6,12,5,3,2,0,0,10,5,2,2,1,0.0,5.0,3.0,333903.0,7.42,5.0,0.42,5.0,7.33,88,2.0,45.0,20,1.5,1.5,18,487.17,307.68,28.52,5846,33.33,2.0,1.0,7,18,2,0.08,0.08,0.0,0.0,1.0,3876654.0,49.09,205,17.08,54,127,75,76,77,1,205,13.67,13.67,164,5.29,1.19,35.0,24.0,24.0,35.0,1080,2.5,2.5,0,0.0,30,260749,,,,,,,Mexico Liga MX
León,0.33,270.0,4.0,68.17,68.17,818,179.67,180.45,183.33,177.75,179.55,48.75,48.75,585,4.08,4.08,49,29.5,29.5,354,12.67,12.67,152,12,5,7,12,8,6,4,3,1,8,3,1,0,0,0.0,1.0,1.0,96091.0,7.42,5.0,0.42,5.0,7.17,86,2.0,45.0,20,1.92,1.92,23,414.0,709.71,35.23,4968,80.0,1.0,4.0,7,15,5,,,,,,,90.0,141,11.75,31,77,66,44,64,300,141,16.83,16.83,202,5.94,1.36,44.0,35.0,35.0,44.0,1080,2.33,2.33,0,0.0,28,234386,0.17,0.17,0.0,0.0,2.0,237102.0,Mexico Liga MX
Toluca,2.67,33.75,32.0,69.92,69.92,839,179.25,180.3,183.0,176.5,179.04,52.83,52.83,634,5.08,5.08,61,34.75,34.75,417,13.5,13.5,162,12,6,6,12,10,4,1,1,0,11,10,9,3,1,3.0,10.0,6.0,254021.0,7.74,4.0,0.33,4.0,8.08,97,3.0,90.0,26,1.75,1.75,21,452.67,164.61,25.15,5432,100.0,0.0,1.0,6,17,3,0.17,0.17,0.0,0.0,2.0,159493.0,30.86,216,18.0,54,131,82,80,82,3,216,16.5,16.5,198,6.83,1.22,144.0,58.0,58.0,144.0,1080,2.42,2.42,0,0.0,29,253737,,,,,,,Mexico Liga MX
Puebla,0.67,135.0,8.0,83.58,83.58,1003,179.17,180.17,183.5,172.15,176.33,53.08,53.08,637,4.75,4.75,57,37.42,37.42,449,12.92,12.92,155,12,6,6,12,10,9,5,2,1,7,3,0,0,0,2.0,2.0,0.0,37422979.0,7.58,,,,7.83,94,1.0,29.0,23,1.92,1.92,23,397.25,529.67,33.34,4767,100.0,0.0,1.0,5,15,6,,,,,,,108.0,143,11.92,29,86,73,41,55,800,143,18.67,18.67,224,7.23,1.43,10.0,10.0,10.0,10.0,1080,2.33,2.33,0,0.0,28,2206989,0.08,0.08,0.0,0.0,1.0,37663620.0,Mexico Liga MX
América,1.33,69.375,16.0,101.67,101.67,1220,178.33,181.56,181.33,174.22,178.37,57.25,57.25,687,7.5,7.5,90,61.33,61.33,736,11.0,11.0,132,12,6,6,12,8,3,0,0,0,12,7,5,2,0,3.0,3.0,2.0,255002.0,7.42,3.0,0.25,3.0,7.17,86,3.0,90.0,23,1.58,1.58,19,445.25,254.43,29.2,5343,60.0,2.0,3.0,7,17,2,0.08,0.08,0.0,0.0,1.0,255156.0,42.69,183,15.25,41,110,71,71,71,1,183,12.67,12.67,152,5.43,1.13,59.0,21.0,21.0,59.0,1110,2.33,2.33,0,0.0,28,13653174,,,,,,,Mexico Liga MX
Guadalajara,1.08,85.38461538461539,13.0,88.33,88.33,1060,178.86,179.63,191.0,174.9,178.52,52.83,52.83,634,6.08,6.08,73,43.17,43.17,518,12.58,12.58,151,12,6,6,12,10,5,3,0,0,8,6,3,1,0,1.0,2.0,0.0,1525361.0,7.06,3.0,0.25,3.0,9.08,109,4.0,90.0,22,2.25,2.25,27,425.5,300.35,31.33,5106,0.0,2.0,0.0,9,16,1,0.08,0.08,0.0,0.0,1.0,253810.0,61.67,163,13.58,42,98,73,49,60,1,163,14.75,14.75,177,6.1,1.16,135.0,87.0,87.0,135.0,1110,2.25,2.25,0,0.0,27,37305555,,,,,,,Mexico Liga MX
Querétaro,0.75,120.0,9.0,61.08,61.08,733,176.29,178.77,186.33,175.18,177.76,36.17,36.17,434,3.08,3.08,37,25.17,25.17,302,13.75,13.75,165,12,6,6,12,11,7,3,0,0,6,5,3,0,0,1.0,1.0,0.0,253397.0,7.22,4.0,0.33,4.0,7.5,90,2.0,90.0,18,1.25,1.25,15,302.17,329.64,42.66,3626,75.0,1.0,3.0,6,20,4,0.33,0.33,0.0,0.0,4.0,245098.0,77.14,85,7.08,18,51,32,35,35,800,85,17.17,17.17,206,5.72,1.24,28.0,3.0,3.0,28.0,1080,2.67,2.67,0,0.0,32,344,,,,,,,Mexico Liga MX
Monterrey,1.25,72.0,15.0,74.67,74.67,896,177.0,181.75,184.0,176.5,178.7,57.42,57.42,689,4.67,4.67,56,36.25,36.25,435,11.33,11.33,136,12,7,5,12,8,6,2,1,1,11,8,5,1,0,1.0,3.0,1.0,185400.0,7.76,3.0,0.25,3.0,8.25,99,2.0,39.0,26,2.0,2.0,24,515.17,281.0,35.33,6182,60.0,2.0,3.0,8,17,2,,,,,,,43.2,175,14.58,34,107,72,69,66,1,175,13.08,13.08,157,5.23,1.08,265.0,125.0,125.0,265.0,1080,2.25,2.25,0,0.0,27,184941,0.08,0.08,0.0,0.0,1.0,254247.0,Mexico Liga MX
Atlético San Luis,0.83,108.0,10.0,67.92,67.92,815,180.25,181.4,189.5,176.22,180.7,48.83,48.83,586,4.25,4.25,51,32.75,32.75,393,13.67,13.67,164,12,7,5,12,10,6,3,1,0,10,4,2,1,0,0.0,1.0,1.0,37542762.0,7.27,2.0,0.17,2.0,6.75,81,2.0,50.0,23,0.5,0.5,6,372.08,318.93,35.16,4465,100.0,0.0,3.0,6,15,5,0.17,0.17,0.0,0.0,2.0,129664.0,63.53,127,10.58,28,85,50,49,43,1,127,14.25,14.25,171,5.9,1.02,13.0,8.0,8.0,13.0,1080,2.25,2.25,0,0.0,27,129664,,,,,,,Mexico Liga MX
Tijuana,1.08,83.07692307692308,13.0,78.67,78.67,944,177.33,180.89,187.0,177.0,179.39,46.83,46.83,562,3.17,3.17,38,37.33,37.33,448,13.92,13.92,167,12,5,7,12,7,4,2,0,0,11,7,3,1,1,1.0,5.0,3.0,20347120.0,7.17,6.0,0.5,6.0,7.33,88,2.0,45.0,22,1.92,1.92,23,360.42,227.63,30.24,4325,66.67,1.0,2.0,5,17,5,0.08,0.08,0.0,0.0,1.0,333928.0,46.96,143,11.92,24,91,69,50,51,1,143,17.25,17.25,207,6.9,1.19,38.0,22.0,22.0,38.0,1080,2.42,2.42,0,0.0,29,893767,,,,,,,Mexico Liga MX
