team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Ajax,1.38,65.45454545454545,11.0,98.38,98.38,787,181.0,185.09,191.25,177.67,183.13,58.0,58.0,464,6.5,6.5,52,52.88,52.88,423,12.13,12.13,97,8,4,4,8,6,3,1,0,0,8,7,2,0,0,1.0,5.0,3.0,25317.0,7.69,2.0,0.25,2.0,9.13,73,1.0,19.0,15,1.88,1.88,15,533.5,266.75,32.33,4268,100.0,0.0,1.0,8,22,2,,,,,,,42.35,132,16.5,33,101,43,56,32,1,132,14.38,14.38,115,7.19,1.03,933.0,405.0,405.0,933.0,720,2.13,2.13,1,0.13,17,25317,,,,,,,Netherlands Eredivisie
PEC Zwolle,0.88,102.85714285714286,7.0,78.88,78.88,631,177.29,186.5,192.0,176.56,181.42,41.75,41.75,334,2.38,2.38,19,37.13,37.13,297,10.0,10.0,80,8,4,4,8,6,6,2,1,0,5,2,0,0,0,1.0,2.0,1.0,28746.0,7.16,3.0,0.38,3.0,12.38,99,1.0,8.0,13,1.88,1.88,15,361.63,413.29,44.51,2893,,,,6,18,2,0.25,0.25,0.0,0.0,2.0,26433.0,102.86,65,8.13,21,39,27,17,28,700,65,14.13,14.13,113,6.28,1.41,180.0,75.0,75.0,180.0,720,2.0,2.0,0,0.0,16,25161,,,,,,,Netherlands Eredivisie
NEC Nijmegen,2.0,45.0,16.0,110.75,110.75,886,177.4,180.29,185.5,178.14,179.0,58.0,58.0,464,5.5,5.5,44,59.38,59.38,475,12.88,12.88,103,8,4,4,8,6,3,3,1,1,8,7,4,2,1,0.0,5.0,1.0,6229.0,7.51,2.0,0.25,2.0,6.25,50,2.0,67.0,22,2.0,2.0,16,441.13,185.74,26.34,3529,66.67,1.0,2.0,7,20,1,0.13,0.13,0.0,0.0,1.0,6229.0,32.73,134,16.75,34,85,40,60,48,1,134,17.75,17.75,142,8.88,1.38,284.0,85.0,85.0,284.0,720,1.75,1.75,0,0.0,14,37648056,0.13,0.13,0.0,0.0,1.0,25739.0,Netherlands Eredivisie
PSV,2.63,34.285714285714285,21.0,118.5,118.5,948,183.33,182.44,189.33,182.8,183.5,61.63,61.63,493,6.63,6.63,53,63.13,63.13,505,11.13,11.13,89,8,4,4,8,6,4,1,0,0,7,7,4,4,2,0.0,6.0,2.0,29394.0,8.17,2.0,0.25,2.0,8.13,65,2.0,40.0,19,1.5,1.5,12,554.75,184.92,28.63,4438,,,,9,20,1,,,,,,,28.8,155,19.38,36,99,55,64,56,2,155,17.63,17.63,141,10.07,1.53,567.0,271.0,271.0,567.0,720,1.75,1.75,0,0.0,14,5640878,,,,,,,Netherlands Eredivisie
Go Ahead Eagles,1.13,80.0,9.0,96.5,96.5,772,184.5,182.29,189.75,180.9,183.37,53.25,53.25,426,7.25,7.25,58,51.63,51.63,413,9.75,9.75,78,8,4,4,8,6,5,2,1,0,7,6,1,0,0,0.0,2.0,0.0,26877.0,7.23,9.0,1.13,9.0,6.38,51,4.0,90.0,16,1.63,1.63,13,433.75,266.92,32.74,3470,0.0,1.0,0.0,6,20,1,0.13,0.13,0.0,0.0,1.0,37536867.0,51.43,106,13.25,23,73,36,47,32,1,106,11.38,11.38,91,10.11,1.17,406.0,153.0,153.0,406.0,720,1.0,1.0,0,0.0,8,193908,,,,,,,Netherlands Eredivisie
FC Volendam,0.88,102.85714285714286,7.0,83.0,83.0,664,184.2,185.43,195.5,181.4,185.11,43.13,43.13,345,4.0,4.0,32,38.5,38.5,308,10.75,10.75,86,8,4,4,8,8,4,1,0,0,6,3,0,0,0,2.0,2.0,0.0,37369432.0,8.03,2.0,0.25,2.0,9.13,73,2.0,65.0,14,1.38,1.38,11,352.0,312.89,31.29,2816,,,,3,16,6,,,,,,,80.0,90,11.25,26,56,36,28,35,900,90,15.0,15.0,120,10.0,1.4,46.0,15.0,15.0,46.0,720,1.75,1.75,0,0.0,14,25567511,,,,,,,Netherlands Eredivisie
FC Twente,1.13,80.0,9.0,113.25,113.25,906,181.8,185.0,193.0,178.64,182.79,56.38,56.38,451,4.75,4.75,38,59.88,59.88,479,11.88,11.88,95,8,4,4,8,8,3,0,0,0,5,5,2,1,1,1.0,2.0,0.0,37341724.0,7.27,2.0,0.25,2.0,7.88,63,2.0,84.0,17,0.88,0.88,7,463.25,308.83,25.04,3706,100.0,0.0,2.0,4,21,2,0.13,0.13,0.0,0.0,1.0,20357597.0,51.43,148,18.5,38,88,53,57,59,1,148,18.75,18.75,150,11.54,1.5,463.0,252.0,252.0,463.0,720,1.63,1.63,0,0.0,13,24903,,,,,,,Netherlands Eredivisie
NAC Breda,0.75,120.0,6.0,91.38,91.38,731,186.67,186.11,187.0,183.0,185.04,47.38,47.38,379,4.63,4.63,37,39.5,39.5,316,12.88,12.88,103,8,4,4,8,8,5,1,0,0,5,3,0,0,0,1.0,2.0,0.0,537313.0,7.14,2.0,0.25,2.0,7.38,59,2.0,57.0,14,1.88,1.88,15,382.0,436.57,32.86,3056,50.0,1.0,1.0,8,17,0,0.13,0.13,0.0,0.0,1.0,19980285.0,90.0,93,11.63,27,67,33,33,26,600,93,16.75,16.75,134,7.05,1.29,121.0,73.0,73.0,121.0,720,1.88,1.88,1,0.13,15,28931566,0.13,0.13,0.0,0.0,1.0,37359754.0,Netherlands Eredivisie
Feyenoord,1.25,72.0,10.0,102.5,102.5,820,181.38,183.33,188.67,183.13,183.29,54.13,54.13,433,8.0,8.0,64,59.25,59.25,474,8.88,8.88,71,8,4,4,8,3,2,1,0,0,8,6,3,1,0,1.0,4.0,3.0,21773355.0,7.52,1.0,0.13,1.0,7.5,60,2.0,50.0,14,1.5,1.5,12,433.0,203.76,24.74,3464,100.0,0.0,1.0,7,20,1,0.13,0.13,0.0,0.0,1.0,37579972.0,40.0,140,17.5,39,101,50,51,38,1,140,17.13,17.13,137,7.61,1.93,615.0,236.0,236.0,615.0,720,1.75,1.75,1,0.13,14,32811,0.13,0.13,0.0,0.0,1.0,7118.0,Netherlands Eredivisie
SC Heerenveen,1.0,90.0,8.0,107.13,107.13,857,179.5,184.25,196.33,179.36,182.85,52.63,52.63,421,5.63,5.63,45,56.13,56.13,449,10.13,10.13,81,8,3,5,8,8,5,0,0,0,7,4,1,0,0,1.0,3.0,0.0,37579885.0,7.64,5.0,0.63,5.0,7.0,56,2.0,90.0,14,1.5,1.5,12,437.0,317.82,28.19,3496,100.0,0.0,1.0,7,18,0,,,,,,,60.0,124,15.5,45,82,43,36,43,1,124,13.13,13.13,105,5.25,1.27,118.0,59.0,59.0,118.0,720,1.75,1.75,0,0.0,14,37253373,0.25,0.25,0.0,0.0,2.0,28731.0,Netherlands Eredivisie
Excelsior,0.5,180.0,4.0,93.88,93.88,751,184.5,184.0,187.0,180.57,183.35,42.5,42.5,340,3.63,3.63,29,41.75,41.75,334,14.25,14.25,114,8,4,4,8,7,5,2,2,1,6,1,0,0,0,0.0,1.0,0.0,28199.0,7.47,4.0,0.5,4.0,9.13,73,2.0,83.0,13,0.5,0.5,4,352.38,402.71,29.36,2819,,,,6,14,3,0.13,0.13,0.0,0.0,1.0,37581532.0,102.86,96,12.0,31,59,33,32,38,700,96,15.38,15.38,123,8.2,1.07,58.0,16.0,16.0,58.0,720,1.38,1.38,0,0.0,11,37260883,0.13,0.13,0.0,0.0,1.0,4536591.0,Netherlands Eredivisie
Sparta Rotterdam,0.88,102.85714285714286,7.0,82.63,82.63,661,177.29,181.13,191.33,175.71,179.76,40.75,40.75,326,3.13,3.13,25,39.63,39.63,317,7.25,7.25,58,8,4,4,8,6,5,5,3,2,6,3,2,0,0,0.0,1.0,1.0,6972292.0,7.29,5.0,0.63,5.0,8.13,65,1.0,63.0,22,1.0,1.0,8,351.38,312.33,27.83,2811,100.0,0.0,2.0,7,18,0,0.13,0.13,0.0,0.0,1.0,4813.0,65.45,101,12.63,31,62,35,35,39,700,101,16.0,16.0,128,10.67,2.03,319.0,164.0,164.0,319.0,720,1.38,1.38,0,0.0,11,23056,,,,,,,Netherlands Eredivisie
FC Utrecht,1.38,65.45454545454545,11.0,97.88,97.88,783,185.2,186.88,196.75,177.36,184.25,51.38,51.38,411,5.13,5.13,41,37.75,37.75,302,9.63,9.63,77,8,4,4,8,6,3,1,0,0,6,5,2,2,0,1.0,3.0,2.0,37526249.0,8.07,1.0,0.13,1.0,8.13,65,2.0,27.0,15,1.38,1.38,11,432.63,230.73,28.84,3461,,,,11,16,2,,,,,,,48.0,120,15.0,30,77,44,46,43,1,120,15.63,15.63,125,13.89,1.62,187.0,84.0,84.0,187.0,720,1.13,1.13,0,0.0,9,37459062,,,,,,,Netherlands Eredivisie
FC Groningen,1.25,72.0,10.0,100.0,100.0,800,183.75,186.29,192.0,180.67,184.71,48.13,48.13,385,4.25,4.25,34,40.25,40.25,322,12.5,12.5,100,8,4,4,8,5,2,2,2,0,7,5,1,1,0,0.0,5.0,2.0,5283769.0,7.45,3.0,0.38,3.0,8.0,64,2.0,29.0,13,1.63,1.63,13,385.88,220.5,28.58,3087,,,,7,17,0,,,,,,,51.43,108,13.5,29,62,29,50,45,1,108,18.0,18.0,144,7.2,1.41,214.0,111.0,111.0,214.0,720,2.13,2.13,0,0.0,17,25241,0.13,0.13,0.0,0.0,1.0,37676562.0,Netherlands Eredivisie
Heracles Almelo,0.75,120.0,6.0,86.0,86.0,688,182.5,184.44,198.0,180.08,183.75,41.5,41.5,332,3.63,3.63,29,37.0,37.0,296,12.38,12.38,99,8,5,3,8,7,7,3,3,0,5,1,1,0,0,0.0,1.0,1.0,37559585.0,7.1,2.0,0.25,2.0,6.75,54,1.0,3.0,15,0.75,0.75,6,333.88,381.57,30.7,2671,,,,9,19,0,0.13,0.13,0.0,0.0,1.0,9307980.0,102.86,87,10.88,16,49,44,27,37,700,87,14.63,14.63,117,7.8,1.17,67.0,40.0,40.0,67.0,720,1.75,1.75,0,0.0,14,26935,,,,,,,Netherlands Eredivisie
