team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Felgueiras 1932,0.71,126.0,5.0,83.29,83.29,583,175.75,183.6,189.25,175.5,180.58,49.29,49.29,345,5.0,5.0,35,54.57,54.57,382,17.0,17.0,119,7,3,4,7,6,2,1,0,0,4,3,1,0,0,0.0,2.0,0.0,37289791.0,6.55,1.0,0.14,1.0,7.71,54,1.0,20.0,9,2.29,2.29,16,279.0,325.5,21.7,1953,100.0,0.0,2.0,3,6,0,,,,,,,78.75,90,12.86,14,47,46,30,23,400,90,16.29,16.29,114,6.0,1.13,,,,,630,2.71,2.71,0,0.0,19,37303857,,,,,,,Portugal LigaPro
Benfica II,0.71,129.0,5.0,82.57,82.57,578,176.67,181.86,183.5,177.71,179.68,54.0,54.0,378,7.0,7.0,49,62.29,62.29,436,14.86,14.86,104,7,3,4,7,7,4,1,0,0,6,1,1,0,0,2.0,0.0,0.0,37673611.0,6.64,3.0,0.43,3.0,5.14,36,2.0,90.0,11,2.43,2.43,17,299.14,299.14,20.33,2094,100.0,0.0,1.0,4,10,0,,,,,,,80.63,103,14.71,26,57,39,38,36,600,103,13.29,13.29,93,3.32,1.11,17.0,11.0,11.0,17.0,645,3.14,3.14,0,0.0,22,37656848,0.29,0.29,0.0,0.0,2.0,37656846.0,Portugal LigaPro
Lusitania FC Lourosa,1.14,80.625,8.0,84.57,84.57,592,185.0,183.83,189.5,180.14,183.4,51.71,51.71,362,7.14,7.14,50,57.43,57.43,402,16.14,16.14,113,7,3,4,7,5,3,1,0,0,6,2,0,0,0,1.0,1.0,1.0,510095.0,6.55,2.0,0.29,2.0,5.57,39,1.0,90.0,10,1.57,1.57,11,302.29,264.5,22.51,2116,0.0,1.0,0.0,2,12,1,,,,,,,80.63,94,13.43,14,56,46,34,30,800,94,12.0,12.0,84,4.42,1.01,11.0,9.0,9.0,11.0,645,2.71,2.71,0,0.0,19,109291,,,,,,,Portugal LigaPro
Penafiel,0.43,210.0,3.0,80.57,80.57,564,185.2,184.22,193.0,180.13,184.16,44.0,44.0,308,4.29,4.29,30,50.0,50.0,350,16.43,16.43,115,7,4,3,7,3,3,1,0,0,4,3,0,0,0,,,,2483174.0,6.69,,,,7.0,49,1.0,33.0,9,1.43,1.43,10,273.71,383.2,25.89,1916,100.0,0.0,2.0,8,18,0,,,,,,,90.0,74,10.57,15,39,32,26,27,300,74,10.86,10.86,76,4.75,0.79,,,,,630,2.29,2.29,0,0.0,16,189236,,,,,,,Portugal LigaPro
Leixões,0.43,210.0,3.0,83.29,83.29,583,178.0,183.8,193.5,176.44,180.0,49.57,49.57,347,4.14,4.14,29,42.86,42.86,300,14.0,14.0,98,7,3,4,7,6,5,1,1,0,3,2,2,0,0,0.0,2.0,1.0,160019.0,6.6,1.0,0.14,1.0,7.29,51,1.0,29.0,13,1.14,1.14,8,278.0,278.0,24.02,1946,0.0,1.0,0.0,3,15,0,,,,,,,90.0,81,11.57,17,43,37,27,30,700,81,14.57,14.57,102,4.43,1.17,58.0,28.0,28.0,58.0,630,3.0,3.0,0,0.0,21,160159,0.14,0.14,0.0,0.0,1.0,37704502.0,Portugal LigaPro
Farense,0.29,315.0,2.0,84.29,84.29,590,181.57,181.17,189.25,177.88,181.52,51.86,51.86,363,4.86,4.86,34,56.57,56.57,396,15.86,15.86,111,7,4,3,7,5,3,1,0,0,4,3,0,0,0,,,,395333.0,6.68,1.0,0.14,1.0,8.43,59,2.0,90.0,8,2.0,2.0,14,302.71,529.75,24.36,2119,100.0,0.0,1.0,2,19,0,,,,,,,90.0,87,12.43,18,49,38,31,31,300,87,14.57,14.57,102,3.4,1.21,69.0,21.0,21.0,69.0,630,4.0,4.0,0,0.0,28,440988,0.14,0.14,0.0,0.0,1.0,37723028.0,Portugal LigaPro
Portimonense SAD,0.71,126.0,5.0,70.29,70.29,492,179.43,179.5,192.33,178.33,180.7,47.29,47.29,331,5.14,5.14,36,44.43,44.43,311,14.86,14.86,104,7,3,4,7,7,3,1,1,0,7,3,1,0,0,0.0,3.0,0.0,,6.8,2.0,0.29,2.0,7.71,54,1.0,9.0,12,1.71,1.71,12,238.0,185.11,17.35,1666,100.0,0.0,1.0,6,13,0,0.29,0.29,0.0,0.0,2.0,219882.0,57.27,96,13.71,19,57,40,37,28,800,96,13.14,13.14,92,3.54,1.15,7.0,,,7.0,630,3.14,3.14,0,0.0,22,218477,0.14,0.14,0.0,0.0,1.0,37770212.0,Portugal LigaPro
Sporting CP II,1.0,90.0,7.0,79.57,79.57,557,179.0,184.6,189.0,179.71,182.32,50.43,50.43,353,5.0,5.0,35,52.14,52.14,365,15.71,15.71,110,7,4,3,7,3,0,0,0,0,5,3,2,1,0,1.0,2.0,2.0,37597738.0,6.66,2.0,0.29,2.0,9.57,67,2.0,45.0,8,2.86,2.86,20,356.86,277.56,27.76,2498,66.67,1.0,2.0,1,4,13,0.14,0.14,0.0,0.0,1.0,37717401.0,57.27,90,12.86,24,45,30,36,36,700,90,14.57,14.57,102,3.92,1.11,6.0,6.0,6.0,6.0,630,3.29,3.29,0,0.0,23,37595811,0.14,0.14,0.0,0.0,1.0,37567299.0,Portugal LigaPro
Marítimo,0.71,126.0,5.0,98.57,98.57,690,182.17,184.0,191.0,181.2,183.81,54.14,54.14,379,4.86,4.86,34,62.71,62.71,439,14.43,14.43,101,7,3,4,7,3,1,0,0,0,6,2,0,0,0,0.0,1.0,1.0,6306089.0,6.58,2.0,0.29,2.0,6.29,44,1.0,90.0,9,1.57,1.57,11,311.14,363.0,25.33,2178,66.67,1.0,2.0,3,14,2,0.43,0.43,0.0,0.0,3.0,2178908.0,78.75,86,12.29,18,42,34,34,34,400,86,15.43,15.43,108,3.0,1.23,40.0,20.0,20.0,40.0,630,4.43,4.43,0,0.0,31,37541655,,,,,,,Portugal LigaPro
Vizela,1.0,90.0,7.0,79.14,79.14,554,186.5,187.0,187.0,181.0,184.78,54.86,54.86,384,3.86,3.86,27,51.14,51.14,358,15.29,15.29,107,7,4,3,7,4,0,0,0,0,6,3,1,1,0,2.0,1.0,1.0,893681.0,6.56,,,,5.29,37,1.0,54.0,9,1.43,1.43,10,310.14,217.1,23.34,2171,100.0,0.0,1.0,5,14,1,0.33,0.33,0.0,0.0,1.0,,57.27,93,13.29,22,55,33,38,32,900,93,11.86,11.86,83,2.44,0.89,,,,,630,3.86,3.86,0,0.0,27,538318,0.43,0.43,0.0,0.0,3.0,38164.0,Portugal LigaPro
Torreense,1.14,78.75,8.0,82.71,82.71,579,183.4,183.75,190.5,179.75,182.68,49.14,49.14,344,5.86,5.86,41,54.29,54.29,380,12.57,12.57,88,7,4,3,7,5,2,1,0,0,4,4,3,0,0,2.0,2.0,1.0,85402.0,6.6,2.0,0.29,2.0,10.43,73,2.0,78.0,13,3.71,3.71,26,308.57,240.0,24.0,2160,100.0,0.0,2.0,3,8,1,0.14,0.14,0.0,0.0,1.0,10948334.0,57.27,90,12.86,20,47,40,30,35,700,90,12.57,12.57,88,4.0,1.17,28.0,,,28.0,630,2.71,2.71,0,0.0,19,37691585,0.14,0.14,0.0,0.0,1.0,37696188.0,Portugal LigaPro
Paços de Ferreira,0.29,315.0,2.0,72.86,72.86,510,177.33,183.17,190.33,180.4,182.59,41.86,41.86,293,3.57,3.57,25,45.57,45.57,319,15.14,15.14,106,7,4,3,7,4,4,1,0,0,3,2,0,0,0,1.0,0.0,0.0,,6.9,2.0,0.29,2.0,7.71,54,1.0,25.0,8,1.14,1.14,8,238.71,334.2,26.11,1671,,,,4,9,1,0.29,0.29,0.0,0.0,2.0,37336729.0,126.0,64,9.14,16,26,32,16,28,500,64,13.57,13.57,95,3.52,1.36,,,,,630,3.0,3.0,0,0.0,21,37537188,0.29,0.29,0.0,0.0,2.0,161383.0,Portugal LigaPro
Porto II,0.57,157.5,4.0,72.14,72.14,505,182.2,181.25,187.0,177.17,180.86,52.71,52.71,369,3.86,3.86,27,41.57,41.57,291,13.57,13.57,95,7,3,4,7,6,6,2,1,0,3,2,0,0,0,1.0,1.0,0.0,37286971.0,6.84,2.0,0.29,2.0,5.29,37,1.0,26.0,12,1.0,1.0,7,309.0,540.75,28.46,2163,100.0,0.0,1.0,3,9,1,0.14,0.14,0.0,0.0,1.0,37597741.0,126.0,76,10.86,23,31,28,24,38,300,76,10.43,10.43,73,3.32,0.96,7.0,,,7.0,630,2.71,2.71,0,0.0,19,37576221,0.14,0.14,0.0,0.0,1.0,37717391.0,Portugal LigaPro
