team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Rubin Kazan,1.0,90.0,11.0,83.18,83.18,915,187.0,185.4,190.0,180.38,183.6,40.09,40.09,441,4.91,4.91,54,39.09,39.09,430,16.18,16.18,178,11,5,6,11,7,5,1,1,1,9,6,0,0,0,2.0,2.0,2.0,1489787.0,7.06,,,,11.45,126,1.0,24.0,16,1.36,1.36,15,304.36,257.54,26.57,3348,100.0,0.0,2.0,2,16,3,,,,,,,66.0,126,11.45,37,88,49,40,39,1,126,13.45,13.45,148,6.43,0.83,202.0,113.0,113.0,202.0,990,2.09,2.09,0,0.0,23,372728,,,,,,,Russia Premier League
Dynamo Makhachkala,0.36,247.5,4.0,109.64,109.64,1206,183.83,184.4,194.0,181.0,183.75,47.55,47.55,523,3.64,3.64,40,49.0,49.0,539,12.64,12.64,139,11,6,5,11,8,3,1,1,0,5,0,0,0,0,,,,37704804.0,7.62,2.0,0.18,2.0,9.27,102,1.0,49.0,9,1.73,1.73,19,328.64,723.0,31.16,3615,,,,5,18,2,,,,,,,198.0,116,10.55,30,62,53,33,46,500,116,15.55,15.55,171,6.11,1.22,54.0,25.0,25.0,54.0,990,2.27,2.27,0,0.0,25,104916,0.09,0.09,0.0,0.0,1.0,37573338.0,Russia Premier League
FK Nizjni Novgorod,0.27,330.0,3.0,82.09,82.09,903,181.2,184.56,189.0,176.56,181.93,41.73,41.73,459,3.82,3.82,42,35.36,35.36,389,17.82,17.82,196,11,6,5,11,10,8,4,0,0,5,3,1,0,0,0.0,1.0,1.0,466068.0,6.98,4.0,0.36,4.0,9.91,109,2.0,41.0,20,1.73,1.73,19,313.27,382.89,34.12,3446,,,,5,14,1,0.18,0.18,0.0,0.0,2.0,37526867.0,110.0,101,9.18,26,59,33,42,38,900,101,16.45,16.45,181,5.17,0.92,97.0,32.0,32.0,97.0,990,3.18,3.18,0,0.0,35,466068,,,,,,,Russia Premier League
Orenburg,0.55,165.0,6.0,89.45,89.45,984,181.14,184.75,190.25,179.29,182.33,52.55,52.55,578,5.09,5.09,56,42.36,42.36,466,14.91,14.91,164,11,4,7,11,10,6,4,1,1,8,5,0,0,0,2.0,0.0,0.0,37554596.0,7.09,3.0,0.27,3.0,8.45,93,1.0,74.0,25,0.82,0.82,9,364.27,400.7,33.12,4007,66.67,1.0,2.0,7,22,2,,,,,,,76.15,121,11.0,31,73,52,38,47,800,121,14.91,14.91,164,5.86,0.99,118.0,87.0,87.0,118.0,990,2.27,2.27,0,0.0,25,377021,0.09,0.09,0.0,0.0,1.0,170561.0,Russia Premier League
Akhmat Grozny,0.73,123.75,8.0,93.36,93.36,1027,182.33,183.63,189.67,179.69,182.26,44.64,44.64,491,4.0,4.0,44,42.64,42.64,469,12.27,12.27,135,11,6,5,11,9,4,0,0,0,8,4,2,0,0,1.0,2.0,1.0,190775.0,7.05,4.0,0.36,4.0,11.36,125,2.0,90.0,14,1.73,1.73,19,328.55,361.4,26.0,3614,66.67,1.0,2.0,6,16,2,0.27,0.27,0.0,0.0,3.0,27088818.0,70.71,139,12.64,48,90,44,47,51,800,139,14.82,14.82,163,6.27,1.18,182.0,84.0,84.0,182.0,990,1.55,1.55,0,0.0,17,37657409,0.18,0.18,0.0,0.0,2.0,69586.0,Russia Premier League
Lokomotiv Moskva,1.91,47.142857142857146,21.0,93.45,93.45,1028,185.0,185.33,191.0,175.36,181.6,47.45,47.45,522,3.73,3.73,41,43.64,43.64,480,14.82,14.82,163,11,6,5,11,9,5,2,0,0,11,7,5,2,1,2.0,4.0,0.0,37674431.0,7.94,4.0,0.36,4.0,9.55,105,2.0,81.0,29,1.27,1.27,14,365.64,167.58,26.99,4022,100.0,0.0,2.0,2,8,15,,,,,,,38.08,149,13.55,35,96,49,65,51,2,149,14.27,14.27,157,4.24,0.95,256.0,94.0,94.0,256.0,990,2.82,2.82,0,0.0,31,170707,0.18,0.18,0.0,0.0,2.0,80880.0,Russia Premier League
Dinamo Moskva,0.82,110.0,9.0,96.82,96.82,1065,179.78,181.4,188.25,182.71,182.13,54.73,54.73,602,5.73,5.73,63,49.82,49.82,548,12.91,12.91,142,11,5,6,11,9,4,2,1,1,9,5,4,0,0,2.0,0.0,0.0,14328501.0,7.56,5.0,0.45,5.0,9.18,101,2.0,90.0,18,2.09,2.09,23,398.55,292.27,23.57,4384,100.0,0.0,2.0,3,7,13,,,,,,,55.0,186,16.91,62,100,71,53,74,1,186,15.0,15.0,165,9.17,1.12,337.0,160.0,160.0,337.0,990,1.64,1.64,0,0.0,18,37410398,,,,,,,Russia Premier League
Spartak Moskva,1.18,76.15384615384616,13.0,99.18,99.18,1091,177.75,183.82,192.0,179.27,182.1,62.36,62.36,686,5.73,5.73,63,50.09,50.09,551,15.27,15.27,168,11,5,6,11,8,5,3,1,0,10,8,1,0,0,3.0,3.0,1.0,333733.0,7.49,2.0,0.18,2.0,10.36,114,2.0,57.0,18,2.27,2.27,25,498.45,342.69,35.37,5483,75.0,1.0,3.0,8,19,1,0.09,0.09,0.0,0.0,1.0,171677.0,52.11,155,14.09,48,101,56,51,53,1,155,14.0,14.0,154,5.5,0.88,518.0,252.0,252.0,518.0,990,2.0,2.0,0,0.0,22,2816255,0.18,0.18,0.0,0.0,2.0,978912.0,Russia Premier League
Krasnodar,1.55,58.23529411764706,17.0,92.73,92.73,1020,178.4,181.78,191.0,179.6,181.37,57.82,57.82,636,5.18,5.18,57,46.73,46.73,514,14.18,14.18,156,11,5,6,11,5,2,0,0,0,9,5,3,2,2,0.0,3.0,3.0,12393289.0,7.78,1.0,0.09,1.0,9.27,102,2.0,90.0,18,2.09,2.09,23,410.82,237.84,25.11,4519,100.0,0.0,1.0,8,18,1,0.18,0.18,0.0,0.0,2.0,32652.0,45.0,180,16.36,56,119,73,51,59,1,180,13.27,13.27,146,5.84,0.84,389.0,205.0,205.0,389.0,990,2.09,2.09,0,0.0,23,219784,,,,,,,Russia Premier League
Akron,1.0,90.0,11.0,94.27,94.27,1037,183.78,183.22,190.25,181.56,183.81,45.27,45.27,498,4.91,4.91,54,47.73,47.73,525,15.27,15.27,168,11,5,6,11,10,6,2,0,0,9,2,1,1,0,1.0,1.0,0.0,169510.0,7.27,2.0,0.18,2.0,9.55,105,1.0,45.0,18,2.27,2.27,25,317.55,317.55,25.31,3493,40.0,3.0,2.0,9,19,1,,,,,,,76.15,138,12.55,42,88,52,44,48,900,138,10.36,10.36,114,5.7,0.67,81.0,37.0,37.0,81.0,990,1.82,1.82,0,0.0,20,37296291,,,,,,,Russia Premier League
