team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Albacete,1.38,65.45454545454545,11.0,93.88,93.88,751,181.5,178.86,186.5,180.86,180.85,45.75,45.75,366,4.13,4.13,33,43.75,43.75,350,11.13,11.13,89,8,5,3,8,5,5,4,2,0,6,4,2,2,0,1.0,2.0,0.0,19988729.0,7.32,5.0,0.63,5.0,8.13,65,2.0,59.0,22,2.25,2.25,18,358.25,220.46,28.66,2866,100.0,0.0,1.0,4,15,3,0.38,0.38,0.0,0.0,3.0,187128.0,51.43,100,12.5,24,69,41,35,31,1,100,16.13,16.13,129,6.45,1.45,8.0,,,8.0,720,2.13,2.13,0,0.0,17,187128,,,,,,,Spain La Liga 2
Mirandés,0.75,120.0,6.0,79.25,79.25,634,186.0,183.75,191.0,177.8,183.67,38.63,38.63,309,1.88,1.88,15,27.25,27.25,218,14.63,14.63,117,8,5,3,8,8,1,1,1,1,5,2,1,1,0,0.0,1.0,1.0,186977.0,6.94,1.0,0.13,1.0,8.25,66,2.0,68.0,12,1.63,1.63,13,310.13,354.43,35.44,2481,100.0,0.0,2.0,4,16,3,0.13,0.13,0.0,0.0,1.0,37720968.0,80.0,70,8.75,19,41,27,24,29,500,70,12.75,12.75,102,4.64,0.86,6.0,,,6.0,720,2.63,2.63,0,0.0,21,37716722,,,,,,,Spain La Liga 2
Córdoba,0.5,180.0,4.0,104.0,104.0,832,181.0,183.88,187.0,183.38,183.4,56.5,56.5,452,4.88,4.88,39,47.25,47.25,378,15.75,15.75,126,8,5,3,8,6,4,2,0,0,7,2,0,0,0,1.0,0.0,0.0,7745874.0,7.53,,,,8.38,67,2.0,73.0,13,2.88,2.88,23,372.25,595.6,27.07,2978,100.0,0.0,2.0,8,13,3,,,,,,,80.0,110,13.75,30,62,48,32,47,300,110,20.25,20.25,162,5.79,1.29,,,,,720,3.13,3.13,0,0.0,25,186907,0.13,0.13,0.0,0.0,1.0,189289.0,Spain La Liga 2
Castellón,0.88,102.85714285714286,7.0,102.25,102.25,818,181.71,182.0,184.5,177.11,180.42,55.63,55.63,445,6.25,6.25,50,63.13,63.13,505,14.25,14.25,114,8,4,4,8,7,3,2,0,0,7,3,3,0,0,0.0,2.0,0.0,37540758.0,7.28,1.0,0.13,1.0,8.88,71,1.0,45.0,14,2.5,2.5,20,412.13,299.73,33.64,3297,100.0,0.0,2.0,9,16,2,0.13,0.13,0.0,0.0,1.0,188930.0,55.38,98,12.25,26,65,32,40,33,900,98,18.25,18.25,146,7.68,1.28,,,,,720,2.38,2.38,0,0.0,19,186743,,,,,,,Spain La Liga 2
Deportivo La Coruña,1.25,72.0,10.0,87.38,87.38,699,178.57,182.14,189.0,177.29,180.54,49.63,49.63,397,3.75,3.75,30,34.88,34.88,279,12.75,12.75,102,8,4,4,8,5,1,0,0,0,7,4,3,2,1,2.0,3.0,3.0,37593325.0,7.4,3.0,0.38,3.0,9.13,73,2.0,72.0,13,2.63,2.63,21,432.5,247.14,30.35,3460,100.0,0.0,2.0,8,15,1,,,,,,,42.35,114,14.25,23,84,48,43,31,1,114,14.75,14.75,118,5.36,1.16,20.0,8.0,8.0,20.0,720,2.88,2.88,0,0.0,23,32404514,,,,,,,Spain La Liga 2
Sporting Gijón,1.13,80.0,9.0,100.38,100.38,803,178.75,184.29,190.33,180.5,182.73,42.25,42.25,338,3.75,3.75,30,43.13,43.13,345,12.38,12.38,99,8,4,4,8,6,4,3,1,0,7,3,1,0,0,1.0,1.0,0.0,237377.0,7.2,1.0,0.13,1.0,8.13,65,2.0,30.0,13,2.63,2.63,21,366.38,266.45,30.85,2931,,,,5,16,0,,,,,,,65.45,95,11.88,27,69,27,41,25,1,95,16.13,16.13,129,4.45,1.3,56.0,24.0,24.0,56.0,720,2.88,2.88,0,0.0,23,537094,0.25,0.25,0.0,0.0,2.0,537094.0,Spain La Liga 2
Real Zaragoza,0.13,720.0,1.0,97.25,97.25,778,182.88,181.9,194.5,177.5,182.15,50.25,50.25,402,4.5,4.5,36,42.0,42.0,336,13.13,13.13,105,8,4,4,8,6,1,1,0,0,4,0,0,0,0,,,,381034.0,7.12,,,,7.75,62,1.0,78.0,9,2.0,2.0,16,370.38,740.75,31.19,2963,,,,5,20,0,0.13,0.13,0.0,0.0,1.0,380958.0,180.0,95,11.88,30,58,40,25,37,400,95,17.0,17.0,136,5.23,1.23,6.0,,,6.0,720,2.88,2.88,0,0.0,23,93900,0.13,0.13,0.0,0.0,1.0,93900.0,Spain La Liga 2
Real Valladolid,0.75,120.0,6.0,112.13,112.13,897,184.5,183.75,190.5,180.6,183.23,53.63,53.63,429,7.38,7.38,59,56.63,56.63,453,17.25,17.25,138,8,3,5,8,5,1,0,0,0,5,2,2,0,0,1.0,2.0,2.0,37423169.0,7.47,2.0,0.25,2.0,8.25,66,1.0,23.0,9,2.5,2.5,20,376.38,376.38,26.41,3011,100.0,0.0,1.0,9,16,2,,,,,,,80.0,114,14.25,20,88,52,42,25,700,114,20.5,20.5,164,7.81,1.19,106.0,14.0,14.0,106.0,720,2.88,2.88,1,0.13,23,189290,,,,,,,Spain La Liga 2
Málaga,0.5,180.0,4.0,92.88,92.88,743,178.43,179.88,183.5,177.56,178.96,50.5,50.5,404,4.13,4.13,33,45.25,45.25,362,13.5,13.5,108,8,4,4,8,6,3,1,0,0,5,1,0,0,0,,,,20334484.0,7.48,1.0,0.13,1.0,10.25,82,1.0,64.0,9,1.38,1.38,11,402.13,536.17,36.15,3217,,,,6,18,1,0.13,0.13,0.0,0.0,1.0,537201.0,120.0,89,11.13,26,51,35,28,38,600,89,18.38,18.38,147,7.35,1.35,21.0,8.0,8.0,21.0,720,2.0,2.0,0,0.0,16,37336532,0.13,0.13,0.0,0.0,1.0,188749.0,Spain La Liga 2
Granada,1.0,90.0,8.0,93.0,93.0,744,178.4,184.5,186.5,177.56,180.45,48.38,48.38,387,3.38,3.38,27,38.75,38.75,310,13.5,13.5,108,8,4,4,8,7,6,2,0,0,6,2,1,1,1,1.0,1.0,0.0,530758.0,7.3,1.0,0.13,1.0,7.13,57,2.0,30.0,13,1.38,1.38,11,371.0,269.82,32.26,2968,,,,6,16,0,0.13,0.13,0.0,0.0,1.0,37715793.0,65.45,92,11.5,26,48,39,27,44,1,92,15.63,15.63,125,5.43,1.19,57.0,8.0,8.0,57.0,720,2.0,2.0,0,0.0,16,37719051,0.25,0.25,0.0,0.0,2.0,37316521.0,Spain La Liga 2
