team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Sevilla,1.38,65.45454545454545,11.0,91.63,91.63,733,177.29,183.11,191.5,183.89,182.48,51.38,51.38,411,3.63,3.63,29,44.25,44.25,354,16.0,16.0,128,8,4,4,8,6,4,1,0,0,8,5,1,1,0,1.0,4.0,2.0,31892.0,7.56,2.0,0.25,2.0,8.13,65,2.0,90.0,14,3.5,3.5,28,411.5,253.23,38.28,3292,100.0,0.0,1.0,8,18,1,,,,,,,48.0,86,10.75,22,62,37,27,24,1,86,20.0,20.0,160,5.71,1.19,497.0,184.0,184.0,497.0,720,3.63,3.63,1,0.13,29,27440264,,,,,,,Spain La Liga
Elche,1.0,90.0,8.0,100.88,100.88,807,185.13,181.67,187.0,177.86,182.3,57.38,57.38,459,3.25,3.25,26,42.13,42.13,337,12.13,12.13,97,8,4,4,8,6,2,1,0,0,8,3,0,0,0,3.0,1.0,0.0,446998.0,7.15,3.0,0.38,3.0,9.0,72,2.0,90.0,12,1.25,1.25,10,530.5,385.82,51.13,4244,0.0,1.0,0.0,7,18,2,0.25,0.25,0.0,0.0,2.0,10293491.0,65.45,83,10.38,25,58,27,31,25,1,83,17.25,17.25,138,8.63,1.41,219.0,84.0,84.0,219.0,720,2.13,2.13,1,0.13,17,532358,,,,,,,Spain La Liga
Getafe,1.13,80.0,9.0,93.38,93.38,747,180.75,182.9,194.0,177.6,182.04,40.13,40.13,321,4.0,4.0,32,38.0,38.0,304,14.88,14.88,119,8,5,3,8,6,3,2,0,0,6,3,0,0,0,1.0,1.0,1.0,382624.0,7.31,4.0,0.5,4.0,8.25,66,2.0,45.0,10,2.63,2.63,21,296.0,263.11,35.34,2368,,,,5,18,3,,,,,,,80.0,67,8.38,20,37,25,22,29,900,67,18.75,18.75,150,7.5,1.26,138.0,40.0,40.0,138.0,720,2.75,2.75,1,0.13,22,21781710,,,,,,,Spain La Liga
Real Oviedo,0.25,360.0,2.0,67.63,67.63,541,179.5,185.11,185.0,180.1,182.0,40.38,40.38,323,3.38,3.38,27,31.88,31.88,255,11.38,11.38,91,8,4,4,8,7,5,2,0,0,3,1,0,0,0,1.0,0.0,0.0,186882.0,7.37,3.0,0.38,3.0,6.38,51,1.0,40.0,10,2.38,2.38,19,368.5,737.0,45.35,2948,0.0,1.0,0.0,6,20,1,0.13,0.13,0.0,0.0,1.0,15745936.0,180.0,65,8.13,15,37,28,22,28,400,65,16.75,16.75,134,5.36,1.47,96.0,59.0,59.0,96.0,720,2.63,2.63,3,0.38,21,176760,0.25,0.25,0.0,0.0,2.0,1478449.0,Spain La Liga
Real Sociedad,0.63,144.0,5.0,98.13,98.13,785,183.2,179.8,190.0,181.27,181.71,52.38,52.38,419,7.25,7.25,58,49.38,49.38,395,15.0,15.0,120,8,4,4,8,7,4,1,0,0,6,1,0,0,0,1.0,0.0,0.0,187232.0,7.65,,,,5.63,45,1.0,60.0,10,1.75,1.75,14,448.38,597.83,31.46,3587,100.0,0.0,1.0,8,20,3,,,,,,,102.86,114,14.25,37,73,43,34,41,500,114,17.13,17.13,137,7.61,1.08,585.0,300.0,300.0,585.0,720,2.38,2.38,0,0.0,19,52573,,,,,,,Spain La Liga
Real Madrid,1.88,48.0,15.0,131.13,131.13,1049,176.8,182.7,195.5,179.38,181.48,62.13,62.13,497,5.25,5.25,42,70.38,70.38,563,9.75,9.75,78,8,4,4,8,5,1,1,1,1,8,7,3,1,0,0.0,3.0,2.0,96611.0,8.22,3.0,0.38,3.0,6.63,53,2.0,37.0,15,1.38,1.38,11,620.88,310.44,33.34,4967,100.0,0.0,3.0,8,14,3,0.13,0.13,0.0,0.0,1.0,37612542.0,37.89,149,18.63,42,91,55,52,58,1,149,17.25,17.25,138,9.2,1.77,1649.0,867.0,867.0,1649.0,720,2.0,2.0,1,0.13,16,37729623,,,,,,,Spain La Liga
Athletic Club,0.38,240.0,3.0,118.63,118.63,949,183.4,182.56,187.33,180.4,182.44,53.5,53.5,428,6.88,6.88,55,57.75,57.75,462,13.25,13.25,106,8,3,5,8,7,2,0,0,0,5,3,1,0,0,1.0,1.0,0.0,37297544.0,7.23,2.0,0.25,2.0,7.63,61,1.0,43.0,14,0.63,0.63,5,457.13,731.4,32.08,3657,100.0,0.0,3.0,6,19,0,0.25,0.25,0.0,0.0,2.0,3510288.0,80.0,114,14.25,44,73,35,35,41,200,114,14.13,14.13,113,8.07,0.96,636.0,281.0,281.0,636.0,720,1.5,1.5,0,0.0,12,186063,,,,,,,Spain La Liga
Deportivo Alavés,0.5,180.0,4.0,109.13,109.13,873,180.8,182.5,189.0,179.0,181.68,50.75,50.75,406,6.5,6.5,52,44.38,44.38,355,16.75,16.75,134,8,4,4,8,7,1,0,0,0,6,2,1,0,0,0.0,1.0,0.0,4977687.0,7.09,3.0,0.38,3.0,8.13,65,2.0,90.0,10,2.25,2.25,18,418.0,668.8,37.16,3344,100.0,0.0,3.0,7,16,1,,,,,,,80.0,90,11.25,25,52,35,30,38,200,90,19.13,19.13,153,8.05,1.14,283.0,76.0,76.0,283.0,720,2.5,2.5,1,0.13,20,4545461,,,,,,,Spain La Liga
Atlético Madrid,1.0,90.0,8.0,109.0,109.0,872,179.4,184.11,189.5,177.88,181.5,54.38,54.38,435,6.38,6.38,51,55.5,55.5,444,11.63,11.63,93,8,4,4,8,7,3,0,0,0,8,3,2,1,1,0.0,3.0,1.0,21394947.0,7.44,3.0,0.38,3.0,8.13,65,1.0,37.0,13,1.38,1.38,11,534.0,328.62,41.88,4272,50.0,1.0,1.0,7,16,0,0.13,0.13,0.0,0.0,1.0,25514.0,48.0,102,12.75,20,71,40,42,31,1,102,13.88,13.88,111,5.05,1.19,1359.0,680.0,680.0,1359.0,720,2.25,2.25,1,0.13,18,25514,0.13,0.13,0.0,0.0,1.0,96741.0,Spain La Liga
Villarreal,1.38,65.45454545454545,11.0,90.5,90.5,724,178.44,185.67,187.5,181.25,182.57,46.13,46.13,369,5.25,5.25,42,52.5,52.5,420,11.5,11.5,92,8,4,4,8,5,2,1,0,0,7,4,1,1,1,0.0,2.0,1.0,186552.0,7.76,1.0,0.13,1.0,9.0,72,1.0,29.0,13,1.88,1.88,15,436.25,249.29,28.84,3490,,,,7,20,3,,,,,,,51.43,121,15.13,29,78,51,41,43,1,121,19.75,19.75,158,7.9,1.65,795.0,343.0,343.0,795.0,720,2.13,2.13,0,0.0,17,433169,0.13,0.13,0.0,0.0,1.0,37567261.0,Spain La Liga
Celta de Vigo,0.5,180.0,4.0,110.5,110.5,884,178.43,182.1,187.0,175.71,179.77,53.63,53.63,429,6.13,6.13,49,54.13,54.13,433,11.88,11.88,95,8,3,5,8,8,2,0,0,0,7,0,0,0,0,1.0,0.0,0.0,37543407.0,7.34,1.0,0.13,1.0,6.0,48,1.0,38.0,11,1.63,1.63,13,542.13,722.83,43.81,4337,100.0,0.0,1.0,6,20,0,,,,,,,102.86,99,12.38,28,61,41,30,38,500,99,17.38,17.38,139,10.69,1.46,852.0,400.0,400.0,852.0,720,1.63,1.63,0,0.0,13,37586673,,,,,,,Spain La Liga
Girona,0.38,240.0,3.0,80.75,80.75,646,179.13,183.71,189.5,180.9,182.28,45.38,45.38,363,3.88,3.88,31,38.13,38.13,305,9.88,9.88,79,8,3,5,8,7,4,3,2,1,4,1,0,0,0,1.0,1.0,0.0,21803033.0,7.33,1.0,0.13,1.0,8.63,69,1.0,57.0,12,2.13,2.13,17,403.38,645.4,43.61,3227,,,,10,19,1,0.38,0.38,0.0,0.0,3.0,1411.0,144.0,74,9.25,26,47,20,28,27,500,74,13.0,13.0,104,4.95,1.32,483.0,249.0,249.0,483.0,720,1.88,1.88,1,0.13,15,185941,0.25,0.25,0.0,0.0,2.0,60270.0,Spain La Liga
Levante,0.88,102.85714285714286,7.0,74.63,74.63,597,180.71,182.9,186.0,177.38,180.93,39.0,39.0,312,2.13,2.13,17,35.0,35.0,280,14.5,14.5,116,8,5,3,8,6,5,2,1,0,7,4,1,1,0,0.0,2.0,2.0,37543908.0,7.33,3.0,0.38,3.0,6.5,52,1.0,68.0,16,2.13,2.13,17,330.5,220.33,32.64,2644,100.0,0.0,1.0,9,18,0,,,,,,,55.38,81,10.13,25,57,28,28,25,1,81,17.25,17.25,138,7.26,1.18,176.0,100.0,100.0,176.0,720,2.38,2.38,0,0.0,19,23269641,,,,,,,Spain La Liga
Real Betis,1.38,65.45454545454545,11.0,99.25,99.25,794,174.4,183.29,190.0,179.18,180.62,50.25,50.25,402,5.13,5.13,41,44.63,44.63,357,8.88,8.88,71,8,4,4,8,6,2,0,0,0,8,4,1,0,0,2.0,2.0,0.0,37297124.0,7.7,2.0,0.25,2.0,8.38,67,2.0,45.0,11,1.38,1.38,11,479.0,319.33,32.75,3832,,,,10,17,1,,,,,,,55.38,117,14.63,38,71,42,37,46,1,117,17.75,17.75,142,8.35,1.97,628.0,371.0,371.0,628.0,720,2.0,2.0,0,0.0,16,97664,,,,,,,Spain La Liga
Osasuna,0.63,144.0,5.0,82.0,82.0,656,179.88,188.0,187.0,181.83,182.8,44.63,44.63,357,2.13,2.13,17,37.38,37.38,299,12.63,12.63,101,8,4,4,8,6,2,0,0,0,5,2,0,0,0,0.0,2.0,1.0,189296.0,7.02,2.0,0.25,2.0,8.63,69,1.0,9.0,8,1.13,1.13,9,392.63,523.5,44.24,3141,100.0,0.0,1.0,5,16,0,0.13,0.13,0.0,0.0,1.0,32031674.0,102.86,71,8.88,15,51,33,23,20,500,71,14.75,14.75,118,6.56,1.17,208.0,114.0,114.0,208.0,720,1.75,1.75,1,0.13,14,188626,0.13,0.13,0.0,0.0,1.0,98079.0,Spain La Liga
Rayo Vallecano,0.75,120.0,6.0,99.5,99.5,796,177.67,182.75,186.0,179.0,180.67,54.13,54.13,433,6.63,6.63,53,46.5,46.5,372,13.13,13.13,105,8,5,3,8,7,2,1,0,0,5,2,1,0,0,0.0,1.0,0.0,2511096.0,7.02,1.0,0.13,1.0,9.13,73,1.0,18.0,11,2.5,2.5,20,457.38,522.71,35.87,3659,100.0,0.0,1.0,7,16,1,0.13,0.13,0.0,0.0,1.0,7698443.0,90.0,102,12.75,22,64,46,34,36,600,102,16.38,16.38,131,5.7,1.25,566.0,266.0,266.0,566.0,720,2.75,2.75,0,0.0,22,383223,,,,,,,Spain La Liga
FC Barcelona,2.13,42.35294117647059,17.0,119.5,119.5,956,181.67,184.0,190.75,178.4,182.5,71.0,71.0,568,7.0,7.0,56,63.63,63.63,509,9.0,9.0,72,8,5,3,8,5,2,1,1,0,8,6,5,1,1,2.0,4.0,3.0,37656179.0,8.12,3.0,0.38,3.0,6.38,51,2.0,56.0,17,2.0,2.0,16,643.25,257.3,31.57,5146,50.0,1.0,1.0,6,18,0,,,,,,,32.73,163,20.38,42,102,53,68,61,1,163,15.13,15.13,121,11.0,1.68,1822.0,838.0,838.0,1822.0,720,1.25,1.25,0,0.0,10,337394,,,,,,,Spain La Liga
Valencia,1.25,72.0,10.0,90.75,90.75,726,177.0,182.6,187.67,180.0,181.48,48.0,48.0,384,5.5,5.5,44,38.38,38.38,307,11.5,11.5,92,8,4,4,8,6,4,1,1,1,6,3,1,0,0,0.0,2.0,1.0,96887.0,6.91,3.0,0.38,3.0,7.75,62,2.0,57.0,18,1.25,1.25,10,396.25,317.0,37.74,3170,0.0,1.0,0.0,8,16,0,0.13,0.13,0.0,0.0,1.0,186337.0,72.0,84,10.5,23,54,35,26,31,1,84,15.25,15.25,122,9.38,1.31,587.0,223.0,223.0,587.0,720,1.5,1.5,0,0.0,12,96887,,,,,,,Spain La Liga
Espanyol,1.0,90.0,8.0,89.13,89.13,713,180.4,183.89,186.0,180.11,182.0,41.88,41.88,335,4.13,4.13,33,46.75,46.75,374,13.75,13.75,110,8,3,5,8,6,5,0,0,0,6,4,1,0,0,2.0,0.0,0.0,186694.0,7.24,1.0,0.13,1.0,6.75,54,1.0,73.0,13,1.38,1.38,11,363.75,323.33,27.71,2910,66.67,1.0,2.0,8,19,0,0.13,0.13,0.0,0.0,1.0,186694.0,65.45,105,13.13,21,63,48,36,41,700,105,15.13,15.13,121,8.64,1.09,428.0,180.0,180.0,428.0,720,1.63,1.63,0,0.0,13,188057,,,,,,,Spain La Liga
Mallorca,0.63,144.0,5.0,86.25,86.25,690,182.17,182.63,193.67,178.33,182.31,43.63,43.63,349,3.88,3.88,31,32.75,32.75,262,12.38,12.38,99,8,4,4,8,7,4,2,0,0,6,1,0,0,0,2.0,0.0,0.0,37779259.0,7.13,1.0,0.13,1.0,6.88,55,1.0,87.0,11,1.38,1.38,11,372.88,497.17,36.38,2983,100.0,0.0,1.0,9,17,1,0.13,0.13,0.0,0.0,1.0,49353.0,102.86,82,10.25,20,49,31,31,32,500,82,15.25,15.25,122,5.55,1.23,543.0,239.0,239.0,543.0,720,2.0,2.0,1,0.13,16,20708455,0.25,0.25,0.0,0.0,2.0,448342.0,Spain La Liga
