team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Eyüpspor,0.38,240.0,3.0,73.5,73.5,588,179.86,181.29,189.6,179.1,181.62,52.0,52.0,416,4.25,4.25,34,38.25,38.25,306,11.88,11.88,95,8,4,4,8,6,3,1,1,0,3,1,0,0,0,0.0,1.0,1.0,37261344.0,7.33,1.0,0.13,1.0,8.25,66,1.0,51.0,8,3.25,3.25,26,376.88,753.75,32.77,3015,,,,12,18,0,,,,,,,180.0,92,11.5,27,50,41,24,42,400,92,15.13,15.13,121,5.5,1.32,267.0,131.0,131.0,267.0,720,2.75,2.75,0,0.0,22,165648,,,,,,,Turkey Super Lig
Galatasaray,1.75,51.42857142857143,14.0,96.13,96.13,769,181.4,184.64,190.33,179.88,183.26,61.0,61.0,488,4.5,4.5,36,48.63,48.63,389,12.38,12.38,99,8,4,4,8,3,0,0,0,0,8,6,5,1,0,1.0,4.0,3.0,4243131.0,9.01,3.0,0.38,3.0,7.5,60,2.0,90.0,13,1.38,1.38,11,503.88,237.12,30.31,4031,100.0,0.0,2.0,11,16,0,0.13,0.13,0.0,0.0,1.0,26294.0,36.0,133,16.63,18,86,67,49,46,1,133,17.63,17.63,141,11.75,1.41,1164.0,598.0,598.0,1164.0,720,1.38,1.38,0,0.0,11,26294,,,,,,,Turkey Super Lig
Fatih Karagümrük,0.75,120.0,6.0,87.88,87.88,703,181.67,185.33,194.67,178.22,182.92,50.38,50.38,403,3.88,3.88,31,36.0,36.0,288,13.75,13.75,110,8,3,5,8,8,6,3,1,0,3,3,1,0,0,1.0,2.0,0.0,25116.0,7.01,4.0,0.5,4.0,8.5,68,3.0,90.0,15,1.63,1.63,13,380.25,507.0,33.43,3042,0.0,1.0,0.0,6,16,4,0.13,0.13,0.0,0.0,1.0,37768065.0,102.86,91,11.38,22,48,45,24,43,600,91,13.13,13.13,105,7.0,0.96,156.0,66.0,66.0,156.0,720,1.75,1.75,0,0.0,14,183013,,,,,,,Turkey Super Lig
Kasımpaşa,0.75,120.0,6.0,91.63,91.63,733,183.5,183.0,190.5,181.38,183.21,44.88,44.88,359,4.25,4.25,34,44.38,44.38,355,16.75,16.75,134,8,4,4,8,6,2,1,0,0,6,2,0,0,0,2.0,1.0,0.0,62486.0,7.3,1.0,0.13,1.0,9.63,77,1.0,31.0,9,1.5,1.5,12,335.5,447.33,27.11,2684,100.0,0.0,1.0,10,16,2,0.13,0.13,0.0,0.0,1.0,96714.0,90.0,99,12.38,25,56,55,19,41,500,99,15.63,15.63,125,4.63,0.93,266.0,109.0,109.0,266.0,720,2.88,2.88,0,0.0,23,129679,0.13,0.13,0.0,0.0,1.0,17894388.0,Turkey Super Lig
Samsunspor,0.63,144.0,5.0,95.0,95.0,760,183.4,184.0,191.33,179.6,183.07,52.13,52.13,417,6.13,6.13,49,40.5,40.5,324,15.0,15.0,120,8,3,5,8,5,3,0,0,0,6,3,1,0,0,1.0,0.0,0.0,26035.0,7.29,1.0,0.13,1.0,8.63,69,1.0,67.0,11,2.0,2.0,16,401.0,458.29,33.42,3208,100.0,0.0,1.0,7,18,2,,,,,,,72.0,96,12.0,18,56,48,30,39,600,96,14.63,14.63,117,4.88,0.99,313.0,133.0,133.0,313.0,720,2.88,2.88,0,0.0,23,201131,0.13,0.13,0.0,0.0,1.0,64188.0,Turkey Super Lig
Antalyaspor,1.0,90.0,8.0,73.38,73.38,587,183.29,181.22,189.5,180.75,182.79,45.63,45.63,365,4.88,4.88,39,31.25,31.25,250,11.88,11.88,95,8,4,4,8,7,3,1,1,1,6,3,0,0,0,0.0,2.0,0.0,200135.0,7.33,4.0,0.5,4.0,7.38,59,1.0,19.0,12,1.63,1.63,13,368.13,327.22,38.25,2945,,,,6,21,4,,,,,,,80.0,77,9.63,12,54,27,38,24,900,77,13.0,13.0,104,4.73,1.08,298.0,149.0,149.0,298.0,720,2.38,2.38,0,0.0,19,25029,0.13,0.13,0.0,0.0,1.0,25029.0,Turkey Super Lig
Beşiktaş,0.86,105.0,6.0,89.86,89.86,629,182.75,183.75,193.0,179.62,182.81,53.86,53.86,377,6.71,6.71,47,44.57,44.57,312,14.86,14.86,104,7,4,3,7,6,2,1,0,0,5,4,2,1,0,1.0,1.0,1.0,159402.0,7.45,3.0,0.43,3.0,10.43,73,2.0,90.0,11,2.57,2.57,18,419.86,293.9,28.26,2939,100.0,0.0,1.0,10,20,3,0.14,0.14,0.0,0.0,1.0,4545376.0,52.5,104,14.86,33,81,30,41,23,900,104,15.71,15.71,110,6.11,1.02,808.0,358.0,358.0,808.0,630,2.43,2.43,0,0.0,17,35192,,,,,,,Turkey Super Lig
İstanbul Başakşehir,0.71,126.0,5.0,93.86,93.86,657,187.8,186.57,193.2,177.85,184.1,57.43,57.43,402,6.0,6.0,42,44.71,44.71,313,13.57,13.57,95,7,4,3,7,5,2,0,0,0,5,1,0,0,0,1.0,0.0,0.0,,7.43,1.0,0.14,1.0,9.14,64,1.0,41.0,8,1.71,1.71,12,453.14,634.4,40.15,3172,,,,7,22,1,,,,,,,105.0,79,11.29,16,52,38,25,27,500,79,15.0,15.0,105,5.53,1.08,418.0,183.0,183.0,418.0,630,2.43,2.43,0,0.0,17,2178600,0.14,0.14,0.0,0.0,1.0,2178600.0,Turkey Super Lig
Konyaspor,1.57,57.27272727272727,11.0,88.14,88.14,617,177.43,184.86,191.5,176.78,180.4,49.43,49.43,346,4.57,4.57,32,40.29,40.29,282,11.86,11.86,83,7,4,3,7,6,2,1,0,0,7,3,2,1,0,0.0,2.0,1.0,114160.0,7.27,1.0,0.14,1.0,7.86,55,2.0,79.0,12,1.86,1.86,13,374.71,238.45,29.81,2623,100.0,0.0,1.0,6,17,3,,,,,,,48.46,88,12.57,23,52,30,35,36,1,88,14.86,14.86,104,5.2,1.25,278.0,88.0,88.0,278.0,630,2.43,2.43,1,0.14,17,450488,0.14,0.14,0.0,0.0,1.0,114160.0,Turkey Super Lig
Alanyaspor,0.75,120.0,6.0,73.5,73.5,588,182.4,187.71,189.0,176.78,182.39,43.25,43.25,346,3.25,3.25,26,33.75,33.75,270,14.38,14.38,115,8,5,3,8,6,3,0,0,0,6,4,0,0,0,1.0,3.0,0.0,129857.0,7.2,1.0,0.13,1.0,7.63,61,1.0,76.0,12,1.0,1.0,8,369.25,369.25,33.19,2954,100.0,0.0,2.0,6,20,2,,,,,,,72.0,89,11.13,16,56,41,32,33,600,89,11.63,11.63,93,5.17,0.81,336.0,136.0,136.0,336.0,720,2.38,2.38,0,0.0,19,74305,,,,,,,Turkey Super Lig
