team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Belgrano,0.56,162.0,15.0,91.63,91.63,2474,177.0,184.67,184.25,174.88,180.71,50.04,50.04,1351,4.48,4.48,121,52.59,52.59,1420,13.81,13.81,373,27,14,13,27,16,7,6,2,0,16,5,2,0,0,1.0,5.0,4.0,253723.0,7.5,2.0,0.07,2.0,8.85,239,2.0,38.0,28,1.7,1.7,46,361.59,542.39,33.32,9763,100.0,0.0,4.0,8,17,1,0.07,0.07,0.0,0.0,2.0,214908.0,105.65,293,10.85,76,164,129,88,127,1,293,18.37,18.37,496,5.77,1.24,619.0,275.0,275.0,619.0,2430,2.81,2.81,0,0.0,76,37705907,0.11,0.11,0.0,0.0,3.0,159815.0,Argentina Liga Profissional de Futebol
San Martín San Juan,0.33,270.0,9.0,90.37,90.37,2440,175.71,181.83,185.5,175.71,177.66,44.7,44.7,1207,4.85,4.85,131,53.59,53.59,1447,13.7,13.7,370,27,13,14,27,19,9,1,0,0,8,3,2,0,0,0.0,2.0,0.0,37264077.0,7.42,5.0,0.19,5.0,7.63,206,1.0,15.0,27,1.7,1.7,46,287.15,775.3,26.02,7753,100.0,0.0,2.0,3,16,0,0.11,0.11,0.0,0.0,3.0,27068119.0,186.92,298,11.04,66,181,156,77,121,800,298,16.67,16.67,450,6.0,1.24,48.0,,,48.0,2430,2.67,2.67,0,0.0,72,27068119,0.04,0.04,0.0,0.0,1.0,33165984.0,Argentina Liga Profissional de Futebol
Deportivo Riestra,0.79,115.9090909090909,22.0,87.93,87.93,2462,177.11,183.91,184.5,175.93,179.14,31.93,31.93,894,2.68,2.68,75,45.32,45.32,1269,15.43,15.43,432,28,14,14,28,10,5,3,0,0,19,9,3,0,0,1.0,7.0,4.0,333860.0,7.97,2.0,0.07,2.0,9.18,257,2.0,76.0,34,1.36,1.36,38,217.14,209.66,26.21,6080,50.0,2.0,2.0,10,22,2,,,,,,,82.26,232,8.29,56,156,101,75,73,2,232,17.71,17.71,496,5.57,1.15,8.0,,,8.0,2550,3.0,3.0,0,0.0,84,215616,0.07,0.07,0.0,0.0,2.0,29312029.0,Argentina Liga Profissional de Futebol
Central Cordoba SdE,0.89,101.25,24.0,97.85,97.85,2642,179.67,181.09,187.67,172.91,178.65,51.78,51.78,1398,4.41,4.41,119,54.93,54.93,1483,10.52,10.52,284,27,14,13,27,18,9,4,0,0,19,10,3,1,0,3.0,6.0,4.0,37261700.0,7.46,3.0,0.11,3.0,10.04,271,4.0,90.0,43,1.41,1.41,38,414.78,399.96,35.78,11199,75.0,1.0,3.0,7,22,0,0.07,0.07,0.0,0.0,2.0,213472.0,73.64,313,11.59,64,183,142,107,130,2,313,16.22,16.22,438,8.42,1.56,129.0,78.0,78.0,129.0,2430,1.78,1.78,0,0.0,48,213472,0.04,0.04,0.0,0.0,1.0,37615734.0,Argentina Liga Profissional de Futebol
Huracán,0.61,147.6315789473684,19.0,95.48,95.48,2960,174.14,181.73,184.5,178.58,179.06,50.03,50.03,1551,4.26,4.26,132,50.94,50.94,1579,12.42,12.42,385,31,15,16,31,14,7,2,0,0,20,7,2,0,0,2.0,4.0,2.0,213048.0,7.59,3.0,0.1,3.0,9.97,309,2.0,57.0,30,1.94,1.94,60,342.68,442.63,30.35,10623,80.0,1.0,4.0,8,20,0,0.03,0.03,0.0,0.0,1.0,37550063.0,96.72,350,11.29,76,202,161,113,141,2,350,16.94,16.94,525,6.48,1.35,273.0,140.0,140.0,273.0,2805,2.42,2.42,0,0.0,75,522622,0.06,0.06,0.0,0.0,2.0,215484.0,Argentina Liga Profissional de Futebol
Vélez Sarsfield,0.48,186.92307692307693,13.0,94.52,94.52,2552,179.33,180.79,188.5,173.77,178.95,54.48,54.48,1471,4.44,4.44,120,53.44,53.44,1443,13.33,13.33,360,27,14,13,27,17,8,3,1,0,13,8,2,0,0,0.0,4.0,2.0,96756.0,7.33,5.0,0.19,5.0,10.52,284,3.0,45.0,29,2.11,2.11,57,402.19,571.53,42.42,10859,66.67,1.0,2.0,8,30,1,0.11,0.11,0.0,0.0,3.0,37545375.0,105.65,256,9.48,80,142,98,78,120,1,256,20.67,20.67,558,5.69,1.5,327.0,205.0,205.0,327.0,2430,3.04,3.04,0,0.0,82,233949,0.19,0.19,0.0,0.0,5.0,20355602.0,Argentina Liga Profissional de Futebol
Racing Club,0.93,96.92307692307692,26.0,98.43,98.43,2756,176.22,180.17,188.0,176.45,178.66,53.64,53.64,1502,5.32,5.32,149,59.89,59.89,1677,13.89,13.89,389,28,13,15,28,17,7,4,1,0,20,11,3,2,0,1.0,8.0,5.0,37545348.0,7.83,5.0,0.18,5.0,11.25,315,3.0,90.0,40,1.93,1.93,54,366.54,301.85,28.12,10263,100.0,0.0,1.0,8,23,0,0.04,0.04,0.0,0.0,1.0,214115.0,70.0,365,13.04,100,231,156,109,129,3,365,15.14,15.14,424,4.66,1.02,267.0,138.0,138.0,267.0,2520,3.0,3.0,0,0.0,84,546751,0.07,0.07,0.0,0.0,2.0,522621.0,Argentina Liga Profissional de Futebol
San Lorenzo,0.4,225.0,12.0,95.2,95.2,2856,182.0,180.58,191.67,175.23,179.55,47.6,47.6,1428,4.27,4.27,128,52.93,52.93,1588,13.03,13.03,391,30,15,15,30,15,6,0,0,0,19,6,1,0,0,0.0,2.0,0.0,1491606.0,7.73,5.0,0.17,5.0,9.93,298,2.0,69.0,27,1.27,1.27,38,330.7,522.16,32.53,9921,100.0,0.0,5.0,3,23,3,0.03,0.03,0.0,0.0,1.0,37637006.0,103.85,305,10.17,69,183,139,97,122,1,305,19.03,19.03,571,6.21,1.51,103.0,22.0,22.0,103.0,2700,2.8,2.8,0,0.0,84,37625414,0.07,0.07,0.0,0.0,2.0,26328631.0,Argentina Liga Profissional de Futebol
Lanús,0.61,150.88235294117646,17.0,97.32,97.32,2725,176.5,179.85,189.25,175.42,178.83,50.75,50.75,1421,4.57,4.57,128,52.79,52.79,1478,11.79,11.79,330,28,14,14,28,16,3,1,0,0,16,6,1,1,0,2.0,2.0,0.0,253658.0,7.7,6.0,0.21,6.0,10.25,287,2.0,90.0,27,1.29,1.29,36,402.07,536.1,31.27,11258,100.0,0.0,3.0,5,20,1,0.07,0.07,0.0,0.0,2.0,253658.0,106.88,360,12.86,88,225,148,124,137,1,360,16.29,16.29,456,7.48,1.29,270.0,85.0,85.0,270.0,2565,2.04,2.04,0,0.0,57,333483,0.04,0.04,0.0,0.0,1.0,333958.0,Argentina Liga Profissional de Futebol
Independiente Rivadavia,0.79,114.54545454545456,22.0,88.89,88.89,2489,179.25,180.62,185.33,177.2,179.71,45.32,45.32,1269,4.0,4.0,112,48.82,48.82,1367,12.11,12.11,339,28,15,13,28,18,9,2,1,0,18,9,3,0,0,4.0,1.0,0.0,238611.0,7.59,3.0,0.11,3.0,8.39,235,2.0,45.0,37,2.96,2.96,83,321.86,360.48,32.3,9012,80.0,1.0,4.0,6,29,2,0.14,0.14,0.0,0.0,4.0,37627750.0,84.0,279,9.96,65,161,120,94,119,2,279,15.64,15.64,438,5.15,1.26,140.0,90.0,90.0,140.0,2520,2.68,2.68,0,0.0,75,245530,0.07,0.07,0.0,0.0,2.0,33608159.0,Argentina Liga Profissional de Futebol
