team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Grêmio,0.59,151.875,16.0,82.74,82.74,2234,180.83,182.93,192.0,176.72,180.56,44.22,44.22,1194,3.52,3.52,95,32.44,32.44,876,13.56,13.56,366,27,14,13,27,23,6,2,2,0,19,6,3,0,0,0.0,3.0,2.0,37739583.0,7.38,3.0,0.11,3.0,9.3,251,4.0,45.0,33,1.0,1.0,27,367.52,472.52,35.44,9923,100.0,0.0,6.0,7,33,1,0.15,0.15,0.0,0.0,4.0,219920.0,86.79,280,10.37,64,164,115,101,118,1,280,18.3,18.3,494,6.33,1.31,833.0,383.0,383.0,833.0,2430,2.67,2.67,0,0.0,72,223664,0.04,0.04,0.0,0.0,1.0,37565168.0,Brasileirao Betano Serie A
Mirassol,1.0,90.0,26.0,92.69,92.69,2410,179.22,182.82,190.25,176.4,180.28,48.81,48.81,1269,5.42,5.42,141,42.54,42.54,1106,12.65,12.65,329,26,14,12,26,19,7,2,0,0,23,11,5,2,1,5.0,3.0,2.0,218882.0,7.35,9.0,0.35,9.0,8.96,233,3.0,45.0,36,1.58,1.58,41,406.04,293.25,29.0,10557,80.0,1.0,4.0,6,32,1,0.04,0.04,0.0,0.0,1.0,222214.0,55.71,364,14.0,114,220,129,121,141,3,364,16.46,16.46,428,7.25,1.3,348.0,169.0,169.0,348.0,2340,2.58,2.58,0,0.0,67,219145,,,,,,,Brasileirao Betano Serie A
Fortaleza,0.77,117.0,20.0,93.69,93.69,2436,176.56,182.42,192.8,176.78,180.09,47.73,47.73,1241,5.96,5.96,155,37.42,37.42,973,14.19,14.19,369,26,12,14,26,19,12,5,3,2,16,6,2,1,1,1.0,3.0,3.0,37912519.0,7.46,5.0,0.19,5.0,8.69,226,2.0,4.0,35,2.04,2.04,53,388.62,421.0,29.98,10104,50.0,2.0,2.0,13,30,1,0.08,0.08,0.0,0.0,2.0,219704.0,90.0,337,12.96,112,208,122,103,126,2,337,18.62,18.62,484,5.83,1.29,876.0,408.0,408.0,876.0,2340,2.88,2.88,1,0.04,75,214533,0.12,0.12,0.0,0.0,3.0,201722.0,Brasileirao Betano Serie A
Vitória,0.74,121.5,20.0,87.52,87.52,2363,179.58,183.3,191.5,177.36,180.93,42.63,42.63,1151,4.56,4.56,123,37.37,37.37,1009,14.78,14.78,399,27,14,13,27,21,12,3,2,1,16,7,1,0,0,3.0,4.0,0.0,10995304.0,7.62,5.0,0.19,5.0,7.59,205,3.0,90.0,42,1.85,1.85,50,345.11,388.25,29.3,9318,,,,11,28,3,0.11,0.11,0.0,0.0,3.0,219568.0,101.25,318,11.78,85,185,123,110,134,2,318,14.81,14.81,400,4.82,0.99,571.0,206.0,206.0,571.0,2430,2.78,2.78,0,0.0,75,470926,0.07,0.07,0.0,0.0,2.0,5641037.0,Brasileirao Betano Serie A
Palmeiras,1.12,80.35714285714286,28.0,97.92,97.92,2448,178.88,181.8,193.0,179.23,181.5,51.68,51.68,1292,5.76,5.76,144,42.8,42.8,1070,13.92,13.92,348,25,12,13,25,16,5,0,0,0,21,13,6,2,0,4.0,4.0,2.0,37552296.0,7.4,5.0,0.2,5.0,7.84,196,3.0,45.0,34,2.04,2.04,51,403.12,287.94,28.39,10078,85.71,1.0,6.0,16,22,0,0.04,0.04,1.0,0.04,1.0,37702000.0,53.57,355,14.2,91,198,144,120,155,2,355,17.92,17.92,448,8.78,1.26,1175.0,708.0,708.0,1175.0,2250,2.08,2.08,1,0.04,52,29313859,,,,,,,Brasileirao Betano Serie A
Internacional,0.69,130.0,18.0,102.96,102.96,2677,177.5,183.38,192.75,177.67,181.0,51.46,51.46,1338,5.23,5.23,136,39.96,39.96,1039,14.77,14.77,384,26,12,14,26,21,9,5,3,0,21,8,3,0,0,5.0,4.0,3.0,205487.0,7.87,7.0,0.27,7.0,8.88,231,3.0,90.0,39,1.58,1.58,41,448.5,485.88,33.22,11661,88.89,1.0,8.0,8,32,0,0.08,0.08,0.0,0.0,2.0,186899.0,73.13,351,13.5,99,211,128,124,141,1,351,18.15,18.15,472,7.74,1.23,1071.0,509.0,509.0,1071.0,2340,2.04,2.04,0,0.0,53,37261258,0.08,0.08,0.0,0.0,2.0,130174.0,Brasileirao Betano Serie A
Fluminense,0.76,118.42105263157896,19.0,98.12,98.12,2453,174.11,179.2,191.67,178.0,178.47,53.48,53.48,1337,4.36,4.36,109,41.84,41.84,1046,11.68,11.68,292,25,13,12,25,17,9,4,1,0,19,12,2,0,0,2.0,7.0,3.0,785373.0,7.45,10.0,0.4,10.0,7.12,178,4.0,90.0,39,0.88,0.88,22,484.16,417.38,39.3,12104,75.0,1.0,3.0,8,30,0,0.04,0.04,0.0,0.0,1.0,24837993.0,68.18,308,12.32,82,185,129,97,123,2,308,15.52,15.52,388,7.61,1.32,1160.0,692.0,692.0,1160.0,2250,1.84,1.84,0,0.0,46,37571856,0.04,0.04,0.0,0.0,1.0,220114.0,Brasileirao Betano Serie A
Corinthians,0.74,121.5,20.0,97.52,97.52,2633,179.67,181.8,191.75,177.09,180.88,54.44,54.44,1470,4.52,4.52,122,39.04,39.04,1054,14.37,14.37,388,27,14,13,27,19,11,1,1,0,19,5,4,1,0,5.0,2.0,1.0,5641049.0,7.26,7.0,0.26,7.0,8.59,232,5.0,90.0,32,1.59,1.59,43,469.07,506.6,41.52,12665,50.0,2.0,2.0,8,24,1,0.04,0.04,0.0,0.0,1.0,219279.0,83.79,305,11.3,74,193,135,96,114,2,305,16.56,16.56,447,5.66,1.12,1469.0,793.0,793.0,1469.0,2430,2.96,2.96,1,0.04,80,9949810,,,,,,,Brasileirao Betano Serie A
Bragantino,0.78,115.71428571428572,21.0,91.41,91.41,2468,180.0,185.15,190.25,178.67,182.79,47.04,47.04,1270,4.85,4.85,131,40.56,40.56,1095,13.26,13.26,358,27,13,14,27,20,13,4,1,0,24,7,1,1,0,1.0,4.0,1.0,223795.0,7.69,12.0,0.44,12.0,8.33,225,3.0,90.0,36,1.22,1.22,33,396.0,356.4,31.26,10692,100.0,0.0,3.0,5,27,0,0.07,0.07,0.0,0.0,2.0,217695.0,73.64,342,12.67,88,211,134,120,128,2,342,15.74,15.74,425,5.45,1.19,877.0,276.0,276.0,877.0,2430,2.78,2.78,0,0.0,75,218346,0.04,0.04,0.0,0.0,1.0,37538558.0,Brasileirao Betano Serie A
Sport Recife,0.44,204.54545454545453,11.0,94.8,94.8,2370,176.18,184.27,189.33,178.38,180.69,47.0,47.0,1175,5.88,5.88,147,42.88,42.88,1072,14.68,14.68,367,25,13,12,25,20,13,4,1,0,14,5,0,0,0,1.0,1.0,0.0,218837.0,7.3,8.0,0.32,8.0,9.68,242,3.0,90.0,35,1.88,1.88,47,377.44,589.75,29.21,9436,100.0,0.0,1.0,12,29,0,,,,,,,118.42,323,12.92,97,189,122,105,134,1,323,16.08,16.08,402,6.28,1.13,737.0,424.0,424.0,737.0,2250,2.64,2.64,0,0.0,66,218837,,,,,,,Brasileirao Betano Serie A
