team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Deportivo Pasto,0.65,139.77272727272728,22.0,78.91,78.91,2683,175.2,182.67,180.0,178.92,179.53,42.62,42.62,1449,3.71,3.71,126,29.44,29.44,1001,13.21,13.21,449,34,17,17,34,26,12,3,0,0,22,9,4,0,0,3.0,4.0,1.0,239730.0,7.48,8.0,0.24,8.0,7.85,267,3.0,42.0,46,1.24,1.24,42,313.38,343.71,29.03,10655,100.0,0.0,4.0,11,16,6,0.18,0.18,0.0,0.0,6.0,236888.0,87.86,367,10.79,86,184,172,109,181,2,367,12.29,12.29,418,3.01,0.99,,,,,3075,3.62,3.62,0,0.0,123,786823,0.09,0.09,0.0,0.0,3.0,237014.0,Colombia Liga BetPlay
Boyacá Chicó,0.45,199.0,15.0,84.52,84.52,2789,180.13,181.5,186.5,172.0,177.48,47.27,47.27,1560,4.3,4.3,142,31.76,31.76,1048,10.97,10.97,362,33,17,16,33,23,16,8,5,1,19,6,0,0,0,3.0,1.0,0.0,,7.2,4.0,0.12,4.0,6.03,199,1.0,24.0,46,1.64,1.64,54,322.67,532.4,29.74,10648,71.43,2.0,5.0,6,20,6,0.21,0.21,0.0,0.0,7.0,237249.0,119.4,358,10.85,94,177,151,113,175,1,358,10.18,10.18,336,3.2,1.1,,,,,2985,2.85,2.85,0,0.0,94,237249,0.06,0.06,0.0,0.0,2.0,237249.0,Colombia Liga BetPlay
Once Caldas,0.82,109.6875,32.0,76.92,76.92,3000,182.0,182.45,182.0,174.75,178.83,49.26,49.26,1921,4.41,4.41,172,38.1,38.1,1486,11.56,11.56,451,39,19,20,39,26,16,2,1,0,27,11,4,1,1,1.0,5.0,2.0,21794923.0,7.27,7.0,0.18,7.0,7.56,295,4.0,45.0,48,2.46,2.46,96,351.46,351.46,28.8,13707,71.43,2.0,5.0,10,27,1,0.13,0.13,0.0,0.0,5.0,238574.0,79.77,476,12.21,110,228,194,172,246,3,476,12.56,12.56,490,3.53,1.04,18.0,9.0,9.0,18.0,3510,3.33,3.33,0,0.0,130,33991953,0.08,0.08,0.0,0.0,3.0,25568000.0,Colombia Liga BetPlay
Deportivo Pereira,0.74,123.6,25.0,79.62,79.62,2707,181.83,180.92,187.5,174.46,179.0,47.59,47.59,1618,5.06,5.06,172,33.41,33.41,1136,14.26,14.26,485,34,17,17,34,22,10,3,0,0,21,11,2,0,0,1.0,6.0,2.0,237735.0,7.3,10.0,0.29,10.0,6.65,226,2.0,45.0,39,2.0,2.0,68,329.74,350.34,27.28,11211,66.67,1.0,2.0,9,23,5,0.15,0.15,0.0,0.0,5.0,237036.0,90.88,411,12.09,93,215,185,133,191,3,411,11.88,11.88,404,2.93,0.83,,,,,3090,3.47,3.47,0,0.0,118,238323,0.18,0.18,0.0,0.0,6.0,237938.0,Colombia Liga BetPlay
Atlético Bucaramanga,0.91,98.70967741935485,31.0,89.35,89.35,3038,180.83,181.55,191.0,178.06,180.37,53.71,53.71,1826,5.21,5.21,177,41.59,41.59,1414,12.35,12.35,420,34,17,17,34,21,8,2,1,0,26,13,5,3,0,1.0,7.0,4.0,239423.0,7.68,10.0,0.29,10.0,8.29,282,7.0,90.0,42,1.62,1.62,55,384.09,352.95,28.51,13059,80.0,2.0,8.0,9,25,2,0.15,0.15,0.0,0.0,5.0,286181.0,65.11,458,13.47,90,252,209,159,200,2,458,12.62,12.62,429,3.61,1.01,,,,,3060,3.0,3.0,0,0.0,102,186431,0.15,0.15,0.0,0.0,5.0,238062.0,Colombia Liga BetPlay
Alianza Petrolera,0.74,123.0,25.0,82.15,82.15,2793,179.4,180.88,187.5,178.0,179.88,49.18,49.18,1672,4.47,4.47,152,36.91,36.91,1255,11.47,11.47,390,34,17,17,34,20,14,6,0,0,23,10,6,1,1,4.0,5.0,2.0,30878845.0,7.4,9.0,0.26,9.0,6.56,223,4.0,45.0,44,1.97,1.97,67,351.76,323.24,29.31,11960,100.0,0.0,3.0,4,22,4,0.15,0.15,0.0,0.0,5.0,237819.0,73.21,408,12.0,103,213,166,139,191,3,408,11.06,11.06,376,4.09,0.93,,,,,3075,2.44,2.44,0,0.0,83,201480,0.03,0.03,0.0,0.0,1.0,2483914.0,Colombia Liga BetPlay
Llaneros,0.64,141.42857142857142,21.0,84.42,84.42,2786,182.0,180.67,185.25,175.07,179.37,47.97,47.97,1583,4.58,4.58,151,34.0,34.0,1122,10.33,10.33,341,33,17,16,33,25,9,5,2,0,18,11,2,0,0,3.0,6.0,2.0,12844184.0,7.63,6.0,0.18,6.0,7.3,241,3.0,90.0,38,1.3,1.3,43,354.27,433.0,35.86,11691,50.0,1.0,1.0,11,21,8,0.15,0.15,0.0,0.0,5.0,238142.0,95.81,326,9.88,88,170,157,82,153,2,326,11.15,11.15,368,4.23,1.1,,,,,2970,2.42,2.42,1,0.03,80,16136307,0.03,0.03,0.0,0.0,1.0,16136307.0,Colombia Liga BetPlay
Deportes Tolima,0.9,100.41666666666669,36.0,80.33,80.33,3213,181.2,178.75,191.75,175.4,179.19,52.48,52.48,2099,3.93,3.93,157,31.03,31.03,1241,10.83,10.83,433,40,20,20,40,24,9,5,1,0,31,15,8,2,0,6.0,6.0,2.0,237898.0,7.86,8.0,0.2,8.0,6.28,251,3.0,45.0,53,1.38,1.38,55,397.65,305.88,32.86,15906,40.0,3.0,2.0,5,24,1,0.1,0.1,0.0,0.0,4.0,237642.0,64.55,484,12.1,119,258,194,171,223,5,484,11.6,11.6,464,4.22,1.1,,,,,3615,2.68,2.68,0,0.0,107,240336,,,,,,,Colombia Liga BetPlay
Unión Magdalena,0.56,161.05263157894737,19.0,78.15,78.15,2657,177.38,182.2,185.67,177.5,179.93,45.65,45.65,1552,3.32,3.32,113,32.09,32.09,1091,13.21,13.21,449,34,17,17,34,29,17,5,1,0,22,7,2,0,0,1.0,5.0,1.0,37679674.0,7.33,14.0,0.41,14.0,7.74,263,3.0,90.0,54,1.68,1.68,57,330.21,415.81,28.94,11227,80.0,1.0,4.0,7,20,7,0.26,0.26,0.0,0.0,9.0,70337.0,98.71,388,11.41,94,193,168,126,188,2,388,13.38,13.38,455,3.99,1.21,,,,,3060,2.88,2.88,0,0.0,98,403793,0.06,0.06,0.0,0.0,2.0,403793.0,Colombia Liga BetPlay
Junior FC,0.9,100.0,36.0,89.53,89.53,3581,177.88,180.69,187.0,177.06,179.23,54.75,54.75,2190,4.95,4.95,198,39.05,39.05,1562,9.83,9.83,393,40,20,20,40,26,12,3,0,0,29,18,5,2,0,4.0,10.0,8.0,237015.0,7.89,7.0,0.18,7.0,7.65,306,6.0,90.0,49,1.5,1.5,60,398.23,353.98,33.46,15929,58.33,5.0,7.0,7,36,0,0.25,0.25,0.0,0.0,10.0,214025.0,66.67,476,11.9,106,289,211,159,184,3,476,12.28,12.28,491,4.68,1.12,49.0,14.0,14.0,49.0,3600,2.33,2.33,0,0.0,93,236448,,,,,,,Colombia Liga BetPlay
Millonarios,0.87,104.11764705882354,34.0,89.41,89.41,3487,169.25,182.55,190.0,175.45,177.08,52.05,52.05,2030,4.23,4.23,165,39.18,39.18,1528,11.26,11.26,439,39,19,20,39,21,14,5,0,0,27,16,5,1,0,3.0,8.0,2.0,24065210.0,7.67,11.0,0.28,11.0,6.9,269,6.0,90.0,50,1.77,1.77,69,374.56,332.0,26.18,14608,62.5,3.0,5.0,10,27,1,0.23,0.23,0.0,0.0,9.0,237848.0,72.24,558,14.31,117,287,254,187,263,3,558,14.05,14.05,548,4.18,1.29,,,,,3540,3.1,3.1,0,0.0,121,236793,0.03,0.03,0.0,0.0,1.0,242484.0,Colombia Liga BetPlay
Santa Fe,0.93,97.89473684210526,38.0,77.2,77.2,3165,176.67,181.08,187.67,180.11,180.58,47.1,47.1,1931,4.83,4.83,198,33.34,33.34,1367,11.63,11.63,477,41,21,20,41,25,12,1,1,1,31,15,3,1,1,1.0,6.0,4.0,157.0,7.56,14.0,0.34,14.0,5.51,226,8.0,45.0,48,1.61,1.61,66,322.0,293.38,27.5,13202,87.5,1.0,7.0,7,21,3,0.17,0.17,0.0,0.0,7.0,214769.0,70.19,480,11.71,116,278,205,159,199,3,480,10.83,10.83,444,3.02,0.94,,,,,3720,3.37,3.37,0,0.0,138,37546557,0.05,0.05,0.0,0.0,2.0,236937.0,Colombia Liga BetPlay
