team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Houston Dynamo,0.97,92.8125,32.0,78.39,78.39,2587,179.5,185.7,189.75,174.42,180.74,50.52,50.52,1667,5.03,5.03,166,42.33,42.33,1397,14.58,14.58,481,33,16,17,33,24,19,11,2,0,28,10,4,1,0,2.0,6.0,1.0,37448754.0,7.69,12.0,0.36,12.0,8.27,273,5.0,90.0,58,1.36,1.36,45,456.03,406.73,36.88,15049,100.0,0.0,4.0,4,18,11,0.06,0.06,0.0,0.0,2.0,83459.0,69.07,408,12.36,114,268,171,123,133,3,408,14.09,14.09,465,5.0,0.9,1219.0,482.0,482.0,1219.0,2970,2.52,2.52,0,0.0,83,334115,0.09,0.09,0.0,0.0,3.0,219551.0,EUA MLS
LA Galaxy,0.97,92.90322580645162,31.0,79.56,79.56,2546,182.2,183.56,188.33,175.5,180.85,53.59,53.59,1715,5.22,5.22,167,38.38,38.38,1228,10.22,10.22,327,32,17,15,32,29,20,9,3,1,23,13,5,1,0,5.0,10.0,4.0,30922.0,7.42,8.0,0.25,8.0,7.59,243,4.0,90.0,56,1.38,1.38,44,528.72,433.82,43.61,16919,100.0,0.0,3.0,4,19,3,0.03,0.03,0.0,0.0,1.0,24613.0,68.57,388,12.13,115,243,131,142,144,3,388,15.34,15.34,491,7.01,1.49,885.0,482.0,482.0,885.0,2880,2.06,2.06,0,0.0,66,31238815,0.03,0.03,0.0,0.0,1.0,37566231.0,EUA MLS
Chicago Fire,1.61,56.0377358490566,53.0,73.18,73.18,2415,179.6,185.75,189.0,178.33,182.31,48.76,48.76,1609,4.55,4.55,150,36.48,36.48,1204,11.73,11.73,387,33,16,17,33,27,18,7,3,1,28,21,10,3,2,1.0,12.0,5.0,84538.0,7.51,8.0,0.24,8.0,10.12,334,4.0,70.0,63,1.67,1.67,55,460.94,249.36,34.03,15211,83.33,1.0,5.0,5,19,6,0.06,0.06,0.0,0.0,2.0,37451396.0,45.0,447,13.55,116,276,144,187,170,5,447,15.58,15.58,514,7.14,1.28,2170.0,1180.0,1180.0,2170.0,2970,2.03,2.03,0,0.0,67,37407453,0.03,0.03,0.0,0.0,1.0,37619734.0,EUA MLS
New England,0.79,114.23076923076924,26.0,74.94,74.94,2473,180.0,182.14,190.75,177.2,181.07,49.94,49.94,1648,5.12,5.12,169,33.27,33.27,1098,12.15,12.15,401,33,17,16,33,23,15,8,2,1,24,13,5,0,0,1.0,4.0,1.0,4272.0,7.92,10.0,0.3,10.0,9.91,327,3.0,90.0,53,2.06,2.06,68,452.61,452.61,36.88,14936,100.0,0.0,5.0,7,14,7,0.03,0.03,0.0,0.0,1.0,37689784.0,70.71,405,12.27,94,242,162,149,159,2,405,15.97,15.97,527,7.75,1.31,1577.0,908.0,908.0,1577.0,2970,2.06,2.06,0,0.0,68,201925,0.03,0.03,0.0,0.0,1.0,37689784.0,EUA MLS
St. Louis City,0.94,95.80645161290325,31.0,78.45,78.45,2589,181.5,184.14,193.33,181.11,183.66,47.03,47.03,1552,4.73,4.73,156,42.33,42.33,1397,11.33,11.33,374,33,17,16,33,27,17,10,2,0,22,15,5,0,0,3.0,6.0,4.0,32802.0,7.41,10.0,0.3,10.0,8.61,284,4.0,45.0,55,1.7,1.7,56,417.18,372.08,30.12,13767,100.0,0.0,3.0,5,17,11,0.03,0.03,0.0,0.0,1.0,275565.0,70.71,457,13.85,118,311,184,155,142,3,457,15.88,15.88,524,7.18,1.4,770.0,487.0,487.0,770.0,2970,1.91,1.91,0,0.0,63,21782831,0.09,0.09,0.0,0.0,3.0,31257.0,EUA MLS
Dallas,0.94,96.0,30.0,76.84,76.84,2459,178.57,184.0,188.2,174.73,179.41,41.47,41.47,1327,3.75,3.75,120,36.5,36.5,1168,13.13,13.13,420,32,15,17,32,26,14,8,3,1,24,16,7,2,0,4.0,9.0,3.0,17177617.0,7.61,8.0,0.25,8.0,9.16,293,5.0,45.0,52,2.16,2.16,69,373.22,265.4,34.42,11943,60.0,2.0,3.0,6,16,12,0.09,0.09,0.0,0.0,3.0,85719.0,58.78,347,10.84,73,244,140,134,101,4,347,15.0,15.0,480,6.32,1.14,1333.0,868.0,868.0,1333.0,2880,2.22,2.22,0,0.0,71,218639,0.03,0.03,0.0,0.0,1.0,455862.0,EUA MLS
Sporting KC,0.91,99.0,30.0,95.33,95.33,3146,182.8,185.27,190.5,176.38,182.46,47.79,47.79,1577,4.7,4.7,155,51.55,51.55,1701,11.73,11.73,387,33,17,16,33,30,23,12,4,1,25,13,5,2,1,7.0,5.0,2.0,4302.0,7.17,9.0,0.27,9.0,8.79,290,3.0,53.0,59,1.33,1.33,44,449.45,412.0,38.42,14832,85.71,1.0,6.0,6,13,7,0.03,0.03,0.0,0.0,1.0,1490707.0,64.57,386,11.7,102,256,148,136,121,3,386,14.09,14.09,465,6.28,1.12,950.0,362.0,362.0,950.0,2970,2.06,2.06,0,0.0,68,37692903,0.06,0.06,0.0,0.0,2.0,262207.0,EUA MLS
Austin,0.91,99.3103448275862,29.0,74.72,74.72,2391,176.14,183.9,189.5,180.13,181.19,47.5,47.5,1520,4.72,4.72,151,40.22,40.22,1287,12.78,12.78,409,32,16,16,32,24,12,5,1,1,22,10,2,1,0,2.0,6.0,4.0,37527390.0,7.17,10.0,0.31,10.0,8.69,278,5.0,90.0,42,1.88,1.88,60,413.13,413.13,35.73,13220,50.0,1.0,1.0,2,16,8,,,,,,,82.29,370,11.56,96,232,156,118,135,3,370,13.41,13.41,429,5.88,1.05,992.0,495.0,495.0,992.0,2880,2.22,2.22,0,0.0,71,37566967,0.03,0.03,0.0,0.0,1.0,191272.0,EUA MLS
Atlanta United,0.78,115.2,25.0,83.09,83.09,2659,180.6,182.64,189.5,177.08,180.53,50.5,50.5,1616,4.38,4.38,140,34.09,34.09,1091,11.03,11.03,353,32,16,16,32,28,19,8,2,1,20,9,5,3,0,5.0,5.0,0.0,257663.0,7.17,6.0,0.19,6.0,8.81,282,5.0,90.0,59,1.88,1.88,60,482.28,532.17,41.49,15433,100.0,0.0,4.0,9,16,7,,,,,,,77.84,372,11.63,97,247,154,121,125,2,372,13.06,13.06,418,6.43,1.2,1398.0,660.0,660.0,1398.0,2880,2.03,2.03,0,0.0,65,506092,,,,,,,EUA MLS
Columbus Crew,1.03,87.3529411764706,34.0,96.64,96.64,3189,181.4,178.6,191.4,179.27,181.88,58.82,58.82,1941,4.97,4.97,164,44.58,44.58,1471,10.06,10.06,332,33,17,16,33,28,13,6,2,1,27,15,5,4,1,3.0,7.0,1.0,260878.0,7.49,9.0,0.27,9.0,7.36,243,4.0,45.0,59,2.36,2.36,78,573.12,429.84,43.88,18913,100.0,0.0,5.0,4,14,7,0.03,0.03,0.0,0.0,1.0,85953.0,57.12,431,13.06,127,294,147,157,138,3,431,14.15,14.15,467,9.94,1.4,1364.0,634.0,634.0,1364.0,2970,1.39,1.39,0,0.0,46,114179,,,,,,,EUA MLS
