team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Gangwon,0.69,130.9090909090909,22.0,94.97,94.97,3039,183.13,182.8,188.25,179.27,182.5,48.88,48.88,1564,4.38,4.38,140,57.31,57.31,1834,11.28,11.28,361,32,15,17,32,20,10,3,1,0,19,8,3,0,0,2.0,5.0,3.0,37643590.0,6.89,9.0,0.28,9.0,9.16,293,7.0,90.0,40,1.25,1.25,40,392.78,448.89,38.91,12569,100.0,0.0,2.0,4,22,14,0.06,0.06,0.0,0.0,2.0,13186306.0,96.0,323,10.09,77,197,128,117,116,2,323,15.09,15.09,483,7.1,1.32,,,,,2880,2.0,2.0,0,0.0,64,37561621,0.03,0.03,0.0,0.0,1.0,324352.0,K League 1
Seoul,0.97,92.90322580645162,31.0,104.0,104.0,3328,180.9,180.2,192.0,177.63,180.53,54.06,54.06,1730,5.78,5.78,185,69.97,69.97,2239,9.69,9.69,310,32,16,16,32,22,11,4,1,1,25,11,5,1,0,3.0,3.0,1.0,813.0,6.76,11.0,0.34,11.0,9.0,288,2.0,48.0,46,1.19,1.19,38,450.06,389.24,27.97,14402,75.0,1.0,3.0,5,17,2,,,,,,,68.57,515,16.09,148,298,195,170,207,3,515,13.31,13.31,426,7.89,1.34,44.0,33.0,33.0,44.0,2880,1.88,1.88,0,0.0,60,820,,,,,,,K League 1
Pohang Steelers,0.84,106.66666666666669,27.0,106.66,106.66,3413,179.89,182.0,187.0,179.91,181.21,51.22,51.22,1639,4.53,4.53,145,63.72,63.72,2039,11.25,11.25,360,32,15,17,32,23,11,5,2,1,25,10,3,0,0,2.0,3.0,1.0,37561719.0,6.85,10.0,0.31,10.0,8.66,277,2.0,44.0,41,1.38,1.38,44,432.06,432.06,35.73,13826,85.71,1.0,6.0,5,18,10,0.09,0.09,0.0,0.0,3.0,439303.0,75.79,387,12.09,104,228,149,133,149,2,387,13.97,13.97,447,9.12,1.28,,,,,2880,1.53,1.53,0,0.0,49,319932,,,,,,,K League 1
Ulsan HD,0.88,102.85714285714286,28.0,109.0,109.0,3488,183.17,183.91,192.0,178.0,182.47,57.69,57.69,1846,5.78,5.78,185,79.84,79.84,2555,11.34,11.34,363,32,17,15,32,23,13,6,1,0,24,11,2,0,0,4.0,6.0,3.0,308988.0,6.97,10.0,0.31,10.0,8.09,259,3.0,90.0,47,1.59,1.59,51,480.84,480.84,32.46,15387,75.0,1.0,3.0,10,16,8,,,,,,,77.84,474,14.81,145,302,196,134,163,2,474,15.84,15.84,507,7.92,1.44,203.0,77.0,77.0,203.0,2880,2.03,2.03,0,0.0,65,321198,0.03,0.03,0.0,0.0,1.0,320918.0,K League 1
Jeonbuk Motors,1.19,75.78947368421052,38.0,109.25,109.25,3496,187.4,179.25,191.0,178.0,180.96,49.75,49.75,1592,4.66,4.66,149,72.22,72.22,2311,11.72,11.72,375,32,16,16,32,20,6,1,0,0,29,18,7,1,0,4.0,9.0,3.0,37562306.0,6.9,10.0,0.31,10.0,7.03,225,4.0,90.0,43,1.19,1.19,38,410.97,273.98,33.81,13151,100.0,0.0,4.0,2,20,6,0.03,0.03,0.0,0.0,1.0,301837.0,52.36,389,12.16,106,259,140,144,120,4,389,14.22,14.22,455,6.32,1.25,,,,,2880,2.47,2.47,0,0.0,79,11322970,,,,,,,K League 1
Daejeon Citizen,1.03,87.27272727272727,33.0,106.44,106.44,3406,181.09,182.93,188.25,176.0,180.93,50.81,50.81,1626,4.06,4.06,130,65.88,65.88,2108,11.09,11.09,355,32,17,15,32,25,12,3,0,0,23,16,6,0,0,3.0,8.0,2.0,323785.0,6.98,17.0,0.53,17.0,7.91,253,6.0,90.0,55,0.91,0.91,29,403.56,322.85,37.76,12914,83.33,1.0,5.0,8,22,11,0.03,0.03,0.0,0.0,1.0,137081.0,64.0,342,10.69,98,197,121,126,123,3,342,16.41,16.41,525,8.08,1.63,,,,,2880,1.78,1.78,0,0.0,57,787558,0.13,0.13,0.0,0.0,4.0,323696.0,K League 1
Anyang,0.66,137.14285714285714,21.0,99.59,99.59,3187,178.0,181.58,190.5,179.58,181.29,45.75,45.75,1464,3.81,3.81,122,63.09,63.09,2019,10.78,10.78,345,32,16,16,32,26,13,1,0,0,23,10,4,1,0,2.0,7.0,2.0,29710740.0,6.78,8.0,0.25,8.0,8.75,280,6.0,90.0,45,1.41,1.41,45,376.69,344.4,30.52,12054,66.67,1.0,2.0,6,14,12,0.09,0.09,0.0,0.0,3.0,220910.0,75.79,395,12.34,103,221,160,135,169,3,395,14.41,14.41,461,6.49,1.36,,,,,2880,2.28,2.28,0,0.0,73,27291,,,,,,,K League 1
Jeju United,0.81,110.76923076923076,26.0,96.47,96.47,3087,179.75,182.82,189.67,179.89,181.6,50.56,50.56,1618,3.44,3.44,110,57.59,57.59,1843,11.78,11.78,377,32,16,16,32,24,13,6,1,0,22,9,3,0,0,2.0,6.0,3.0,37476479.0,6.83,12.0,0.38,12.0,8.66,277,4.0,90.0,55,1.53,1.53,49,401.75,414.71,33.74,12856,50.0,2.0,2.0,7,15,11,0.16,0.16,0.0,0.0,5.0,309802.0,84.71,381,11.91,87,201,176,123,153,2,381,13.66,13.66,437,6.07,1.27,,,,,2880,1.97,1.97,0,0.0,63,95007,0.09,0.09,0.0,0.0,3.0,323795.0,K League 1
Gimcheon Sangmu,1.28,70.2439024390244,41.0,102.03,102.03,3265,180.0,182.0,188.75,178.36,181.02,50.06,50.06,1602,5.41,5.41,173,72.56,72.56,2322,11.94,11.94,382,32,15,17,32,20,11,2,0,0,25,15,8,2,1,3.0,8.0,4.0,37563553.0,6.83,10.0,0.31,10.0,8.69,278,6.0,90.0,51,1.5,1.5,48,386.81,252.61,25.9,12378,60.0,2.0,3.0,4,27,10,0.03,0.03,0.0,0.0,1.0,82041.0,55.38,478,14.94,119,278,186,173,170,4,478,15.22,15.22,487,9.94,1.35,,,,,2880,1.63,1.63,0,0.0,52,781651,,,,,,,K League 1
Daegu,0.91,99.3103448275862,29.0,104.09,104.09,3331,181.0,183.6,189.4,178.91,182.35,48.0,48.0,1536,4.38,4.38,140,60.16,60.16,1925,10.19,10.19,326,32,17,15,32,31,19,8,2,0,22,13,4,0,0,7.0,4.0,0.0,219688.0,6.96,14.0,0.44,14.0,8.5,272,5.0,90.0,58,1.16,1.16,37,371.22,359.97,28.62,11879,100.0,0.0,4.0,7,20,14,0.03,0.03,0.0,0.0,1.0,22859297.0,73.85,415,12.97,104,192,190,135,172,2,415,14.56,14.56,466,8.63,1.55,,,,,2880,1.75,1.75,0,0.0,56,310238,,,,,,,K League 1
Suwon,0.81,110.76923076923076,26.0,99.16,99.16,3173,181.11,181.3,187.67,177.33,180.16,44.03,44.03,1409,4.03,4.03,129,61.81,61.81,1978,10.13,10.13,324,32,16,16,32,27,15,8,1,0,25,13,6,3,1,2.0,6.0,1.0,129229.0,6.88,17.0,0.53,17.0,7.69,246,7.0,90.0,58,1.38,1.38,44,322.22,251.49,22.91,10311,80.0,1.0,4.0,6,20,12,,,,,,,60.0,450,14.06,106,220,181,163,194,3,450,14.41,14.41,461,9.81,1.58,80.0,60.0,60.0,80.0,2880,1.59,1.59,0,0.0,51,239736,,,,,,,K League 1
Gwangju,0.66,137.14285714285714,21.0,105.41,105.41,3373,178.54,183.2,188.5,177.7,180.65,49.19,49.19,1574,4.13,4.13,132,69.47,69.47,2223,10.25,10.25,328,32,16,16,32,23,10,5,0,0,22,10,1,1,0,1.0,5.0,2.0,37620496.0,6.78,8.0,0.25,8.0,7.03,225,5.0,90.0,41,1.34,1.34,43,401.78,476.19,36.63,12857,85.71,1.0,6.0,9,15,13,,,,,,,84.71,351,10.97,96,207,140,117,135,2,351,13.06,13.06,418,5.43,1.29,95.0,51.0,51.0,95.0,2880,2.28,2.28,0,0.0,73,37677529,0.13,0.13,0.0,0.0,4.0,37736097.0,K League 1
