team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Al Ettifaq,0.75,120.0,3.0,55.75,55.75,223,188.5,180.5,191.5,175.83,181.06,48.75,48.75,195,3.75,3.75,15,32.0,32.0,128,12.5,12.5,50,4,2,2,4,3,1,1,1,0,3,2,1,0,0,0.0,2.0,0.0,24445516.0,7.54,,,,6.25,25,1.0,7.0,7,1.75,1.75,7,380.0,253.33,49.03,1520,,,,5,15,3,,,,,,,60.0,31,7.75,9,21,12,10,11,600,31,15.25,15.25,61,4.36,1.22,15.0,,,15.0,360,3.5,3.5,0,0.0,14,33793,,,,,,,Saudi Arabia Liga Profissional
Al Ahli,1.5,60.0,6.0,97.0,97.0,388,177.6,177.4,194.0,179.78,178.96,54.5,54.5,218,6.75,6.75,27,61.0,61.0,244,13.25,13.25,53,4,2,2,4,1,1,1,0,0,3,2,1,0,0,1.0,0.0,0.0,971.0,7.43,1.0,0.25,1.0,9.75,39,1.0,23.0,5,3.0,3.0,12,375.75,250.5,25.91,1503,,,,8,14,5,,,,,,,60.0,58,14.5,16,37,23,19,20,600,58,17.25,17.25,69,11.5,1.21,139.0,75.0,75.0,139.0,360,1.5,1.5,0,0.0,6,467567,,,,,,,Saudi Arabia Liga Profissional
Al Shabab,0.25,360.0,1.0,100.0,100.0,400,176.5,179.5,188.67,177.43,179.56,57.0,57.0,228,6.0,6.0,24,51.25,51.25,205,13.5,13.5,54,4,1,3,4,2,2,1,1,0,3,0,0,0,0,,,,96092.0,7.65,,,,6.0,24,1.0,64.0,8,1.0,1.0,4,401.75,1.0,32.14,1607,100.0,0.0,2.0,2,14,6,,,,,,,120.0,50,12.5,14,27,20,16,23,-100,50,15.75,15.75,63,10.5,1.17,77.0,35.0,35.0,77.0,360,1.5,1.5,0,0.0,6,37608513,,,,,,,Saudi Arabia Liga Profissional
Al Hazm,,,,77.75,77.75,311,177.2,174.0,190.5,179.25,179.38,46.5,46.5,186,2.25,2.25,9,34.0,34.0,136,15.0,15.0,60,4,2,2,4,3,1,0,0,0,1,0,0,0,0,,,,10274517.0,7.37,1.0,0.25,1.0,8.5,34,,,5,2.0,2.0,8,345.75,,49.39,1383,33.33,2.0,1.0,2,7,1,,,,,,,360.0,28,7.0,3,18,15,10,10,-100,28,15.25,15.25,61,4.69,1.0,8.0,4.0,4.0,8.0,360,2.5,2.5,0,0.0,10,37632254,0.25,0.25,0.0,0.0,1.0,37529818.0,Saudi Arabia Liga Profissional
Al Ittihad,1.25,72.0,5.0,94.25,94.25,377,177.6,181.38,186.5,175.0,178.63,61.5,61.5,246,6.5,6.5,26,50.0,50.0,200,12.0,12.0,48,4,2,2,4,3,3,0,0,0,3,2,2,2,1,0.0,2.0,2.0,93948.0,8.09,2.0,0.5,2.0,6.75,27,2.0,90.0,10,2.5,2.5,10,513.5,228.22,41.92,2054,,,,4,17,4,0.25,0.25,0.0,0.0,1.0,125413.0,36.0,49,12.25,14,36,15,20,13,900,49,13.75,13.75,55,4.58,1.12,142.0,56.0,56.0,142.0,360,2.75,2.75,0,0.0,11,25776,,,,,,,Saudi Arabia Liga Profissional
Al Fateh,0.5,180.0,2.0,74.5,74.5,298,176.4,179.57,188.0,177.5,179.43,43.75,43.75,175,4.75,4.75,19,42.25,42.25,169,10.75,10.75,43,4,2,2,4,3,2,1,1,0,2,1,0,0,0,,,,97494.0,7.4,3.0,0.75,3.0,8.25,33,1.0,45.0,7,2.0,2.0,8,307.25,614.5,24.1,1229,100.0,0.0,1.0,6,12,5,0.5,0.5,0.0,0.0,2.0,186941.0,120.0,51,12.75,5,31,29,17,20,100,51,13.5,13.5,54,3.6,1.29,18.0,8.0,8.0,18.0,360,2.5,2.5,0,0.0,10,97494,0.25,0.25,0.0,0.0,1.0,308054.0,Saudi Arabia Liga Profissional
Al Khaleej,1.75,51.42857142857143,7.0,80.25,80.25,321,177.0,177.56,187.0,175.86,177.81,47.25,47.25,189,5.0,5.0,20,37.5,37.5,150,11.25,11.25,45,4,2,2,4,3,1,0,0,0,3,2,2,1,0,0.0,2.0,2.0,31046.0,7.93,2.0,0.5,2.0,7.0,28,2.0,5.0,9,1.25,1.25,5,392.75,224.43,30.21,1571,100.0,0.0,1.0,6,13,3,,,,,,,45.0,52,13.0,8,33,30,14,18,600,52,18.5,18.5,74,7.4,1.64,16.0,4.0,4.0,16.0,360,2.5,2.5,0,0.0,10,109075,,,,,,,Saudi Arabia Liga Profissional
Al-Fayha,0.75,120.0,3.0,65.5,65.5,262,177.6,179.17,191.0,173.75,177.2,44.75,44.75,179,6.25,6.25,25,25.25,25.25,101,11.25,11.25,45,4,3,1,4,3,1,1,0,0,2,2,0,0,0,,,,371504.0,7.5,4.0,1.0,4.0,12.0,48,1.0,15.0,5,3.75,3.75,15,347.5,347.5,39.71,1390,,,,3,14,3,,,,,,,90.0,35,8.75,14,17,12,9,18,400,35,16.0,16.0,64,5.82,1.42,72.0,32.0,32.0,72.0,360,2.0,2.0,0,0.0,8,2510947,0.25,0.25,0.0,0.0,1.0,37718775.0,Saudi Arabia Liga Profissional
Al Akhdoud,1.0,90.0,4.0,49.5,49.5,198,179.5,183.2,187.0,176.0,179.79,37.25,37.25,149,4.5,4.5,18,23.5,23.5,94,11.25,11.25,45,4,2,2,4,4,3,3,1,1,3,2,0,0,0,0.0,2.0,0.0,29709997.0,7.26,1.0,0.25,1.0,9.5,38,1.0,27.0,11,1.25,1.25,5,289.5,231.6,46.32,1158,,,,4,13,3,,,,,,,72.0,25,6.25,6,14,10,9,11,500,25,17.75,17.75,71,3.94,1.58,16.0,16.0,16.0,16.0,360,3.0,3.0,0,0.0,12,183503,0.5,0.5,0.0,0.0,2.0,29709997.0,Saudi Arabia Liga Profissional
Al Taawoun,1.25,72.0,5.0,57.25,57.25,229,177.0,182.71,191.5,176.43,180.1,47.25,47.25,189,1.75,1.75,7,20.25,20.25,81,13.5,13.5,54,4,2,2,4,3,2,1,1,1,3,2,2,1,0,0.0,2.0,1.0,10264962.0,7.98,,,,7.75,31,1.0,15.0,11,1.0,1.0,4,393.0,224.57,40.31,1572,100.0,0.0,1.0,6,13,3,,,,,,,45.0,39,9.75,9,23,18,12,16,600,39,13.25,13.25,53,6.63,0.98,89.0,27.0,27.0,89.0,360,2.0,2.0,0,0.0,8,219586,,,,,,,Saudi Arabia Liga Profissional
Al Hilal,2.0,45.0,8.0,105.25,105.25,421,183.8,181.56,192.5,176.89,181.2,57.25,57.25,229,6.0,6.0,24,67.25,67.25,269,10.25,10.25,41,4,1,3,4,3,2,1,0,0,4,4,2,0,0,0.0,1.0,1.0,37527469.0,8.3,3.0,0.75,3.0,9.75,39,3.0,45.0,9,3.0,3.0,12,467.25,207.67,26.32,1869,100.0,0.0,1.0,9,14,2,,,,,,,36.0,71,17.75,17,54,23,31,17,800,71,13.75,13.75,55,13.75,1.34,133.0,65.0,65.0,133.0,360,1.0,1.0,0,0.0,4,61806,,,,,,,Saudi Arabia Liga Profissional
Al-Qadsiah,1.5,60.0,6.0,78.75,78.75,315,179.4,175.6,189.0,178.6,179.05,55.0,55.0,220,5.5,5.5,22,46.0,46.0,184,10.75,10.75,43,4,2,2,4,3,1,0,0,0,4,3,1,0,0,0.0,3.0,0.0,254057.0,7.48,2.0,0.5,2.0,5.5,22,2.0,90.0,8,1.5,1.5,6,466.25,233.13,40.54,1865,,,,5,17,2,,,,,,,45.0,46,11.5,14,34,14,18,13,800,46,13.0,13.0,52,8.67,1.13,86.0,34.0,34.0,86.0,360,1.5,1.5,0,0.0,6,9302266,,,,,,,Saudi Arabia Liga Profissional
Al Riyadh,0.75,120.0,3.0,54.75,54.75,219,174.33,181.71,187.0,171.67,177.72,39.5,39.5,158,4.0,4.0,16,23.75,23.75,95,13.0,13.0,52,4,2,2,4,4,3,2,1,1,3,2,0,0,0,,,,62989.0,6.92,1.0,0.25,1.0,8.75,35,2.0,19.0,10,1.5,1.5,6,310.5,310.5,47.77,1242,,,,6,8,5,,,,,,,72.0,26,6.5,9,17,7,10,9,400,26,11.75,11.75,47,5.88,0.9,,,,,360,1.25,1.25,0,0.0,5,336007,0.25,0.25,0.0,0.0,1.0,896368.0,Saudi Arabia Liga Profissional
Al Najma,0.75,120.0,3.0,52.25,52.25,209,173.5,153.17,187.67,174.57,170.23,51.25,51.25,205,3.0,3.0,12,27.0,27.0,108,7.5,7.5,30,4,2,2,4,4,3,1,0,0,3,0,0,0,0,1.0,0.0,0.0,304218.0,7.16,3.0,0.75,3.0,8.75,35,1.0,54.0,7,1.5,1.5,6,449.75,599.67,49.97,1799,,,,6,17,1,,,,,,,120.0,36,9.0,8,22,18,10,14,300,36,19.0,19.0,76,9.5,2.53,38.0,26.0,26.0,38.0,360,2.0,2.0,0,0.0,8,15404546,,,,,,,Saudi Arabia Liga Profissional
