team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Defensor Sporting,0.69,130.9090909090909,22.0,99.06,99.06,3170,179.27,181.78,181.0,178.07,179.53,53.19,53.19,1702,4.53,4.53,145,54.5,54.5,1744,10.06,10.06,322,32,15,17,32,19,9,2,1,0,22,11,3,1,0,0.0,6.0,3.0,37702211.0,7.58,3.0,0.09,3.0,15.0,480,3.0,45.0,40,1.84,1.84,59,376.31,344.06,32.72,12042,66.67,1.0,2.0,8,21,1,0.09,0.09,0.0,0.0,3.0,260754.0,77.84,368,11.5,88,201,150,120,150,3,368,3.97,3.97,127,1.79,0.39,14.0,14.0,14.0,14.0,2880,2.22,2.22,0,0.0,71,37680965,0.03,0.03,0.0,0.0,1.0,260463.0,Uruguay Primera Division
Juventud,0.81,110.76923076923076,26.0,102.69,102.69,3286,177.43,183.29,187.0,177.42,179.83,49.59,49.59,1587,4.31,4.31,138,61.22,61.22,1959,9.91,9.91,317,32,16,16,32,22,9,2,1,0,23,13,4,2,0,2.0,7.0,4.0,,8.1,3.0,0.09,3.0,15.94,510,3.0,31.0,45,2.19,2.19,70,359.22,319.31,35.7,11495,50.0,5.0,5.0,2,15,0,0.03,0.03,0.0,0.0,1.0,202731.0,68.57,322,10.06,75,183,124,116,122,3,322,2.88,2.88,92,1.48,0.29,,,,,2880,1.84,1.84,0,0.0,59,261052,0.03,0.03,0.0,0.0,1.0,261052.0,Uruguay Primera Division
Wanderers,0.16,576.0,5.0,104.66,104.66,3349,175.8,181.8,186.33,177.15,178.83,50.38,50.38,1612,4.16,4.16,133,63.84,63.84,2043,11.44,11.44,366,32,17,15,32,22,12,2,0,0,16,4,1,0,0,0.0,1.0,0.0,37760175.0,7.04,4.0,0.13,4.0,14.25,456,1.0,62.0,33,1.16,1.16,37,345.06,849.38,32.57,11042,100.0,0.0,7.0,9,25,1,0.09,0.09,0.0,0.0,3.0,260832.0,137.14,339,10.59,90,149,146,101,154,600,339,3.88,3.88,124,1.31,0.32,30.0,,,30.0,2880,3.0,3.0,0,0.0,96,211603,0.09,0.09,0.0,0.0,3.0,260460.0,Uruguay Primera Division
Danubio,0.69,130.9090909090909,22.0,96.31,96.31,3082,181.83,181.38,188.0,174.08,178.66,47.59,47.59,1523,4.88,4.88,156,58.09,58.09,1859,10.44,10.44,334,32,17,15,32,25,11,3,0,0,22,11,2,1,1,3.0,5.0,1.0,185596.0,7.1,4.0,0.13,4.0,14.78,473,3.0,89.0,41,1.19,1.19,38,301.69,311.42,27.74,9654,80.0,1.0,4.0,4,19,0,0.16,0.16,0.0,0.0,5.0,160519.0,77.84,348,10.88,70,180,148,119,150,2,348,3.03,3.03,97,1.14,0.3,,,,,2880,2.47,2.47,0,0.0,79,260564,0.09,0.09,0.0,0.0,3.0,260423.0,Uruguay Primera Division
Peñarol,0.94,97.25806451612904,31.0,118.12,118.12,3898,179.4,181.0,187.0,173.94,178.19,56.27,56.27,1857,5.45,5.45,180,70.45,70.45,2325,8.94,8.94,295,33,16,17,33,20,7,2,0,0,28,19,8,2,0,3.0,11.0,5.0,261815.0,7.63,5.0,0.15,5.0,15.15,500,4.0,45.0,50,1.3,1.3,43,425.27,275.18,29.0,14034,83.33,1.0,5.0,9,15,1,0.15,0.15,0.0,0.0,5.0,132528.0,52.89,484,14.67,117,230,174,183,220,4,484,3.42,3.42,113,1.57,0.4,208.0,118.0,118.0,208.0,3015,2.03,2.03,0,0.0,67,260889,0.06,0.06,0.0,0.0,2.0,333776.0,Uruguay Primera Division
Plaza Colonia,0.66,137.14285714285714,21.0,93.72,93.72,2999,178.75,180.67,191.0,178.86,180.68,45.34,45.34,1451,3.56,3.56,114,56.47,56.47,1807,10.13,10.13,324,32,17,15,32,23,10,3,2,1,22,4,0,0,0,3.0,2.0,0.0,37261721.0,7.11,6.0,0.19,6.0,14.97,479,2.0,81.0,40,1.84,1.84,59,279.31,372.42,25.18,8938,50.0,2.0,2.0,3,6,1,0.03,0.03,0.0,0.0,1.0,260562.0,110.77,355,11.09,78,145,158,108,185,2,355,3.25,3.25,104,1.37,0.33,,,,,2880,2.31,2.31,0,0.0,74,13590527,0.03,0.03,0.0,0.0,1.0,37570708.0,Uruguay Primera Division
Boston River,0.84,106.66666666666669,27.0,98.41,98.41,3149,184.57,181.0,184.0,176.33,180.1,54.38,54.38,1740,4.19,4.19,134,55.41,55.41,1773,11.63,11.63,372,32,14,18,32,20,11,3,1,0,23,12,3,2,1,3.0,6.0,3.0,37347398.0,7.2,5.0,0.16,5.0,16.34,523,3.0,90.0,41,1.28,1.28,41,373.16,314.24,40.21,11941,75.0,1.0,3.0,6,13,0,0.06,0.06,0.0,0.0,2.0,260822.0,68.57,297,9.28,74,168,111,109,113,3,297,2.56,2.56,82,0.85,0.22,40.0,40.0,40.0,40.0,2880,2.88,2.88,0,0.0,92,37288089,0.03,0.03,0.0,0.0,1.0,37288089.0,Uruguay Primera Division
River Plate,0.31,288.0,10.0,99.88,99.88,3196,178.86,180.56,185.5,176.62,178.84,45.94,45.94,1470,4.97,4.97,159,62.72,62.72,2007,12.97,12.97,415,32,16,16,32,26,14,5,0,0,14,4,1,0,0,2.0,3.0,1.0,37619407.0,6.82,4.0,0.13,4.0,15.16,485,2.0,90.0,34,1.19,1.19,38,293.44,586.88,27.7,9390,33.33,4.0,2.0,8,14,0,0.13,0.13,0.0,0.0,4.0,96275.0,151.58,339,10.59,89,169,134,110,154,1,339,3.59,3.59,115,1.1,0.28,,,,,2880,3.28,3.28,0,0.0,105,260389,0.06,0.06,0.0,0.0,2.0,37429014.0,Uruguay Primera Division
Cerro,0.34,263.1818181818182,11.0,86.66,86.66,2773,180.38,183.75,185.6,177.07,180.57,45.03,45.03,1441,3.41,3.41,109,48.28,48.28,1545,11.34,11.34,363,32,18,14,32,22,12,4,2,1,21,7,0,0,0,2.0,3.0,0.0,37538594.0,7.26,3.0,0.09,3.0,13.22,423,2.0,45.0,36,1.06,1.06,34,231.03,321.43,30.05,7393,80.0,1.0,4.0,3,17,0,0.13,0.13,0.0,0.0,4.0,260802.0,103.39,246,7.69,51,127,115,78,94,1,246,3.75,3.75,120,1.03,0.34,,,,,2895,3.38,3.38,0,0.0,108,37680262,0.16,0.16,0.0,0.0,5.0,260474.0,Uruguay Primera Division
Cerro Largo,0.53,169.41176470588235,17.0,94.41,94.41,3021,178.1,181.0,186.5,176.33,178.89,47.44,47.44,1518,4.09,4.09,131,55.63,55.63,1780,12.03,12.03,385,32,16,16,32,22,9,4,1,0,21,8,2,1,0,2.0,4.0,2.0,213120.0,7.34,6.0,0.19,6.0,14.5,464,2.0,90.0,46,1.5,1.5,48,280.84,332.85,26.75,8987,80.0,1.0,4.0,8,20,1,0.09,0.09,0.0,0.0,3.0,12393473.0,90.0,336,10.5,86,176,127,117,136,2,336,4.84,4.84,155,1.53,0.45,,,,,2880,2.97,2.97,0,0.0,95,213120,0.06,0.06,0.0,0.0,2.0,37568791.0,Uruguay Primera Division
