team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Aldosivi,0.9,2.2,4.77,4.31,5.62,4.62,13.77,11.62,94.23,92.08,59.31,52.0,48.38,51.62,0.33,0.67,7.38,6.85,6.62,4.62,1.67,1.5,7.0,8.77,9.92,7.31,13.46,10.92,2.31,4.08,2.54,2.38,0.3,0.33,0.4,0.44,0.61,0.5,0.54,0.5,0.54,0.51,0.52,0.31,0.33,0.41,0.62,0.45,0.51,0.54,0.51,0.54,0.52,0.52,Argentina Liga Profissional de Futebol,2025,1.43,0.86,4.64,3.64,5.14,5.29,12.64,11.57,97.79,87.64,60.0,45.43,55.43,44.57,0.5,0.5,8.14,5.5,4.64,6.07,1.29,1.64,7.79,8.71,9.64,8.07,12.21,13.43,2.64,3.29,1.69,2.92,0.55,0.3,0.19,0.42,0.62,0.52,0.52,0.5,0.54,,,0.56,0.3,0.2,0.64,0.43,0.52,0.53,0.5,0.54,0.52,0.52
Argentinos Juniors,2.15,0.54,4.69,2.75,5.88,4.12,14.0,8.5,109.75,82.81,67.56,41.94,64.5,35.5,1.0,0.0,8.25,4.44,5.94,3.88,2.0,1.33,6.8,9.47,9.31,5.25,11.0,14.69,1.5,2.38,1.75,3.31,0.56,0.3,0.18,0.41,0.63,0.51,0.52,0.51,0.53,0.5,0.55,0.57,0.29,0.19,0.66,0.41,0.52,0.53,0.5,0.55,0.5,0.55,Argentina Liga Profissional de Futebol,2025,1.2,1.2,3.85,5.31,3.38,5.31,9.46,12.92,82.69,100.46,40.92,52.85,38.54,61.46,0.75,0.5,5.62,7.85,3.77,5.15,1.58,1.92,7.92,6.54,6.54,8.77,13.0,12.38,3.31,2.85,3.0,2.67,0.28,0.33,0.43,0.42,0.62,0.51,0.53,0.48,0.56,,,0.29,0.33,0.43,0.64,0.43,0.5,0.54,0.48,0.56,,
Atlético Tucumán,1.77,0.92,5.5,4.21,5.21,4.57,13.21,10.93,85.5,89.14,51.29,49.86,49.5,50.5,0.4,0.6,8.36,6.0,5.07,5.0,2.64,1.07,8.23,8.92,8.79,6.86,13.79,11.14,2.5,2.93,2.64,2.21,0.44,0.32,0.28,0.45,0.59,0.51,0.52,0.5,0.54,,,0.45,0.32,0.29,0.61,0.46,0.51,0.53,0.5,0.55,,,Argentina Liga Profissional de Futebol,2025,1.54,0.54,4.62,3.31,6.23,4.77,14.85,10.54,107.46,94.62,60.15,47.31,52.0,48.0,1.0,0.0,9.0,6.31,6.0,4.46,1.82,2.36,7.54,9.15,10.0,7.85,11.0,12.08,2.54,3.31,2.33,2.83,0.48,0.31,0.24,0.43,0.61,0.5,0.54,0.52,0.52,0.52,0.51,0.49,0.31,0.26,0.63,0.44,0.51,0.54,0.52,0.53,0.52,0.52
Banfield,1.56,1.22,5.23,3.54,4.77,3.85,12.38,10.62,92.08,94.92,52.23,49.54,42.85,57.15,0.33,0.67,6.38,6.0,6.08,4.46,1.18,1.73,6.77,8.0,7.69,7.31,14.08,13.62,3.08,3.15,2.85,2.92,0.35,0.34,0.34,0.41,0.63,0.49,0.54,0.5,0.55,,,0.36,0.34,0.35,0.64,0.43,0.5,0.55,0.5,0.56,,,Argentina Liga Profissional de Futebol,2025,1.57,0.64,3.43,3.5,4.71,5.36,12.79,10.64,99.79,90.93,52.07,47.93,55.21,44.79,0.8,0.2,8.07,5.21,4.93,5.36,1.67,1.17,8.29,9.07,8.36,7.57,13.07,15.29,2.21,2.86,1.54,2.54,0.51,0.32,0.22,0.41,0.63,0.51,0.53,0.5,0.53,0.49,0.54,0.51,0.32,0.22,0.65,0.42,0.51,0.54,0.5,0.54,0.49,0.56
Barracas Central,1.38,1.31,2.92,4.0,3.85,5.23,10.31,11.77,81.15,96.62,48.69,61.77,41.15,58.85,1.0,0.0,5.46,5.46,4.69,6.15,1.31,3.15,10.08,5.85,6.77,8.38,10.92,13.77,3.0,2.46,2.15,2.54,0.33,0.34,0.37,0.42,0.62,0.5,0.54,0.5,0.54,,,0.33,0.34,0.39,0.64,0.44,0.5,0.55,0.5,0.54,,,Argentina Liga Profissional de Futebol,2025,1.15,1.15,5.27,2.87,5.27,4.07,13.27,9.27,106.67,85.27,61.33,41.0,62.4,37.6,0.0,1.0,7.0,4.53,6.13,4.8,4.07,1.07,6.0,11.07,9.67,6.67,11.27,11.33,2.07,3.87,3.07,2.53,0.54,0.3,0.19,0.41,0.63,0.51,0.53,0.49,0.54,0.5,0.55,0.54,0.3,0.21,0.65,0.43,0.52,0.53,0.51,0.54,0.5,0.55
Belgrano,1.17,1.25,5.15,4.46,6.15,4.62,13.08,10.08,93.92,84.0,56.08,51.54,53.31,46.69,0.33,0.67,7.77,5.77,5.15,4.46,1.42,1.92,6.31,9.15,8.46,6.69,12.54,12.0,1.77,2.85,3.38,2.77,0.45,0.31,0.27,0.45,0.59,0.53,0.5,0.49,0.54,,,0.45,0.32,0.29,0.61,0.46,0.53,0.52,0.5,0.55,0.51,0.53,Argentina Liga Profissional de Futebol,2025,1.78,1.0,5.07,3.86,6.07,3.5,13.43,8.79,92.29,89.5,58.21,49.36,53.0,47.0,0.5,0.75,7.57,4.5,5.93,4.29,1.43,2.07,6.08,8.23,8.93,5.86,11.0,15.0,1.86,2.71,2.0,2.62,0.43,0.32,0.28,0.46,0.58,0.51,0.52,0.49,0.54,0.53,0.5,0.44,0.32,0.3,0.6,0.48,0.52,0.53,0.49,0.55,0.55,0.5
Boca Juniors,1.92,0.54,5.87,3.33,5.0,5.13,13.33,10.67,98.47,93.87,57.0,45.13,56.4,43.6,1.0,0.0,8.73,5.4,4.67,5.33,1.91,1.64,7.87,8.8,9.2,7.0,11.67,13.27,2.13,2.87,2.2,2.6,0.54,0.3,0.2,0.43,0.61,0.51,0.52,0.49,0.54,0.48,0.55,0.54,0.3,0.21,0.63,0.44,0.52,0.53,0.5,0.54,0.5,0.56,Argentina Liga Profissional de Futebol,2025,1.0,1.31,5.0,4.29,5.36,4.29,11.64,9.79,98.86,92.29,57.29,53.5,43.86,56.14,0.5,1.0,7.07,5.57,4.43,4.21,1.5,1.36,6.77,7.62,8.36,6.71,14.29,11.71,1.86,3.0,2.86,2.79,0.34,0.33,0.37,0.44,0.6,0.51,0.53,0.5,0.54,,,0.34,0.32,0.39,0.62,0.46,0.52,0.53,0.5,0.54,,
Central Cordoba SdE,1.42,0.92,5.31,2.46,6.77,4.38,14.85,9.0,103.85,101.38,56.85,45.69,52.85,47.15,1.0,0.5,8.69,5.08,6.31,4.08,1.46,1.69,6.62,9.08,10.62,6.54,9.0,10.77,1.85,3.92,1.25,3.17,0.43,0.32,0.28,0.44,0.6,0.5,0.54,0.5,0.54,,,0.44,0.32,0.29,0.62,0.46,0.5,0.54,0.5,0.55,,,Argentina Liga Profissional de Futebol,2025,1.67,1.33,5.36,3.57,6.07,3.86,14.36,8.57,93.5,92.29,58.64,53.14,49.21,50.79,0.33,0.67,8.5,5.0,6.0,3.43,2.44,2.11,7.29,8.86,8.71,5.93,11.79,11.93,1.64,2.93,2.5,2.43,0.47,0.31,0.25,0.44,0.6,0.51,0.52,0.47,0.56,0.51,0.52,0.49,0.31,0.26,0.62,0.46,0.53,0.52,0.49,0.56,0.51,0.53
Defensa y Justicia,1.25,1.0,4.15,4.0,4.92,4.46,13.08,10.46,108.92,84.92,69.23,50.08,59.62,40.38,0.6,0.6,8.15,6.77,4.85,3.92,2.46,2.38,7.62,9.08,9.92,7.54,9.85,10.23,2.46,4.15,1.83,1.92,0.43,0.32,0.29,0.48,0.57,0.53,0.5,0.5,0.53,0.5,0.55,0.44,0.32,0.3,0.59,0.48,0.54,0.51,0.51,0.54,0.49,0.56,Argentina Liga Profissional de Futebol,2025,1.54,1.15,5.29,4.36,5.71,4.86,14.0,11.07,95.29,93.79,54.93,51.0,47.79,52.21,,,9.5,5.57,4.5,5.57,2.64,1.93,7.57,7.5,9.64,7.64,10.64,10.79,2.43,3.93,2.14,2.57,0.42,0.32,0.3,0.47,0.57,0.52,0.51,0.5,0.54,0.49,0.54,0.43,0.31,0.31,0.59,0.48,0.52,0.53,0.5,0.54,0.5,0.55
Deportivo Riestra,1.67,0.33,3.07,5.21,3.93,5.79,9.29,12.0,93.93,115.21,50.86,66.71,34.36,65.64,1.0,0.0,6.5,6.57,2.71,5.21,2.0,1.55,8.64,5.29,5.5,6.86,16.07,11.43,2.64,1.71,2.79,2.64,0.36,0.35,0.33,0.4,0.64,0.5,0.53,0.48,0.55,,,0.36,0.35,0.34,0.66,0.41,0.51,0.54,0.5,0.55,,,Argentina Liga Profissional de Futebol,2025,1.25,1.33,7.79,2.29,6.07,3.29,14.5,7.29,116.43,81.93,76.79,39.79,70.5,29.5,0.8,0.4,7.57,4.64,7.14,2.5,2.43,1.14,5.5,9.64,9.64,5.07,9.21,14.79,1.36,3.71,1.71,3.29,0.52,0.31,0.2,0.4,0.64,0.51,0.53,0.49,0.55,,,0.52,0.32,0.21,0.67,0.41,0.51,0.54,0.5,0.55,,
