team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Anderlecht,1.79,1.43,6.47,3.65,6.24,5.0,16.59,10.88,111.53,87.24,59.59,41.47,55.41,44.59,0.5,0.5,9.76,8.06,6.82,2.82,2.0,1.38,7.76,9.59,10.59,7.53,12.82,11.35,2.0,3.88,2.12,3.06,0.49,0.26,0.29,0.59,0.45,,,0.55,0.49,0.52,0.51,0.5,0.27,0.31,0.48,0.59,,,0.55,0.51,0.54,0.52,Belgium Liga Pro,2025-2026,1.75,1.12,5.75,5.38,6.31,5.25,16.0,13.0,98.06,93.88,52.44,52.19,47.0,53.0,0.8,0.4,11.38,8.19,4.62,4.81,1.07,1.67,7.69,8.5,10.06,7.88,9.69,15.25,2.69,3.62,2.12,3.12,0.39,0.28,0.37,0.58,0.46,,,0.53,0.5,0.51,0.52,0.41,0.29,0.38,0.48,0.59,,,0.53,0.53,0.53,0.53
Antwerp,1.35,1.47,5.12,4.41,4.88,3.94,12.88,12.18,101.18,92.71,46.12,39.12,51.24,48.76,0.67,0.67,8.0,8.65,4.88,3.53,3.47,1.29,6.94,8.12,8.94,7.35,12.82,12.18,3.06,3.35,2.12,2.41,0.4,0.29,0.34,0.57,0.47,,,0.51,0.52,0.52,0.51,0.42,0.3,0.36,0.5,0.57,,,0.54,0.52,0.54,0.52,Belgium Liga Pro,2025-2026,1.13,1.07,4.59,4.18,5.53,4.29,14.82,11.0,102.35,96.29,52.71,39.24,50.94,49.06,0.2,0.8,9.88,6.71,4.88,4.18,2.0,2.24,7.24,8.06,8.69,7.38,11.82,13.53,3.12,3.5,1.71,2.18,0.48,0.28,0.27,0.57,0.47,0.56,0.47,0.53,0.5,0.52,0.52,0.5,0.29,0.28,0.5,0.57,,,0.54,0.52,0.53,0.53
Cercle Brugge,1.53,2.06,5.22,5.39,6.22,5.33,15.33,13.67,107.28,83.67,52.94,40.89,50.44,49.56,0.75,0.38,11.06,8.89,4.22,4.78,2.44,1.44,6.18,9.18,10.33,9.72,9.11,12.89,3.33,3.83,1.17,1.83,0.46,0.27,0.31,0.6,0.44,,,,,0.52,0.51,0.47,0.28,0.33,0.47,0.6,,,,,0.53,0.53,Belgium Liga Pro,2025-2026,1.36,1.79,6.06,4.62,4.88,5.0,14.06,12.75,107.06,96.94,56.19,48.12,56.44,43.56,0.5,1.0,9.81,9.25,4.25,3.44,1.67,3.33,8.75,7.5,8.31,7.81,11.81,12.19,2.94,3.5,1.62,2.5,0.44,0.27,0.33,0.6,0.44,0.55,0.48,0.55,0.48,0.52,0.52,0.45,0.28,0.34,0.46,0.61,,,0.52,0.54,0.53,0.53
Club Brugge,2.31,1.31,7.25,3.44,6.62,4.31,18.5,10.12,110.25,69.62,61.56,37.88,64.56,35.44,0.0,1.0,13.75,6.88,4.75,3.19,1.47,1.8,5.75,8.81,11.53,6.93,8.81,11.19,2.38,3.62,1.0,2.12,0.71,0.19,0.14,0.57,0.47,,,,,,,0.72,0.21,0.15,0.5,0.58,,,,,,,Belgium Liga Pro,2025-2026,1.11,1.74,5.21,5.53,5.95,5.16,13.89,14.47,80.47,96.95,45.05,52.16,42.74,57.26,0.4,0.6,8.47,9.89,5.37,4.63,1.16,1.26,8.0,8.21,9.26,9.84,11.0,10.63,3.26,3.11,2.61,2.0,0.25,0.24,0.55,0.62,0.42,,,,,0.51,0.52,0.26,0.25,0.56,0.45,0.63,,,,,0.53,0.53
Dender,1.0,2.07,3.65,4.94,4.71,6.18,11.0,14.41,91.29,99.41,47.24,59.94,50.35,49.65,0.4,0.8,8.06,9.94,3.0,4.35,2.19,1.69,10.12,7.76,6.47,9.59,11.29,10.53,3.5,2.69,2.07,1.2,0.32,0.28,0.44,0.57,0.47,,,0.51,0.53,0.51,0.52,0.33,0.29,0.45,0.5,0.58,,,0.52,0.53,0.52,0.53,Belgium Liga Pro,2025-2026,1.67,0.93,6.12,3.82,6.71,3.76,16.12,10.53,110.18,86.0,60.29,41.0,54.12,45.88,0.6,0.6,10.94,7.47,5.12,3.06,2.65,2.18,5.94,9.88,10.65,7.47,10.82,10.94,3.18,3.47,1.47,2.35,0.56,0.26,0.22,0.56,0.48,0.55,0.48,0.54,0.49,0.51,0.52,0.57,0.27,0.24,0.51,0.56,0.51,0.55,0.53,0.53,0.52,0.54
Genk,1.44,1.19,7.0,3.76,7.53,3.71,18.12,9.76,123.65,82.18,59.53,41.82,59.47,40.53,0.5,0.5,10.76,6.71,7.41,3.06,1.62,1.69,6.71,9.59,11.88,6.71,10.71,12.24,2.59,4.65,1.35,2.24,0.56,0.25,0.23,0.59,0.45,,,,,0.52,0.51,0.57,0.26,0.25,0.47,0.6,,,,,0.53,0.53,Belgium Liga Pro,2025-2026,1.72,1.61,4.72,4.17,5.72,4.72,15.28,13.0,79.56,98.89,44.72,44.61,42.5,57.5,0.5,0.5,10.11,8.89,5.06,4.06,2.17,1.78,7.11,7.89,9.94,8.78,11.61,10.17,3.67,3.33,2.22,1.67,0.34,0.27,0.42,0.6,0.44,,,0.55,0.48,0.52,0.51,0.35,0.28,0.44,0.46,0.61,,,0.56,0.5,0.53,0.53
Gent,1.75,1.19,4.94,5.29,6.71,4.18,15.06,11.41,101.41,95.47,50.53,49.06,52.53,47.47,0.75,0.5,9.71,7.59,5.35,3.82,1.81,0.94,7.29,8.71,9.65,7.35,10.47,11.41,3.0,2.47,1.53,1.82,0.41,0.27,0.35,0.6,0.44,,,0.55,0.48,0.52,0.52,0.42,0.28,0.38,0.46,0.61,,,0.56,0.5,0.53,0.53,Belgium Liga Pro,2025-2026,1.88,1.44,6.22,4.28,5.72,3.94,15.0,10.89,99.61,83.89,52.22,39.67,52.61,47.39,0.17,0.83,9.94,7.72,5.06,3.17,1.62,1.56,7.78,9.72,10.59,8.29,10.67,9.94,3.17,3.5,1.71,1.82,0.48,0.27,0.29,0.61,0.43,,,0.52,0.51,0.52,0.51,0.5,0.28,0.3,0.47,0.6,,,0.53,0.52,0.54,0.52
La Louvière,1.09,1.55,6.12,3.38,5.69,4.56,12.0,11.44,98.53,93.73,52.2,44.33,42.38,57.62,0.0,1.0,8.88,7.31,3.06,4.12,1.57,2.14,7.19,10.69,8.25,7.31,11.19,11.75,3.31,2.94,1.73,1.87,0.36,0.29,0.39,0.55,0.49,0.54,0.49,0.53,0.5,0.52,0.52,0.38,0.3,0.4,0.52,0.56,0.53,0.52,0.52,0.54,0.52,0.54,Belgium Liga Pro,2025-2026,2.07,1.29,5.29,4.12,5.29,4.65,13.76,9.47,114.41,83.35,53.71,38.12,64.59,35.41,0.75,0.25,9.88,6.41,3.82,3.12,2.71,2.0,8.44,8.62,8.94,5.94,12.47,11.65,1.53,3.53,1.41,2.06,0.53,0.28,0.23,0.53,0.51,,,0.52,0.51,0.51,0.52,0.55,0.29,0.25,0.53,0.54,,,0.54,0.52,0.53,0.52
Mechelen,1.18,1.29,4.61,5.72,4.22,5.17,10.72,14.72,84.33,103.33,46.61,52.83,48.78,51.22,0.4,0.8,7.44,10.28,3.33,4.44,1.5,1.11,9.06,6.61,6.56,9.61,10.22,13.0,4.28,2.5,2.17,2.61,0.35,0.28,0.4,0.6,0.44,,,0.54,0.5,0.52,0.51,0.37,0.29,0.42,0.48,0.6,,,0.54,0.51,0.52,0.54,Belgium Liga Pro,2025-2026,1.44,1.25,6.5,5.06,6.19,3.5,14.62,9.19,102.88,83.5,51.75,42.56,50.62,49.38,1.0,0.0,9.31,6.38,5.31,2.81,1.08,1.23,5.56,8.12,10.4,5.87,10.44,9.88,2.56,3.56,1.38,2.25,0.55,0.24,0.24,0.61,0.43,,,0.55,0.49,0.51,0.52,0.57,0.26,0.26,0.47,0.6,,,0.5,0.56,0.53,0.53
OH Leuven,1.12,1.47,5.5,5.56,6.33,3.89,14.67,10.72,86.67,89.06,44.78,44.44,48.17,51.83,0.4,0.8,10.56,7.61,4.06,3.11,2.72,2.11,7.44,9.39,9.0,7.39,14.33,11.83,2.5,3.56,2.76,2.53,0.38,0.29,0.36,0.57,0.47,0.55,0.48,0.53,0.5,0.51,0.52,0.4,0.3,0.38,0.5,0.57,0.56,0.5,0.52,0.53,0.53,0.52,Belgium Liga Pro,2025-2026,1.64,1.07,6.19,3.88,6.44,4.19,15.94,11.38,97.75,79.31,58.44,42.25,54.88,45.12,1.25,0.25,11.0,7.38,4.94,4.0,3.12,1.75,6.56,9.44,10.31,6.19,10.69,15.25,2.81,4.12,1.94,3.31,0.5,0.28,0.25,0.55,0.49,0.54,0.5,0.51,0.52,0.52,0.52,0.52,0.29,0.27,0.51,0.56,0.52,0.54,0.55,0.51,0.52,0.53
