team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Atlético Mineiro,1.78,1.11,7.25,3.75,6.58,4.17,17.25,9.83,97.17,83.83,48.25,33.75,54.75,45.25,0.0,1.0,10.5,5.42,6.58,4.25,1.64,0.91,7.58,9.75,10.67,6.92,14.5,12.08,2.08,3.83,2.58,3.0,0.54,0.29,0.21,0.48,0.56,0.55,0.49,0.51,0.52,0.49,0.55,0.55,0.29,0.22,0.59,0.49,0.55,0.49,0.51,0.53,0.5,0.55,Brasileirao Betano Serie A,2025,1.54,0.69,5.79,5.29,5.43,5.14,14.57,13.0,88.36,93.43,35.0,38.64,44.93,55.07,0.5,0.5,7.64,6.29,7.0,6.71,1.23,2.31,7.57,7.0,9.69,8.85,15.07,12.86,3.07,3.71,2.5,2.71,0.44,0.31,0.29,0.46,0.58,0.53,0.5,0.49,0.55,0.48,0.55,0.45,0.31,0.3,0.6,0.48,0.53,0.51,0.49,0.55,0.49,0.56
Bahia,1.62,0.77,4.0,3.62,4.85,4.15,13.38,10.38,98.23,88.77,51.77,35.31,54.62,45.38,1.0,0.5,7.69,5.46,5.69,5.0,1.42,1.17,6.92,7.15,8.77,7.15,14.0,14.15,2.69,2.92,2.38,2.85,0.51,0.27,0.26,0.49,0.55,0.54,0.5,0.52,0.52,0.51,0.52,0.51,0.28,0.26,0.57,0.5,0.55,0.5,0.52,0.51,0.51,0.53,Brasileirao Betano Serie A,2025,1.67,1.08,5.77,4.31,6.77,5.92,15.15,11.54,92.77,84.0,47.92,41.69,45.85,54.15,0.75,0.25,9.23,7.15,5.92,4.31,2.38,0.85,7.62,8.69,10.25,8.42,13.23,11.54,2.62,3.38,2.75,2.5,0.45,0.3,0.28,0.5,0.54,0.53,0.51,0.51,0.52,0.5,0.54,0.46,0.3,0.29,0.56,0.51,0.53,0.51,0.51,0.53,0.5,0.54
Botafogo,2.0,1.08,5.62,4.08,6.15,5.08,15.15,11.23,102.31,89.54,45.62,33.69,52.38,47.62,1.0,0.0,9.31,4.85,4.77,5.77,1.77,1.69,6.69,8.08,11.42,7.67,14.0,10.15,2.15,3.85,2.15,2.77,0.56,0.28,0.2,0.47,0.57,0.53,0.5,0.51,0.52,0.51,0.54,0.57,0.28,0.2,0.6,0.47,0.53,0.51,0.51,0.53,0.5,0.54,Brasileirao Betano Serie A,2025,0.83,1.08,4.79,3.79,5.21,5.57,12.64,13.21,95.29,98.64,42.21,39.64,48.21,51.79,1.0,0.0,7.5,7.86,5.07,5.36,1.54,0.85,7.64,7.5,8.71,8.93,12.0,14.36,3.14,3.21,2.14,2.36,0.41,0.31,0.31,0.49,0.55,0.53,0.5,0.5,0.54,0.48,0.55,0.42,0.31,0.32,0.57,0.5,0.54,0.51,0.51,0.54,0.48,0.55
Bragantino,1.36,1.36,5.14,5.57,5.79,5.29,14.5,13.36,90.79,97.64,43.0,44.5,46.0,54.0,0.67,0.33,8.86,7.43,5.5,5.93,1.0,1.08,8.0,9.14,9.93,9.21,12.79,12.86,3.5,3.21,2.36,2.79,0.43,0.3,0.3,0.5,0.54,0.54,0.5,0.51,0.52,0.5,0.54,0.44,0.31,0.3,0.57,0.5,0.53,0.51,0.51,0.53,0.5,0.54,Brasileirao Betano Serie A,2025,1.46,1.08,7.08,4.54,7.08,4.08,16.69,10.69,100.85,92.08,46.92,37.92,51.85,48.15,0.0,1.0,10.46,6.69,6.23,3.92,2.0,1.54,6.62,9.15,11.33,7.58,14.31,13.77,2.92,3.54,2.54,3.31,0.49,0.29,0.25,0.51,0.53,0.55,0.49,0.51,0.52,0.51,0.52,0.5,0.3,0.25,0.56,0.51,0.55,0.49,0.51,0.52,0.51,0.53
Ceará,1.08,0.69,4.54,5.46,5.54,5.15,12.69,10.69,90.23,98.46,36.38,42.46,42.92,57.08,1.0,0.0,7.62,6.08,5.0,4.62,2.31,1.85,7.23,5.62,9.0,8.5,14.77,16.54,2.69,3.46,1.85,3.46,0.42,0.32,0.3,0.45,0.59,0.51,0.52,0.49,0.55,,,0.43,0.33,0.3,0.61,0.47,0.51,0.53,0.48,0.56,,,Brasileirao Betano Serie A,2025,1.36,1.09,5.69,3.15,6.0,4.92,13.77,10.69,104.54,80.46,45.46,21.85,58.85,41.15,1.0,0.0,7.62,6.08,4.92,4.31,3.08,2.33,6.46,9.92,10.54,8.69,12.92,13.46,3.0,2.92,1.62,2.54,0.53,0.29,0.21,0.46,0.58,0.53,0.51,0.5,0.53,0.52,0.55,0.54,0.29,0.21,0.61,0.46,0.52,0.52,0.5,0.54,0.5,0.54
Corinthians,1.64,1.18,5.15,4.0,5.85,4.46,13.46,10.62,105.31,82.38,47.08,32.54,56.62,43.38,0.43,0.57,8.92,5.92,4.69,4.69,2.8,1.5,6.77,8.62,9.33,7.58,14.08,15.77,2.23,3.0,2.69,3.38,0.44,0.31,0.28,0.46,0.58,0.51,0.52,0.5,0.54,0.5,0.54,0.45,0.31,0.29,0.6,0.47,0.51,0.53,0.5,0.54,0.5,0.53,Brasileirao Betano Serie A,2025,1.46,0.85,4.57,3.93,5.43,4.21,13.71,9.29,88.36,90.29,37.5,31.57,47.57,52.43,0.75,0.25,7.71,5.5,6.0,3.79,1.92,1.25,5.64,7.5,8.79,6.71,17.43,14.64,2.07,2.71,3.21,3.14,0.46,0.31,0.26,0.44,0.6,0.52,0.52,0.5,0.54,0.49,0.54,0.48,0.32,0.26,0.62,0.45,0.51,0.53,0.49,0.54,0.49,0.54
Cruzeiro,2.0,0.85,7.36,4.79,6.5,4.29,15.71,10.5,90.71,90.14,49.36,33.14,48.36,51.64,0.75,0.25,9.21,6.21,6.57,4.29,1.36,1.36,6.43,9.93,10.77,7.31,14.07,13.14,2.86,3.86,2.85,3.23,0.54,0.28,0.22,0.46,0.58,0.52,0.51,0.5,0.53,0.51,0.52,0.54,0.28,0.23,0.6,0.48,0.53,0.51,0.51,0.53,0.51,0.52,Brasileirao Betano Serie A,2025,0.9,1.4,5.85,4.62,6.54,5.46,14.77,12.92,105.85,89.92,52.69,33.08,54.15,45.85,,,8.92,7.54,5.69,5.23,1.23,1.62,6.69,8.62,9.69,8.23,14.85,13.23,2.85,3.23,2.46,2.62,0.43,0.31,0.29,0.48,0.56,0.53,0.51,0.5,0.53,0.48,0.55,0.44,0.32,0.3,0.58,0.49,0.53,0.51,0.5,0.54,0.49,0.55
Flamengo,2.75,0.33,6.86,3.21,5.14,3.43,17.14,7.86,111.29,58.86,56.86,26.86,62.14,37.86,0.75,0.25,10.86,4.36,6.14,3.57,1.31,1.54,4.21,7.36,10.23,5.62,14.36,12.43,2.07,3.86,1.77,2.54,0.7,0.22,0.12,0.42,0.62,0.52,0.52,0.51,0.53,0.52,0.52,0.7,0.23,0.13,0.64,0.43,0.52,0.52,0.51,0.53,0.52,0.52,Brasileirao Betano Serie A,2025,0.82,1.55,4.0,5.25,3.58,4.5,10.42,11.67,76.75,112.58,34.67,54.75,38.75,61.25,1.0,0.33,5.83,7.42,4.67,4.25,1.82,1.0,6.75,5.58,6.83,8.67,14.17,14.0,2.92,2.92,2.45,2.55,0.2,0.28,0.55,0.46,0.58,0.54,0.49,0.51,0.53,0.51,0.53,0.21,0.28,0.56,0.61,0.47,0.54,0.5,0.51,0.53,0.5,0.53
Fluminense,1.42,0.83,5.33,3.67,6.25,2.92,14.83,8.58,105.83,86.92,51.92,30.75,54.67,45.33,1.0,0.0,9.75,5.5,5.0,3.08,0.83,1.75,5.83,7.83,9.5,5.33,12.5,15.5,2.08,3.25,1.5,2.92,0.5,0.31,0.22,0.44,0.6,0.51,0.52,0.49,0.55,,,0.51,0.31,0.23,0.63,0.45,0.52,0.52,0.49,0.55,0.49,0.55,Brasileirao Betano Serie A,2025,1.77,1.31,6.43,3.57,4.36,4.36,11.86,10.14,96.14,90.14,37.64,33.43,47.36,52.64,0.33,0.67,7.57,5.5,4.21,4.71,2.5,1.0,6.71,7.14,8.23,6.77,15.36,11.07,2.0,2.71,2.64,2.43,0.42,0.32,0.3,0.46,0.58,0.52,0.51,0.48,0.55,,,0.44,0.32,0.3,0.6,0.48,0.53,0.51,0.48,0.56,,
Fortaleza,1.31,1.38,6.93,4.36,5.57,4.64,15.29,11.36,97.79,87.93,41.57,33.0,49.79,50.21,1.33,0.0,9.29,6.79,5.93,4.57,2.08,2.08,6.86,8.5,10.29,8.57,13.79,12.07,2.79,3.29,3.21,2.36,0.42,0.31,0.3,0.5,0.54,0.54,0.5,0.51,0.52,0.5,0.53,0.44,0.31,0.31,0.56,0.51,0.54,0.5,0.51,0.53,0.51,0.53,Brasileirao Betano Serie A,2025,2.3,0.9,5.17,4.83,5.25,3.67,15.5,10.25,104.17,88.92,42.92,32.58,54.67,45.33,1.25,0.0,10.67,6.5,4.92,3.58,2.25,2.33,5.67,7.5,10.45,6.36,13.58,14.67,2.42,4.67,1.42,2.5,0.52,0.29,0.23,0.48,0.56,0.52,0.51,0.5,0.53,0.51,0.52,0.52,0.29,0.24,0.59,0.49,0.53,0.51,0.5,0.54,0.51,0.53
