team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
AGF,2.17,1.0,6.53,2.93,7.33,3.47,18.67,9.87,114.27,77.2,79.2,38.8,60.27,39.73,1.25,0.0,12.13,6.4,6.73,3.33,1.67,0.93,5.4,11.0,13.4,6.87,10.47,13.47,2.73,4.73,1.33,2.53,0.55,0.25,0.24,0.6,0.44,,,,,0.54,0.49,0.56,0.25,0.25,0.46,0.61,,,,,0.55,0.51,Denmark Superliga,2025-2026,1.13,2.0,4.6,4.6,5.0,4.53,12.27,12.93,101.07,86.27,52.67,44.8,52.67,47.33,0.4,0.6,8.73,8.53,3.53,4.4,1.33,1.87,7.2,7.47,8.67,8.73,12.87,11.53,2.93,3.2,2.07,1.79,0.33,0.26,0.44,0.62,0.43,,,0.54,0.5,0.53,0.5,0.34,0.27,0.45,0.46,0.61,,,0.54,0.51,0.54,0.52
Brøndby IF,1.93,1.43,3.67,4.47,5.07,4.27,14.47,11.53,100.4,88.27,59.27,42.4,52.47,47.53,0.75,0.75,10.6,8.07,3.93,3.4,1.5,0.64,6.73,8.13,9.13,7.53,13.0,12.93,3.0,3.4,1.53,2.13,0.48,0.25,0.3,0.61,0.43,,,,,0.54,0.49,0.49,0.26,0.32,0.45,0.62,,,,,0.55,0.5,Denmark Superliga,2025-2026,1.15,1.23,4.94,4.12,4.62,5.44,12.5,13.56,89.62,90.12,44.19,50.81,48.81,51.19,1.0,0.0,7.31,7.94,5.19,5.5,1.44,1.62,9.0,6.5,9.33,8.53,12.31,10.81,3.19,3.94,2.19,2.19,0.38,0.26,0.39,0.61,0.43,,,,,0.54,0.49,0.39,0.27,0.4,0.45,0.63,,,,,0.54,0.52
FC København,2.2,1.27,6.56,4.44,7.25,3.44,19.94,9.19,120.81,79.62,68.19,39.31,55.62,44.38,0.75,0.38,13.19,5.69,6.62,3.5,2.12,1.0,6.19,10.19,12.44,6.06,11.31,9.25,2.0,3.94,1.4,1.6,0.67,0.21,0.16,0.57,0.47,,,,,0.53,0.5,0.68,0.22,0.17,0.49,0.58,,,,,0.54,0.52,Denmark Superliga,2025-2026,1.53,2.13,4.4,4.8,3.13,6.07,9.87,15.07,82.0,121.73,35.2,54.27,45.93,54.07,0.6,0.6,6.67,10.0,3.2,5.0,1.27,1.47,8.33,6.6,7.0,9.67,10.53,12.13,3.2,3.0,1.43,1.71,0.23,0.24,0.56,0.59,0.45,,,,,0.54,0.5,0.24,0.25,0.57,0.47,0.6,,,,,0.55,0.51
FC Midtjylland,2.87,1.6,6.19,3.25,5.5,3.88,15.19,11.0,104.81,78.31,52.56,36.5,57.5,42.5,0.33,1.0,10.5,6.81,4.56,4.12,2.0,1.25,6.25,8.69,10.38,7.0,13.12,14.62,2.31,3.75,1.94,2.19,0.61,0.22,0.2,0.64,0.4,,,,,0.54,0.49,0.62,0.23,0.21,0.44,0.64,,,,,0.55,0.51,Denmark Superliga,2025-2026,1.0,2.09,5.5,4.43,5.0,5.0,14.07,13.0,91.86,93.93,54.79,40.64,51.29,48.71,0.75,0.5,9.43,8.14,4.71,4.79,2.21,2.0,6.86,8.0,9.43,8.21,12.14,12.36,2.79,4.21,1.57,2.79,0.29,0.25,0.49,0.64,0.4,,,,,0.54,0.49,0.3,0.26,0.51,0.43,0.64,,,,,0.54,0.52
Fredericia,1.25,2.06,5.75,5.81,5.31,5.75,13.94,16.38,89.88,99.94,48.5,57.88,47.38,52.62,0.0,1.0,9.75,10.31,4.12,6.0,2.19,1.06,8.88,8.31,9.31,11.0,10.38,10.88,3.62,3.31,1.67,1.33,0.29,0.24,0.51,0.63,0.41,,,,,0.54,0.5,0.3,0.25,0.52,0.42,0.65,,,,,0.55,0.51,Denmark Superliga,2025-2026,2.29,1.5,6.86,3.57,7.07,3.71,19.5,10.14,119.71,82.29,88.0,48.21,59.57,40.43,1.0,0.25,13.21,6.86,6.93,3.36,0.93,1.5,6.29,10.07,12.29,6.64,8.64,10.21,2.14,4.14,1.17,1.33,0.62,0.22,0.21,0.61,0.43,,,,,0.54,0.49,0.62,0.22,0.22,0.45,0.63,,,,,0.51,0.54
Nordsjælland,1.92,1.0,6.07,2.43,5.64,4.64,15.29,10.14,112.71,78.57,62.57,36.21,60.14,39.86,0.5,0.5,10.21,6.07,5.07,4.07,1.31,2.15,6.5,7.79,11.0,6.86,10.29,9.0,2.57,4.64,1.79,2.0,0.45,0.25,0.33,0.67,0.37,,,,,,,0.46,0.26,0.34,0.41,0.67,,,,,,,Denmark Superliga,2025-2026,1.81,1.38,4.44,3.62,5.31,3.56,14.44,11.62,88.75,102.56,53.31,44.44,45.88,54.12,1.0,0.33,9.88,7.56,4.5,4.19,2.07,1.27,6.69,8.0,9.5,6.19,12.12,11.56,3.06,3.69,1.75,1.94,0.44,0.26,0.34,0.64,0.4,,,,,,,0.45,0.26,0.36,0.41,0.66,,,,,0.56,0.5
Odense BK,1.73,1.87,6.2,4.27,4.47,3.87,12.53,11.2,111.4,95.67,57.0,38.8,53.07,46.93,0.6,0.4,8.6,7.73,3.87,3.4,1.6,1.73,5.8,8.47,9.2,6.6,11.53,10.13,2.47,3.73,1.46,1.54,0.45,0.25,0.34,0.65,0.39,,,,,0.54,0.49,0.45,0.27,0.35,0.43,0.65,,,,,0.56,0.5,Denmark Superliga,2025-2026,2.0,1.53,5.81,4.81,5.12,4.75,14.62,11.44,102.12,86.19,69.5,46.19,50.06,49.94,0.5,0.5,10.0,7.81,4.5,3.56,2.88,1.56,7.19,7.56,8.81,7.69,9.44,11.25,2.75,2.94,1.13,1.67,0.46,0.25,0.32,0.62,0.41,,,,,0.53,0.5,0.48,0.26,0.33,0.44,0.63,,,,,,
Randers FC,1.17,1.58,4.71,4.07,4.43,4.29,11.93,13.0,102.64,106.0,50.93,45.43,48.0,52.0,1.0,0.0,8.5,7.0,3.43,6.0,2.57,1.07,7.64,7.5,7.93,8.43,10.21,10.79,3.57,3.57,1.43,1.43,0.41,0.26,0.36,0.62,0.43,,,,,0.54,0.5,0.43,0.27,0.37,0.46,0.61,,,,,0.54,0.52,Denmark Superliga,2025-2026,1.71,1.14,4.81,5.31,4.19,4.62,11.88,12.06,99.06,88.62,50.62,44.94,52.25,47.75,1.0,0.25,7.56,8.69,4.31,3.5,1.87,1.6,7.75,7.69,8.38,8.38,10.88,12.12,3.0,2.94,1.6,2.13,0.44,0.27,0.33,0.62,0.42,,,,,0.54,0.5,0.45,0.28,0.35,0.45,0.63,,,,,0.54,0.51
Silkeborg IF,1.29,1.57,4.93,4.93,3.8,6.0,12.73,14.6,93.8,111.67,46.73,50.93,52.13,47.87,1.0,0.33,7.87,9.67,4.87,4.93,1.53,2.0,9.33,5.8,7.87,10.2,7.07,11.13,4.27,3.8,1.14,1.64,0.36,0.26,0.41,0.64,0.4,,,,,0.54,0.5,0.37,0.27,0.43,0.42,0.65,,,,,0.52,0.53,Denmark Superliga,2025-2026,2.56,1.44,5.75,3.62,6.38,3.44,17.38,10.44,126.06,82.5,60.44,32.19,53.75,46.25,0.57,0.43,12.19,6.06,5.12,4.38,2.2,0.47,5.62,9.31,12.38,7.12,10.75,7.12,2.81,4.94,1.67,1.0,0.55,0.24,0.25,0.64,0.4,,,,,,,0.56,0.25,0.26,0.43,0.64,,,,,,
Sønderjyske Fodbold,1.6,1.2,4.13,5.8,4.53,5.67,13.13,14.33,84.6,104.47,45.87,52.07,44.33,55.67,1.0,0.0,8.87,9.93,4.27,4.6,1.93,1.8,8.93,8.53,7.87,7.93,10.73,10.33,2.47,2.6,1.64,2.21,0.34,0.26,0.44,0.62,0.42,,,0.54,0.5,0.53,0.51,0.34,0.27,0.46,0.45,0.62,,,0.54,0.51,0.54,0.52,Denmark Superliga,2025-2026,2.07,1.36,6.4,3.87,6.47,3.73,16.07,10.93,116.13,87.4,55.87,39.87,56.27,43.73,0.67,0.67,10.6,7.67,5.33,3.2,2.33,1.27,7.53,10.07,10.8,7.33,9.8,11.93,2.73,3.4,1.2,1.6,0.56,0.24,0.24,0.64,0.4,,,,,0.54,0.5,0.57,0.25,0.25,0.43,0.64,,,,,0.52,0.54
