team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Atlanta United,1.93,1.93,5.35,4.82,5.24,4.0,12.65,11.35,88.81,90.25,40.5,38.5,49.41,50.59,0.5,0.5,8.88,7.82,3.76,3.59,2.24,1.82,6.29,8.29,9.65,8.82,11.35,11.0,3.41,3.24,1.71,1.71,0.48,0.25,0.31,0.66,0.38,,,,,,,0.49,0.26,0.32,0.41,0.66,,,,,0.54,0.51,EUA MLS,2025,2.12,0.56,5.35,3.47,5.06,4.35,13.71,10.59,83.29,80.0,36.88,30.06,49.0,51.0,0.75,0.25,9.06,6.47,4.76,4.12,1.53,1.53,7.18,8.29,10.41,6.59,10.53,10.41,2.53,3.47,2.27,2.4,0.51,0.25,0.27,0.64,0.4,,,,,0.55,0.5,0.52,0.26,0.28,0.42,0.65,,,,,0.56,0.5
Austin,1.27,1.33,5.22,5.0,5.44,4.83,12.44,12.72,80.28,80.78,44.44,40.44,49.78,50.22,1.0,0.33,8.22,8.5,4.11,4.22,2.0,0.88,7.94,8.83,8.33,8.11,12.33,10.78,3.33,2.61,2.06,2.33,0.45,0.28,0.31,0.58,0.46,,,0.54,0.51,0.52,0.52,0.47,0.27,0.31,0.48,0.59,,,0.54,0.51,0.53,0.52,EUA MLS,2025,1.72,1.11,5.89,3.56,5.61,3.89,15.28,9.44,83.33,69.72,46.5,34.11,54.72,45.28,0.83,0.17,10.61,5.72,4.78,3.61,1.0,2.0,6.0,8.5,9.72,6.33,12.06,13.06,2.28,4.11,2.39,2.56,0.5,0.26,0.27,0.58,0.46,,,0.55,0.48,0.51,0.52,0.5,0.27,0.28,0.49,0.58,,,0.55,0.5,0.53,0.53
CF Montréal,0.88,2.06,4.76,3.59,5.41,4.94,12.47,13.24,75.18,78.06,31.53,25.71,48.12,51.88,1.0,0.0,7.71,8.53,4.71,4.71,1.73,1.0,6.94,7.06,8.71,9.47,13.0,12.35,3.47,3.41,2.41,2.06,0.36,0.27,0.39,0.62,0.42,,,0.55,0.49,0.52,0.51,0.37,0.28,0.4,0.44,0.63,,,0.55,0.5,0.54,0.52,EUA MLS,2025,1.69,1.25,4.71,5.35,4.88,4.06,13.24,10.29,78.53,78.12,34.29,32.29,50.82,49.18,0.0,1.0,9.18,6.94,3.76,3.12,0.94,1.88,6.82,6.76,9.12,7.29,14.71,12.35,2.82,3.24,2.53,2.24,0.64,0.23,0.18,0.59,0.45,,,0.55,0.48,0.53,0.51,0.64,0.23,0.18,0.48,0.6,,,0.56,0.5,0.54,0.51
Charlotte,1.79,1.05,3.68,5.05,4.21,5.42,11.32,14.79,85.53,92.79,37.53,42.89,45.95,54.05,0.6,0.6,7.68,8.74,3.16,5.32,1.67,1.78,8.47,7.21,8.53,9.47,10.26,12.37,4.11,2.79,1.79,2.74,0.47,0.26,0.3,0.63,0.41,,,,,0.53,0.51,0.49,0.26,0.31,0.44,0.63,,,0.54,0.5,0.53,0.52,EUA MLS,2025,1.76,1.29,5.5,4.28,4.61,4.44,14.56,9.78,89.0,85.22,41.22,38.11,49.94,50.06,1.5,0.5,9.11,6.67,5.5,3.11,1.71,1.12,5.89,7.06,9.72,6.61,12.22,11.83,2.17,3.83,2.56,2.06,0.49,0.27,0.28,0.61,0.43,,,0.54,0.5,0.53,0.51,0.5,0.27,0.29,0.45,0.62,,,0.54,0.5,0.54,0.52
Chicago Fire,1.65,1.71,5.21,4.11,5.32,4.68,14.95,11.79,85.44,86.67,43.94,40.39,51.37,48.63,0.44,0.56,9.74,7.68,5.21,4.26,1.47,1.63,7.21,8.11,9.79,8.0,11.84,12.11,2.79,3.74,1.95,2.42,0.48,0.26,0.3,0.66,0.38,,,,,0.53,0.5,0.48,0.26,0.31,0.41,0.67,,,,,0.52,0.52,EUA MLS,2025,2.06,2.5,5.56,4.0,6.28,3.83,15.0,12.67,102.06,75.0,43.5,38.33,52.33,47.67,0.83,0.5,9.67,7.39,5.17,5.22,2.44,1.72,6.17,9.06,10.11,8.5,10.33,12.0,3.39,3.0,2.12,2.44,0.49,0.25,0.29,0.65,0.39,,,0.56,0.49,0.54,0.49,0.51,0.26,0.29,0.42,0.65,,,0.56,0.49,0.55,0.5
Cincinnati,1.5,1.2,4.6,4.65,5.15,4.8,14.1,11.8,97.21,89.42,38.58,39.63,51.45,48.55,0.5,0.5,7.75,7.2,6.35,4.35,1.9,1.55,6.8,7.8,10.6,8.05,9.7,12.6,2.65,4.1,2.16,2.21,0.5,0.25,0.29,0.63,0.41,,,,,0.53,0.5,0.51,0.25,0.3,0.43,0.64,,,0.53,0.51,0.54,0.51,EUA MLS,2025,1.47,1.47,6.0,3.78,5.22,4.56,15.28,12.67,82.76,67.65,43.82,30.24,55.39,44.61,1.0,0.2,9.44,7.61,5.5,4.72,1.94,1.44,5.78,8.33,9.89,9.0,10.67,10.72,3.94,3.61,1.72,1.83,0.42,0.27,0.34,0.64,0.4,,,,,0.53,0.5,0.43,0.28,0.35,0.43,0.64,,,,,0.54,0.51
Colorado Rapids,1.47,1.24,5.82,3.76,5.82,4.76,14.29,11.29,89.59,71.59,46.59,36.65,49.06,50.94,1.2,0.0,9.18,7.24,5.06,4.0,1.75,1.25,7.88,8.88,8.47,7.12,9.47,11.29,2.65,3.29,1.88,1.69,0.45,0.26,0.32,0.64,0.4,,,,,0.53,0.51,0.46,0.27,0.33,0.42,0.65,,,0.56,0.49,0.54,0.51,EUA MLS,2025,2.19,1.19,7.24,4.29,6.41,3.35,18.94,9.65,93.82,76.65,53.47,31.06,58.12,41.88,0.43,0.71,12.71,6.12,5.94,3.35,1.88,1.69,4.94,8.94,12.29,5.47,12.29,10.59,2.12,5.06,1.88,2.06,0.55,0.24,0.24,0.64,0.4,,,,,0.54,0.5,0.56,0.25,0.24,0.43,0.64,,,,,0.54,0.5
Columbus Crew,2.06,1.25,5.89,2.67,5.39,3.17,15.33,7.94,92.89,54.89,52.39,22.67,61.28,38.72,1.0,0.25,10.94,5.56,4.56,2.39,2.56,2.44,5.22,7.56,10.22,5.61,10.22,12.56,1.67,3.89,1.06,2.35,0.57,0.24,0.22,0.62,0.42,,,,,0.55,0.5,0.58,0.25,0.23,0.44,0.64,,,0.54,0.5,0.55,0.5,EUA MLS,2025,1.89,1.5,4.37,4.05,4.05,3.37,12.11,10.74,74.79,100.89,32.58,40.05,43.26,56.74,0.5,0.5,8.89,6.95,3.21,3.63,2.74,2.42,6.05,6.32,9.32,6.84,10.84,9.95,2.79,3.47,1.74,1.63,0.4,0.26,0.37,0.66,0.38,,,,,0.54,0.49,0.4,0.27,0.39,0.41,0.66,,,,,0.54,0.51
DC United,0.93,2.21,4.24,4.82,4.24,4.0,10.88,12.0,77.71,94.59,33.0,38.12,45.18,54.82,0.67,0.33,7.29,6.88,3.53,5.0,1.38,2.5,6.82,6.18,6.47,8.65,13.59,11.47,3.29,2.47,2.76,2.29,0.4,0.27,0.36,0.61,0.43,,,0.55,0.48,0.52,0.52,0.41,0.28,0.37,0.46,0.62,,,0.55,0.51,0.53,0.53,EUA MLS,2025,2.19,1.06,5.65,4.24,4.24,4.06,14.0,10.94,89.24,71.18,43.47,32.47,54.94,45.06,0.75,0.25,9.0,6.76,4.94,4.06,2.6,1.33,6.18,7.35,9.76,7.35,10.29,14.65,2.94,3.53,1.82,2.53,0.58,0.24,0.22,0.61,0.43,,,,,0.54,0.5,0.6,0.24,0.22,0.47,0.61,,,,,0.53,0.52
Dallas,1.53,1.53,3.33,6.5,4.44,4.72,10.94,13.67,75.56,98.0,38.5,54.5,41.0,59.0,0.67,0.67,7.39,7.94,3.39,5.28,2.28,1.94,8.39,7.39,7.39,7.72,12.83,13.11,2.72,2.78,2.22,2.0,0.42,0.27,0.35,0.62,0.42,,,0.55,0.48,0.52,0.51,0.43,0.27,0.36,0.43,0.64,,,0.56,0.5,0.54,0.52,EUA MLS,2025,1.94,1.59,7.06,3.89,5.94,4.06,16.17,9.94,98.56,76.61,60.5,33.06,59.78,40.22,0.7,0.3,10.56,7.11,5.39,2.89,1.35,2.12,5.94,9.89,10.61,7.17,12.61,13.11,2.22,4.06,2.17,2.5,0.57,0.24,0.22,0.62,0.42,,,,,0.53,0.5,0.57,0.25,0.24,0.45,0.63,,,,,0.54,0.51
