team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Angers SCO,1.2,1.27,4.31,4.56,3.94,5.0,10.56,13.75,69.06,107.25,34.62,49.06,43.06,56.94,0.25,0.75,6.31,7.88,4.25,5.81,1.93,1.2,8.06,6.5,7.19,9.75,12.69,11.81,4.44,2.88,1.62,1.62,0.28,0.29,0.46,0.52,0.52,0.54,0.48,0.5,0.53,0.52,0.51,0.29,0.29,0.48,0.53,0.54,0.54,0.51,0.52,0.52,0.51,0.53,France Ligue 1,2025-2026,1.73,0.73,5.75,3.06,7.25,3.31,15.44,8.5,120.69,73.06,54.25,29.5,58.75,41.25,0.5,1.0,10.31,5.62,5.12,2.94,1.25,1.75,5.12,9.19,11.69,5.25,10.94,9.38,2.19,3.75,1.15,1.54,0.61,0.24,0.18,0.48,0.55,0.52,0.51,0.52,0.51,0.5,0.53,0.63,0.24,0.19,0.56,0.51,0.5,0.54,0.52,0.52,0.52,0.53
Auxerre,1.5,1.17,5.56,4.38,4.06,3.94,11.5,10.5,90.06,96.31,42.56,38.38,43.88,56.12,0.67,0.5,7.75,7.38,3.75,3.19,1.21,1.86,6.12,7.5,7.38,6.75,13.19,12.94,3.06,2.88,1.75,3.25,0.34,0.28,0.41,0.54,0.49,,,0.52,0.5,0.5,0.53,0.35,0.28,0.42,0.52,0.55,,,0.51,0.53,0.51,0.53,France Ligue 1,2025-2026,1.69,1.0,5.0,4.06,5.12,3.59,13.35,9.94,97.0,86.65,48.0,34.65,56.0,44.0,0.67,0.33,8.29,6.29,5.06,3.65,1.53,1.65,5.88,8.18,8.65,5.82,13.41,14.06,2.35,3.53,1.82,2.35,0.54,0.26,0.22,0.52,0.51,0.55,0.48,0.51,0.52,0.5,0.53,0.56,0.27,0.23,0.53,0.54,0.54,0.51,0.53,0.51,0.52,0.52
Brest,1.86,1.64,4.75,4.06,5.75,5.19,14.0,11.62,100.25,98.31,37.38,42.19,45.06,54.94,1.0,0.5,8.81,7.44,5.19,4.12,1.27,1.93,8.56,9.38,8.94,8.06,12.75,11.12,2.19,2.81,1.75,1.88,0.36,0.28,0.39,0.56,0.47,0.53,0.49,0.51,0.51,0.51,0.52,0.38,0.28,0.39,0.49,0.58,,,0.52,0.52,0.52,0.52,France Ligue 1,2025-2026,1.88,0.88,7.71,3.06,4.88,3.71,15.88,8.59,100.35,83.88,49.65,36.94,57.53,42.47,0.33,0.67,10.65,5.41,5.24,3.18,2.12,1.41,6.53,6.82,9.35,5.71,11.53,12.88,1.76,3.76,1.44,1.88,0.49,0.27,0.27,0.55,0.48,,,0.5,0.53,0.52,0.51,0.5,0.27,0.27,0.51,0.57,0.56,0.48,0.5,0.55,0.51,0.53
LOSC Lille,1.5,1.06,6.35,3.59,5.59,3.29,14.76,8.24,114.94,76.82,63.53,33.12,56.82,43.18,1.25,0.0,10.88,5.29,3.88,3.0,1.29,1.41,5.59,8.24,9.53,5.76,10.47,13.24,1.94,3.35,2.0,1.76,0.55,0.25,0.23,0.56,0.48,,,0.54,0.49,0.53,0.5,0.56,0.25,0.25,0.51,0.57,,,0.53,0.51,0.53,0.52,France Ligue 1,2025-2026,1.33,1.8,4.19,4.94,3.94,3.94,10.19,12.38,84.88,97.75,39.62,51.44,45.12,54.88,0.8,0.4,6.25,8.06,3.94,4.31,1.79,1.71,6.62,7.31,6.94,7.62,13.19,10.94,2.94,2.56,2.12,2.62,0.35,0.26,0.42,0.57,0.47,,,0.52,0.51,0.52,0.51,0.35,0.27,0.42,0.49,0.58,,,0.53,0.51,0.52,0.52
Le Havre,1.54,1.31,4.94,3.44,4.88,4.12,12.12,10.19,87.31,92.62,44.94,43.5,47.81,52.19,0.8,0.6,7.69,6.81,4.44,3.38,2.46,2.31,6.62,8.62,7.75,7.06,13.5,14.56,2.19,2.62,1.75,2.56,0.34,0.29,0.4,0.55,0.49,0.56,0.48,0.51,0.52,0.51,0.52,0.35,0.29,0.41,0.51,0.56,0.52,0.52,0.51,0.53,0.52,0.52,France Ligue 1,2025-2026,1.71,0.86,6.31,3.56,6.31,4.94,15.56,10.12,102.38,82.06,58.38,38.88,54.75,45.25,0.75,0.25,10.62,6.06,4.94,4.06,2.27,2.0,7.75,8.81,9.4,6.67,13.75,14.0,2.75,3.62,1.5,1.94,0.58,0.25,0.2,0.52,0.52,0.52,0.51,0.52,0.5,0.51,0.52,0.58,0.25,0.22,0.54,0.54,0.52,0.52,0.53,0.51,0.53,0.52
Lens,2.06,0.62,6.75,4.25,7.44,4.19,18.25,10.5,96.0,88.44,53.44,37.56,52.25,47.75,0.67,0.33,12.88,7.25,5.38,3.25,2.47,1.0,5.88,10.19,12.33,5.4,12.56,12.25,1.87,4.47,1.53,2.4,0.58,0.23,0.22,0.58,0.45,,,,,0.54,0.48,0.59,0.24,0.23,0.48,0.59,,,,,0.55,0.5,France Ligue 1,2025-2026,1.4,2.0,4.31,5.5,4.06,6.25,12.0,14.0,94.69,93.12,43.38,45.38,49.69,50.31,0.83,0.33,7.56,9.88,4.44,4.12,1.23,2.08,8.31,6.31,7.06,9.56,11.75,13.06,2.81,3.0,2.06,2.5,0.33,0.25,0.45,0.59,0.44,,,0.53,0.5,0.54,0.49,0.34,0.26,0.46,0.47,0.61,,,0.53,0.51,0.52,0.52
Lorient,1.82,1.47,3.24,5.29,5.06,4.06,11.94,10.18,82.0,108.65,41.0,50.76,45.76,54.24,0.67,0.5,7.71,6.82,4.24,3.35,1.94,1.0,7.0,6.29,8.06,6.94,9.47,12.47,2.71,2.65,1.81,2.56,0.36,0.28,0.4,0.55,0.49,,,0.51,0.51,0.51,0.52,0.36,0.28,0.41,0.5,0.57,,,0.53,0.52,0.52,0.52,France Ligue 1,2025-2026,1.53,0.93,5.62,3.56,5.25,4.5,12.31,10.31,113.19,80.5,59.25,35.62,56.06,43.94,0.5,0.5,8.12,6.19,4.19,4.12,1.0,1.33,6.44,9.06,7.62,7.31,13.88,9.81,2.5,2.31,1.94,1.5,0.53,0.26,0.24,0.54,0.5,0.55,0.48,0.52,0.51,0.52,0.51,0.54,0.27,0.25,0.51,0.56,0.55,0.5,0.53,0.51,0.52,0.53
Metz,1.07,2.29,4.94,4.29,4.71,4.82,11.76,12.47,92.65,94.29,44.35,39.24,50.0,50.0,0.75,0.5,7.18,7.24,4.59,5.24,1.79,1.64,7.24,6.18,8.06,9.0,11.53,10.94,2.76,2.82,1.53,1.8,0.26,0.26,0.52,0.56,0.48,,,0.54,0.49,0.51,0.52,0.27,0.26,0.53,0.48,0.59,,,0.53,0.51,0.53,0.51,France Ligue 1,2025-2026,2.93,1.21,6.38,3.69,7.38,3.62,18.25,8.69,99.38,73.5,50.88,29.88,51.19,48.81,0.86,0.43,12.5,5.69,5.75,3.0,1.87,1.2,5.62,9.81,12.94,5.56,11.56,11.0,1.75,4.5,1.5,1.81,0.65,0.22,0.17,0.54,0.49,,,0.54,0.5,0.52,0.5,0.66,0.22,0.17,0.52,0.55,,,0.53,0.52,0.52,0.52
Monaco,1.94,1.44,4.94,4.19,4.38,4.44,12.25,12.06,105.94,90.75,49.19,39.62,53.5,46.5,1.0,0.6,9.0,8.38,3.25,3.69,3.0,1.71,7.44,8.06,8.62,7.31,13.0,11.0,2.88,2.88,1.88,1.88,0.55,0.23,0.24,0.62,0.42,,,,,,,0.57,0.24,0.25,0.44,0.63,,,,,,,France Ligue 1,2025-2026,2.07,1.71,4.44,5.38,6.19,5.0,15.0,13.12,94.06,103.56,44.75,51.62,46.75,53.25,0.5,0.5,8.94,9.62,6.06,3.5,1.0,2.14,7.75,8.38,10.19,8.44,10.56,13.25,2.94,2.56,1.44,2.69,0.3,0.24,0.48,0.63,0.4,,,,,0.54,0.49,0.31,0.25,0.5,0.42,0.65,,,,,0.54,0.51
Nantes,1.07,1.8,3.81,4.88,5.12,4.62,11.62,12.25,84.12,94.19,37.81,42.56,45.56,54.44,1.0,0.5,7.19,8.94,4.44,3.31,1.0,2.36,7.56,7.38,7.73,9.33,11.62,13.0,3.0,2.44,1.87,2.4,0.29,0.27,0.46,0.55,0.49,0.49,0.54,0.52,0.5,0.52,0.52,0.3,0.28,0.47,0.51,0.57,0.53,0.51,0.54,0.5,0.52,0.53,France Ligue 1,2025-2026,1.79,0.79,6.24,3.41,5.41,3.88,14.41,10.59,106.71,72.71,54.41,31.47,59.65,40.35,0.8,0.2,9.53,7.06,4.88,3.53,3.47,1.65,5.35,8.35,9.59,5.71,14.24,12.88,2.41,3.53,2.29,2.06,0.61,0.24,0.18,0.52,0.52,,,0.52,0.5,0.51,0.52,0.62,0.25,0.19,0.53,0.54,0.56,0.49,0.53,0.51,0.52,0.52
