team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Bayer 04 Leverkusen,2.25,0.75,6.0,3.75,7.0,3.5,16.62,8.62,120.75,80.25,51.25,37.75,62.75,37.25,1.0,0.0,9.88,5.5,6.88,3.12,1.57,0.86,6.25,10.0,12.62,6.88,8.88,10.5,2.75,3.5,2.12,2.88,0.54,0.25,0.24,0.62,0.42,,,,,0.54,0.49,0.56,0.25,0.25,0.46,0.62,,,,,0.52,0.52,Germany Bundesliga,2025-2026,2.0,2.14,6.29,4.43,6.14,4.0,15.43,12.0,97.57,96.43,53.29,42.86,44.14,55.86,1.0,1.0,9.57,8.71,5.86,3.29,1.29,0.57,6.0,9.14,9.71,6.86,12.57,8.57,2.0,4.0,2.71,2.71,0.4,0.25,0.37,0.65,0.39,,,,,0.53,0.49,0.42,0.26,0.39,0.42,0.66,,,,,0.54,0.5
Borussia Dortmund,1.86,0.57,7.43,4.43,4.86,5.43,13.86,10.29,117.57,82.43,60.29,36.0,55.29,44.71,1.0,0.0,9.29,6.71,4.57,3.57,1.43,1.29,7.14,8.57,9.57,5.14,11.57,10.0,1.86,3.29,1.17,1.5,0.64,0.21,0.18,0.63,0.41,,,,,,,0.65,0.22,0.19,0.42,0.65,,,,,,,Germany Bundesliga,2025-2026,1.0,1.62,5.38,3.25,4.62,4.25,11.62,10.12,95.38,102.5,45.38,50.75,49.75,50.25,1.0,1.0,8.12,7.5,3.5,2.62,3.0,1.12,7.62,6.62,7.62,6.88,11.0,11.88,2.12,3.0,2.25,2.25,0.3,0.25,0.48,0.64,0.4,,,,,0.54,0.49,0.32,0.25,0.49,0.44,0.63,,,0.56,0.49,0.52,0.53
Borussia Mönchengladbach,1.6,3.4,4.75,5.0,4.5,6.25,10.88,16.12,90.38,111.88,41.25,55.75,45.12,54.88,1.0,0.67,7.0,9.88,3.88,6.38,2.25,2.5,7.62,6.0,5.88,11.0,10.38,9.12,3.0,2.5,1.12,1.75,0.38,0.25,0.4,0.66,0.38,,,,,0.52,0.5,0.4,0.26,0.41,0.41,0.67,,,,,0.53,0.51,Germany Bundesliga,2025-2026,1.0,1.43,5.86,5.14,4.29,4.29,11.86,12.43,118.86,87.0,48.86,34.71,52.43,47.57,0.0,1.0,8.29,9.0,3.43,3.57,1.86,2.0,5.86,6.29,7.29,7.57,12.71,11.43,3.71,3.29,3.14,1.57,0.49,0.25,0.28,0.61,0.42,,,,,0.52,0.5,0.51,0.26,0.29,0.44,0.63,,,,,0.52,0.53
Eintracht Frankfurt,1.71,1.29,5.29,2.57,4.71,4.43,13.29,9.57,99.43,96.57,51.43,41.86,54.71,45.29,1.0,0.0,8.86,6.43,4.43,3.14,1.71,3.71,7.14,9.29,9.57,7.71,10.0,10.0,1.29,2.86,1.14,2.86,0.51,0.23,0.29,0.64,0.39,,,,,,,0.52,0.23,0.31,0.43,0.65,,,,,,,Germany Bundesliga,2025-2026,2.62,2.25,3.62,4.5,5.38,4.0,12.88,11.88,92.38,110.38,41.75,49.25,44.25,55.75,1.0,0.0,9.25,8.12,3.62,3.75,2.88,1.0,7.0,7.5,9.38,7.5,9.25,10.88,1.75,2.75,1.83,2.5,0.39,0.27,0.37,0.66,0.38,,,,,0.53,0.5,0.4,0.27,0.39,0.4,0.67,,,,,0.54,0.5
FC Augsburg,1.29,2.14,5.5,5.38,5.12,5.12,12.62,13.75,102.75,90.25,44.62,47.62,47.5,52.5,,,8.25,9.75,4.38,4.0,2.38,2.12,8.25,6.88,5.5,7.38,11.75,11.25,2.38,3.12,2.75,2.38,0.3,0.26,0.46,0.62,0.42,,,,,0.53,0.5,0.32,0.26,0.48,0.44,0.63,,,,,0.53,0.51,Germany Bundesliga,2025-2026,1.86,1.14,4.14,3.14,5.29,5.0,13.43,12.14,115.0,97.57,50.71,34.29,56.29,43.71,0.75,0.25,9.71,7.57,3.71,4.29,2.71,2.71,6.29,9.29,10.14,7.71,13.29,13.71,2.71,2.71,1.86,3.29,0.51,0.26,0.26,0.6,0.44,,,0.54,0.49,0.52,0.5,0.52,0.26,0.27,0.48,0.6,,,0.54,0.5,0.52,0.53
FC Bayern München,3.88,0.75,6.38,3.5,6.5,3.62,20.62,8.5,137.88,57.88,69.0,27.75,68.75,31.25,1.0,0.0,14.25,5.38,6.38,3.0,2.0,1.5,5.5,8.75,12.62,4.5,9.62,9.25,0.88,4.62,1.75,1.25,0.85,0.11,0.07,0.55,0.5,,,,,,,0.86,0.12,0.07,0.51,0.56,,,,,,,Germany Bundesliga,2025-2026,0.71,3.43,3.71,5.14,4.86,4.86,8.86,18.71,66.57,134.43,30.0,69.86,32.86,67.14,0.33,1.0,5.71,12.71,3.0,6.0,2.14,3.14,7.14,5.43,5.71,12.0,10.0,9.29,4.71,1.29,1.5,3.17,0.12,0.16,0.76,0.62,0.42,,,,,,,0.12,0.16,0.77,0.44,0.63,,,,,,
FC Köln,2.0,1.57,4.14,4.43,5.0,3.71,14.29,10.71,97.71,102.14,40.86,39.57,50.29,49.71,0.0,1.0,8.57,7.14,5.43,3.57,2.71,2.14,7.29,7.14,9.86,6.57,8.86,12.14,2.14,3.29,1.5,2.83,0.41,0.28,0.34,0.63,0.41,,,0.53,0.49,0.51,0.52,0.42,0.28,0.35,0.44,0.64,,,0.55,0.5,0.53,0.51,Germany Bundesliga,2025-2026,1.62,1.0,8.25,3.62,6.5,4.75,17.0,11.0,99.75,88.0,56.88,38.25,53.88,46.12,2.0,1.0,11.88,7.12,5.12,3.75,1.88,1.0,6.62,11.25,10.5,7.38,10.88,9.0,2.38,3.88,1.75,2.12,0.53,0.25,0.25,0.64,0.39,,,,,0.54,0.49,0.55,0.26,0.26,0.42,0.65,,,,,0.55,0.5
FC Union Berlin,2.17,1.83,5.62,5.38,6.0,4.62,12.38,12.25,86.0,109.25,40.12,43.62,35.12,64.88,0.5,1.0,8.75,8.25,3.5,4.12,1.88,1.75,6.88,7.5,8.62,9.88,15.12,12.0,3.0,2.12,3.0,2.38,0.36,0.26,0.4,0.56,0.48,,,0.52,0.5,0.5,0.53,0.37,0.27,0.41,0.5,0.57,,,0.52,0.52,0.52,0.52,Germany Bundesliga,2025-2026,1.71,1.0,4.14,5.14,4.57,5.71,13.57,12.14,117.71,86.57,47.57,40.43,62.71,37.29,0.5,0.5,7.57,9.0,6.0,3.14,1.0,1.86,8.71,9.0,8.71,7.29,10.43,11.43,2.43,2.57,2.5,2.0,0.5,0.27,0.25,0.56,0.48,0.54,0.49,0.5,0.52,0.52,0.51,0.52,0.28,0.26,0.5,0.57,0.53,0.51,0.55,0.5,0.54,0.5
FSV Mainz 05,0.71,1.57,5.75,3.88,5.12,5.25,12.5,13.0,122.12,99.25,57.25,35.88,49.75,50.25,1.0,1.0,9.5,9.38,3.0,3.62,3.0,1.0,6.62,9.0,6.75,7.88,12.38,10.25,2.38,1.62,1.75,1.75,0.42,0.28,0.34,0.62,0.41,,,0.51,0.52,0.51,0.52,0.44,0.28,0.34,0.44,0.64,,,0.51,0.53,0.54,0.5,Germany Bundesliga,2025-2026,2.14,1.14,4.86,4.29,6.29,3.86,17.71,8.86,111.14,91.29,46.71,48.57,58.71,41.29,0.33,0.67,12.14,6.71,5.71,2.14,3.5,2.0,5.14,7.29,10.71,5.71,11.0,11.86,1.14,4.86,1.71,3.14,0.51,0.24,0.27,0.61,0.42,,,,,0.54,0.49,0.53,0.25,0.28,0.45,0.62,,,,,0.53,0.51
Hamburger SV,1.62,1.12,3.88,5.25,5.12,4.88,13.5,13.0,86.75,108.25,40.12,54.5,45.88,54.12,1.0,0.0,9.75,7.88,3.88,5.25,1.75,1.38,8.88,7.25,9.12,7.38,12.0,13.12,2.38,3.38,2.29,3.29,0.39,0.28,0.36,0.62,0.41,,,0.53,0.5,0.52,0.51,0.4,0.28,0.37,0.44,0.63,,,0.51,0.53,0.53,0.51,Germany Bundesliga,2025-2026,3.2,0.6,4.14,3.71,5.86,4.57,15.0,12.43,99.0,83.71,47.71,30.86,52.57,47.43,0.67,0.33,9.43,8.43,5.57,4.0,1.14,3.14,7.0,7.57,10.14,7.43,12.71,13.0,3.43,3.86,1.86,2.57,0.57,0.23,0.23,0.62,0.42,,,,,0.5,0.53,0.58,0.23,0.24,0.44,0.63,,,,,0.55,0.5
