team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
DSC Arminia Bielefeld,2.27,1.33,6.44,3.31,6.0,4.38,16.12,10.5,100.94,83.44,53.44,37.06,54.38,45.62,1.0,0.0,11.12,6.38,5.0,4.12,2.75,1.56,7.0,9.56,10.81,7.12,12.56,13.5,2.19,2.94,2.0,2.44,0.47,0.27,0.3,0.64,0.4,,,0.55,0.48,0.52,0.51,0.48,0.28,0.31,0.44,0.64,,,0.5,0.56,0.53,0.53,Germany Bundesliga 2,2025-2026,1.75,1.12,5.5,5.38,6.12,5.0,15.31,13.25,93.62,101.25,43.44,49.0,50.38,49.62,1.0,0.6,10.75,8.0,4.44,5.31,1.62,1.44,8.44,7.25,11.31,8.19,13.56,12.5,2.62,3.88,2.86,2.07,0.42,0.27,0.34,0.62,0.42,,,0.55,0.48,0.52,0.51,0.44,0.28,0.36,0.44,0.63,,,0.5,0.56,0.54,0.52
Darmstadt 98,2.14,1.14,5.19,5.31,6.19,5.81,15.31,12.75,88.12,79.88,45.69,44.5,50.94,49.06,0.33,0.67,10.62,7.38,4.62,5.44,1.53,1.2,8.0,9.0,9.38,7.56,11.44,12.56,2.56,3.81,1.88,1.69,0.49,0.26,0.29,0.63,0.41,,,,,0.54,0.5,0.5,0.27,0.3,0.43,0.64,,,,,0.53,0.53,Germany Bundesliga 2,2025-2026,1.67,1.6,5.69,4.38,6.75,5.62,16.62,12.75,97.56,90.0,53.31,39.06,48.25,51.75,0.6,0.4,10.19,8.25,6.38,4.31,1.6,1.53,7.38,9.25,11.06,8.88,10.19,11.5,2.69,4.06,1.73,1.8,0.41,0.27,0.35,0.63,0.41,,,,,0.52,0.51,0.43,0.27,0.36,0.42,0.65,,,,,0.53,0.52
Dynamo Dresden,1.56,1.25,5.06,5.12,5.06,4.75,12.19,12.62,84.12,101.75,40.44,42.75,49.31,50.69,0.33,0.83,7.81,8.62,3.88,4.0,2.21,1.29,7.0,7.38,8.53,7.87,10.06,12.75,2.38,2.38,1.94,2.56,0.42,0.27,0.34,0.62,0.42,,,0.55,0.48,0.51,0.53,0.44,0.28,0.35,0.44,0.63,,,0.5,0.56,0.53,0.52,Germany Bundesliga 2,2025-2026,1.94,1.5,6.0,5.44,7.38,5.25,15.12,13.94,98.19,97.56,49.19,45.94,48.5,51.5,1.0,0.25,10.19,8.81,4.81,5.12,0.79,1.86,7.38,8.88,10.06,8.31,10.88,10.12,3.12,2.31,1.57,1.79,0.48,0.27,0.28,0.62,0.42,,,,,0.53,0.5,0.5,0.28,0.3,0.45,0.63,,,,,0.54,0.52
Eintracht Braunschweig,1.18,1.53,4.82,5.71,5.29,5.0,12.94,13.76,96.82,96.82,38.59,45.94,41.94,58.06,0.67,0.33,7.71,9.76,5.06,3.94,1.94,1.44,8.24,7.65,8.47,8.29,11.88,13.35,2.76,2.71,2.29,3.24,0.34,0.28,0.41,0.61,0.43,,,0.53,0.51,0.52,0.51,0.35,0.29,0.43,0.46,0.62,,,0.52,0.53,0.53,0.52,Germany Bundesliga 2,2025-2026,1.67,1.0,6.0,4.94,4.81,5.38,12.38,11.88,90.38,98.19,45.56,45.0,54.12,45.88,1.0,0.0,8.44,6.44,3.69,5.44,1.13,1.67,7.44,7.69,8.44,6.94,12.62,12.38,2.62,2.69,2.44,2.31,0.53,0.26,0.24,0.59,0.45,,,0.55,0.48,0.52,0.52,0.54,0.27,0.26,0.47,0.61,,,0.51,0.55,0.54,0.52
Elversberg,2.13,0.87,6.31,3.88,5.81,4.25,15.94,9.94,102.19,81.81,56.25,37.25,53.75,46.25,0.67,0.33,10.62,6.62,5.38,3.25,1.87,1.0,7.12,9.31,10.5,6.25,10.25,12.5,2.44,3.31,1.43,2.43,0.54,0.25,0.25,0.63,0.41,,,,,0.54,0.5,0.55,0.25,0.27,0.44,0.63,,,,,0.55,0.51,Germany Bundesliga 2,2025-2026,1.5,1.75,4.62,5.94,5.0,5.25,12.12,14.69,86.0,94.25,41.62,47.75,46.69,53.31,0.2,1.0,8.62,9.56,3.44,5.06,1.12,1.88,8.25,7.19,8.06,10.12,13.31,10.75,3.12,2.75,3.31,2.38,0.35,0.28,0.41,0.62,0.42,,,,,0.52,0.51,0.36,0.28,0.42,0.43,0.64,,,,,0.53,0.53
Fortuna Düsseldorf,1.43,1.79,4.12,3.56,5.12,4.25,12.06,13.19,93.62,87.44,49.19,39.19,50.62,49.38,0.0,1.0,7.5,8.38,4.56,4.75,1.75,1.75,6.0,8.56,7.75,7.94,11.88,10.38,3.62,2.56,3.31,2.31,0.42,0.27,0.34,0.63,0.41,,,,,0.53,0.51,0.43,0.28,0.35,0.43,0.64,,,,,0.54,0.52,Germany Bundesliga 2,2025-2026,1.56,0.62,5.44,4.0,5.38,4.94,14.75,12.25,101.69,93.94,47.56,41.88,52.12,47.88,0.67,0.33,9.56,8.38,5.12,3.88,2.25,1.81,8.0,7.88,9.25,7.81,10.94,12.69,2.75,3.25,2.13,2.93,0.48,0.26,0.3,0.62,0.42,,,,,0.52,0.51,0.49,0.27,0.31,0.44,0.63,,,0.54,0.51,0.52,0.52
Hannover 96,1.8,1.53,8.0,3.69,5.88,4.94,16.56,12.44,104.06,81.06,57.88,36.25,57.81,42.19,0.83,0.33,11.69,7.62,4.81,4.88,2.14,0.5,5.88,8.62,10.75,7.44,12.06,13.75,2.88,4.19,1.81,2.94,0.56,0.25,0.23,0.61,0.43,,,,,0.54,0.5,0.58,0.26,0.24,0.46,0.62,,,,,0.53,0.53,Germany Bundesliga 2,2025-2026,1.31,2.0,4.31,4.44,4.88,4.25,12.0,12.0,85.19,99.62,38.19,45.06,45.56,54.44,0.43,0.57,7.12,8.56,4.88,3.44,0.73,2.2,7.38,6.81,7.56,8.5,13.56,12.0,3.06,2.75,2.12,2.19,0.33,0.27,0.43,0.64,0.4,,,,,0.53,0.51,0.35,0.28,0.45,0.43,0.64,,,,,0.55,0.51
Hertha BSC,1.07,1.2,4.76,5.94,6.0,5.94,13.35,13.82,95.24,93.76,43.18,42.59,49.94,50.06,0.6,0.4,9.0,9.12,4.35,4.71,1.76,1.06,8.12,8.88,9.71,9.0,11.35,10.29,2.53,3.41,2.25,2.06,0.5,0.26,0.27,0.62,0.42,,,0.55,0.48,0.51,0.52,0.51,0.27,0.29,0.44,0.64,,,0.5,0.56,0.55,0.51,Germany Bundesliga 2,2025-2026,1.4,1.93,5.94,3.94,5.88,5.06,14.69,11.94,98.0,90.75,47.62,44.62,52.38,47.62,0.25,0.75,9.56,8.19,5.06,3.75,0.88,2.12,8.0,9.38,10.12,8.94,12.12,12.81,2.25,3.25,2.62,2.62,0.42,0.27,0.35,0.64,0.4,,,,,0.54,0.5,0.42,0.28,0.37,0.41,0.66,,,,,0.51,0.55
Holstein Kiel,1.4,1.2,6.19,4.69,6.12,4.56,13.5,11.88,91.0,97.38,48.44,45.0,54.62,45.38,0.5,0.5,8.5,7.75,4.88,4.12,2.0,2.25,7.38,8.38,9.56,7.75,12.75,13.5,2.75,2.69,2.19,2.94,0.44,0.28,0.32,0.61,0.43,,,0.52,0.51,0.52,0.51,0.45,0.28,0.34,0.46,0.62,,,0.54,0.51,0.54,0.52,Germany Bundesliga 2,2025-2026,1.62,1.31,5.25,4.25,6.81,4.44,16.44,10.44,101.25,75.06,55.06,33.0,52.44,47.56,0.71,0.57,10.19,6.5,6.38,3.94,2.47,1.27,7.19,10.38,11.38,7.12,12.31,15.81,1.75,3.19,2.44,3.62,0.46,0.27,0.3,0.61,0.43,,,0.55,0.49,0.53,0.5,0.47,0.28,0.32,0.45,0.63,,,0.5,0.56,0.53,0.53
Kaiserslautern,2.12,1.06,5.81,3.81,5.69,5.69,15.69,12.44,98.62,94.19,48.31,39.44,49.88,50.12,0.5,0.67,11.31,7.56,4.44,4.88,1.6,1.67,8.69,7.88,9.94,8.62,11.75,13.12,2.75,3.88,2.87,3.13,0.41,0.27,0.36,0.64,0.4,,,,,0.54,0.49,0.42,0.28,0.37,0.42,0.65,,,,,0.54,0.52,Germany Bundesliga 2,2025-2026,1.73,0.93,6.06,3.69,6.38,4.25,15.69,9.69,99.38,84.75,46.56,33.81,54.56,45.44,0.6,0.4,10.19,6.31,5.5,3.31,1.47,1.07,6.56,10.62,11.56,6.88,12.06,11.88,2.19,4.06,2.25,2.5,0.47,0.26,0.3,0.64,0.4,,,,,0.52,0.51,0.5,0.27,0.3,0.43,0.65,,,,,0.54,0.52
