team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
AEK Athens,1.8,0.47,5.47,2.2,6.53,4.27,16.4,8.53,95.2,87.73,57.4,32.13,56.87,43.13,0.83,0.17,11.93,4.67,4.47,3.87,2.0,1.0,6.27,8.4,10.53,6.4,15.8,14.13,2.33,3.67,2.47,2.6,0.68,0.21,0.15,0.45,0.6,,,0.54,0.5,0.52,0.52,0.69,0.22,0.16,0.59,0.48,,,0.54,0.52,0.53,0.52,Greece Super Liga,2025-2026,0.93,1.86,4.0,5.56,4.44,4.88,9.88,13.69,80.19,94.88,37.19,54.5,42.25,57.75,0.83,0.67,5.69,9.38,4.12,4.25,1.38,2.25,8.0,6.81,7.19,9.38,13.62,15.75,2.56,2.44,2.94,2.88,0.25,0.25,0.54,0.48,0.57,0.56,0.48,0.53,0.51,0.51,0.53,0.26,0.25,0.55,0.57,0.5,,,0.53,0.53,0.53,0.53
Aris,1.64,1.18,5.67,3.8,5.4,4.6,16.13,10.33,93.47,80.87,49.93,34.4,51.47,48.53,1.0,0.5,9.27,6.07,6.87,4.2,2.73,1.13,6.73,7.6,10.33,7.33,14.13,14.8,2.4,3.93,2.67,3.93,0.5,0.27,0.27,0.48,0.56,0.53,0.5,0.53,0.51,0.51,0.53,0.51,0.27,0.28,0.58,0.49,0.54,0.52,0.54,0.52,0.53,0.53,Greece Super Liga,2025-2026,1.2,1.0,4.31,4.44,4.75,5.38,11.31,11.06,89.62,88.56,40.56,38.56,49.94,50.06,0.67,0.33,7.75,6.5,3.62,4.5,1.33,2.27,8.31,6.5,7.38,8.06,13.38,16.25,2.44,2.56,2.0,2.19,0.39,0.29,0.36,0.46,0.58,0.53,0.5,0.51,0.53,0.52,0.52,0.39,0.29,0.37,0.58,0.49,0.54,0.52,0.53,0.53,0.52,0.53
Asteras Tripolis,1.56,1.31,5.35,4.24,4.82,4.18,10.65,11.41,87.18,88.71,40.59,42.0,46.59,53.41,0.29,1.0,6.94,7.24,3.71,4.18,2.19,2.12,8.12,8.12,8.41,8.18,12.76,14.41,2.82,2.29,2.82,2.94,0.4,0.28,0.35,0.49,0.55,0.54,0.5,0.51,0.53,0.51,0.54,0.41,0.28,0.36,0.57,0.5,0.52,0.53,0.52,0.53,0.52,0.54,Greece Super Liga,2025-2026,1.92,0.62,5.47,4.18,6.06,3.59,14.82,8.82,94.06,75.71,47.82,32.76,56.88,43.12,0.67,0.33,8.41,4.82,6.29,3.94,1.76,2.06,6.29,8.71,10.24,6.12,14.94,14.41,2.35,3.06,2.06,2.88,0.53,0.28,0.23,0.48,0.57,0.54,0.49,0.51,0.52,0.52,0.52,0.53,0.28,0.25,0.58,0.49,0.51,0.54,0.52,0.54,0.55,0.51
Atromitos,1.29,1.57,3.62,4.81,4.94,3.31,11.94,10.19,93.75,86.81,46.69,46.12,55.31,44.69,0.83,0.17,6.75,6.88,5.25,3.31,1.69,2.25,5.75,7.31,7.81,7.88,14.44,15.81,2.94,2.38,2.31,2.62,0.38,0.29,0.37,0.49,0.56,0.55,0.49,0.51,0.52,0.51,0.54,0.39,0.28,0.39,0.57,0.5,0.54,0.52,0.51,0.54,0.53,0.53,Greece Super Liga,2025-2026,1.27,1.47,3.88,4.88,5.47,4.35,13.06,9.76,96.41,80.65,46.59,37.59,49.35,50.65,1.0,0.2,8.76,6.12,4.29,3.65,2.12,1.25,5.71,8.29,7.94,6.88,14.0,16.47,1.94,2.82,1.82,2.76,0.49,0.29,0.27,0.48,0.56,0.54,0.5,0.52,0.53,0.53,0.51,0.49,0.28,0.28,0.57,0.5,0.53,0.53,0.53,0.53,0.54,0.52
Kifisia,1.31,1.77,3.94,4.06,6.38,3.88,14.44,9.38,91.31,81.31,44.94,41.94,49.75,50.25,0.33,1.17,8.0,5.75,6.38,3.5,1.12,2.62,6.56,9.62,10.81,7.69,16.19,15.81,2.12,4.06,2.62,2.69,0.38,0.28,0.38,0.5,0.54,0.55,0.49,0.52,0.52,0.51,0.53,0.39,0.28,0.4,0.56,0.51,0.53,0.53,0.52,0.54,0.52,0.53,Greece Super Liga,2025-2026,1.67,1.2,6.24,4.12,6.29,4.88,14.59,12.24,86.53,81.82,47.41,36.71,53.35,46.65,0.67,0.5,9.0,6.88,5.59,5.41,2.87,1.53,7.06,9.18,9.41,8.41,13.18,18.47,3.47,3.29,2.53,4.41,0.49,0.29,0.27,0.49,0.55,0.53,0.51,0.51,0.52,0.5,0.55,0.5,0.28,0.28,0.57,0.51,0.52,0.53,0.52,0.54,0.51,0.55
Larissa,1.0,1.62,4.53,4.29,5.41,4.47,12.59,11.71,90.24,80.71,39.59,34.88,50.35,49.65,0.6,0.6,7.0,7.06,5.59,4.65,2.53,1.65,6.53,7.82,8.71,7.94,15.59,16.12,2.76,3.0,3.29,3.24,0.36,0.3,0.39,0.47,0.57,0.54,0.5,0.5,0.54,0.52,0.52,0.37,0.3,0.4,0.58,0.49,0.53,0.53,0.52,0.54,0.53,0.52,Greece Super Liga,2025-2026,1.53,1.0,5.62,2.75,6.75,4.38,15.75,10.12,105.69,81.62,57.38,32.88,58.5,41.5,0.75,0.38,10.0,5.5,5.75,4.62,1.6,2.2,6.44,10.44,9.88,7.25,12.69,14.38,2.69,3.31,2.12,3.0,0.58,0.26,0.2,0.47,0.58,0.54,0.49,0.5,0.54,0.5,0.54,0.59,0.27,0.21,0.59,0.48,0.52,0.54,0.52,0.54,0.54,0.52
Levadiakos,2.73,1.33,4.25,4.12,4.12,4.94,12.94,11.75,95.88,79.69,42.19,41.88,58.75,41.25,1.43,0.29,8.44,7.38,4.5,4.38,2.07,1.2,6.81,6.62,9.44,8.25,13.0,17.56,2.31,2.81,1.81,3.25,0.48,0.27,0.29,0.51,0.54,0.56,0.48,0.52,0.52,0.51,0.52,0.49,0.27,0.3,0.55,0.52,0.53,0.53,0.53,0.53,0.53,0.53,Greece Super Liga,2025-2026,1.57,1.57,5.0,4.5,4.86,3.57,13.86,9.86,92.5,88.57,48.86,40.5,46.43,53.57,0.0,1.0,8.36,6.21,5.5,3.64,0.93,1.64,6.0,6.57,8.21,7.07,16.36,12.64,2.21,2.57,2.64,2.71,0.4,0.27,0.37,0.5,0.54,0.55,0.48,0.54,0.5,0.51,0.54,0.41,0.27,0.38,0.55,0.52,0.56,0.5,0.52,0.54,0.53,0.53
OFI,1.57,1.29,3.0,4.71,4.71,5.64,10.64,13.79,76.93,99.07,28.14,51.36,45.86,54.14,0.67,0.5,6.14,7.5,4.5,6.29,1.86,2.5,10.07,7.07,6.79,9.93,14.36,15.57,3.57,1.64,2.07,2.79,0.35,0.28,0.41,0.53,0.51,,,0.54,0.5,0.5,0.54,0.36,0.28,0.43,0.53,0.54,,,0.52,0.54,0.52,0.54,Greece Super Liga,2025-2026,2.19,1.12,5.88,2.81,6.69,3.12,18.12,8.81,101.38,68.06,57.0,26.94,56.06,43.94,1.0,0.25,11.31,5.5,6.81,3.31,3.0,1.12,5.38,9.38,12.0,6.44,15.44,12.5,2.31,4.38,2.38,3.19,0.58,0.25,0.21,0.5,0.54,0.56,0.48,0.53,0.51,0.51,0.53,0.59,0.25,0.23,0.55,0.52,0.56,0.5,0.54,0.52,0.51,0.55
Olympiacos F.C.,1.85,0.54,8.2,2.13,9.67,2.0,20.8,5.53,135.13,68.2,75.6,22.8,62.73,37.27,0.8,0.2,14.07,3.27,6.73,2.27,2.14,2.5,4.4,11.6,12.33,3.33,11.53,12.53,1.2,4.0,0.93,2.86,0.76,0.18,0.1,0.42,0.64,0.56,0.47,0.53,0.52,0.52,0.52,0.76,0.19,0.11,0.63,0.45,,,0.52,0.54,0.53,0.52,Greece Super Liga,2025-2026,0.71,1.79,2.0,5.31,2.81,5.44,7.19,14.88,71.0,125.0,26.88,61.81,42.5,57.5,0.2,1.0,4.44,10.06,2.81,4.75,2.12,2.06,10.25,4.31,4.94,10.69,11.81,14.5,3.94,2.19,2.87,2.2,0.18,0.24,0.63,0.44,0.6,0.54,0.5,0.52,0.52,0.51,0.52,0.19,0.25,0.62,0.59,0.48,0.54,0.52,0.55,0.51,0.53,0.52
PAOK,2.38,0.38,6.44,2.81,5.38,2.94,14.69,6.5,107.31,71.62,58.81,28.44,60.81,39.19,1.0,0.0,10.0,4.19,4.69,2.31,2.12,2.06,4.81,8.75,10.0,4.69,11.81,12.56,1.56,3.56,1.73,2.8,0.68,0.22,0.16,0.45,0.6,0.55,0.49,0.52,0.52,0.52,0.53,0.68,0.22,0.16,0.6,0.47,0.55,0.5,0.53,0.52,0.54,0.52,Greece Super Liga,2025-2026,1.46,2.08,4.4,4.33,4.73,4.87,11.27,11.87,83.67,98.67,39.67,50.27,41.73,58.27,0.25,1.25,7.4,7.73,3.87,4.13,2.27,2.4,7.67,7.0,8.27,8.47,13.2,12.33,2.07,2.53,2.5,2.14,0.26,0.25,0.54,0.5,0.55,0.55,0.48,0.53,0.51,0.52,0.52,0.27,0.25,0.55,0.56,0.52,0.53,0.53,0.52,0.53,0.52,0.53
