team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
AC Milan,1.4,1.6,3.67,3.67,6.33,4.33,15.33,10.67,101.0,82.17,45.5,45.17,56.17,43.83,0.5,0.5,9.67,7.0,5.67,3.67,2.2,1.4,6.83,9.17,8.83,7.83,9.17,12.0,3.0,3.5,2.0,1.83,0.57,0.25,0.21,0.45,0.58,,,0.54,0.49,0.51,0.51,0.57,0.26,0.22,0.57,0.51,,,0.53,0.52,0.52,0.52,Italy Serie A,2025-2026,0.75,1.33,4.83,3.92,5.25,4.33,12.33,9.83,100.75,90.58,45.0,41.58,51.67,48.33,0.2,0.8,7.67,7.0,4.67,2.83,1.25,1.75,6.67,8.25,8.25,6.42,11.25,11.08,2.08,3.0,2.08,1.58,0.24,0.28,0.51,0.52,0.52,0.56,0.47,0.52,0.51,0.49,0.53,0.25,0.28,0.52,0.55,0.52,0.51,0.53,0.52,0.52,0.53,0.51
Atalanta,1.44,0.88,6.89,3.72,7.0,4.67,17.5,10.11,108.5,88.67,54.72,36.17,55.67,44.33,0.5,0.5,11.5,6.5,6.0,3.61,1.94,1.41,7.17,9.17,10.83,6.56,11.5,11.0,1.89,3.5,1.35,1.65,0.58,0.25,0.21,0.52,0.52,,,0.52,0.51,0.52,0.5,0.59,0.25,0.22,0.52,0.55,,,0.51,0.53,0.53,0.52,Italy Serie A,2025-2026,1.18,1.47,4.83,4.56,4.89,4.67,13.56,12.0,95.33,92.28,47.39,47.83,45.78,54.22,0.6,0.4,8.44,8.06,5.11,3.94,1.5,2.17,7.67,7.44,8.11,7.61,9.56,12.17,2.61,4.33,1.5,2.19,0.3,0.28,0.45,0.55,0.49,0.56,0.47,0.54,0.49,0.5,0.52,0.31,0.28,0.46,0.51,0.56,,,0.52,0.52,0.51,0.53
Bologna,1.0,1.33,5.53,3.59,7.24,3.0,15.18,8.65,112.0,74.35,51.24,29.94,57.76,42.24,0.75,0.25,9.59,5.59,5.59,3.06,1.94,2.44,4.29,9.29,9.71,5.82,12.76,14.71,1.94,2.82,1.41,2.0,0.45,0.3,0.28,0.51,0.52,0.51,0.52,0.53,0.5,0.5,0.53,0.46,0.3,0.29,0.55,0.52,0.51,0.53,0.52,0.52,0.53,0.52,Italy Serie A,2025-2026,1.21,1.58,4.68,3.74,4.53,4.68,11.63,11.0,85.26,89.53,36.68,33.16,46.37,53.63,0.6,0.6,8.11,6.95,3.53,4.05,2.53,1.95,7.37,6.53,8.05,7.53,14.68,13.42,2.32,2.84,1.89,2.21,0.4,0.29,0.34,0.51,0.53,0.54,0.49,0.51,0.52,0.5,0.53,0.41,0.3,0.35,0.55,0.52,0.52,0.52,0.52,0.52,0.5,0.55
Cagliari,1.22,1.28,4.22,5.0,4.5,3.89,10.72,11.78,74.11,98.11,32.61,45.11,45.33,54.67,0.0,1.0,6.72,7.94,4.0,3.83,1.94,1.71,8.33,7.11,7.44,7.67,13.94,15.22,2.89,2.17,1.94,1.75,0.3,0.3,0.43,0.47,0.57,0.53,0.5,0.5,0.52,0.5,0.53,0.32,0.3,0.44,0.58,0.49,0.55,0.5,0.52,0.52,0.52,0.52,Italy Serie A,2025-2026,1.86,0.93,5.44,3.31,4.94,4.06,13.94,9.62,117.81,76.25,49.94,27.38,54.94,45.06,0.33,0.67,9.31,5.75,4.62,3.88,1.36,1.64,5.56,9.56,9.31,6.06,14.5,14.5,2.19,3.69,1.62,2.44,0.56,0.27,0.2,0.46,0.58,0.52,0.51,0.52,0.51,0.5,0.54,0.57,0.28,0.21,0.58,0.49,0.53,0.52,0.52,0.53,0.53,0.52
Como,2.13,0.93,5.0,2.11,6.67,2.83,17.0,7.44,111.11,66.61,50.78,24.94,63.61,36.39,0.57,0.43,11.22,5.17,5.83,2.28,1.12,2.76,4.44,9.72,12.0,5.11,12.39,12.78,1.94,4.56,2.06,2.28,0.53,0.27,0.23,0.52,0.52,0.52,0.51,0.52,0.5,0.5,0.53,0.54,0.27,0.24,0.55,0.52,,,0.52,0.52,0.52,0.53,Italy Serie A,2025-2026,0.92,1.77,4.38,4.06,3.94,4.88,11.19,12.19,79.19,96.19,37.56,45.5,39.81,60.19,0.5,0.75,7.0,7.81,4.19,4.38,2.86,1.36,7.94,6.06,6.5,7.5,12.62,14.56,2.44,2.88,2.19,2.38,0.29,0.28,0.46,0.51,0.52,0.53,0.5,0.51,0.52,0.5,0.53,0.3,0.28,0.47,0.56,0.52,0.55,0.5,0.52,0.53,0.51,0.53
Cremonese,1.15,1.77,3.76,5.24,3.76,4.88,10.47,12.59,85.41,91.76,37.53,45.65,48.0,52.0,1.0,0.33,6.47,8.29,4.0,4.29,1.56,2.06,8.47,6.29,7.24,8.76,13.18,12.59,2.94,2.76,1.76,1.35,0.27,0.28,0.47,0.5,0.53,0.54,0.49,0.51,0.52,0.5,0.53,0.28,0.29,0.48,0.56,0.51,0.51,0.53,0.52,0.52,0.53,0.52,Italy Serie A,2025-2026,1.56,0.88,6.72,3.56,6.78,3.28,17.78,8.22,108.17,82.0,51.89,31.28,53.61,46.39,1.0,0.0,11.44,4.83,6.39,3.39,2.17,1.83,5.72,9.72,11.39,5.33,13.39,13.83,2.39,4.61,1.71,2.12,0.58,0.26,0.19,0.48,0.55,0.54,0.49,0.51,0.52,0.51,0.52,0.59,0.26,0.2,0.57,0.5,0.53,0.52,0.52,0.52,0.51,0.53
Fiorentina,1.36,1.43,5.71,4.12,7.0,4.24,16.0,11.35,95.24,84.24,46.59,33.12,52.76,47.24,2.0,0.0,10.12,7.12,5.82,4.24,1.73,1.0,7.06,9.47,9.94,7.53,12.24,16.35,2.76,2.82,2.38,2.5,0.42,0.29,0.32,0.53,0.51,0.55,0.48,0.52,0.51,0.51,0.52,0.44,0.3,0.32,0.53,0.54,0.55,0.49,0.52,0.53,0.51,0.53,Italy Serie A,2025-2026,1.71,1.18,5.16,3.42,6.05,4.42,15.42,10.05,95.42,83.84,50.0,31.68,50.32,49.68,0.71,0.57,11.0,6.42,4.42,3.63,0.88,2.0,6.79,8.05,10.42,6.68,14.89,12.95,1.74,3.84,2.0,2.21,0.43,0.29,0.32,0.53,0.51,0.53,0.5,0.52,0.51,0.5,0.52,0.43,0.29,0.33,0.54,0.53,0.56,0.49,0.52,0.53,0.53,0.51
Genoa,1.19,1.62,3.78,4.0,5.33,3.89,11.83,10.67,93.83,85.67,39.83,39.0,50.78,49.22,0.8,0.6,6.83,7.06,5.0,3.61,1.47,1.71,7.06,8.06,8.22,6.44,12.78,15.89,2.17,2.78,1.83,2.94,0.35,0.31,0.37,0.45,0.58,0.51,0.51,0.5,0.53,0.49,0.54,0.36,0.31,0.39,0.6,0.48,0.52,0.52,0.5,0.54,0.5,0.54,Italy Serie A,2025-2026,1.75,1.5,5.44,3.88,5.25,4.0,14.5,11.56,94.62,81.19,44.88,31.56,54.69,45.31,0.6,0.8,9.88,7.5,4.62,4.06,1.64,1.5,6.81,7.75,9.62,7.0,14.62,13.06,2.69,3.5,2.0,1.87,0.47,0.31,0.25,0.44,0.6,0.5,0.53,0.51,0.53,0.51,0.52,0.48,0.31,0.26,0.6,0.47,0.51,0.54,0.52,0.52,0.51,0.53
Hellas Verona,0.79,1.71,4.94,3.82,4.06,4.12,11.29,12.0,97.0,106.76,37.71,38.35,44.0,56.0,0.33,0.67,6.18,6.82,5.12,5.18,1.88,1.24,6.53,6.82,7.59,7.18,15.29,9.65,2.41,3.47,2.0,1.82,0.29,0.3,0.44,0.48,0.56,0.52,0.51,0.49,0.54,0.51,0.52,0.3,0.3,0.45,0.59,0.49,0.54,0.51,0.51,0.53,0.51,0.53,Italy Serie A,2025-2026,2.0,0.87,6.17,2.94,6.11,4.67,15.22,11.22,113.67,86.78,49.94,33.0,63.56,36.44,0.33,0.67,9.0,6.39,6.22,4.83,1.56,1.75,6.5,9.11,9.39,7.22,9.22,16.72,2.72,2.72,1.18,2.71,0.57,0.27,0.18,0.45,0.58,0.52,0.51,0.51,0.52,0.5,0.53,0.58,0.27,0.2,0.6,0.47,0.54,0.51,0.52,0.53,0.52,0.53
Inter,2.67,0.89,7.22,3.0,7.22,3.56,18.44,8.89,105.5,76.28,62.61,33.11,60.17,39.83,0.8,0.2,13.67,5.17,4.67,3.72,1.94,1.41,5.17,9.17,12.28,5.83,13.22,10.0,2.33,3.94,1.41,1.76,0.71,0.2,0.12,0.49,0.54,,,0.53,0.5,0.51,0.52,0.72,0.2,0.13,0.56,0.51,,,0.52,0.53,0.52,0.52,Italy Serie A,2025-2026,0.94,2.0,3.0,5.12,4.0,6.0,9.82,15.82,77.0,100.0,35.76,53.76,40.65,59.35,1.0,0.33,6.29,10.53,3.53,5.29,1.71,1.35,8.82,6.18,6.29,10.18,12.24,13.29,2.94,1.82,1.82,2.0,0.19,0.24,0.6,0.51,0.52,,,0.54,0.5,0.52,0.51,0.2,0.25,0.61,0.53,0.54,,,0.52,0.53,0.52,0.52
