team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Albirex Niigata,1.18,1.82,4.79,4.26,4.95,4.68,12.58,11.63,97.79,96.42,42.79,44.05,55.32,44.68,0.33,0.67,8.0,7.74,4.53,3.95,1.59,1.71,7.74,8.16,7.68,7.58,9.74,9.26,2.11,2.32,1.38,1.25,0.34,0.29,0.41,0.51,0.53,0.53,0.5,0.5,0.53,0.52,0.52,0.35,0.3,0.42,0.54,0.53,0.54,0.51,0.51,0.54,0.52,0.53,Japan J League,2025,1.94,0.83,4.72,4.33,5.28,4.22,13.78,10.56,108.17,85.39,54.39,37.5,46.44,53.56,0.5,0.5,8.89,5.83,4.83,4.83,1.29,1.18,6.22,9.0,9.22,5.83,8.17,9.5,2.22,2.67,0.6,1.0,0.47,0.3,0.27,0.51,0.53,0.52,0.51,0.5,0.53,0.52,0.51,0.48,0.3,0.28,0.55,0.53,0.53,0.52,0.51,0.54,0.53,0.52
Avispa Fukuoka,1.25,1.19,4.32,4.26,5.21,4.84,13.47,10.58,90.58,90.68,45.42,41.32,44.37,55.63,0.33,0.67,8.63,6.74,4.95,3.84,2.12,1.76,7.11,7.68,8.95,7.74,12.63,12.0,2.47,3.26,1.44,1.28,0.36,0.32,0.35,0.46,0.57,0.51,0.52,0.51,0.52,0.48,0.55,0.37,0.32,0.36,0.6,0.48,0.52,0.53,0.52,0.54,0.5,0.55,Japan J League,2025,1.29,1.0,3.56,3.89,4.22,6.17,11.22,12.44,99.44,97.33,42.33,46.39,51.5,48.5,0.75,0.75,7.39,7.94,3.83,4.56,1.94,1.75,9.72,8.22,7.56,7.61,9.94,12.67,2.5,3.06,1.88,1.56,0.44,0.31,0.28,0.46,0.58,0.52,0.51,0.5,0.54,0.49,0.55,0.45,0.32,0.29,0.6,0.47,0.53,0.52,0.51,0.54,0.5,0.56
Cerezo Osaka,1.44,1.0,7.11,5.78,6.06,5.22,15.11,12.22,92.94,92.94,51.28,50.61,53.5,46.5,0.75,0.25,9.67,7.78,5.0,4.44,2.06,2.11,8.22,8.67,9.67,6.44,9.33,12.78,1.94,3.72,0.94,1.83,0.42,0.28,0.34,0.6,0.44,0.54,0.49,0.52,0.51,0.52,0.51,0.43,0.29,0.34,0.47,0.6,0.56,0.48,0.52,0.53,0.53,0.52,Japan J League,2025,2.0,1.83,5.0,4.26,6.32,5.0,15.21,12.74,96.63,98.74,49.84,50.16,43.37,56.63,0.33,0.67,9.89,8.42,5.26,4.37,2.37,1.63,7.89,9.89,10.53,8.89,10.68,8.68,3.11,3.0,1.13,1.6,0.42,0.28,0.34,0.59,0.45,0.55,0.48,0.53,0.5,0.53,0.5,0.43,0.28,0.35,0.48,0.59,0.55,0.49,0.53,0.51,0.54,0.51
FC Tokyo,1.29,1.47,4.83,4.28,5.67,4.44,13.94,10.61,99.78,102.39,48.0,42.44,53.56,46.44,0.67,0.67,9.17,6.44,4.72,3.89,1.24,1.94,6.89,8.44,9.28,7.61,11.94,11.67,2.33,3.5,1.38,1.5,0.35,0.29,0.39,0.53,0.51,0.52,0.52,0.52,0.51,0.51,0.52,0.36,0.3,0.4,0.54,0.54,0.53,0.52,0.53,0.52,0.52,0.54,Japan J League,2025,1.29,1.06,5.74,3.89,6.74,4.84,15.05,10.32,105.06,90.89,52.39,37.0,51.26,48.74,0.2,0.8,8.89,6.84,5.89,3.47,1.56,1.39,6.95,9.47,10.21,7.42,10.53,11.68,1.89,3.11,0.95,1.58,0.46,0.29,0.28,0.52,0.52,0.52,0.51,0.52,0.52,0.52,0.52,0.48,0.29,0.29,0.53,0.54,0.53,0.51,0.52,0.53,0.54,0.52
Fagiano Okayama,1.0,0.94,5.26,4.79,5.63,5.05,11.95,11.11,93.16,102.47,50.0,46.68,42.58,57.42,0.33,0.67,7.89,7.05,4.05,4.11,1.58,2.0,8.89,8.68,7.63,7.53,11.21,8.47,2.58,2.05,1.18,1.24,0.33,0.31,0.39,0.49,0.55,0.52,0.51,0.51,0.53,0.5,0.53,0.35,0.31,0.4,0.57,0.5,0.53,0.52,0.52,0.53,0.51,0.54,Japan J League,2025,1.53,0.88,6.06,4.5,5.94,3.78,14.17,9.11,99.22,94.28,53.78,41.72,58.44,41.56,,,8.89,5.61,5.06,3.44,2.83,2.0,7.44,9.0,9.44,6.0,9.33,10.94,2.11,3.06,0.94,1.18,0.48,0.3,0.26,0.5,0.54,0.52,0.52,0.52,0.52,0.5,0.53,0.49,0.3,0.27,0.56,0.51,0.52,0.53,0.53,0.52,0.51,0.54
Gamba Osaka,1.61,1.39,4.72,4.06,5.56,4.78,14.06,11.89,105.17,101.33,57.61,47.39,51.89,48.11,0.33,0.67,8.39,7.83,5.72,3.78,1.47,1.29,6.72,8.0,9.06,7.67,10.33,10.17,2.67,2.5,1.07,1.27,0.43,0.29,0.31,0.53,0.51,0.54,0.5,0.53,0.51,0.52,0.52,0.45,0.29,0.32,0.53,0.55,0.54,0.5,0.53,0.52,0.53,0.52,Japan J League,2025,1.71,1.18,4.26,5.0,5.63,4.37,13.11,12.37,102.84,96.37,52.0,51.0,47.16,52.84,0.67,0.33,9.05,7.42,3.89,5.05,1.47,1.47,6.47,8.05,9.42,7.53,9.37,10.74,3.37,3.37,1.24,1.35,0.41,0.29,0.33,0.53,0.51,0.53,0.5,0.52,0.51,0.51,0.52,0.42,0.3,0.35,0.53,0.54,0.54,0.51,0.54,0.51,0.53,0.53
Kashima Antlers,1.88,0.88,5.39,3.5,3.61,4.94,12.83,10.56,103.89,93.33,48.89,44.22,52.5,47.5,0.6,0.4,8.0,6.67,4.89,3.83,1.53,2.06,8.33,7.56,8.22,7.61,10.17,12.5,2.39,3.0,1.28,1.89,0.43,0.29,0.31,0.52,0.52,0.53,0.51,0.51,0.52,0.51,0.52,0.45,0.3,0.31,0.54,0.53,0.53,0.52,0.52,0.53,0.52,0.53,Japan J League,2025,0.83,1.33,6.16,4.79,4.84,4.21,12.79,11.32,94.79,94.16,51.63,41.84,49.26,50.74,0.2,0.8,8.21,7.58,4.42,3.84,2.06,1.28,7.0,8.32,8.63,7.63,12.53,11.37,2.58,3.26,1.76,1.29,0.37,0.29,0.37,0.54,0.5,0.54,0.49,0.52,0.51,0.52,0.52,0.39,0.3,0.38,0.52,0.55,0.54,0.5,0.53,0.52,0.52,0.53
Kashiwa Reysol,1.62,0.94,5.94,4.89,5.11,4.22,12.78,10.17,111.22,86.22,56.28,41.61,62.56,37.44,1.0,0.5,7.78,6.78,4.83,3.39,1.18,1.29,7.78,8.28,8.89,6.83,9.83,9.0,2.17,2.56,1.06,1.17,0.48,0.29,0.27,0.51,0.53,0.54,0.49,0.51,0.53,0.51,0.52,0.49,0.29,0.28,0.55,0.52,0.55,0.49,0.52,0.53,0.52,0.53,Japan J League,2025,1.06,1.83,4.74,4.84,5.42,4.32,11.79,12.58,101.63,105.79,48.0,48.68,42.21,57.79,0.6,0.4,7.05,8.79,4.79,3.79,1.29,1.88,7.11,7.84,7.84,8.05,8.37,10.63,2.68,2.0,1.22,1.33,0.34,0.3,0.4,0.52,0.52,0.52,0.51,0.51,0.52,0.51,0.52,0.35,0.3,0.41,0.54,0.53,0.53,0.51,0.52,0.53,0.52,0.53
Kawasaki Frontale,2.28,1.78,4.74,4.68,5.32,5.05,13.53,12.16,92.0,97.84,45.47,45.63,50.84,49.16,0.5,0.75,9.21,7.42,4.21,4.79,2.0,2.17,7.84,8.37,9.26,7.32,9.47,11.42,2.11,2.63,1.39,1.61,0.5,0.27,0.27,0.57,0.47,,,0.53,0.5,0.52,0.52,0.51,0.27,0.28,0.49,0.58,,,0.54,0.51,0.53,0.52,Japan J League,2025,1.24,1.53,4.94,5.11,4.94,5.28,11.89,13.39,93.22,101.89,46.94,50.11,48.67,51.33,0.33,0.67,7.67,9.22,4.28,3.94,1.35,1.71,7.94,8.5,7.65,9.88,9.72,9.89,3.39,2.39,1.59,1.41,0.32,0.28,0.43,0.58,0.46,,,0.53,0.51,0.51,0.52,0.34,0.29,0.44,0.48,0.59,,,0.54,0.52,0.52,0.53
Kyoto Sanga,1.5,0.94,5.22,3.78,4.28,4.72,13.39,11.28,105.44,91.39,48.94,43.56,49.5,50.5,0.67,0.67,8.22,7.56,5.06,3.72,1.89,1.61,7.56,7.22,8.67,6.89,12.78,9.94,2.56,3.61,1.5,1.69,0.39,0.3,0.35,0.54,0.5,0.53,0.5,0.53,0.5,0.5,0.53,0.41,0.3,0.35,0.52,0.55,0.53,0.52,0.54,0.52,0.51,0.54,Japan J League,2025,1.21,1.74,5.79,4.74,5.63,3.68,14.58,10.26,86.79,93.16,50.42,39.47,52.84,47.16,0.4,1.0,9.84,6.68,4.74,3.53,2.53,1.37,7.05,9.95,9.28,6.56,10.0,15.05,2.11,3.0,1.16,1.89,0.41,0.29,0.33,0.54,0.49,0.51,0.52,0.51,0.52,0.51,0.53,0.42,0.3,0.34,0.52,0.55,0.52,0.52,0.52,0.52,0.52,0.53
