team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Anyang,1.33,1.2,4.81,4.56,5.94,4.88,13.25,12.38,106.62,107.31,69.44,63.62,49.62,50.38,0.5,0.5,7.56,7.88,5.69,4.5,1.85,0.77,7.25,8.69,8.75,7.81,10.31,10.88,3.0,3.12,1.69,1.5,0.34,0.3,0.38,0.53,0.51,0.54,0.49,0.52,0.52,0.5,0.54,0.36,0.31,0.4,0.54,0.55,0.55,0.5,0.52,0.53,0.51,0.55,K League 1,2025,1.4,1.07,5.62,2.81,6.81,4.12,15.38,11.5,115.25,92.56,80.12,56.75,57.19,42.81,1.0,0.5,9.25,6.5,6.12,5.0,1.23,1.62,6.81,11.0,10.75,8.0,8.25,11.5,2.94,3.44,1.67,2.6,0.5,0.29,0.25,0.53,0.51,0.53,0.51,0.52,0.51,0.51,0.52,0.51,0.29,0.27,0.54,0.55,0.53,0.51,0.53,0.52,0.53,0.52
Daegu,1.27,1.47,4.93,5.33,6.8,4.33,14.67,12.6,108.07,99.8,64.13,68.67,48.33,51.67,0.5,0.75,7.71,7.86,6.86,5.14,1.33,1.93,7.8,9.13,9.87,8.27,9.47,11.67,3.27,3.13,1.85,2.46,0.31,0.28,0.45,0.57,0.47,,,0.55,0.49,0.52,0.51,0.32,0.28,0.46,0.5,0.59,,,0.55,0.5,0.53,0.52,K League 1,2025,2.25,1.19,6.0,3.88,5.0,5.12,14.59,11.59,104.12,100.59,70.59,56.65,52.65,47.35,1.4,0.4,9.19,5.69,5.69,5.06,1.76,1.0,6.38,7.62,9.65,7.88,11.12,11.06,2.82,3.35,1.76,1.71,0.55,0.26,0.23,0.57,0.47,,,0.55,0.49,0.52,0.51,0.57,0.27,0.23,0.5,0.58,,,0.56,0.5,0.53,0.52
Daejeon Citizen,1.31,1.31,4.33,4.4,3.93,5.27,10.67,13.73,120.73,107.2,72.4,66.67,53.4,46.6,0.5,0.5,6.21,7.57,4.5,5.36,1.43,1.79,7.29,7.29,7.67,8.87,10.33,10.73,3.33,2.53,1.67,1.8,0.41,0.29,0.33,0.55,0.48,0.56,0.48,0.52,0.52,0.52,0.51,0.43,0.3,0.34,0.51,0.57,0.56,0.5,0.52,0.53,0.53,0.52,K League 1,2025,1.44,1.75,4.94,3.82,6.71,3.82,16.0,10.88,106.24,93.82,70.53,60.12,51.53,48.47,0.43,0.71,9.81,7.25,6.19,3.88,1.92,0.69,6.94,9.18,11.06,7.88,9.0,11.71,2.29,3.76,1.24,1.82,0.44,0.29,0.3,0.55,0.49,,,0.54,0.5,0.5,0.53,0.46,0.3,0.31,0.52,0.57,,,0.54,0.51,0.51,0.54
Gangwon,1.31,1.54,5.06,4.0,4.24,3.29,11.35,10.76,95.59,93.0,60.41,51.65,50.82,49.18,0.5,1.0,7.24,6.76,4.12,4.0,1.8,0.53,5.94,8.24,8.59,7.41,10.29,11.24,3.18,3.47,1.71,2.24,0.37,0.3,0.36,0.51,0.53,0.52,0.51,0.52,0.52,0.51,0.52,0.39,0.31,0.37,0.56,0.53,0.53,0.52,0.53,0.53,0.52,0.54,K League 1,2025,1.0,0.93,4.53,3.6,6.07,3.8,13.67,8.8,115.67,94.27,73.8,53.8,54.33,45.67,0.67,0.33,7.87,5.27,5.8,3.53,0.67,1.08,6.0,9.47,9.6,6.4,11.47,12.93,1.93,3.27,1.4,2.33,0.44,0.31,0.29,0.49,0.55,0.53,0.5,0.5,0.53,0.51,0.52,0.44,0.31,0.31,0.57,0.51,0.53,0.52,0.52,0.53,0.53,0.52
Gimcheon Sangmu,1.75,0.88,5.71,3.88,6.24,4.71,15.59,10.71,105.06,98.06,73.35,61.12,52.41,47.59,0.8,0.4,9.88,7.12,5.94,3.62,1.47,2.41,6.69,9.0,11.18,7.76,11.41,9.12,2.71,3.71,1.12,1.0,0.47,0.27,0.3,0.6,0.45,0.56,0.47,0.52,0.52,0.53,0.5,0.48,0.28,0.31,0.47,0.61,0.56,0.48,0.52,0.52,0.54,0.51,K League 1,2025,1.58,2.0,4.73,5.07,4.6,5.13,12.0,14.47,97.53,98.6,63.53,71.67,52.4,47.6,0.67,0.33,7.6,9.0,4.4,5.47,1.67,1.53,7.87,7.27,8.13,9.6,7.67,12.53,3.87,3.2,2.07,1.93,0.37,0.29,0.37,0.58,0.46,,,0.53,0.51,0.51,0.52,0.38,0.3,0.39,0.49,0.59,,,0.53,0.51,0.52,0.53
Gwangju,1.2,1.33,4.0,3.69,5.25,4.0,12.69,10.38,116.38,99.94,82.94,65.06,51.69,48.31,0.67,1.33,7.75,6.56,4.94,3.75,1.54,0.54,6.5,8.19,8.0,7.44,10.19,13.75,2.44,2.62,2.0,1.94,0.41,0.31,0.32,0.49,0.55,0.52,0.51,0.5,0.53,0.49,0.54,0.42,0.31,0.33,0.58,0.51,0.53,0.52,0.52,0.54,0.5,0.55,K League 1,2025,1.29,1.14,4.12,4.25,5.38,3.56,13.81,9.69,100.56,94.44,64.88,56.0,52.94,47.06,0.4,0.8,7.94,6.06,5.88,3.62,1.2,1.53,6.56,8.0,8.81,6.88,11.5,10.5,2.69,3.12,1.75,2.44,0.4,0.31,0.33,0.5,0.54,0.53,0.5,0.51,0.52,0.49,0.54,0.42,0.31,0.34,0.57,0.52,0.54,0.51,0.52,0.53,0.5,0.55
Jeju United,1.43,1.5,3.44,5.12,6.06,4.19,13.0,12.12,93.19,92.75,59.0,60.75,50.88,49.12,0.5,0.5,7.81,7.88,5.19,4.31,1.2,2.13,7.12,9.12,9.44,8.31,11.88,12.44,3.44,2.69,2.06,2.62,0.35,0.3,0.39,0.54,0.5,0.55,0.49,0.52,0.51,0.5,0.53,0.36,0.3,0.4,0.53,0.55,0.56,0.5,0.53,0.52,0.51,0.55,K League 1,2025,1.53,0.93,6.0,3.44,6.75,4.94,16.69,10.94,103.19,99.75,73.31,56.19,49.94,50.06,0.0,1.0,10.4,6.27,6.8,4.8,1.8,2.07,6.93,8.53,11.81,8.06,11.81,11.94,2.69,4.19,1.56,1.81,0.48,0.28,0.28,0.54,0.5,,,0.52,0.51,0.52,0.52,0.49,0.29,0.29,0.53,0.56,,,0.53,0.52,0.53,0.53
Jeonbuk Motors,1.81,1.0,5.12,3.38,5.0,4.81,13.56,11.94,120.5,108.62,85.75,71.75,52.94,47.06,0.67,0.33,8.94,6.75,4.62,5.19,1.69,0.77,6.38,9.12,9.38,8.69,10.5,10.44,2.88,3.25,1.8,1.27,0.51,0.28,0.25,0.55,0.49,0.55,0.48,0.53,0.51,0.51,0.52,0.52,0.29,0.26,0.52,0.57,0.56,0.5,0.53,0.52,0.52,0.53,K League 1,2025,0.73,1.73,5.38,4.19,7.25,3.88,15.81,10.81,119.5,98.0,79.94,58.69,53.25,46.75,0.5,1.0,8.31,7.88,7.5,2.88,1.27,1.07,5.62,10.12,9.88,7.0,10.38,13.38,2.19,2.81,1.8,2.93,0.31,0.29,0.44,0.54,0.5,0.54,0.5,0.52,0.52,0.52,0.52,0.32,0.3,0.45,0.53,0.56,0.55,0.51,0.52,0.53,0.52,0.53
Pohang Steelers,1.31,1.38,5.18,3.41,5.76,4.41,14.65,10.41,104.12,90.24,67.47,52.88,53.76,46.24,0.8,0.6,8.47,6.41,6.12,4.0,1.69,1.38,6.29,7.76,10.41,7.65,11.24,13.59,2.24,3.65,1.59,2.59,0.4,0.29,0.34,0.54,0.5,0.53,0.5,0.53,0.51,0.51,0.52,0.42,0.3,0.35,0.54,0.55,0.54,0.52,0.53,0.53,0.52,0.53,K League 1,2025,1.33,1.13,4.27,3.8,5.33,3.53,13.27,9.53,113.33,109.53,71.0,59.47,51.6,48.4,0.25,0.75,8.2,6.07,5.07,3.47,1.54,1.31,6.0,8.87,10.2,6.53,12.33,11.27,2.33,3.8,1.87,1.27,0.38,0.3,0.36,0.54,0.5,0.52,0.51,0.52,0.52,0.51,0.52,0.38,0.31,0.37,0.54,0.55,0.54,0.51,0.52,0.53,0.52,0.53
Seoul,1.73,1.4,6.06,3.5,7.5,3.19,18.69,8.69,108.81,89.19,71.25,48.19,56.06,43.94,1.0,0.33,11.0,5.38,7.69,3.31,1.46,1.46,5.31,9.31,11.5,5.88,8.69,11.75,2.0,4.19,1.69,2.81,0.52,0.28,0.24,0.51,0.53,0.53,0.5,0.51,0.52,0.51,0.52,0.53,0.29,0.25,0.55,0.53,0.55,0.5,0.53,0.52,0.52,0.53,K League 1,2025,1.46,1.23,2.88,5.5,4.31,4.62,10.19,13.75,102.75,99.19,61.69,68.69,47.56,52.44,1.0,0.33,5.81,8.12,4.38,5.62,1.43,1.36,7.19,7.0,7.31,8.69,9.94,11.0,3.75,2.25,1.8,1.8,0.3,0.3,0.44,0.52,0.52,0.54,0.49,0.51,0.53,0.51,0.52,0.31,0.3,0.46,0.55,0.53,0.54,0.51,0.51,0.54,0.52,0.52
