team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
AVS,0.25,2.25,2.0,4.5,4.25,4.0,9.0,13.0,89.0,96.25,35.5,44.5,45.5,54.5,0.5,0.5,4.75,9.5,4.0,3.5,1.0,1.25,7.5,9.5,6.5,7.75,17.25,13.75,2.5,2.0,2.25,3.25,0.24,0.26,0.53,0.47,0.57,0.56,0.48,0.47,0.56,,,0.25,0.27,0.54,0.59,0.48,0.56,0.49,0.48,0.56,,,Liga Portugal,2025-2026,2.75,1.0,5.5,4.75,6.25,5.5,14.0,10.5,106.25,89.75,45.25,31.5,58.5,41.5,1.0,0.0,10.0,6.25,4.0,4.25,1.75,1.75,8.75,11.25,10.75,7.25,11.0,15.0,1.5,2.25,3.0,1.75,0.6,0.26,0.19,0.48,0.56,0.55,0.49,0.51,0.52,0.51,0.52,0.61,0.26,0.2,0.59,0.48,0.55,0.5,0.52,0.52,0.51,0.53
Alverca,1.0,1.25,3.0,4.5,4.5,5.25,11.5,12.75,63.75,115.0,37.5,55.25,43.0,57.0,0.33,0.67,7.0,5.75,4.5,7.0,1.0,0.75,10.25,6.25,7.0,10.5,13.75,14.0,3.25,3.25,2.5,2.25,0.27,0.26,0.5,0.48,0.56,,,0.5,0.52,0.49,0.54,0.28,0.26,0.52,0.58,0.5,0.51,0.53,0.51,0.53,0.5,0.54,Liga Portugal,2025-2026,1.75,1.75,4.75,2.25,4.25,2.5,12.0,7.0,97.75,80.5,42.5,31.0,54.5,45.5,0.5,0.5,8.0,4.25,4.0,2.5,1.25,1.25,4.0,7.0,7.5,5.0,16.25,14.0,1.5,2.5,4.0,3.0,0.44,0.3,0.29,0.48,0.56,0.55,0.49,0.49,0.55,,,0.46,0.32,0.29,0.59,0.48,0.55,0.5,0.49,0.55,,
Arouca,1.4,2.2,4.8,6.4,5.0,5.4,10.4,13.8,77.8,76.8,29.2,40.0,53.6,46.4,,,6.8,10.4,3.4,3.4,1.0,2.75,8.8,9.6,7.8,9.2,15.8,15.0,2.2,2.4,3.4,2.6,0.36,0.26,0.42,0.52,0.52,0.56,0.47,0.52,0.5,0.49,0.54,0.37,0.27,0.42,0.55,0.52,0.56,0.49,0.54,0.51,0.5,0.55,Liga Portugal,2025-2026,2.67,1.0,3.67,2.67,5.33,4.0,15.33,8.67,110.67,58.67,45.67,22.67,56.33,43.67,1.5,0.0,8.67,3.67,6.67,5.0,4.33,0.33,5.33,10.67,12.0,5.67,10.67,14.0,1.33,3.67,2.33,2.0,0.58,0.24,0.22,0.52,0.53,0.56,0.47,0.52,0.52,0.48,0.55,0.59,0.25,0.22,0.55,0.52,0.56,0.48,0.52,0.52,0.5,0.55
Benfica,1.75,0.75,7.0,4.0,6.0,2.75,17.25,9.5,129.75,78.0,78.5,28.25,65.0,35.0,1.0,0.0,12.0,6.0,5.25,3.5,1.25,0.75,6.0,10.25,11.0,5.0,12.0,15.0,4.0,5.25,2.25,2.5,0.82,0.14,0.07,0.42,0.62,,,0.55,0.48,0.48,0.55,0.81,0.16,0.09,0.63,0.45,,,0.56,0.49,0.49,0.56,Liga Portugal,2025-2026,0.33,2.0,3.75,2.5,5.25,4.25,10.5,10.75,80.25,98.0,34.5,42.75,44.5,55.5,0.0,1.0,6.25,6.75,4.0,4.0,0.67,1.33,6.25,10.25,7.75,6.75,14.5,14.5,1.25,2.75,3.5,3.0,0.18,0.18,0.68,0.47,0.58,,,0.54,0.49,0.5,0.53,0.19,0.19,0.69,0.59,0.48,,,0.56,0.49,0.5,0.54
Casa Pia,0.75,1.75,3.75,5.5,3.75,5.25,9.25,14.25,91.25,89.0,39.5,41.0,49.75,50.25,1.0,0.0,5.0,9.75,4.25,4.5,1.25,1.25,6.5,7.25,7.0,8.25,14.75,16.5,2.5,2.5,2.5,2.25,0.29,0.28,0.46,0.5,0.55,0.56,0.48,0.5,0.53,0.52,0.52,0.3,0.28,0.47,0.56,0.51,0.56,0.48,0.51,0.53,0.52,0.52,Liga Portugal,2025-2026,1.5,1.25,5.25,4.75,5.5,5.5,12.75,11.5,93.5,76.0,43.5,30.75,59.0,41.0,1.0,0.0,7.5,7.75,5.0,3.75,2.75,1.75,9.0,9.5,9.25,8.75,15.5,16.0,2.0,2.75,3.5,4.5,0.53,0.27,0.23,0.46,0.59,0.56,0.47,0.47,0.56,,,0.54,0.28,0.24,0.6,0.48,0.55,0.5,0.48,0.56,,
Estoril,1.0,1.0,3.25,6.25,5.5,5.5,11.25,11.5,102.75,92.0,40.75,36.0,53.5,46.5,0.0,1.0,7.5,6.5,3.75,5.0,1.0,4.0,11.5,10.75,8.75,9.0,13.25,12.5,2.75,2.75,4.25,1.5,0.38,0.25,0.4,0.5,0.54,0.52,0.51,0.52,0.52,0.49,0.54,0.39,0.26,0.42,0.58,0.5,0.5,0.55,0.52,0.52,0.5,0.55,Liga Portugal,2025-2026,2.25,1.5,4.25,3.25,7.5,5.5,14.25,12.25,109.5,86.25,57.0,44.25,52.0,48.0,1.0,0.0,9.5,7.5,4.75,4.75,4.25,1.5,7.5,9.25,10.5,8.75,14.0,13.25,2.75,1.75,2.5,2.75,0.44,0.3,0.3,0.52,0.52,0.56,0.48,0.53,0.5,0.5,0.54,0.45,0.3,0.3,0.53,0.54,0.55,0.5,0.53,0.51,0.5,0.55
Estrela Amadora,1.25,1.25,5.0,3.5,6.75,5.25,13.75,11.25,73.0,95.5,32.25,33.0,53.5,46.5,0.5,0.5,7.0,7.25,6.75,4.0,1.33,0.67,8.25,10.75,9.0,7.75,13.25,19.5,2.0,2.5,3.0,2.5,0.3,0.28,0.46,0.48,0.56,0.54,0.49,0.49,0.55,,,0.32,0.28,0.46,0.58,0.49,0.55,0.5,0.49,0.55,,,Liga Portugal,2025-2026,1.5,0.5,5.5,3.25,3.5,3.75,13.25,8.75,109.0,66.5,55.25,32.5,54.5,45.5,4.0,0.0,8.0,4.5,5.25,4.25,2.5,2.0,5.25,9.5,7.75,6.5,13.75,13.75,3.0,4.75,3.0,2.25,0.54,0.29,0.2,0.47,0.57,0.53,0.51,0.52,0.51,0.48,0.55,0.56,0.29,0.21,0.59,0.48,0.54,0.51,0.52,0.52,0.49,0.56
Famalicão,2.0,1.0,5.0,5.5,6.25,4.0,13.5,10.25,92.5,80.25,49.0,31.75,48.0,52.0,,,9.75,6.25,3.75,3.75,2.0,3.0,5.25,10.5,9.25,7.0,19.5,16.25,3.75,2.5,3.75,2.75,0.43,0.27,0.34,0.5,0.54,0.5,0.52,0.49,0.55,0.53,0.5,0.44,0.28,0.34,0.55,0.52,0.53,0.51,0.5,0.55,0.54,0.5,Liga Portugal,2025-2026,0.5,1.0,4.0,7.5,4.75,5.0,11.25,12.5,80.5,83.5,37.5,57.0,48.25,51.75,1.0,0.0,5.75,9.5,5.25,3.0,1.75,1.75,7.75,10.0,7.5,6.25,18.25,17.5,2.25,2.75,1.75,2.25,0.24,0.3,0.49,0.51,0.53,0.55,0.48,0.5,0.53,0.5,0.53,0.25,0.3,0.5,0.56,0.51,0.56,0.48,0.51,0.54,0.51,0.53
Gil Vicente,1.5,0.5,3.5,3.75,5.75,6.0,14.25,11.75,88.25,81.75,52.0,41.0,45.25,54.75,2.5,0.0,9.0,7.0,5.25,4.75,0.75,1.25,8.0,8.0,8.75,8.25,14.0,15.0,2.5,2.25,1.75,2.75,0.4,0.28,0.36,0.46,0.58,0.53,0.51,0.52,0.52,0.51,0.52,0.41,0.28,0.36,0.61,0.46,0.54,0.51,0.52,0.52,0.52,0.52,Liga Portugal,2025-2026,0.67,1.33,5.25,7.25,6.0,6.0,11.5,15.0,95.5,86.5,43.25,31.0,54.0,46.0,1.0,0.0,8.25,8.0,3.25,6.75,1.75,2.0,7.25,8.5,8.75,7.75,14.75,16.5,4.5,3.5,2.75,3.5,0.56,0.28,0.2,0.47,0.57,0.48,0.55,0.5,0.54,0.48,0.55,0.56,0.28,0.22,0.59,0.49,0.52,0.52,0.5,0.54,0.5,0.55
Moreirense,2.25,0.75,5.5,5.0,4.0,6.75,11.75,13.25,91.5,85.75,39.0,41.5,53.5,46.5,0.0,1.0,7.75,7.0,4.0,6.0,2.0,2.0,9.0,5.5,8.5,9.5,14.25,12.5,3.0,2.5,3.5,2.0,0.44,0.31,0.29,0.49,0.55,0.56,0.47,0.49,0.54,,,0.46,0.31,0.3,0.57,0.5,0.55,0.49,0.49,0.56,,,Liga Portugal,2025-2026,2.0,0.75,3.75,2.75,5.25,3.5,16.5,7.25,112.0,61.5,54.75,25.5,55.75,44.25,2.0,0.0,10.0,4.75,6.5,2.5,1.0,1.33,4.75,9.5,11.25,4.75,16.5,16.0,0.75,4.5,1.75,2.75,0.55,0.28,0.21,0.45,0.59,0.48,0.55,0.49,0.54,,,0.56,0.29,0.22,0.62,0.45,0.52,0.52,0.49,0.56,,
