team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
América,1.8,0.93,6.33,3.2,6.8,2.73,17.6,7.73,102.4,79.8,58.47,34.33,58.4,41.6,1.0,0.17,9.8,4.47,7.53,3.33,1.77,1.31,6.33,12.07,12.93,4.8,11.33,11.93,1.73,4.87,1.93,2.73,0.67,0.22,0.16,0.52,0.53,,,0.52,0.51,0.51,0.52,0.67,0.22,0.16,0.54,0.53,,,0.5,0.56,0.53,0.53,Mexico Liga MX,2025-2026,1.38,1.31,3.53,5.07,4.6,4.4,11.2,11.2,84.47,101.73,35.07,46.8,44.87,55.13,0.67,0.67,6.6,6.33,4.53,4.93,1.0,1.4,7.67,7.07,6.73,7.67,12.8,9.33,2.4,2.0,2.33,2.2,0.32,0.28,0.43,0.58,0.46,0.54,0.49,0.51,0.52,0.52,0.52,0.33,0.28,0.45,0.5,0.58,0.56,0.5,0.53,0.53,0.55,0.51
Atlas,1.83,1.67,3.5,6.0,4.71,5.93,11.36,14.79,79.21,93.21,34.71,46.57,44.07,55.93,0.56,0.78,6.43,8.29,4.64,6.29,1.79,1.07,9.86,7.21,8.07,9.79,13.36,12.5,3.14,2.29,2.57,3.0,0.35,0.27,0.42,0.57,0.47,,,0.53,0.5,0.51,0.52,0.36,0.28,0.42,0.49,0.58,,,0.54,0.52,0.53,0.53,Mexico Liga MX,2025-2026,2.0,0.92,5.54,3.31,7.08,4.77,16.23,9.62,90.62,65.08,38.0,21.92,55.31,44.69,0.8,0.6,10.0,5.08,6.08,4.54,1.5,1.67,7.69,10.92,11.69,7.38,11.77,10.23,2.0,3.69,3.0,2.5,0.57,0.25,0.22,0.56,0.48,,,0.52,0.51,0.51,0.52,0.57,0.26,0.23,0.52,0.55,,,0.54,0.52,0.54,0.52
Atlético San Luis,1.5,1.64,4.29,3.57,4.0,5.29,9.29,12.57,77.62,90.69,28.46,34.92,47.86,52.14,0.67,0.33,6.64,7.29,2.71,5.21,1.08,2.92,9.0,7.36,5.71,9.21,10.79,11.86,3.57,1.5,2.15,2.23,0.37,0.26,0.4,0.61,0.43,,,,,0.53,0.5,0.38,0.27,0.4,0.47,0.61,,,,,0.52,0.53,Mexico Liga MX,2025-2026,1.77,1.54,4.23,4.38,6.15,4.62,13.08,12.15,87.85,76.77,40.23,37.15,52.62,47.38,0.5,0.67,7.85,8.15,5.38,4.0,2.58,0.42,8.54,9.15,8.69,7.08,12.54,11.54,2.77,2.69,2.69,2.0,0.52,0.25,0.26,0.58,0.46,,,,,0.53,0.51,0.53,0.26,0.27,0.49,0.58,,,,,0.53,0.52
Cruz Azul,2.21,1.07,7.0,3.27,8.47,3.6,20.33,8.6,106.33,68.27,55.27,26.4,58.87,41.13,0.33,0.67,11.33,5.27,9.0,3.47,2.71,1.5,7.0,13.47,14.2,5.53,11.93,9.47,1.47,4.93,2.33,2.2,0.6,0.23,0.21,0.56,0.48,,,0.54,0.49,0.52,0.52,0.61,0.24,0.21,0.51,0.57,,,0.53,0.53,0.55,0.51,Mexico Liga MX,2025-2026,1.25,1.69,4.24,4.47,4.94,6.24,11.47,15.18,86.53,95.65,37.24,41.65,47.35,52.65,0.25,0.88,7.18,7.59,4.24,7.41,1.76,1.88,9.53,8.76,7.29,10.18,11.76,10.35,3.88,2.82,2.29,1.94,0.32,0.26,0.46,0.59,0.45,,,0.53,0.5,0.52,0.51,0.32,0.27,0.47,0.47,0.6,,,0.52,0.54,0.53,0.53
Guadalajara,2.46,1.15,6.0,3.33,7.27,3.93,16.33,10.67,97.0,83.38,43.15,27.46,56.07,43.93,0.6,0.4,10.53,4.87,5.8,5.8,1.43,1.29,8.0,10.67,10.73,7.2,11.47,10.87,3.07,3.87,2.27,2.13,0.56,0.25,0.23,0.56,0.48,,,0.52,0.51,0.52,0.51,0.57,0.25,0.23,0.51,0.56,,,0.54,0.52,0.54,0.52,Mexico Liga MX,2025-2026,1.21,1.64,3.79,5.43,4.5,6.36,10.0,14.21,82.14,95.14,33.43,43.43,46.07,53.93,0.67,0.56,6.21,8.64,3.5,5.21,1.36,2.36,10.14,7.43,6.57,9.21,9.93,11.71,2.43,2.0,2.43,2.0,0.29,0.27,0.48,0.57,0.47,,,0.54,0.49,0.52,0.51,0.3,0.28,0.48,0.5,0.58,,,0.55,0.51,0.53,0.53
Juárez,1.67,1.67,4.4,4.47,6.93,4.53,13.47,10.4,91.0,74.87,38.2,27.67,51.93,48.07,1.0,0.2,8.4,6.27,4.93,4.13,1.53,1.4,7.93,11.8,7.0,5.27,10.53,10.2,2.2,2.93,2.47,2.4,0.41,0.28,0.35,0.56,0.48,0.55,0.48,0.52,0.51,0.51,0.52,0.41,0.28,0.36,0.52,0.56,0.56,0.5,0.53,0.53,0.53,0.53,Mexico Liga MX,2025-2026,1.93,1.36,4.8,3.73,6.93,5.6,15.53,10.67,84.47,76.73,37.4,36.0,55.67,44.33,0.8,0.2,9.67,6.33,5.87,4.53,2.29,1.14,9.07,10.8,10.0,8.47,13.0,12.73,2.4,2.93,2.4,2.67,0.53,0.26,0.25,0.55,0.49,,,0.54,0.5,0.51,0.52,0.53,0.27,0.26,0.52,0.56,,,0.54,0.52,0.52,0.53
León,1.31,1.62,5.23,4.85,6.23,6.0,13.54,14.54,85.75,76.67,39.33,37.17,52.54,47.46,0.71,0.57,8.08,8.46,5.46,5.85,1.75,2.17,8.23,9.69,8.31,9.38,11.69,12.31,3.38,3.15,2.23,2.54,0.4,0.26,0.37,0.6,0.44,,,,,0.54,0.49,0.41,0.27,0.38,0.47,0.6,,,0.56,0.5,0.55,0.51,Mexico Liga MX,2025-2026,2.36,0.57,5.67,4.2,6.93,4.93,17.47,12.13,89.0,80.07,45.27,33.33,49.6,50.4,1.25,0.0,10.4,6.53,7.13,5.6,1.29,2.07,7.53,9.73,11.87,8.4,11.73,11.67,3.67,4.33,2.0,2.27,0.52,0.25,0.26,0.6,0.44,,,,,0.53,0.5,0.52,0.26,0.27,0.47,0.6,,,,,0.54,0.52
Mazatlán,1.64,2.0,4.07,5.64,4.43,6.14,10.21,16.07,83.69,97.38,37.38,55.15,41.0,59.0,0.67,1.0,6.29,9.21,4.0,6.93,2.0,1.86,8.36,6.29,5.93,9.0,10.57,10.86,3.64,2.07,2.71,2.43,0.3,0.27,0.47,0.59,0.45,0.55,0.48,0.51,0.53,0.53,0.51,0.3,0.28,0.48,0.49,0.59,0.55,0.51,0.52,0.54,0.53,0.52,Mexico Liga MX,2025-2026,1.92,0.75,5.85,3.38,7.46,4.0,17.23,9.0,90.92,73.85,44.69,32.15,57.08,42.92,1.0,0.0,10.85,5.31,6.23,3.54,1.33,1.92,8.08,11.77,10.85,5.85,12.08,11.92,2.38,4.08,1.92,2.38,0.66,0.22,0.16,0.54,0.5,,,0.55,0.48,0.52,0.51,0.67,0.22,0.16,0.53,0.54,,,0.56,0.5,0.54,0.52
Monterrey,1.88,1.06,5.0,4.75,6.75,4.19,15.12,11.25,95.75,76.56,44.62,39.19,58.75,41.25,0.75,0.38,10.0,6.12,5.06,5.06,1.12,1.62,6.5,9.38,11.25,6.81,10.81,12.06,2.75,3.44,1.62,3.0,0.54,0.25,0.25,0.58,0.46,,,,,0.53,0.5,0.55,0.26,0.26,0.48,0.59,,,0.56,0.5,0.54,0.52,Mexico Liga MX,2025-2026,1.88,1.69,4.75,3.62,6.56,4.5,14.0,11.94,65.5,69.79,37.86,31.21,46.69,53.31,0.4,1.0,8.62,6.56,5.38,5.38,2.56,1.56,7.56,8.5,8.12,6.94,11.62,10.56,2.94,3.0,2.2,2.2,0.44,0.26,0.34,0.61,0.43,,,,,0.53,0.5,0.45,0.26,0.35,0.47,0.6,,,,,0.54,0.52
Necaxa,1.38,0.92,5.54,4.15,7.92,5.77,16.69,12.08,92.33,80.5,46.42,34.0,52.0,48.0,0.33,0.67,9.15,6.31,7.62,5.69,1.0,1.42,8.92,10.54,10.92,8.46,12.08,10.15,2.15,3.38,2.17,2.25,0.46,0.27,0.31,0.61,0.43,,,0.56,0.5,0.52,0.51,0.47,0.27,0.32,0.46,0.61,,,0.56,0.5,0.52,0.54,Mexico Liga MX,2025-2026,2.36,1.43,5.73,4.8,6.6,4.8,15.67,13.0,86.87,84.07,45.87,38.93,52.53,47.47,0.83,0.17,10.07,7.33,5.6,5.6,1.0,1.46,8.47,10.0,9.47,6.87,11.13,12.33,3.2,3.27,2.2,2.8,0.49,0.25,0.29,0.61,0.44,,,,,0.52,0.51,0.5,0.26,0.3,0.47,0.6,,,,,0.53,0.52
