team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
AZ,2.57,2.14,6.86,4.14,6.29,3.57,17.71,12.43,105.29,89.14,53.14,35.71,53.29,46.71,1.0,0.25,13.0,8.71,4.57,3.57,0.67,0.5,7.14,9.86,12.29,8.43,8.57,11.0,2.71,4.14,2.0,2.0,0.62,0.2,0.22,0.6,0.44,,,,,0.55,0.51,0.63,0.21,0.23,0.46,0.61,,,,,,,Netherlands Eredivisie,2025-2026,1.12,1.25,4.5,5.62,4.88,5.38,13.38,15.62,97.88,100.0,46.5,45.88,46.25,53.75,0.25,0.75,8.5,9.5,4.88,6.12,1.88,1.25,8.38,8.0,9.0,10.25,10.62,11.75,4.25,3.88,1.5,3.25,0.3,0.24,0.49,0.65,0.39,,,,,,,0.31,0.24,0.51,0.42,0.66,,,,,0.53,0.52
Ajax,1.62,0.88,6.12,4.25,4.5,3.88,15.0,12.75,107.88,89.0,59.5,37.38,58.5,41.5,0.0,1.0,11.5,7.5,3.5,5.12,1.88,1.25,5.5,6.75,10.38,7.88,10.62,13.5,3.75,4.12,1.57,1.71,0.7,0.19,0.15,0.58,0.46,,,,,,,0.71,0.19,0.15,0.47,0.6,,,,,,,Netherlands Eredivisie,2025-2026,1.86,2.14,5.57,4.86,6.29,4.86,16.14,14.0,93.14,96.14,48.0,49.71,43.43,56.57,0.67,0.33,8.86,9.71,7.29,4.43,1.0,1.14,7.71,7.71,10.86,9.43,12.57,11.57,3.71,3.57,1.43,2.71,0.32,0.24,0.47,0.64,0.4,,,,,,,0.33,0.25,0.48,0.43,0.65,,,,,,
Excelsior,0.75,1.12,4.0,5.0,4.62,6.12,11.88,18.25,92.12,103.88,33.12,54.25,43.88,56.12,0.67,0.33,7.62,12.0,4.5,6.38,1.0,1.88,10.25,6.75,7.38,11.88,13.12,10.5,5.25,3.0,1.86,2.0,0.33,0.25,0.46,0.63,0.41,,,,,0.53,0.5,0.34,0.25,0.47,0.44,0.64,,,,,0.55,0.51,Netherlands Eredivisie,2025-2026,2.43,1.14,6.0,4.29,4.86,4.14,15.57,12.14,105.43,89.0,57.71,43.86,55.71,44.29,1.0,0.67,10.57,7.71,4.86,4.29,1.86,0.29,7.14,8.29,11.0,7.57,8.0,15.0,3.43,4.14,1.5,1.83,0.57,0.24,0.23,0.64,0.4,,,,,0.54,0.5,0.58,0.24,0.24,0.44,0.63,,,,,0.55,0.51
FC Groningen,1.57,1.0,6.57,3.43,6.0,4.71,17.29,9.29,115.43,80.71,49.57,28.57,55.29,44.71,1.0,0.0,9.86,7.14,7.43,2.29,1.86,1.43,6.29,7.86,12.0,7.14,10.86,10.57,2.29,4.14,2.14,2.43,0.5,0.26,0.28,0.57,0.47,,,,,0.53,0.5,0.5,0.27,0.28,0.5,0.57,,,,,0.54,0.52,Netherlands Eredivisie,2025-2026,1.75,1.25,5.75,4.38,5.62,3.88,13.62,14.75,100.88,99.25,40.12,39.25,53.62,46.38,0.5,0.5,10.0,8.12,3.38,6.5,1.25,1.12,6.62,7.88,8.5,10.12,11.38,11.75,5.88,2.88,1.5,1.75,0.51,0.25,0.27,0.56,0.48,,,0.55,0.49,0.5,0.53,0.53,0.25,0.27,0.5,0.57,,,0.56,0.5,0.53,0.53
FC Twente,1.67,1.67,5.43,3.29,6.14,3.0,18.29,8.86,123.14,94.29,64.14,35.0,57.57,42.43,0.75,0.25,11.43,6.0,6.71,3.0,0.71,2.29,6.29,9.57,12.71,5.43,12.0,10.86,1.86,4.86,1.57,2.14,0.56,0.22,0.26,0.59,0.45,,,,,,,0.57,0.22,0.27,0.47,0.6,,,,,,,Netherlands Eredivisie,2025-2026,1.25,1.62,3.88,4.5,3.75,6.5,11.12,16.75,92.12,93.62,43.62,50.38,47.0,53.0,0.5,1.0,7.12,10.38,4.25,6.25,2.0,1.0,9.88,7.5,7.38,10.88,9.88,12.88,4.25,2.12,1.75,2.5,0.32,0.28,0.44,0.63,0.42,,,,,0.53,0.51,0.33,0.28,0.46,0.45,0.62,,,,,0.52,0.53
FC Utrecht,2.12,0.88,5.38,3.75,5.88,4.12,15.38,11.88,93.5,100.25,35.5,41.12,45.0,55.0,0.0,1.0,11.25,7.12,4.12,4.75,1.0,0.71,6.75,7.0,9.5,7.62,10.62,13.12,3.62,3.25,1.0,1.86,0.55,0.25,0.24,0.59,0.45,,,,,0.52,0.51,0.56,0.25,0.25,0.48,0.59,,,,,0.53,0.52,Netherlands Eredivisie,2025-2026,1.86,1.29,4.86,5.0,4.29,4.86,12.71,14.29,97.43,108.86,42.71,43.43,47.86,52.14,1.0,0.0,8.71,8.57,4.14,5.71,1.83,1.5,7.43,8.14,8.14,8.86,9.14,10.57,3.57,2.86,1.71,1.57,0.42,0.26,0.36,0.6,0.44,,,,,0.54,0.49,0.42,0.26,0.37,0.47,0.6,,,,,0.56,0.5
FC Volendam,1.75,1.38,4.25,5.25,4.88,6.38,12.12,14.75,81.12,96.5,41.75,56.12,44.25,55.75,1.0,0.0,7.62,9.0,4.62,5.75,1.25,1.12,10.62,7.5,8.62,9.75,9.38,13.25,2.62,2.88,1.5,3.0,0.3,0.24,0.5,0.64,0.4,,,,,,,0.31,0.24,0.51,0.44,0.64,,,,,,,Netherlands Eredivisie,2025-2026,2.29,0.71,7.43,3.14,6.86,4.29,21.29,9.14,108.29,79.0,62.71,33.43,54.29,45.71,,,14.0,5.29,7.43,3.86,2.0,0.86,6.86,10.14,12.86,6.71,10.29,9.57,1.86,5.71,1.4,1.0,0.69,0.19,0.16,0.6,0.45,,,,,0.55,0.49,0.7,0.19,0.16,0.46,0.61,,,,,0.56,0.5
Feyenoord,2.62,1.38,7.75,3.25,7.5,3.62,20.38,10.25,100.5,75.62,55.38,28.38,54.12,45.88,1.0,0.0,13.75,5.88,6.5,4.25,1.38,1.62,6.5,11.88,13.25,6.38,9.25,11.12,2.12,4.25,0.86,0.86,0.73,0.18,0.14,0.58,0.46,,,,,,,0.73,0.18,0.14,0.49,0.58,,,,,,,Netherlands Eredivisie,2025-2026,1.0,2.86,3.14,7.14,4.14,4.43,8.71,17.29,89.0,104.0,40.57,56.0,44.43,55.57,1.0,0.5,5.14,13.14,3.57,4.14,1.29,1.0,9.0,7.14,6.14,11.57,10.57,9.14,4.57,2.0,1.43,2.43,0.22,0.23,0.59,0.62,0.42,,,,,0.55,0.5,0.23,0.24,0.59,0.45,0.63,,,,,0.55,0.51
Fortuna Sittard,1.5,1.25,5.62,5.38,7.88,3.5,17.12,11.88,90.5,100.12,45.38,49.12,47.75,52.25,1.0,0.0,11.25,8.0,6.0,4.0,1.62,1.5,6.25,10.62,10.75,7.5,14.0,11.12,3.88,3.12,2.75,2.25,0.37,0.28,0.39,0.62,0.42,,,0.54,0.49,0.52,0.51,0.38,0.28,0.4,0.46,0.62,,,0.56,0.5,0.56,0.5,Netherlands Eredivisie,2025-2026,2.14,1.29,7.0,3.14,6.0,2.14,16.29,9.71,109.29,89.86,56.86,32.0,54.43,45.57,1.0,0.0,11.0,6.0,5.0,3.86,1.71,1.86,4.86,8.71,12.5,6.67,10.57,13.57,3.14,3.86,0.71,2.0,0.61,0.23,0.2,0.57,0.47,,,0.55,0.48,0.52,0.52,0.61,0.24,0.21,0.5,0.57,,,0.56,0.5,0.54,0.52
Go Ahead Eagles,1.71,1.29,6.86,5.86,4.29,5.71,12.43,17.14,95.29,89.29,52.29,44.86,52.43,47.57,1.0,0.0,8.14,11.71,4.14,5.57,1.83,1.17,8.57,8.43,7.86,10.43,9.0,11.57,4.57,3.86,1.14,2.14,0.39,0.24,0.4,0.67,0.37,,,,,0.54,0.5,0.4,0.24,0.41,0.41,0.67,,,,,0.54,0.51,Netherlands Eredivisie,2025-2026,2.12,1.62,5.88,4.0,7.38,2.88,20.0,10.0,85.62,97.62,47.88,42.75,48.0,52.0,,,14.0,7.62,6.12,2.38,0.38,1.5,7.5,9.12,12.0,8.0,8.5,9.62,2.75,4.38,2.0,1.5,0.49,0.24,0.3,0.64,0.4,,,,,,,0.5,0.24,0.32,0.43,0.64,,,,,,
