team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Academico Viseu,2.14,0.79,5.35,3.47,6.35,4.41,13.88,8.41,84.47,83.71,52.18,45.35,52.35,47.65,0.2,0.8,9.8,5.9,5.8,4.1,1.88,1.59,7.0,10.7,7.0,7.0,12.29,11.76,2.24,3.76,2.53,2.76,0.52,0.29,0.23,0.51,0.54,0.56,0.48,0.52,0.53,0.51,0.54,0.54,0.31,0.25,0.57,0.52,0.55,0.52,0.53,0.53,0.51,0.55,Portugal LigaPro,2025-2026,1.69,2.08,4.62,4.31,5.12,5.81,10.62,12.0,87.5,80.88,50.44,45.06,51.81,48.19,0.67,1.0,6.56,9.22,5.0,3.56,1.67,1.6,8.78,6.78,7.67,7.33,13.06,14.0,2.81,2.62,3.38,2.5,0.33,0.31,0.4,0.52,0.53,0.56,0.48,0.51,0.53,0.51,0.54,0.36,0.32,0.43,0.56,0.53,0.54,0.52,0.52,0.54,0.51,0.54
Benfica II,1.47,1.29,7.29,3.88,6.76,4.06,14.0,8.71,91.88,70.35,62.24,39.47,58.0,42.0,0.5,0.62,11.44,6.89,6.44,3.78,1.56,1.56,6.67,12.11,17.0,5.0,14.41,15.41,2.76,3.76,2.65,3.53,0.44,0.29,0.32,0.56,0.49,,,0.54,0.5,0.51,0.53,0.46,0.3,0.34,0.53,0.56,,,0.54,0.52,0.54,0.52,Portugal LigaPro,2025-2026,1.4,1.2,4.75,4.62,6.88,5.25,12.5,9.75,83.62,78.31,55.62,47.94,52.19,47.81,0.33,0.67,9.44,6.11,5.33,3.44,1.31,1.62,6.33,10.89,11.67,6.67,14.25,14.44,2.5,2.69,3.12,3.5,0.41,0.29,0.34,0.57,0.48,,,0.55,0.49,0.52,0.52,0.43,0.3,0.37,0.51,0.58,,,0.55,0.51,0.53,0.52
Chaves,1.07,1.07,5.06,3.81,7.5,5.0,14.06,10.19,77.56,74.88,51.06,40.62,54.5,45.5,0.6,0.4,9.5,6.67,5.58,4.42,1.54,1.46,7.75,9.58,10.33,7.67,12.27,14.8,1.8,3.2,3.07,3.27,0.47,0.3,0.27,0.52,0.53,0.56,0.48,0.53,0.51,0.52,0.53,0.49,0.31,0.3,0.55,0.54,,,0.53,0.53,0.52,0.54,Portugal LigaPro,2025-2026,1.31,1.38,4.81,4.38,4.81,4.0,10.06,9.94,87.62,84.81,54.5,51.81,50.94,49.06,0.25,1.0,6.1,7.0,4.8,4.4,2.2,1.73,7.2,8.4,9.5,9.5,15.12,13.81,2.81,2.5,3.12,2.56,0.36,0.31,0.37,0.53,0.52,0.56,0.49,0.52,0.52,0.5,0.55,0.39,0.32,0.4,0.55,0.54,0.56,0.5,0.53,0.53,0.54,0.52
Farense,1.08,1.62,5.47,4.47,5.65,5.47,12.29,10.82,88.0,85.94,57.82,48.59,50.18,49.82,0.33,0.67,7.78,7.0,6.56,3.89,1.6,1.4,7.33,10.33,7.0,7.0,14.88,11.82,2.47,3.76,3.59,2.59,0.49,0.3,0.26,0.51,0.53,0.54,0.5,0.52,0.53,0.5,0.55,0.51,0.31,0.28,0.56,0.53,0.55,0.51,0.52,0.53,0.53,0.53,Portugal LigaPro,2025-2026,1.0,1.21,4.38,4.94,6.0,5.0,13.0,10.75,83.81,79.62,49.38,48.31,52.94,47.06,0.8,0.6,8.64,7.91,5.91,4.45,1.31,1.75,8.45,8.09,6.33,8.67,13.44,13.25,2.75,4.0,2.44,3.0,0.38,0.3,0.36,0.54,0.51,0.54,0.5,0.52,0.52,0.51,0.54,0.4,0.31,0.39,0.55,0.54,0.5,0.56,0.53,0.53,0.52,0.54
Feirense,1.31,1.08,5.65,4.65,6.71,5.18,12.59,9.47,77.06,77.18,53.53,47.35,47.18,52.82,0.8,0.4,6.64,7.82,7.18,2.73,1.94,1.29,8.73,8.91,13.5,4.5,16.12,12.41,2.18,2.47,3.82,3.0,0.39,0.32,0.34,0.51,0.54,0.55,0.5,0.51,0.53,0.5,0.54,0.42,0.32,0.36,0.57,0.52,0.54,0.52,0.52,0.54,0.51,0.55,Portugal LigaPro,2025-2026,1.67,1.33,5.12,5.5,5.12,6.0,11.2,11.87,76.75,76.19,48.62,50.44,53.69,46.31,1.0,0.0,8.43,7.86,4.43,6.86,1.0,1.79,9.14,10.71,7.0,10.0,10.93,15.33,3.07,2.93,2.5,3.69,0.47,0.31,0.26,0.51,0.54,0.54,0.5,0.51,0.53,0.48,0.55,0.51,0.32,0.28,0.57,0.52,0.54,0.52,0.52,0.53,0.54,0.52
Felgueiras 1932,1.07,1.07,5.06,5.38,5.25,5.06,11.5,11.31,89.62,86.19,56.94,47.5,49.12,50.88,0.4,0.6,8.36,7.64,4.55,4.45,1.69,1.88,6.55,10.18,6.67,8.0,14.19,14.06,3.0,2.69,2.31,3.19,0.48,0.3,0.27,0.53,0.51,,,0.52,0.52,0.5,0.54,0.5,0.31,0.29,0.55,0.54,,,0.54,0.52,0.52,0.54,Portugal LigaPro,2025-2026,1.71,1.5,3.88,4.76,4.59,6.47,9.94,12.06,84.53,86.76,42.41,52.41,49.29,50.71,0.5,0.75,6.09,7.18,4.18,4.73,1.38,1.81,8.82,8.0,11.0,12.5,15.35,12.82,2.88,2.47,3.06,2.47,0.39,0.31,0.35,0.53,0.51,0.55,0.5,0.52,0.52,0.5,0.55,0.42,0.31,0.37,0.55,0.54,0.53,0.52,0.53,0.53,0.52,0.54
Leixões,1.53,2.0,5.81,4.5,6.94,5.56,13.44,10.75,96.75,81.12,56.62,47.56,52.56,47.44,0.33,0.83,9.62,8.25,6.38,4.5,1.87,1.8,8.25,9.75,10.0,11.33,14.81,14.88,2.94,3.5,2.81,2.19,0.42,0.31,0.31,0.53,0.52,0.56,0.48,0.52,0.52,0.51,0.54,0.45,0.31,0.34,0.55,0.55,0.53,0.53,0.53,0.53,0.52,0.54,Portugal LigaPro,2025-2026,1.5,1.36,4.47,3.0,4.93,5.53,12.07,10.67,84.33,79.47,54.27,41.0,52.67,47.33,0.75,0.5,7.78,7.44,6.44,3.78,2.5,2.21,7.33,8.78,12.5,5.5,15.13,15.13,2.47,3.2,2.6,3.6,0.44,0.31,0.29,0.53,0.52,0.52,0.53,0.53,0.52,0.5,0.55,0.46,0.31,0.32,0.55,0.54,0.53,0.52,0.53,0.53,0.53,0.53
Lusitania FC Lourosa,1.14,1.5,5.93,3.53,6.07,5.2,11.6,11.0,77.47,85.0,49.27,46.8,47.73,52.27,0.5,0.67,8.5,6.2,4.5,3.8,0.93,1.8,7.2,8.5,14.0,6.33,16.07,13.93,2.8,2.53,2.47,2.53,0.36,0.31,0.38,0.53,0.52,0.56,0.48,0.52,0.52,0.5,0.54,0.39,0.31,0.39,0.55,0.54,,,0.53,0.53,0.52,0.54,Portugal LigaPro,2025-2026,1.93,1.67,5.24,4.53,6.76,3.94,13.65,8.59,89.12,76.59,58.41,43.0,53.59,46.41,0.71,0.71,9.5,6.3,4.6,3.1,2.0,1.19,6.1,9.2,6.0,8.0,14.65,13.88,2.12,3.47,2.94,2.71,0.46,0.3,0.29,0.52,0.53,0.56,0.48,0.52,0.52,0.52,0.54,0.48,0.31,0.31,0.56,0.53,0.53,0.53,0.53,0.53,0.52,0.54
Marítimo,1.31,1.06,5.06,2.75,5.69,3.81,13.31,8.25,95.0,76.5,59.81,38.25,57.62,42.38,0.4,0.8,9.44,5.78,5.89,3.56,1.38,2.19,5.78,10.44,7.5,10.5,13.81,13.69,2.19,3.94,2.69,3.56,0.56,0.27,0.22,0.51,0.54,0.56,0.48,0.52,0.51,0.51,0.53,0.57,0.29,0.24,0.56,0.53,0.56,0.5,0.52,0.53,0.52,0.54,Portugal LigaPro,2025-2026,0.73,1.87,4.41,4.06,4.88,5.29,10.65,11.41,76.06,83.94,46.75,48.25,47.82,52.18,0.29,0.71,6.6,6.8,3.6,5.6,2.94,0.94,9.5,7.2,5.5,7.0,13.65,15.82,2.53,3.47,3.0,3.24,0.33,0.31,0.41,0.53,0.51,0.56,0.48,0.53,0.51,0.5,0.55,0.36,0.31,0.43,0.55,0.55,0.53,0.53,0.55,0.51,0.53,0.53
Paços de Ferreira,1.83,1.83,5.47,5.41,7.18,6.35,14.47,13.41,80.35,77.41,55.88,49.35,45.71,54.29,0.6,0.6,8.7,7.3,6.9,7.2,1.71,1.94,8.1,10.3,8.0,7.5,14.12,12.12,3.47,3.29,2.65,3.82,0.32,0.3,0.42,0.54,0.5,,,0.53,0.51,0.52,0.52,0.35,0.31,0.45,0.55,0.54,0.57,0.49,0.53,0.52,0.53,0.52,Portugal LigaPro,2025-2026,1.92,0.92,6.38,3.88,7.0,4.56,15.56,9.31,81.75,76.06,56.62,41.31,52.75,47.25,0.75,0.5,9.83,5.92,6.17,4.25,1.47,1.53,6.83,10.75,12.5,4.5,16.19,13.69,2.0,3.62,2.38,3.12,0.53,0.28,0.23,0.5,0.55,0.55,0.49,0.52,0.52,0.5,0.54,0.55,0.3,0.25,0.57,0.52,0.56,0.5,0.53,0.53,0.53,0.53
