team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Akhmat Grozny,1.5,1.1,5.0,5.3,5.6,3.9,14.8,12.5,89.7,89.4,45.7,43.5,45.5,54.5,2.0,0.0,9.5,7.8,5.5,4.5,2.1,0.7,6.1,6.8,9.6,7.2,10.2,16.0,2.6,3.4,1.9,2.7,0.42,0.28,0.34,0.56,0.48,,,0.54,0.5,0.51,0.52,,,,,,,,,,,,Russia Premier League,2025-2026,1.67,1.11,3.5,3.9,4.9,3.4,12.4,10.3,91.8,90.3,46.1,38.3,54.0,46.0,0.0,1.33,7.6,6.5,4.8,3.9,2.0,1.7,6.7,7.3,9.11,6.78,16.2,13.8,1.9,2.6,2.7,1.7,0.43,0.29,0.31,0.53,0.51,0.5,0.53,0.49,0.54,0.52,0.52,,,,,,,,,,,
Akron,1.22,1.56,4.11,5.0,3.89,6.0,11.11,14.22,99.67,95.44,49.33,46.56,46.0,54.0,1.33,0.67,6.89,9.56,4.11,4.56,1.67,1.89,7.0,8.56,8.44,10.33,15.11,14.22,2.89,3.33,1.67,1.44,0.34,0.26,0.43,0.59,0.45,,,0.49,0.54,0.52,0.51,,,,,,,,,,,,Russia Premier League,2025-2026,1.6,1.4,4.9,3.9,5.7,4.0,16.5,10.5,95.6,84.1,50.4,40.8,59.4,40.6,0.4,1.4,10.0,8.0,5.9,2.4,2.8,2.9,7.8,7.9,10.8,6.4,11.6,14.8,2.0,5.22,2.0,2.2,0.61,0.23,0.2,0.55,0.49,0.55,0.49,0.54,0.5,0.53,0.5,,,,,,,,,,,
Baltika,2.0,1.0,3.0,4.4,5.0,3.4,11.6,9.6,84.6,101.6,41.8,47.0,42.6,57.4,2.5,0.0,6.6,4.8,4.8,4.4,2.6,1.6,7.0,7.0,8.6,6.8,21.4,10.8,3.0,2.4,2.8,2.4,0.45,0.29,0.29,0.47,0.57,0.52,0.5,0.51,0.52,0.5,0.54,,,,,,,,,,,,Russia Premier League,2025-2026,0.43,1.71,4.75,3.38,4.88,5.88,11.38,13.12,97.5,92.75,42.0,42.62,52.5,47.5,0.5,1.0,6.75,7.62,3.5,5.25,1.25,2.5,8.62,7.38,7.88,9.75,11.88,20.0,3.38,2.62,2.38,3.5,0.41,0.29,0.34,0.5,0.54,0.51,0.53,0.49,0.54,0.53,0.51,,,,,,,,,,,
Baltika Kaliningrad,1.4,0.2,4.0,4.8,5.6,4.6,13.6,10.6,82.2,87.0,49.4,43.8,43.0,57.0,2.0,0.0,8.8,6.0,4.8,4.6,2.0,2.0,8.2,6.6,8.6,7.8,18.0,11.8,2.6,3.4,3.2,3.2,0.4,0.31,0.33,0.46,0.58,0.53,0.51,0.49,0.55,,,,,,,,,,,,,,Russia Premier League,2025-2026,1.0,1.0,5.5,2.5,4.5,3.0,14.0,8.5,85.5,96.5,50.0,43.0,48.0,52.0,1.0,0.0,9.5,6.0,4.5,2.5,1.5,3.5,5.5,9.0,11.0,5.5,11.0,20.0,2.5,4.0,1.5,3.5,0.32,0.32,0.4,0.48,0.55,0.49,0.54,0.52,0.51,,,,,,,,,,,,,
CSKA Moskva,2.1,1.0,4.9,6.0,5.0,5.7,14.3,13.5,105.4,79.5,53.0,40.0,58.0,42.0,2.0,0.0,9.6,8.7,4.6,4.8,1.6,1.6,8.4,9.4,10.2,9.3,11.0,16.0,2.7,3.1,1.7,2.9,0.55,0.26,0.23,0.55,0.48,,,0.52,0.51,0.51,0.52,,,,,,,,,,,,Russia Premier League,2025-2026,1.33,1.11,5.55,5.64,7.0,5.0,15.27,13.0,84.45,96.45,44.09,45.36,45.91,54.09,1.0,2.0,10.0,8.18,5.18,4.64,1.11,2.11,7.18,9.73,11.9,8.9,14.55,12.55,3.09,3.55,2.27,2.36,0.38,0.28,0.38,0.55,0.49,0.56,0.48,0.51,0.52,0.52,0.52,,,,,,,,,,,
Dinamo Moskva,2.1,1.5,5.4,3.8,5.5,2.9,16.0,9.0,101.2,81.6,53.5,36.1,57.4,42.6,1.33,1.0,9.2,6.9,5.5,2.1,2.1,3.4,4.9,7.7,11.0,5.6,12.0,15.0,1.8,3.5,1.5,2.4,0.58,0.24,0.22,0.57,0.47,,,0.55,0.48,0.52,0.52,,,,,,,,,,,,Russia Premier League,2025-2026,1.2,1.5,5.27,5.27,4.36,6.09,11.55,15.27,95.64,91.0,44.55,49.0,48.09,51.91,1.0,1.0,8.18,8.73,3.18,6.64,2.91,1.55,7.73,6.36,7.09,9.27,12.82,14.55,2.36,2.45,2.18,2.64,0.35,0.26,0.42,0.6,0.44,,,0.55,0.48,0.53,0.5,,,,,,,,,,,
Dynamo Makhachkala,0.78,0.67,5.0,3.6,4.9,4.6,10.9,10.5,102.7,93.2,49.7,42.6,48.0,52.0,0.0,2.0,6.8,6.6,3.6,4.0,2.1,1.8,7.4,7.9,7.4,6.4,14.0,17.8,2.22,2.33,2.2,2.8,0.36,0.31,0.37,0.48,0.56,0.53,0.51,0.51,0.53,0.51,0.53,,,,,,,,,,,,Russia Premier League,2025-2026,1.89,0.22,4.3,4.2,3.6,4.4,9.7,10.0,92.8,109.8,42.3,47.2,51.0,49.0,1.5,0.25,5.6,5.8,3.9,3.8,2.9,1.6,7.5,6.6,7.8,6.9,16.3,13.5,2.4,2.2,1.7,2.1,0.5,0.29,0.25,0.44,0.6,0.5,0.53,0.5,0.54,0.52,0.52,,,,,,,,,,,
FK Nizjni Novgorod,1.25,1.62,4.4,4.5,5.0,4.9,12.9,11.0,92.7,98.0,47.2,43.7,47.7,52.3,0.0,2.33,7.4,7.9,5.3,3.1,2.0,1.4,7.1,7.1,9.0,7.6,16.5,13.3,2.1,3.7,2.4,1.9,0.28,0.28,0.48,0.51,0.52,0.53,0.5,0.51,0.53,0.5,0.53,,,,,,,,,,,,Russia Premier League,2025-2026,1.78,0.44,6.56,4.11,5.78,3.56,15.0,10.0,103.67,76.11,53.56,32.0,60.78,39.22,0.8,0.8,10.22,6.0,4.0,3.67,2.22,2.0,5.89,9.22,10.22,5.89,12.56,17.89,2.78,3.44,2.22,2.78,0.63,0.23,0.18,0.52,0.53,0.51,0.52,0.52,0.51,0.51,0.52,,,,,,,,,,,
Krasnodar,2.2,0.9,6.2,2.8,7.0,3.0,18.7,7.7,96.2,77.1,52.8,34.9,59.4,40.6,0.5,1.25,12.2,4.5,6.4,3.2,2.11,1.33,6.4,9.0,11.9,5.5,13.6,15.2,1.5,2.9,2.8,2.9,0.61,0.24,0.19,0.55,0.49,,,0.55,0.48,0.52,0.51,,,,,,,,,,,,Russia Premier League,2025-2026,0.67,2.0,4.0,4.6,4.1,5.6,10.2,13.5,86.5,90.3,44.7,39.7,41.7,58.3,0.0,2.0,6.3,9.2,3.8,4.2,2.1,2.1,6.6,7.8,6.3,9.4,17.4,14.1,2.9,1.7,2.6,1.7,0.22,0.26,0.56,0.52,0.52,0.55,0.49,0.52,0.52,0.53,0.5,,,,,,,,,,,
Krylya Sovetov,1.44,1.33,3.89,5.78,3.33,6.11,9.33,13.67,83.78,97.44,38.67,47.78,46.11,53.89,0.0,2.0,5.78,8.67,3.56,4.67,2.33,1.22,8.56,7.33,6.44,11.0,14.33,13.67,3.56,1.44,1.78,1.44,0.33,0.28,0.42,0.52,0.52,0.48,0.55,0.5,0.54,0.52,0.51,,,,,,,,,,,,Russia Premier League,2025-2026,2.27,0.82,5.91,2.55,5.91,3.73,17.27,7.36,106.0,75.0,58.36,30.0,54.0,46.0,1.6,0.4,10.45,4.27,6.73,3.0,2.56,2.0,6.18,8.27,11.55,6.27,12.45,14.73,1.45,3.73,2.18,2.91,0.59,0.25,0.2,0.51,0.53,0.55,0.5,0.53,0.51,0.51,0.52,,,,,,,,,,,
Lokomotiv Moskva,2.22,1.11,3.44,5.11,5.78,4.33,14.78,10.67,93.22,93.33,47.11,47.78,45.89,54.11,0.5,1.5,10.0,6.78,4.78,3.89,2.25,1.62,6.67,7.67,11.11,8.11,16.22,12.67,2.44,3.44,2.44,1.33,0.5,0.26,0.28,0.6,0.44,,,,,0.54,0.49,,,,,,,,,,,,Russia Premier League,2025-2026,1.5,2.1,5.2,4.1,4.7,4.6,13.0,13.7,93.5,94.1,50.7,46.8,48.4,51.6,0.75,2.0,8.1,9.2,5.0,4.3,2.22,1.67,5.4,7.5,9.5,8.3,13.5,14.0,3.0,3.8,1.9,2.3,0.38,0.27,0.39,0.59,0.45,,,0.52,0.51,0.51,0.52,,,,,,,,,,,
Orenburg,1.38,1.5,5.4,5.0,4.5,5.2,11.8,13.4,82.5,89.0,43.7,46.9,48.6,51.4,0.0,2.0,6.8,8.8,4.9,4.3,1.4,1.6,8.1,8.4,8.22,9.56,16.6,14.1,2.9,2.6,2.7,1.7,0.26,0.26,0.52,0.55,0.49,,,0.52,0.51,0.52,0.51,,,,,,,,,,,,Russia Premier League,2025-2026,1.9,0.8,4.1,5.8,5.3,5.2,12.9,11.0,90.9,88.4,49.0,44.2,51.7,48.3,1.67,1.0,9.2,6.7,3.7,4.3,2.3,0.5,7.5,8.5,10.1,8.7,13.4,13.4,3.2,3.2,1.9,2.0,0.6,0.23,0.21,0.56,0.48,0.52,0.51,0.54,0.49,0.51,0.52,,,,,,,,,,,
Rostov,0.9,1.2,4.45,3.55,7.0,4.45,13.73,9.82,99.09,91.45,54.45,39.91,51.0,49.0,0.83,1.0,8.09,6.36,5.27,3.36,2.45,2.82,6.09,10.55,9.73,6.91,13.82,15.64,1.73,3.0,2.45,2.91,0.43,0.29,0.32,0.52,0.52,0.51,0.52,0.51,0.52,0.51,0.52,,,,,,,,,,,,Russia Premier League,2025-2026,1.25,0.88,3.78,3.89,3.78,4.44,9.44,11.33,90.56,91.33,39.56,47.56,52.0,48.0,1.0,1.0,6.22,6.78,2.89,3.78,2.22,1.56,8.0,6.67,6.33,8.44,15.67,15.22,3.33,2.0,2.11,2.44,0.47,0.27,0.3,0.53,0.5,,,0.49,0.54,0.51,0.52,,,,,,,,,,,
Rubin Kazan,1.25,1.12,4.1,3.3,3.8,4.0,9.9,10.2,86.8,101.2,36.1,42.6,40.6,59.4,1.25,0.5,6.4,5.6,3.4,4.7,1.78,1.78,7.6,6.8,7.33,7.67,15.6,14.8,2.1,2.1,2.1,2.3,0.36,0.29,0.38,0.51,0.53,0.53,0.51,0.5,0.54,0.51,0.52,,,,,,,,,,,,Russia Premier League,2025-2026,1.75,0.88,3.67,4.33,5.78,4.67,12.44,10.56,106.78,79.78,50.67,37.78,58.89,41.11,2.0,1.0,7.44,7.33,4.89,3.44,1.44,1.56,7.56,9.0,9.0,7.12,12.11,17.89,2.0,1.89,2.0,3.0,0.49,0.27,0.28,0.53,0.52,0.51,0.52,0.52,0.52,0.52,0.51,,,,,,,,,,,
Sochi,0.9,2.4,4.27,5.64,3.09,6.0,8.18,16.36,77.55,96.91,36.64,51.73,44.91,55.09,0.38,2.12,4.27,10.73,3.55,5.45,3.1,2.2,8.73,5.36,5.27,10.73,13.73,12.73,4.18,1.73,2.36,2.09,0.25,0.26,0.52,0.52,0.52,0.47,0.56,0.52,0.51,0.52,0.52,,,,,,,,,,,,Russia Premier League,2025-2026,2.67,1.22,4.9,2.4,5.8,3.1,15.3,7.6,103.8,83.4,56.1,33.1,52.6,47.4,2.0,0.67,8.9,4.2,6.0,3.6,2.5,0.8,5.8,8.9,10.5,5.4,12.6,15.1,1.3,3.1,1.8,2.4,0.55,0.26,0.22,0.51,0.53,0.51,0.53,0.5,0.54,0.51,0.53,,,,,,,,,,,
