team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Al Ahli,2.56,0.75,5.69,3.69,5.75,3.31,14.62,8.75,88.06,79.94,51.12,36.56,50.94,49.06,1.17,0.5,10.81,5.12,3.75,3.62,2.87,1.47,5.94,8.94,9.81,5.0,13.88,10.56,2.19,3.38,2.0,1.94,0.68,0.19,0.19,0.57,0.49,,,0.54,0.51,0.5,0.55,0.68,0.22,0.2,0.52,0.56,,,0.55,0.51,0.55,0.5,Saudi Arabia Liga Profissional,2025,0.92,1.67,3.64,5.07,3.71,4.79,7.93,11.5,68.31,86.15,32.38,48.69,51.36,48.64,0.67,0.67,5.71,7.86,2.21,3.64,2.21,3.14,9.29,7.0,5.07,8.21,11.07,14.71,3.0,1.14,2.07,3.14,0.26,0.23,0.57,0.59,0.47,,,,,0.55,0.51,0.28,0.25,0.58,0.48,0.59,,,,,0.51,0.54
Al Akhdoud,1.0,2.33,4.5,5.17,3.67,6.33,9.67,14.33,60.09,85.55,28.18,40.91,45.17,54.83,0.0,1.0,5.58,9.42,4.17,4.92,1.33,1.83,9.67,6.83,6.25,9.75,8.08,10.67,2.92,2.5,2.91,1.73,0.28,0.26,0.5,0.53,0.52,0.54,0.5,0.53,0.52,0.5,0.55,0.3,0.28,0.52,0.55,0.54,0.52,0.54,0.53,0.52,0.53,0.53,Saudi Arabia Liga Profissional,2025,2.2,0.4,8.18,3.09,6.73,2.09,16.36,6.64,109.55,58.55,65.09,25.45,62.18,37.82,0.67,0.33,11.0,3.36,5.36,3.27,1.73,1.91,3.82,9.64,11.36,4.27,12.64,10.82,2.09,4.82,1.64,2.36,0.72,0.19,0.15,0.52,0.54,,,0.54,0.51,0.52,0.52,0.72,0.21,0.16,0.57,0.52,,,0.53,0.52,0.53,0.53
Al Ettifaq,1.69,1.77,3.62,5.75,4.19,6.56,10.25,15.56,68.31,85.5,31.69,49.06,47.31,52.69,0.4,0.6,6.62,10.0,3.69,5.56,2.31,3.0,9.75,6.0,6.69,10.44,10.94,9.88,4.19,2.69,2.53,1.93,0.38,0.25,0.43,0.6,0.45,,,0.53,0.52,0.52,0.52,0.4,0.26,0.44,0.48,0.6,,,0.54,0.52,0.52,0.53,Saudi Arabia Liga Profissional,2025,1.38,1.46,5.23,4.77,5.92,3.38,12.92,10.77,77.75,70.92,46.58,39.33,47.77,52.23,0.6,0.6,8.54,6.77,4.38,4.0,2.77,1.77,5.92,9.46,8.69,6.92,12.08,11.0,3.38,2.85,1.54,2.15,0.5,0.24,0.32,0.57,0.48,0.55,0.5,0.52,0.52,0.51,0.53,0.5,0.26,0.33,0.49,0.59,,,0.49,0.57,0.52,0.54
Al Fateh,1.47,1.6,5.6,5.6,5.8,5.2,14.0,13.93,80.6,88.2,46.0,50.4,49.4,50.6,0.6,0.6,8.67,9.67,5.33,4.33,1.73,2.67,7.6,8.53,9.47,9.87,12.53,14.8,3.53,3.47,2.4,2.33,0.37,0.24,0.45,0.62,0.43,,,,,0.55,0.5,0.38,0.26,0.46,0.44,0.63,,,,,0.52,0.55,Saudi Arabia Liga Profissional,2025,1.79,0.93,6.0,4.53,6.27,4.47,14.6,10.4,86.53,68.47,54.8,38.47,57.27,42.73,0.83,0.5,10.13,6.6,4.47,3.8,1.93,2.67,9.2,9.6,9.33,7.33,10.4,11.67,3.27,4.0,1.73,2.13,0.56,0.22,0.28,0.62,0.43,,,,,0.54,0.5,0.56,0.24,0.3,0.45,0.63,,,,,0.51,0.55
Al Hazm,1.23,2.15,4.57,5.29,6.0,4.71,12.79,12.5,88.29,87.71,45.93,44.64,48.93,51.07,0.67,0.44,7.0,9.0,5.79,3.5,2.36,2.36,7.43,8.57,9.14,8.29,11.86,10.5,2.93,2.86,3.14,1.79,0.29,0.24,0.52,0.57,0.49,0.57,0.5,0.54,0.51,0.52,0.53,0.32,0.26,0.53,0.52,0.57,,,0.51,0.55,0.52,0.53,Saudi Arabia Liga Profissional,2025,1.43,1.14,5.67,4.13,4.8,3.87,11.53,10.67,80.79,70.86,42.29,36.43,55.27,44.73,0.4,0.8,8.33,5.73,3.2,4.93,3.15,2.15,6.33,7.73,9.07,7.8,11.27,12.8,3.27,3.47,2.0,2.6,0.58,0.23,0.24,0.56,0.49,,,0.53,0.52,0.52,0.53,0.59,0.26,0.25,0.49,0.59,,,0.52,0.54,0.52,0.53
Al Hilal,2.64,0.71,6.47,3.33,5.93,3.4,15.93,7.13,98.33,67.53,62.0,30.2,60.53,39.47,1.2,0.2,10.73,4.2,5.2,2.93,2.64,1.43,6.13,11.27,10.6,4.6,9.53,8.53,1.2,4.13,1.21,2.14,0.81,0.14,0.11,0.58,0.48,,,,,,,0.8,0.16,0.12,0.5,0.59,,,,,,,Saudi Arabia Liga Profissional,2025,0.86,2.64,4.0,6.86,3.79,5.36,10.21,16.14,73.71,96.21,34.86,55.07,41.71,58.29,0.2,0.8,5.79,11.0,4.36,5.14,0.93,1.86,9.0,6.64,5.93,10.36,9.93,10.86,4.71,2.43,2.0,2.0,0.17,0.17,0.71,0.59,0.47,,,,,,,0.18,0.2,0.72,0.48,0.6,,,,,,
Al Ittihad,1.43,1.14,7.13,3.0,5.6,4.4,14.33,11.33,102.5,71.57,61.79,33.29,61.4,38.6,0.0,1.0,9.73,7.93,4.6,3.4,2.0,2.0,6.13,8.73,9.2,8.13,12.13,10.73,3.27,4.2,1.33,2.07,0.64,0.2,0.22,0.6,0.46,,,,,0.54,0.51,0.65,0.22,0.23,0.47,0.61,,,,,0.53,0.52,Saudi Arabia Liga Profissional,2025,1.67,2.07,4.13,6.53,4.4,4.6,11.33,13.2,64.87,84.33,33.53,51.2,42.2,57.8,0.43,0.71,6.8,8.73,4.53,4.47,2.53,1.4,7.6,6.8,7.53,8.53,9.6,11.93,3.13,2.67,1.8,1.87,0.3,0.23,0.53,0.62,0.44,,,,,0.55,0.5,0.31,0.25,0.54,0.45,0.62,,,,,0.52,0.53
Al Khaleej,1.92,1.77,4.79,4.93,5.14,4.43,11.5,13.14,70.29,74.79,39.14,40.36,52.86,47.14,0.33,0.67,8.64,6.71,2.86,6.43,1.86,1.36,6.93,8.21,7.0,8.29,10.14,11.64,4.07,2.14,1.86,2.21,0.43,0.24,0.38,0.6,0.45,,,0.53,0.52,0.54,0.5,0.45,0.26,0.39,0.47,0.6,,,0.53,0.53,0.55,0.5,Saudi Arabia Liga Profissional,2025,1.88,1.62,4.75,4.75,5.31,5.12,13.75,11.94,86.69,71.88,43.56,37.38,49.88,50.12,0.4,0.8,8.5,7.75,5.25,4.12,1.4,2.33,7.88,9.12,8.94,8.69,11.38,12.0,2.69,3.56,1.94,2.38,0.45,0.24,0.36,0.61,0.45,,,0.52,0.52,0.53,0.52,0.47,0.26,0.37,0.47,0.61,,,0.52,0.54,0.51,0.55
Al Kholood,1.21,2.07,3.93,5.8,3.2,4.6,8.8,13.6,72.47,87.4,34.47,48.33,45.13,54.87,0.29,0.71,5.27,8.73,3.53,4.87,1.57,1.07,8.67,6.27,5.8,9.2,10.93,13.0,3.67,1.93,1.53,2.33,0.31,0.25,0.5,0.59,0.47,,,0.54,0.5,0.53,0.52,0.33,0.26,0.51,0.49,0.59,,,0.53,0.52,0.54,0.52,Saudi Arabia Liga Profissional,2025,2.08,1.31,5.0,3.87,6.33,4.07,15.13,10.07,87.6,83.73,46.13,40.53,51.53,48.47,0.62,0.5,8.8,6.8,6.4,3.27,1.27,2.4,6.07,9.4,9.93,7.13,11.6,9.4,2.2,3.2,1.8,1.87,0.55,0.24,0.26,0.58,0.48,,,0.53,0.52,0.52,0.53,0.56,0.25,0.28,0.5,0.58,,,0.52,0.54,0.52,0.53
Al Najma,1.25,1.83,4.58,7.42,3.5,5.83,9.67,15.67,71.09,108.0,36.09,59.27,44.33,55.67,0.0,1.0,6.0,9.83,3.67,5.83,2.42,2.5,8.67,5.58,5.75,9.58,8.83,12.5,3.58,2.25,1.25,2.25,0.23,0.23,0.59,0.58,0.48,,,0.54,0.5,0.52,0.53,0.24,0.25,0.61,0.51,0.58,,,0.52,0.54,0.52,0.53,Saudi Arabia Liga Profissional,2025,2.77,0.77,7.31,3.19,6.31,3.62,16.69,8.38,85.5,70.12,52.75,32.25,55.25,44.75,0.6,0.4,11.38,4.81,5.31,3.56,1.38,2.19,5.75,9.94,10.81,5.94,11.75,9.56,2.31,3.56,1.87,2.27,0.67,0.2,0.18,0.56,0.5,,,0.55,0.49,0.53,0.52,0.68,0.22,0.19,0.52,0.57,,,0.51,0.55,0.53,0.53
