team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Athletic Club,1.19,1.12,6.12,4.0,5.19,2.88,14.19,8.0,119.94,83.0,56.06,32.75,49.5,50.5,0.75,0.25,9.38,4.5,4.81,3.5,1.6,3.67,4.75,10.31,9.62,6.19,13.31,11.19,2.62,3.5,2.0,2.25,0.51,0.27,0.25,0.49,0.55,0.53,0.49,0.5,0.52,0.51,0.52,0.52,0.28,0.26,0.56,0.51,0.53,0.52,0.51,0.54,0.51,0.53,Spain La Liga,2025-2026,1.92,0.92,3.86,5.29,4.43,5.29,11.71,13.43,85.64,109.43,33.21,51.5,50.93,49.07,0.75,0.5,8.36,9.43,3.36,4.0,3.14,1.21,8.5,6.71,8.07,8.21,11.36,13.07,3.57,2.93,1.79,2.29,0.35,0.31,0.37,0.52,0.52,0.54,0.49,0.5,0.52,0.48,0.54,0.35,0.31,0.39,0.54,0.53,0.54,0.51,0.53,0.51,0.5,0.55
Atlético Madrid,2.07,0.8,8.07,3.8,6.27,4.6,15.47,9.13,106.67,93.53,59.87,36.13,55.07,44.93,1.0,0.0,10.93,5.93,4.53,3.2,2.69,1.54,7.07,9.47,12.2,7.0,10.53,9.53,1.67,4.47,2.2,2.27,0.66,0.21,0.17,0.49,0.55,0.54,0.48,0.48,0.55,0.53,0.5,0.66,0.22,0.18,0.55,0.52,0.56,0.49,0.56,0.49,0.52,0.52,Spain La Liga,2025-2026,1.5,1.21,4.6,5.0,5.07,4.33,12.73,10.6,106.47,95.07,54.47,45.27,48.0,52.0,0.83,0.17,7.13,7.13,5.6,3.47,1.73,1.93,6.8,8.73,8.27,7.53,9.4,12.73,3.0,3.07,2.07,2.29,0.29,0.27,0.47,0.54,0.49,0.52,0.51,0.52,0.5,0.52,0.5,0.3,0.27,0.48,0.51,0.56,0.48,0.56,0.52,0.52,0.52,0.52
Celta de Vigo,1.4,1.6,4.47,4.13,4.27,3.93,11.27,11.93,109.27,93.4,46.6,47.8,53.13,46.87,0.67,0.5,7.2,7.6,4.07,4.33,2.0,2.14,6.47,7.6,8.4,7.4,10.07,12.73,2.53,2.93,1.73,2.47,0.44,0.29,0.31,0.55,0.49,0.54,0.49,0.52,0.51,0.51,0.51,0.45,0.29,0.32,0.52,0.55,0.53,0.51,0.52,0.52,0.53,0.52,Spain La Liga,2025-2026,1.23,1.62,4.93,3.33,5.33,3.27,12.67,9.53,97.33,88.07,50.6,36.07,50.8,49.2,0.83,0.33,8.2,6.13,4.47,3.4,2.43,2.29,5.2,9.13,8.67,7.0,11.67,13.33,2.73,3.4,2.27,2.13,0.43,0.29,0.31,0.53,0.5,0.55,0.47,0.5,0.52,0.49,0.53,0.44,0.29,0.32,0.52,0.55,0.56,0.48,0.51,0.53,0.52,0.53
Deportivo Alavés,1.31,1.23,5.79,3.93,5.21,4.21,12.71,11.5,107.36,93.57,46.93,38.14,51.0,49.0,0.71,0.43,7.64,7.57,5.07,3.93,1.92,1.69,7.21,9.29,8.29,7.71,15.21,15.21,2.71,3.0,2.14,2.57,0.37,0.32,0.34,0.47,0.57,0.53,0.5,0.49,0.54,0.52,0.5,0.38,0.32,0.35,0.59,0.48,0.51,0.53,0.5,0.54,0.51,0.54,Spain La Liga,2025-2026,1.75,1.06,5.44,4.0,5.12,5.12,13.81,11.31,111.94,93.75,52.75,38.38,51.19,48.81,1.0,0.5,8.88,7.44,4.94,3.88,2.0,2.2,7.44,8.06,9.19,7.56,12.75,15.0,2.69,2.69,1.56,2.56,0.55,0.28,0.2,0.45,0.58,0.52,0.51,0.5,0.53,0.52,0.51,0.57,0.28,0.21,0.59,0.48,0.52,0.52,0.51,0.53,0.51,0.54
Elche,1.87,1.2,4.71,3.82,5.24,5.47,13.41,13.35,106.0,78.47,54.06,38.82,60.0,40.0,0.5,0.5,9.88,8.94,3.53,4.41,1.88,1.94,7.53,8.88,8.24,8.65,12.41,14.24,3.29,3.24,1.82,2.47,0.35,0.29,0.39,0.54,0.5,0.54,0.49,0.51,0.51,0.5,0.54,0.36,0.29,0.4,0.52,0.55,0.54,0.5,0.52,0.52,0.52,0.53,Spain La Liga,2025-2026,2.07,0.93,5.64,3.36,6.14,3.57,15.79,8.86,93.43,94.07,48.79,38.36,43.79,56.21,1.0,0.0,9.93,5.57,5.86,3.29,2.0,1.42,4.93,8.14,9.79,5.86,14.71,13.14,2.29,3.0,1.71,2.36,0.57,0.26,0.2,0.5,0.54,0.52,0.51,0.49,0.53,0.53,0.5,0.58,0.26,0.21,0.55,0.52,0.53,0.52,0.51,0.54,0.53,0.51
Espanyol,1.2,1.4,5.2,4.4,5.53,4.33,13.33,11.93,96.73,95.33,49.73,37.93,45.47,54.53,0.75,0.75,9.07,7.93,4.27,4.0,1.73,1.6,6.47,7.8,9.47,8.67,13.67,13.13,3.0,3.47,2.27,3.0,0.4,0.3,0.33,0.51,0.53,0.53,0.49,0.5,0.52,0.51,0.52,0.42,0.3,0.34,0.55,0.52,0.52,0.52,0.51,0.54,0.52,0.52,Spain La Liga,2025-2026,1.77,1.31,4.67,4.27,4.93,5.27,14.53,12.33,108.67,82.8,44.6,37.53,61.53,38.47,0.67,0.33,9.93,7.27,4.6,5.0,1.29,1.93,7.53,8.4,9.27,8.13,12.47,14.2,2.47,3.87,2.2,2.53,0.49,0.28,0.26,0.52,0.52,0.54,0.49,0.51,0.51,0.5,0.52,0.5,0.28,0.27,0.53,0.54,0.5,0.55,0.52,0.53,0.53,0.52
FC Barcelona,3.14,0.57,7.43,3.79,6.93,3.43,19.5,7.93,118.36,71.43,57.36,28.5,68.43,31.57,1.5,0.0,12.36,6.64,7.14,1.29,2.5,3.86,4.5,10.5,13.07,5.71,8.86,12.5,2.14,4.21,1.15,2.46,0.78,0.15,0.1,0.57,0.47,,,,,,,0.79,0.16,0.11,0.48,0.59,,,,,,,Spain La Liga,2025-2026,1.4,2.2,4.67,7.0,3.53,7.2,10.8,19.87,64.87,113.2,32.87,64.0,31.33,68.67,0.5,0.75,8.4,13.33,2.47,6.53,5.47,1.87,8.87,4.87,8.33,12.93,12.33,9.4,4.8,3.4,3.0,2.13,0.2,0.2,0.63,0.63,0.4,,,,,,,0.21,0.21,0.64,0.42,0.65,,,,,,
Getafe,1.08,0.77,4.43,4.29,4.29,3.86,9.64,9.71,99.0,92.14,40.5,39.29,41.79,58.21,0.5,0.5,5.29,5.86,4.36,3.86,2.71,2.71,7.29,7.71,6.21,6.86,15.86,15.0,3.0,1.86,2.5,2.29,0.36,0.33,0.34,0.41,0.62,0.49,0.54,0.52,0.52,0.52,0.51,0.37,0.33,0.35,0.64,0.44,0.52,0.52,0.55,0.5,0.51,0.53,Spain La Liga,2025-2026,1.24,0.82,5.47,4.35,5.24,3.35,12.35,9.0,107.18,92.12,46.12,36.53,61.53,38.47,0.75,0.5,8.18,5.71,4.18,3.24,2.41,2.24,5.47,8.18,9.44,5.44,13.29,14.94,1.88,3.41,2.12,3.35,0.51,0.3,0.21,0.41,0.63,0.5,0.53,0.5,0.52,0.51,0.52,0.52,0.31,0.22,0.64,0.43,0.53,0.52,0.53,0.51,0.55,0.5
Girona,1.27,1.6,4.88,4.25,3.25,6.44,10.5,14.62,95.0,93.5,48.75,49.88,50.56,49.44,0.6,0.8,6.69,9.88,3.81,4.69,2.19,1.38,7.06,5.69,7.12,10.19,9.81,13.38,3.13,2.93,1.94,2.19,0.37,0.28,0.38,0.55,0.49,0.52,0.52,0.52,0.51,0.5,0.52,0.38,0.28,0.39,0.5,0.57,0.53,0.51,0.51,0.53,0.52,0.53,Spain La Liga,2025-2026,1.47,0.93,6.27,3.0,6.67,3.53,15.73,10.2,107.27,86.93,57.0,40.87,51.47,48.53,0.4,1.0,10.53,6.93,5.2,3.27,1.73,2.0,6.0,9.8,11.13,6.73,13.73,11.87,2.73,4.07,1.67,2.27,0.55,0.26,0.22,0.54,0.5,0.5,0.52,0.51,0.52,0.51,0.52,0.56,0.27,0.23,0.52,0.55,0.51,0.53,0.51,0.53,0.52,0.52
Levante,1.31,1.92,4.57,4.93,4.93,6.43,13.07,15.5,83.93,102.57,38.07,49.93,42.43,57.57,0.83,0.33,8.43,10.21,4.64,5.29,1.69,1.62,8.43,7.43,7.86,10.0,12.57,13.14,3.29,2.29,2.29,2.14,0.3,0.28,0.46,0.57,0.47,0.51,0.51,0.53,0.49,0.51,0.52,0.31,0.28,0.46,0.5,0.58,0.51,0.53,0.54,0.51,0.53,0.52,Spain La Liga,2025-2026,1.5,1.14,7.36,2.71,6.93,4.0,16.71,10.21,103.14,81.57,52.57,35.29,58.5,41.5,1.0,0.0,10.71,6.36,6.0,3.93,1.5,1.64,6.36,10.57,11.5,6.29,12.5,12.57,2.14,3.86,2.5,2.36,0.56,0.26,0.21,0.53,0.51,0.54,0.5,0.52,0.51,0.51,0.52,0.58,0.26,0.21,0.53,0.54,0.54,0.5,0.52,0.52,0.52,0.52
