team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Albacete,1.44,1.67,5.37,4.58,6.11,3.79,14.42,11.47,91.32,95.68,43.37,43.21,43.16,56.84,0.75,0.5,9.63,7.21,4.79,4.21,2.22,1.44,7.05,9.16,9.68,7.79,10.32,9.26,2.79,3.21,2.06,1.89,0.44,0.3,0.29,0.56,0.48,0.55,0.48,0.52,0.52,0.51,0.53,0.44,0.31,0.31,0.51,0.57,0.5,0.56,0.53,0.53,0.52,0.53,Spain La Liga 2,2025-2026,1.4,1.73,6.47,4.95,6.26,4.53,15.58,11.84,102.58,84.47,54.63,42.58,57.68,42.32,0.6,0.6,10.32,7.26,5.32,4.58,2.0,1.22,7.89,9.11,10.32,8.16,11.95,11.16,3.0,3.42,2.58,2.47,0.51,0.28,0.25,0.56,0.48,0.52,0.52,0.54,0.49,0.51,0.52,0.52,0.29,0.26,0.51,0.58,0.52,0.53,0.52,0.54,0.53,0.52
Almería,2.72,1.61,6.16,3.84,6.74,4.32,17.16,12.26,99.68,86.84,52.0,35.26,54.53,45.47,0.78,0.44,11.16,7.37,6.0,4.89,1.74,2.42,6.63,9.21,12.63,8.26,14.0,11.58,2.89,4.16,2.37,2.95,0.58,0.25,0.21,0.57,0.47,,,0.5,0.53,0.53,0.51,0.59,0.26,0.22,0.5,0.59,,,0.52,0.53,0.53,0.52,Spain La Liga 2,2025-2026,1.5,1.44,5.16,3.37,5.32,5.89,14.63,13.58,85.26,86.16,42.37,38.84,48.37,51.63,0.43,0.86,10.0,7.58,4.63,5.95,2.78,1.89,7.84,8.16,9.89,9.74,13.16,12.95,3.21,4.26,2.79,3.0,0.37,0.29,0.37,0.58,0.46,,,0.54,0.5,0.51,0.52,0.38,0.29,0.38,0.49,0.59,,,0.53,0.53,0.53,0.53
Burgos,1.41,0.71,4.3,4.35,5.55,5.35,11.5,10.5,93.8,103.5,45.05,41.5,49.95,50.05,1.25,0.0,7.95,5.55,3.55,4.95,2.05,1.05,8.4,8.4,8.25,6.7,12.8,13.3,2.1,2.4,2.84,2.95,0.45,0.33,0.26,0.45,0.59,0.51,0.52,0.5,0.53,0.49,0.55,0.46,0.33,0.27,0.62,0.46,0.52,0.54,0.51,0.55,0.53,0.53,Spain La Liga 2,2025-2026,1.43,1.43,5.0,3.28,4.89,3.78,12.39,8.5,110.67,83.5,51.78,34.67,56.28,43.72,0.0,1.0,7.78,6.0,4.61,2.5,1.11,2.11,6.5,9.5,8.44,5.67,15.78,13.39,1.39,3.0,3.06,2.61,0.45,0.32,0.27,0.44,0.6,0.5,0.53,0.5,0.53,0.49,0.55,0.46,0.32,0.28,0.62,0.45,0.53,0.53,0.51,0.55,0.56,0.5
Castellón,2.05,1.11,6.26,3.47,5.63,3.37,16.0,10.05,104.21,80.53,58.89,29.89,54.68,45.32,0.5,0.5,11.37,6.21,4.63,3.84,2.47,2.05,4.79,9.0,10.05,6.21,14.89,14.63,2.79,3.32,3.21,3.42,0.63,0.23,0.17,0.55,0.48,,,0.54,0.49,0.52,0.52,0.64,0.24,0.19,0.52,0.57,,,0.55,0.51,0.54,0.51,Spain La Liga 2,2025-2026,1.67,1.73,3.84,6.26,3.58,5.42,10.0,14.11,91.32,96.89,35.89,57.63,45.53,54.47,0.8,0.2,7.0,9.26,3.0,4.84,2.68,1.95,10.47,5.74,7.63,9.58,12.32,12.74,3.26,2.58,2.56,2.78,0.33,0.28,0.42,0.59,0.45,,,0.53,0.51,0.51,0.52,0.34,0.29,0.43,0.46,0.61,,,0.52,0.54,0.52,0.54
Ceuta,1.25,1.19,4.83,4.28,4.39,4.22,12.44,10.94,93.06,89.33,49.78,41.56,51.94,48.06,0.5,0.5,8.67,7.28,3.78,3.72,2.0,2.89,6.89,7.56,8.33,7.67,14.89,13.83,2.83,3.44,2.67,2.56,0.38,0.3,0.35,0.52,0.52,0.51,0.53,0.52,0.52,0.51,0.52,0.4,0.3,0.37,0.53,0.55,0.53,0.53,0.52,0.54,0.51,0.54,Spain La Liga 2,2025-2026,2.22,1.17,5.55,3.4,5.2,3.9,14.55,9.5,97.55,82.35,49.85,37.0,50.75,49.25,0.9,0.5,9.95,6.0,4.6,3.5,4.0,1.55,6.7,8.85,10.55,6.15,13.7,11.8,2.05,4.0,2.3,2.45,0.52,0.29,0.23,0.53,0.51,0.54,0.49,0.51,0.52,0.51,0.52,0.54,0.29,0.24,0.55,0.54,0.54,0.52,0.53,0.52,0.54,0.52
Cultural Leonesa,0.88,1.76,4.2,4.35,4.95,4.35,12.0,11.25,92.15,87.2,45.75,43.1,52.6,47.4,0.5,0.5,7.7,7.2,4.3,4.0,1.72,2.17,7.4,8.85,8.75,8.2,11.45,11.95,2.5,3.4,2.0,2.55,0.38,0.3,0.35,0.54,0.5,0.55,0.49,0.52,0.51,0.52,0.52,0.39,0.31,0.36,0.53,0.56,0.53,0.53,0.54,0.52,0.53,0.53,Spain La Liga 2,2025-2026,1.79,1.16,5.26,3.53,6.26,4.0,15.21,11.05,105.84,80.32,50.42,36.05,54.53,45.47,0.75,0.38,10.11,5.84,5.11,5.21,2.24,1.41,6.05,9.37,9.74,7.95,11.0,13.37,3.26,3.63,2.47,2.68,0.55,0.28,0.21,0.51,0.53,0.54,0.49,0.51,0.52,0.51,0.52,0.57,0.28,0.22,0.55,0.54,0.52,0.54,0.51,0.55,0.52,0.54
Cádiz,1.06,1.53,5.42,4.84,5.11,5.68,11.68,13.47,94.74,87.47,48.79,45.84,49.05,50.95,0.4,0.8,7.0,8.58,4.74,4.58,2.47,1.24,8.16,8.63,8.26,8.74,13.11,12.26,2.89,2.68,2.95,2.0,0.38,0.31,0.35,0.51,0.53,0.53,0.51,0.51,0.52,0.5,0.53,0.39,0.31,0.36,0.55,0.53,0.52,0.54,0.53,0.53,0.52,0.54,Spain La Liga 2,2025-2026,1.61,1.06,5.75,3.35,6.7,3.55,15.6,8.05,100.7,86.9,51.75,32.6,57.05,42.95,0.67,0.33,9.75,5.05,5.85,3.0,2.05,1.85,6.15,9.35,10.05,5.85,11.5,13.75,1.8,2.85,2.05,2.89,0.52,0.29,0.23,0.51,0.53,0.54,0.5,0.51,0.52,0.51,0.52,0.53,0.29,0.25,0.56,0.52,0.54,0.52,0.52,0.54,0.52,0.54
Córdoba,1.42,1.42,6.5,3.45,7.8,3.95,18.0,10.1,101.75,79.0,61.05,32.0,60.35,39.65,0.5,0.5,9.95,6.5,8.05,3.65,2.65,2.3,5.4,10.65,11.9,7.2,14.75,13.65,2.25,4.15,2.5,2.7,0.52,0.28,0.24,0.57,0.47,0.5,0.53,0.54,0.5,0.51,0.52,0.53,0.28,0.25,0.5,0.59,0.51,0.55,0.54,0.52,0.51,0.54,Spain La Liga 2,2025-2026,1.62,1.62,5.39,5.83,5.28,5.0,12.83,13.83,82.61,92.44,44.33,43.89,45.94,54.06,0.4,0.6,9.44,8.44,3.5,5.33,3.33,2.17,8.61,7.61,10.18,9.29,14.83,16.22,3.78,4.06,2.82,3.18,0.42,0.29,0.31,0.56,0.48,0.56,0.48,0.53,0.51,0.5,0.53,0.44,0.3,0.32,0.51,0.57,0.53,0.53,0.53,0.52,0.51,0.55
Deportivo La Coruña,1.61,1.11,5.11,4.0,5.11,4.89,13.32,11.68,94.74,88.16,45.79,39.11,53.16,46.84,0.67,1.33,8.74,6.47,4.63,5.11,3.06,0.94,7.58,7.63,9.21,7.79,12.37,12.74,2.32,3.05,2.39,2.83,0.55,0.27,0.21,0.53,0.51,0.56,0.47,0.52,0.51,0.52,0.52,0.56,0.28,0.23,0.53,0.55,0.57,0.49,0.53,0.53,0.51,0.54,Spain La Liga 2,2025-2026,1.1,1.6,4.55,5.15,6.4,5.35,13.85,13.0,94.7,82.95,44.8,41.0,49.4,50.6,0.33,0.67,8.1,8.6,5.75,4.4,1.33,1.94,7.75,7.95,9.25,9.5,11.65,11.45,2.7,3.2,2.6,2.65,0.37,0.31,0.35,0.55,0.49,0.55,0.49,0.51,0.52,0.51,0.52,0.38,0.31,0.37,0.53,0.56,0.55,0.51,0.52,0.53,0.52,0.53
FC Andorra,1.71,1.29,5.79,3.05,6.95,4.0,16.05,9.0,111.11,75.32,57.89,34.11,64.37,35.63,0.25,0.75,9.53,6.21,6.58,2.79,2.0,1.88,7.16,9.79,10.79,6.58,11.68,12.84,2.06,3.78,2.42,3.05,0.46,0.29,0.29,0.55,0.5,0.55,0.49,0.53,0.5,0.51,0.52,0.47,0.29,0.3,0.52,0.57,0.53,0.53,0.53,0.53,0.53,0.53,Spain La Liga 2,2025-2026,1.4,1.55,5.65,4.25,4.75,4.45,14.0,12.9,89.75,93.85,48.3,40.1,42.5,57.5,0.57,0.43,9.75,6.75,4.3,6.15,2.55,2.15,6.2,7.3,10.25,8.65,14.7,12.9,3.55,4.25,2.5,2.9,0.49,0.28,0.26,0.55,0.49,0.54,0.49,0.52,0.51,0.5,0.53,0.51,0.28,0.28,0.52,0.56,0.55,0.52,0.54,0.52,0.52,0.53
