team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Alanyaspor,1.83,1.25,5.38,3.56,5.38,4.31,13.12,10.38,88.44,89.0,45.88,38.69,48.12,51.88,1.0,0.0,8.88,6.56,4.25,3.81,1.0,2.0,6.62,7.75,8.69,6.75,11.94,13.38,2.62,3.44,1.81,1.94,0.42,0.28,0.34,0.55,0.49,,,0.53,0.5,0.52,0.51,0.43,0.28,0.35,0.52,0.57,,,0.52,0.54,0.53,0.53,Turkey Super Lig,2025-2026,1.5,1.21,3.88,4.19,4.38,5.56,11.5,11.75,90.38,80.31,34.88,39.44,51.62,48.38,0.83,0.17,7.25,6.62,4.25,5.12,2.38,1.31,7.56,6.94,7.62,7.25,15.25,12.81,2.38,3.06,2.27,3.0,0.47,0.28,0.28,0.55,0.49,0.56,0.47,0.53,0.5,0.51,0.52,0.48,0.28,0.3,0.53,0.56,0.51,0.55,0.54,0.52,0.52,0.53
Antalyaspor,1.38,2.06,4.94,5.18,4.82,5.59,11.24,12.59,81.76,90.88,35.35,39.29,45.35,54.65,0.0,1.5,7.76,8.24,3.53,4.35,1.76,1.82,7.76,6.82,8.12,8.82,13.47,16.12,2.71,2.65,2.81,3.38,0.33,0.28,0.42,0.55,0.49,0.56,0.48,0.52,0.51,0.5,0.53,0.35,0.29,0.43,0.53,0.56,0.57,0.49,0.53,0.52,0.52,0.54,Turkey Super Lig,2025-2026,1.75,0.92,6.31,3.12,6.12,3.31,15.5,7.81,103.75,75.0,51.06,28.38,55.56,44.44,1.0,0.0,10.25,4.56,5.19,3.25,1.81,2.19,5.94,10.0,10.56,5.62,13.31,12.31,2.06,4.25,2.38,2.62,0.61,0.25,0.18,0.52,0.52,0.55,0.48,0.51,0.52,0.52,0.52,0.62,0.26,0.19,0.55,0.53,0.51,0.55,0.52,0.54,0.53,0.53
Beşiktaş,1.73,1.33,6.12,3.69,6.06,4.81,19.0,10.81,100.31,74.5,50.88,30.19,58.06,41.94,0.8,0.2,11.75,6.12,7.25,4.75,2.13,1.93,6.88,9.5,12.12,7.69,14.0,13.94,2.38,5.38,2.12,3.81,0.63,0.22,0.19,0.6,0.44,,,,,,,0.64,0.22,0.21,0.48,0.6,,,,,,,Turkey Super Lig,2025-2026,1.25,1.75,5.94,4.69,6.19,5.06,14.25,15.44,89.81,89.0,45.81,40.38,47.0,53.0,0.43,0.57,8.75,10.38,5.5,5.06,1.93,2.13,7.19,9.19,9.56,9.88,10.44,12.88,3.88,3.06,2.25,2.31,0.3,0.25,0.48,0.61,0.43,,,,,0.54,0.5,0.31,0.26,0.49,0.45,0.63,,,,,0.54,0.52
Eyüpspor,1.2,1.4,3.94,5.19,4.75,5.38,11.12,13.56,79.44,93.75,36.94,47.12,49.75,50.25,0.5,0.5,6.94,8.31,4.19,5.31,2.12,1.5,7.75,6.81,7.38,8.38,10.88,13.5,3.06,2.62,2.47,1.8,0.32,0.26,0.46,0.56,0.48,0.56,0.47,0.52,0.52,0.52,0.52,0.33,0.27,0.47,0.51,0.57,0.49,0.57,0.53,0.53,0.52,0.54,Turkey Super Lig,2025-2026,1.8,0.93,6.75,3.06,5.81,4.38,15.19,9.94,102.12,70.81,48.38,29.94,54.69,45.31,0.75,0.25,10.38,5.56,4.81,4.44,1.94,2.44,7.38,9.69,9.81,6.81,15.31,13.19,2.19,3.62,2.47,2.8,0.58,0.25,0.2,0.56,0.47,,,0.54,0.49,0.52,0.51,0.58,0.26,0.23,0.52,0.57,,,0.53,0.52,0.54,0.52
Fatih Karagümrük,1.12,1.44,3.0,5.88,4.0,5.19,10.19,13.19,89.12,100.5,33.06,46.94,45.31,54.69,0.5,0.67,6.62,7.62,3.56,5.56,2.38,1.94,8.75,7.12,5.5,8.81,13.31,13.12,3.44,1.81,1.56,2.38,0.31,0.28,0.45,0.56,0.48,,,0.52,0.51,0.51,0.52,0.32,0.28,0.46,0.51,0.57,,,0.53,0.53,0.54,0.52,Turkey Super Lig,2025-2026,1.87,0.8,5.0,4.0,6.69,4.62,14.81,10.56,93.5,86.69,40.62,38.25,54.31,45.69,1.0,0.0,10.06,5.0,4.81,5.56,1.94,2.19,7.5,9.62,11.44,7.12,15.25,12.62,2.6,4.13,1.94,2.0,0.59,0.25,0.2,0.54,0.5,,,0.54,0.49,0.51,0.53,0.6,0.26,0.22,0.53,0.55,,,0.54,0.52,0.53,0.53
Fenerbahçe,2.44,1.12,7.44,3.38,6.75,3.38,19.5,9.5,116.0,68.31,62.69,30.12,62.31,37.69,0.88,0.12,11.56,4.88,7.94,4.62,1.6,1.07,4.69,9.56,13.25,6.44,11.81,14.5,2.0,4.56,2.31,3.62,0.72,0.18,0.14,0.51,0.53,,,,,0.54,0.5,0.72,0.2,0.15,0.53,0.55,,,,,0.52,0.53,Turkey Super Lig,2025-2026,1.2,2.47,5.0,6.35,4.88,5.29,11.59,14.76,76.59,97.47,37.29,43.59,44.65,55.35,0.5,1.0,7.53,8.53,4.06,6.24,1.59,2.0,7.82,6.88,7.59,9.76,13.41,12.24,3.35,2.65,2.62,2.81,0.21,0.25,0.59,0.56,0.48,,,0.55,0.48,0.52,0.52,0.22,0.25,0.59,0.51,0.58,,,0.54,0.52,0.52,0.54
Galatasaray,2.87,0.87,6.69,3.12,9.19,3.38,20.38,8.25,99.94,61.25,56.44,26.06,65.38,34.62,1.33,0.33,14.12,4.88,6.25,3.38,2.0,2.38,5.81,11.81,14.88,6.0,12.12,11.38,2.25,4.5,1.5,2.56,0.77,0.16,0.11,0.56,0.48,,,,,,,0.77,0.17,0.12,0.51,0.57,,,,,,,Turkey Super Lig,2025-2026,0.88,1.94,3.81,4.5,5.19,6.12,12.12,13.19,70.81,91.81,31.69,42.06,41.19,58.81,0.0,2.0,7.38,9.31,4.69,3.81,3.0,1.25,9.19,8.25,8.62,9.88,10.69,12.38,2.62,2.88,1.88,2.44,0.2,0.22,0.61,0.59,0.45,,,,,0.52,0.51,0.22,0.24,0.61,0.47,0.61,,,,,0.53,0.53
Gaziantep F.K.,1.31,1.56,6.31,4.81,6.19,4.12,15.44,11.5,89.81,84.88,39.5,32.12,54.56,45.44,0.5,0.62,8.81,6.88,6.62,4.56,1.43,1.57,6.75,10.25,9.56,8.5,12.19,16.56,3.31,3.75,2.88,3.25,0.38,0.28,0.38,0.58,0.46,,,0.53,0.5,0.52,0.51,0.39,0.28,0.39,0.47,0.61,,,0.53,0.52,0.53,0.53,Turkey Super Lig,2025-2026,2.07,1.4,5.59,3.47,6.82,4.53,16.88,10.82,105.94,62.47,48.06,27.47,54.88,45.12,0.5,0.75,10.53,6.88,6.35,3.94,1.29,1.47,5.59,8.88,10.06,6.94,16.29,13.71,2.53,3.76,2.65,2.82,0.54,0.25,0.24,0.58,0.46,,,0.55,0.49,0.53,0.51,0.55,0.26,0.25,0.49,0.59,,,0.55,0.51,0.53,0.53
Gençlerbirliği,1.5,1.5,4.53,5.24,5.12,6.12,12.29,13.29,74.88,89.35,32.0,44.47,43.82,56.18,0.67,0.67,8.0,9.18,4.29,4.12,1.82,2.82,9.94,7.71,8.65,8.18,12.24,14.06,2.59,2.82,2.12,2.53,0.33,0.29,0.41,0.56,0.48,,,0.53,0.51,0.51,0.52,0.34,0.29,0.42,0.52,0.57,,,0.52,0.54,0.53,0.53,Turkey Super Lig,2025-2026,1.57,0.86,5.69,3.31,6.88,4.0,15.69,8.81,97.75,70.69,52.0,31.38,57.31,42.69,0.6,0.4,10.94,4.75,4.75,4.25,2.5,1.81,5.94,9.69,10.56,5.69,14.44,12.81,1.62,3.56,2.13,2.27,0.56,0.25,0.22,0.52,0.52,,,0.53,0.5,0.51,0.53,0.57,0.26,0.24,0.54,0.55,,,0.55,0.51,0.53,0.53
Göztepe,1.85,1.08,5.06,4.69,7.12,4.94,14.88,11.94,94.75,85.56,44.31,38.25,38.38,61.62,0.6,0.4,10.88,6.81,4.0,5.12,1.69,1.62,7.5,9.44,10.0,6.94,17.94,9.06,2.4,3.53,2.38,2.5,0.49,0.29,0.26,0.52,0.52,0.53,0.5,0.51,0.52,0.51,0.53,0.5,0.29,0.28,0.56,0.53,0.5,0.56,0.53,0.53,0.52,0.54,Turkey Super Lig,2025-2026,1.0,1.29,5.0,3.94,5.69,5.94,13.38,13.94,96.94,92.12,49.38,39.25,62.62,37.38,0.67,0.67,8.5,8.75,4.88,5.25,1.56,1.88,9.0,8.19,9.38,9.19,9.38,17.06,3.19,3.38,2.56,2.94,0.39,0.29,0.36,0.55,0.5,0.54,0.5,0.52,0.51,0.51,0.52,0.4,0.29,0.37,0.53,0.56,0.53,0.52,0.52,0.53,0.53,0.53
