name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Aldosivi vs Defensa y Justicia,2026-01-22 20:00:00,Game ended in draw.,Argentina Liga Profissional de Futebol,Aldosivi,Defensa y Justicia,,,1.0,3.0,4.0,4.0,5.0,5.0,9.0,10.0,83.0,84.0,46.0,37.0,45.0,55.0,,,7.0,5.0,2.0,5.0,2.0,0.0,8.0,5.0,7.0,7.0,18.0,6.0,2.0,3.0,4.0,0.0,2.73,2.82,3.21,1.61,2.38,2.01,1.88,,,,,2.7,2.62,3.3,1.7,2.05,1.82,1.97,,,,,0.37,0.35,0.31,0.42,0.62,0.5,0.53,,,,,0.37,0.38,0.3,0.59,0.49,0.55,0.51,,,,,2026
Banfield vs Huracán,2026-01-22 23:00:00,Game ended in draw.,Argentina Liga Profissional de Futebol,Banfield,Huracán,1.0,1.0,4.0,9.0,4.0,2.0,4.0,5.0,14.0,11.0,93.0,92.0,22.0,28.0,37.0,63.0,,,6.0,6.0,8.0,5.0,2.0,0.0,7.0,4.0,7.0,9.0,8.0,14.0,3.0,3.0,4.0,4.0,2.47,2.78,3.71,1.54,2.57,,,,,,,2.5,2.62,3.6,1.5,2.5,,,,,,,0.4,0.36,0.27,0.39,0.65,,,,,,,0.4,0.38,0.28,0.67,0.4,,,,,,,2026
Unión Santa Fe vs Platense,2026-01-22 23:00:00,Game ended in draw.,Argentina Liga Profissional de Futebol,Unión Santa Fe,Platense,,,14.0,11.0,3.0,4.0,7.0,4.0,19.0,12.0,77.0,70.0,30.0,32.0,52.0,48.0,,,9.0,4.0,10.0,8.0,1.0,1.0,9.0,9.0,9.0,9.0,11.0,7.0,5.0,3.0,2.0,1.0,2.03,2.9,5.09,1.52,2.62,,,,,,,1.95,2.87,5.0,1.5,2.5,,,,,,,0.49,0.34,0.2,0.38,0.66,,,,,,,0.51,0.35,0.2,0.67,0.4,,,,,,,2026
Central Cordoba SdE vs Gimnasia y Esgrima Mendoza,2026-01-23 01:15:00,Gimnasia y Esgrima Mendoza won after full-time.,Argentina Liga Profissional de Futebol,Central Cordoba SdE,Gimnasia y Esgrima Mendoza,0.0,1.0,10.0,11.0,14.0,2.0,5.0,5.0,16.0,11.0,114.0,73.0,79.0,37.0,69.0,31.0,,,13.0,5.0,3.0,6.0,1.0,0.0,5.0,9.0,7.0,8.0,9.0,10.0,3.0,4.0,0.0,1.0,2.52,2.78,3.62,1.6,2.41,2.1,1.79,,,,,2.4,2.8,3.3,1.53,2.37,1.87,1.92,,,,,0.4,0.36,0.28,0.41,0.62,0.48,0.56,,,,,0.42,0.36,0.3,0.65,0.42,0.53,0.52,,,,,2026
Instituto vs Vélez Sarsfield,2026-01-23 01:15:00,Vélez Sarsfield won after full-time.,Argentina Liga Profissional de Futebol,Instituto,Vélez Sarsfield,0.0,1.0,7.0,6.0,4.0,2.0,5.0,3.0,13.0,7.0,72.0,66.0,58.0,35.0,47.0,53.0,,,10.0,2.0,3.0,5.0,4.0,2.0,10.0,7.0,11.0,6.0,10.0,15.0,2.0,5.0,3.0,5.0,2.83,2.76,3.15,1.57,2.48,,,,,,,2.75,2.8,3.0,1.53,2.37,,,,,,,0.35,0.36,0.32,0.4,0.64,,,,,,,0.36,0.36,0.33,0.65,0.42,,,,,,,2026
San Lorenzo vs Lanús,2026-01-23 22:00:00,Lanús won after full-time.,Argentina Liga Profissional de Futebol,San Lorenzo,Lanús,2.0,3.0,11.0,7.0,6.0,8.0,9.0,6.0,17.0,12.0,104.0,65.0,68.0,52.0,59.0,41.0,1.0,0.0,9.0,9.0,8.0,3.0,2.0,2.0,7.0,12.0,8.0,6.0,14.0,20.0,3.0,3.0,1.0,4.0,2.87,2.65,3.25,1.47,2.79,,,,,,,2.75,2.7,3.1,1.44,2.62,,,,,,,0.35,0.38,0.31,0.36,0.68,,,,,,,0.36,0.37,0.32,0.69,0.38,,,,,,,2026
Independiente vs Estudiantes,2026-01-23 23:00:00,Game ended in draw.,Argentina Liga Profissional de Futebol,Independiente,Estudiantes,1.0,1.0,9.0,6.0,10.0,5.0,6.0,6.0,13.0,11.0,95.0,102.0,47.0,17.0,40.0,60.0,,,7.0,9.0,6.0,2.0,1.0,1.0,4.0,6.0,7.0,6.0,9.0,10.0,1.0,2.0,2.0,4.0,2.6,2.79,3.45,,,2.12,1.78,,,,,2.7,2.7,3.25,1.57,2.25,,,,,,,0.38,0.36,0.29,,,0.47,0.56,,,,,0.37,0.37,0.31,0.64,0.44,,,,,,,2026
Independiente Rivadavia vs Atlético Tucumán,2026-01-24 01:15:00,Independiente Rivadavia won after full-time.,Argentina Liga Profissional de Futebol,Independiente Rivadavia,Atlético Tucumán,2.0,1.0,1.0,15.0,1.0,3.0,5.0,6.0,11.0,14.0,76.0,95.0,43.0,53.0,42.0,58.0,0.0,1.0,5.0,9.0,6.0,5.0,3.0,0.0,7.0,8.0,9.0,11.0,13.0,12.0,4.0,3.0,2.0,3.0,1.76,3.45,5.58,1.64,2.32,1.86,2.02,,,,,1.72,3.3,5.75,1.57,2.25,1.85,1.95,,,,,0.57,0.29,0.18,0.43,0.61,0.54,0.5,,,,,0.58,0.3,0.17,0.64,0.44,0.54,0.51,,,,,2026
Talleres Córdoba vs Newell's Old Boys,2026-01-24 01:15:00,Talleres Córdoba won after full-time.,Argentina Liga Profissional de Futebol,Talleres Córdoba,Newell's Old Boys,2.0,1.0,12.0,11.0,11.0,4.0,5.0,6.0,17.0,10.0,29.0,20.0,53.0,35.0,72.0,28.0,,,11.0,8.0,6.0,2.0,2.0,2.0,10.0,4.0,3.0,5.0,8.0,10.0,2.0,4.0,1.0,2.0,1.96,3.17,4.75,1.59,2.44,2.07,1.83,,,,,1.85,3.3,4.75,1.53,2.37,2.02,1.77,,,,,0.51,0.32,0.21,0.41,0.63,0.48,0.55,,,,,0.54,0.3,0.21,0.65,0.42,0.5,0.56,,,,,2026
Barracas Central vs River Plate,2026-01-24 20:00:00,River Plate won after full-time.,Argentina Liga Profissional de Futebol,Barracas Central,River Plate,0.0,1.0,11.0,14.0,6.0,6.0,3.0,8.0,11.0,20.0,76.0,102.0,37.0,72.0,33.0,67.0,,,6.0,9.0,5.0,11.0,4.0,5.0,16.0,4.0,6.0,14.0,15.0,9.0,5.0,2.0,2.0,2.0,5.39,3.53,1.76,1.64,2.34,1.85,2.04,,,,,5.75,3.3,1.72,1.61,2.2,1.82,1.97,,,,,0.19,0.28,0.57,0.43,0.61,0.54,0.49,,,,,0.17,0.3,0.58,0.62,0.45,0.55,0.51,,,,,2026
Gimnasia La Plata vs Racing Club,2026-01-24 22:30:00,Gimnasia La Plata won after full-time.,Argentina Liga Profissional de Futebol,Gimnasia La Plata,Racing Club,2.0,1.0,5.0,8.0,4.0,5.0,1.0,7.0,7.0,13.0,60.0,125.0,26.0,43.0,26.0,74.0,,,5.0,8.0,2.0,5.0,1.0,0.0,16.0,7.0,5.0,10.0,13.0,15.0,2.0,3.0,2.0,3.0,3.97,3.07,2.19,1.76,2.13,1.86,2.03,,,,,3.75,3.1,2.15,1.61,2.2,1.82,1.97,,,,,0.25,0.33,0.46,0.47,0.57,0.54,0.49,,,,,0.27,0.32,0.47,0.62,0.45,0.55,0.51,,,,,2026
Rosario Central vs Belgrano,2026-01-25 01:00:00,Belgrano won after full-time.,Argentina Liga Profissional de Futebol,Rosario Central,Belgrano,1.0,2.0,7.0,10.0,4.0,3.0,7.0,4.0,18.0,13.0,109.0,82.0,56.0,41.0,50.0,50.0,1.0,0.0,9.0,8.0,9.0,5.0,3.0,2.0,5.0,10.0,15.0,9.0,5.0,9.0,5.0,8.0,2.0,1.0,1.96,3.19,4.74,1.61,2.39,2.03,1.86,,,,,1.9,3.1,4.5,1.57,2.25,2.0,1.8,,,,,0.51,0.31,0.21,0.42,0.62,0.49,0.54,,,,,0.53,0.32,0.22,0.64,0.44,0.5,0.56,,,,,2026
Boca Juniors vs Deportivo Riestra,2026-01-25 21:30:00,Boca Juniors won after full-time.,Argentina Liga Profissional de Futebol,Boca Juniors,Deportivo Riestra,1.0,0.0,11.0,10.0,12.0,1.0,8.0,4.0,19.0,6.0,99.0,69.0,73.0,40.0,80.0,20.0,,,8.0,2.0,11.0,4.0,0.0,2.0,5.0,13.0,12.0,3.0,9.0,19.0,1.0,2.0,1.0,5.0,1.65,3.46,7.03,1.46,2.81,2.11,1.8,,,,,1.6,3.5,7.0,1.44,2.62,1.75,2.05,,,,,0.61,0.29,0.14,0.36,0.68,0.47,0.56,,,,,0.62,0.29,0.14,0.69,0.38,0.57,0.49,,,,,2026
