name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Vitória vs Remo,2026-01-28 22:00:00,Vitória won after full-time.,Brasileirao Betano Serie A,Vitória,Remo,2.0,0.0,14.0,20.0,4.0,1.0,8.0,7.0,20.0,14.0,81.0,87.0,34.0,29.0,42.0,58.0,,,15.0,6.0,5.0,8.0,2.0,2.0,9.0,9.0,13.0,11.0,13.0,17.0,1.0,5.0,2.0,4.0,1.82,3.47,4.81,1.76,2.09,,,,,,,1.83,3.4,4.75,1.75,2.0,2.05,1.8,2.0,1.85,,,0.55,0.29,0.21,0.48,0.57,,,,,,,0.55,0.29,0.21,0.57,0.5,0.49,0.56,0.5,0.54,,,2026
Coritiba vs Bragantino,2026-01-28 22:00:00,Bragantino won after full-time.,Brasileirao Betano Serie A,Coritiba,Bragantino,0.0,1.0,17.0,18.0,1.0,5.0,4.0,12.0,8.0,30.0,74.0,127.0,17.0,69.0,29.0,71.0,,,2.0,10.0,6.0,20.0,3.0,1.0,15.0,3.0,5.0,18.0,9.0,19.0,9.0,2.0,1.0,6.0,2.76,3.0,2.89,1.74,2.12,1.86,1.99,2.08,1.78,,,2.7,2.87,2.9,1.75,2.0,1.95,1.9,1.8,2.05,,,0.36,0.33,0.35,0.47,0.57,0.54,0.5,0.48,0.56,,,0.37,0.35,0.34,0.57,0.5,0.51,0.53,0.56,0.49,,,2026
Internacional vs Athletico PR,2026-01-28 22:00:00,Athletico PR won after full-time.,Brasileirao Betano Serie A,Internacional,Athletico PR,0.0,1.0,7.0,13.0,13.0,1.0,7.0,4.0,19.0,6.0,121.0,68.0,56.0,18.0,71.0,29.0,,,12.0,4.0,7.0,2.0,4.0,1.0,10.0,12.0,12.0,11.0,13.0,11.0,1.0,5.0,2.0,1.0,2.04,3.18,4.19,1.85,1.97,,,1.99,1.86,,,2.0,3.25,3.9,1.75,2.0,,,1.97,1.87,,,0.49,0.31,0.24,0.51,0.54,,,0.5,0.54,,,0.5,0.31,0.26,0.57,0.5,,,0.51,0.53,,,2026
Atlético Mineiro vs Palmeiras,2026-01-28 22:00:00,Game ended in draw.,Brasileirao Betano Serie A,Atlético Mineiro,Palmeiras,2.0,2.0,12.0,11.0,5.0,7.0,8.0,5.0,14.0,13.0,97.0,63.0,38.0,46.0,52.0,48.0,,,7.0,8.0,7.0,5.0,4.0,2.0,7.0,10.0,8.0,9.0,14.0,20.0,4.0,1.0,4.0,2.0,3.13,3.1,2.5,1.89,1.92,,,2.01,1.85,2.02,1.82,3.1,3.1,2.45,1.9,1.9,,,2.02,1.82,1.8,2.05,0.32,0.32,0.4,0.52,0.53,,,0.5,0.54,0.5,0.55,0.32,0.32,0.41,0.53,0.53,,,0.5,0.55,0.56,0.49,2026
Fluminense vs Grêmio,2026-01-28 22:30:00,Fluminense won after full-time.,Brasileirao Betano Serie A,Fluminense,Grêmio,2.0,1.0,6.0,9.0,3.0,6.0,4.0,5.0,10.0,12.0,119.0,93.0,32.0,33.0,51.0,49.0,,,7.0,10.0,3.0,2.0,1.0,2.0,8.0,6.0,10.0,7.0,13.0,13.0,2.0,4.0,1.0,2.0,1.6,3.96,5.94,1.79,2.04,,,1.92,1.92,2.0,1.86,1.61,4.1,5.5,1.8,1.95,2.0,1.85,1.97,1.87,2.02,1.82,0.62,0.25,0.17,0.49,0.56,,,0.52,0.52,0.5,0.54,0.62,0.24,0.18,0.56,0.51,0.5,0.54,0.51,0.53,0.5,0.55,2026
Chapecoense vs Santos,2026-01-28 23:00:00,Chapecoense won after full-time.,Brasileirao Betano Serie A,Chapecoense,Santos,4.0,2.0,4.0,16.0,1.0,14.0,0.0,12.0,8.0,25.0,48.0,151.0,7.0,50.0,34.0,66.0,,,4.0,10.0,4.0,15.0,2.0,1.0,18.0,4.0,4.0,18.0,10.0,5.0,3.0,0.0,3.0,3.0,2.94,3.16,2.6,1.84,1.98,,,2.03,1.84,,,2.9,3.2,2.55,1.9,1.9,,,2.05,1.8,,,0.34,0.32,0.38,0.51,0.54,,,0.49,0.54,,,0.34,0.31,0.39,0.53,0.53,,,0.49,0.56,,,2026
Corinthians vs Bahia,2026-01-28 23:00:00,Bahia won after full-time.,Brasileirao Betano Serie A,Corinthians,Bahia,1.0,2.0,1.0,2.0,4.0,6.0,4.0,3.0,17.0,11.0,100.0,87.0,9.0,19.0,59.0,41.0,0.0,1.0,10.0,8.0,7.0,3.0,3.0,0.0,3.0,9.0,12.0,6.0,14.0,14.0,4.0,4.0,3.0,5.0,2.27,3.35,3.3,2.29,1.64,,,1.88,1.97,1.9,1.94,2.25,3.5,3.2,2.05,1.7,,,2.0,1.85,1.87,1.97,0.44,0.3,0.3,0.61,0.44,,,0.53,0.51,0.53,0.52,0.44,0.29,0.31,0.49,0.59,,,0.5,0.54,0.53,0.51,2026
São Paulo vs Flamengo,2026-01-29 00:30:00,São Paulo won after full-time.,Brasileirao Betano Serie A,São Paulo,Flamengo,2.0,1.0,10.0,16.0,2.0,6.0,3.0,5.0,10.0,15.0,62.0,144.0,25.0,59.0,41.0,59.0,,,5.0,9.0,5.0,6.0,1.0,0.0,10.0,3.0,7.0,10.0,14.0,11.0,4.0,2.0,,,3.84,3.01,2.22,1.64,2.28,2.09,1.78,2.07,1.78,2.03,1.81,3.9,3.0,2.2,1.61,2.2,1.77,2.1,1.77,2.1,1.8,2.05,0.26,0.33,0.45,0.44,0.61,0.48,0.56,0.48,0.56,0.49,0.55,0.26,0.33,0.45,0.62,0.45,0.56,0.48,0.56,0.48,0.56,0.49,2026
Mirassol vs Vasco da Gama,2026-01-29 23:00:00,Mirassol won after full-time.,Brasileirao Betano Serie A,Mirassol,Vasco da Gama,2.0,1.0,12.0,10.0,5.0,5.0,7.0,3.0,13.0,13.0,82.0,100.0,19.0,14.0,47.0,53.0,,,6.0,6.0,7.0,7.0,1.0,2.0,6.0,8.0,11.0,8.0,16.0,10.0,4.0,3.0,2.0,1.0,1.9,3.32,4.57,1.89,1.92,,,1.94,1.9,1.99,1.85,1.9,3.3,4.2,1.8,1.95,,,1.97,1.87,1.85,2.0,0.53,0.3,0.22,0.52,0.53,,,0.52,0.53,0.5,0.54,0.53,0.3,0.24,0.56,0.51,,,0.51,0.53,0.54,0.5,2026
Botafogo vs Cruzeiro,2026-01-30 00:30:00,Botafogo won after full-time.,Brasileirao Betano Serie A,Botafogo,Cruzeiro,4.0,0.0,10.0,12.0,3.0,7.0,3.0,5.0,10.0,17.0,62.0,103.0,28.0,46.0,46.0,54.0,,,8.0,14.0,2.0,3.0,0.0,5.0,6.0,5.0,9.0,7.0,10.0,12.0,4.0,1.0,1.0,2.0,2.45,3.03,3.29,1.83,2.0,,,2.03,1.83,2.0,1.84,2.45,3.0,3.2,1.8,1.95,,,2.05,1.8,1.8,2.05,0.41,0.33,0.3,0.5,0.55,,,0.49,0.55,0.5,0.54,0.41,0.33,0.31,0.56,0.51,,,0.49,0.56,0.56,0.49,2026
