team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Athletico PR,2.0,1.0,6.0,4.0,3.0,4.0,10.5,10.5,92.5,89.0,38.5,18.0,52.0,48.0,1.0,0.0,8.5,5.5,2.0,5.0,1.0,2.5,7.5,8.0,7.0,8.0,20.5,16.5,2.5,2.5,1.5,3.0,0.48,0.31,0.25,0.52,0.52,,,0.52,0.52,0.48,0.55,0.48,0.31,0.27,0.54,0.54,,,0.52,0.52,0.52,0.52,Brasileirao Betano Serie A,2026,1.5,1.5,10.0,1.0,8.0,3.0,21.5,5.0,119.5,57.5,64.0,16.5,75.0,25.0,,,16.0,3.5,5.5,1.5,3.0,1.0,7.0,9.5,14.0,7.5,13.0,11.0,0.5,6.0,2.0,2.0,0.52,0.3,0.22,0.5,0.54,,,0.52,0.52,0.49,0.54,0.52,0.3,0.24,0.56,0.5,,,0.52,0.52,0.55,0.5
Atlético Mineiro,1.75,1.25,4.25,6.75,5.75,5.5,13.0,15.5,80.25,102.5,29.75,44.0,43.75,56.25,,,8.5,8.25,4.5,7.25,2.5,2.75,9.5,8.5,9.0,10.25,13.75,17.75,4.25,2.75,1.75,1.75,0.48,0.29,0.27,0.52,0.52,,,0.51,0.53,0.52,0.52,0.48,0.29,0.27,0.54,0.53,,,0.5,0.54,0.54,0.5,Brasileirao Betano Serie A,2026,1.5,0.0,5.0,11.0,5.5,5.5,14.0,12.0,80.0,101.0,51.5,51.0,40.5,59.5,,,8.5,7.5,5.5,4.5,1.5,3.5,6.5,5.0,8.5,6.0,14.5,10.5,2.5,3.0,2.5,2.5,0.44,0.32,0.27,0.48,0.56,0.53,0.5,0.49,0.55,,,0.45,0.32,0.29,0.56,0.5,,,0.51,0.54,0.53,0.51
Bahia,1.33,0.67,6.67,4.67,6.67,6.0,15.67,11.33,108.0,86.67,37.33,32.67,54.0,46.0,1.0,0.0,10.67,8.0,5.0,3.33,2.0,1.0,8.0,8.33,12.67,9.0,14.0,14.33,2.33,5.33,1.33,1.67,0.54,0.28,0.21,0.51,0.53,,,0.53,0.51,0.49,0.54,0.56,0.28,0.22,0.52,0.54,,,0.52,0.53,0.52,0.52,Brasileirao Betano Serie A,2026,0.33,1.33,6.33,3.67,9.33,2.67,19.0,8.67,109.0,77.0,51.67,21.67,58.0,42.0,0.0,1.0,12.0,5.0,7.0,3.67,2.0,2.0,4.0,10.33,11.67,5.67,16.33,15.67,2.33,3.33,3.67,4.0,0.47,0.29,0.27,0.6,0.44,,,0.53,0.51,0.53,0.51,0.48,0.29,0.29,0.48,0.6,,,0.51,0.53,0.53,0.52
Botafogo,2.0,1.5,2.5,5.5,3.5,6.0,8.5,17.5,68.0,113.0,18.5,29.0,44.0,56.0,,,5.5,12.0,3.0,5.5,0.0,3.0,6.0,5.5,6.0,9.0,11.5,11.5,3.5,1.0,2.0,2.0,0.32,0.32,0.4,0.5,0.55,,,0.5,0.54,0.5,0.54,0.32,0.32,0.41,0.56,0.51,,,0.5,0.55,0.56,0.49,Brasileirao Betano Serie A,2026,2.67,1.33,4.67,1.0,6.0,2.33,14.33,6.67,82.33,82.67,33.0,22.33,47.67,52.33,1.0,0.0,10.33,4.33,4.0,2.33,2.33,0.0,3.33,8.67,12.0,6.33,14.33,12.33,2.0,4.0,2.0,3.0,0.54,0.28,0.22,0.51,0.53,,,0.5,0.53,0.51,0.52,0.55,0.29,0.21,0.54,0.53,,,0.5,0.55,0.53,0.52
Bragantino,1.0,1.0,6.0,8.0,6.5,2.5,16.0,8.0,82.0,79.5,36.0,23.5,49.0,51.0,,,8.5,5.0,7.5,3.0,1.0,3.0,4.5,7.5,8.5,4.5,15.0,10.5,1.5,3.0,3.5,3.0,0.44,0.32,0.28,0.5,0.54,,,0.48,0.56,,,0.45,0.32,0.29,0.56,0.5,,,0.49,0.56,,,Brasileirao Betano Serie A,2026,1.25,0.5,3.75,5.25,5.25,8.25,12.25,18.5,76.0,105.0,25.75,42.5,46.25,53.75,0.0,1.0,7.75,8.75,4.5,9.75,2.5,1.25,10.75,5.75,9.5,12.75,12.75,17.25,5.75,3.75,2.5,3.75,0.48,0.3,0.26,0.5,0.54,0.54,0.5,0.51,0.52,0.5,0.54,0.48,0.3,0.26,0.54,0.53,0.51,0.53,0.53,0.52,0.5,0.54
Chapecoense,2.67,2.0,3.67,8.0,4.67,7.0,13.33,17.0,69.0,113.67,23.67,35.0,40.0,60.0,1.0,0.0,7.67,7.33,5.67,9.67,1.5,1.5,11.33,7.67,8.0,12.0,9.67,7.0,2.67,1.67,2.67,2.33,0.34,0.31,0.39,0.54,0.5,0.55,0.48,0.52,0.51,0.53,0.5,0.35,0.3,0.4,0.51,0.55,0.48,0.56,0.51,0.53,0.53,0.51,Brasileirao Betano Serie A,2026,1.5,0.5,12.5,3.0,9.5,4.5,24.0,7.0,119.5,62.5,44.5,13.5,65.0,35.0,,,15.5,3.5,8.5,3.5,1.5,0.5,5.0,10.0,14.5,4.5,12.5,11.0,0.5,7.5,0.0,1.0,0.68,0.23,0.13,0.5,0.54,,,0.55,0.49,0.52,0.5,0.67,0.24,0.15,0.55,0.52,,,0.5,0.55,0.53,0.51
Corinthians,1.0,1.33,5.0,5.0,6.0,2.33,13.67,8.0,97.33,75.33,32.0,18.33,64.0,36.0,0.0,1.0,8.67,4.33,5.0,3.67,2.33,1.33,4.67,9.33,9.67,5.0,15.0,18.67,2.67,2.67,3.0,3.67,0.52,0.29,0.23,0.52,0.53,,,0.51,0.52,0.53,0.52,0.52,0.29,0.24,0.56,0.52,,,0.5,0.54,0.53,0.51,Brasileirao Betano Serie A,2026,1.0,1.0,4.0,6.0,6.0,2.0,11.0,10.0,92.0,77.0,30.0,33.0,44.0,56.0,,,7.0,6.0,4.0,4.0,1.0,2.0,5.0,8.0,8.0,7.0,20.0,15.0,3.0,2.0,5.0,3.0,0.38,0.33,0.33,0.51,0.53,,,0.51,0.52,,,0.38,0.33,0.33,0.51,0.56,,,0.51,0.53,,
Coritiba,0.5,0.5,2.5,5.5,3.0,11.5,8.0,22.0,62.5,105.5,27.0,57.0,35.5,64.5,,,5.0,6.5,3.0,15.5,4.5,1.0,15.0,3.0,5.0,14.5,11.0,15.5,5.0,2.5,1.5,4.5,0.46,0.31,0.27,0.5,0.53,0.54,0.5,0.52,0.52,0.5,0.53,0.48,0.32,0.27,0.55,0.52,0.51,0.53,0.53,0.52,0.51,0.53,Brasileirao Betano Serie A,2026,1.0,2.0,8.25,3.75,8.25,4.5,18.0,10.25,127.25,60.5,66.25,32.5,65.25,34.75,,,10.75,6.0,7.25,4.25,1.33,2.67,6.75,11.5,12.0,7.0,9.0,13.5,1.25,3.75,2.25,1.75,0.57,0.27,0.2,0.46,0.57,0.55,0.48,0.52,0.51,0.48,0.55,0.57,0.27,0.21,0.6,0.47,0.48,0.56,0.52,0.52,0.55,0.5
Cruzeiro,2.0,2.5,8.5,3.0,9.0,5.5,19.5,12.5,120.0,72.0,39.5,19.0,64.0,36.0,,,10.0,8.0,9.5,4.5,0.5,1.5,9.0,12.0,13.5,9.0,9.0,13.5,1.0,3.0,2.5,2.5,0.62,0.26,0.16,0.46,0.58,,,0.53,0.5,0.48,0.55,0.62,0.26,0.18,0.59,0.48,,,0.53,0.51,0.54,0.5,Brasileirao Betano Serie A,2026,2.5,0.75,5.0,5.0,4.0,4.0,13.25,12.5,80.25,89.75,40.5,31.0,48.5,51.5,0.5,0.5,10.5,8.75,2.75,3.75,0.75,2.0,5.75,7.75,10.0,7.5,16.25,13.25,2.75,4.0,2.25,2.25,0.49,0.3,0.25,0.51,0.54,,,0.51,0.52,0.5,0.53,0.49,0.3,0.26,0.54,0.54,,,0.51,0.53,0.54,0.51
Flamengo,2.0,0.33,5.0,4.0,5.0,4.0,14.67,9.67,128.33,85.67,50.0,26.67,58.0,42.0,1.0,0.0,10.67,5.33,4.0,4.33,1.33,1.0,6.33,8.67,9.0,7.67,17.0,13.33,3.0,2.67,2.67,2.33,0.75,0.19,0.11,0.45,0.59,,,,,0.52,0.5,0.75,0.19,0.11,0.58,0.49,,,,,0.53,0.52,Brasileirao Betano Serie A,2026,1.0,2.0,3.67,4.0,3.0,5.0,9.0,13.0,78.0,118.33,24.33,35.33,42.33,57.67,1.0,0.0,5.33,7.67,3.67,5.33,1.0,1.33,7.0,4.33,4.67,8.33,12.67,14.0,2.33,1.67,3.0,3.0,0.22,0.3,0.52,0.47,0.57,0.48,0.56,0.51,0.52,0.49,0.55,0.22,0.3,0.53,0.58,0.49,0.56,0.48,0.54,0.5,0.56,0.5
