team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Alianza Petrolera,1.0,0.83,4.43,4.43,5.0,3.86,11.14,10.0,92.57,91.57,40.86,33.29,49.71,50.29,,,5.57,4.43,5.57,5.57,3.0,1.14,7.0,9.57,8.14,6.71,14.57,11.86,4.14,4.0,3.43,2.57,0.45,0.3,0.3,0.43,0.62,0.52,0.52,0.52,0.53,0.52,0.53,0.45,0.31,0.31,0.62,0.46,0.54,0.52,0.53,0.52,,,Colombia Liga BetPlay,2026,1.88,0.75,5.33,3.67,4.78,5.0,12.0,9.89,102.56,63.44,41.67,25.56,58.44,41.56,0.75,0.5,6.33,4.67,5.67,5.22,1.56,1.67,7.44,8.22,9.0,6.44,11.33,10.0,1.78,4.44,2.12,2.38,0.53,0.3,0.23,0.45,0.6,0.54,0.51,0.51,0.55,0.49,0.56,0.53,0.3,0.23,0.62,0.46,0.52,0.54,0.52,0.53,0.51,0.55
América de Cali,1.62,0.5,4.22,2.78,7.78,5.0,16.56,9.44,99.0,73.56,57.56,40.33,57.44,42.56,0.67,0.67,8.33,4.67,8.22,4.78,2.22,1.33,5.56,10.56,12.78,7.0,12.0,10.78,2.78,4.22,3.12,2.75,0.54,0.3,0.21,0.48,0.56,0.56,0.48,0.5,0.55,0.52,0.53,0.57,0.29,0.21,0.6,0.49,0.52,0.54,0.52,0.54,0.52,0.54,Colombia Liga BetPlay,2026,1.62,0.5,4.38,2.62,6.75,4.62,13.88,9.5,81.5,80.62,39.12,31.88,45.5,54.5,1.0,0.0,8.0,4.62,5.88,4.88,1.75,2.12,7.75,9.62,10.38,7.12,12.5,12.12,2.62,3.25,2.75,2.88,0.38,0.32,0.35,0.48,0.58,0.54,0.5,0.52,0.53,0.5,0.55,0.37,0.33,0.37,0.59,0.49,0.55,0.51,0.55,0.51,,
Atlético Bucaramanga,2.71,0.86,4.88,3.12,6.12,4.62,13.5,8.38,99.88,78.0,40.62,22.88,53.38,46.62,,,7.14,3.14,5.71,5.14,2.38,1.12,6.29,8.0,10.38,6.0,12.88,11.88,2.25,3.38,2.88,3.38,0.59,0.28,0.18,0.47,0.58,0.54,0.51,0.53,0.52,0.52,0.52,0.61,0.28,0.18,0.6,0.48,0.53,0.52,0.54,0.52,0.52,0.54,Colombia Liga BetPlay,2026,1.75,0.88,3.9,4.4,5.1,5.5,11.3,12.4,82.5,92.2,32.5,34.6,51.4,48.6,0.67,0.67,6.3,6.3,5.1,6.1,1.0,1.89,9.56,8.67,8.2,9.0,10.4,9.7,4.0,3.0,3.1,1.9,0.38,0.33,0.34,0.48,0.58,0.53,0.52,0.52,0.54,0.49,0.56,0.39,0.32,0.35,0.6,0.48,0.52,0.54,0.51,0.55,0.56,0.5
Atlético Nacional,3.25,0.5,5.56,2.67,7.44,5.44,20.22,10.56,100.33,68.56,39.44,27.0,57.78,42.22,1.5,0.0,12.11,4.89,8.11,5.56,3.0,1.56,6.67,10.56,15.0,7.44,10.44,7.56,2.78,6.56,1.89,1.56,0.69,0.22,0.13,0.49,0.57,,,0.56,0.5,0.52,0.54,0.71,0.21,0.14,0.58,0.51,,,0.5,0.56,0.54,0.52,Colombia Liga BetPlay,2026,1.09,1.27,5.36,4.0,5.82,4.91,12.73,13.0,68.36,89.18,33.91,33.27,45.09,54.91,0.5,0.5,5.73,6.82,7.0,6.0,2.27,2.82,8.09,8.55,10.0,8.8,10.82,11.82,4.27,4.0,2.73,2.73,0.32,0.3,0.43,0.56,0.5,0.56,0.49,0.53,0.52,0.52,0.53,0.32,0.3,0.44,0.51,0.57,,,0.52,0.54,0.52,0.53
Boyacá Chicó,1.62,0.5,4.88,4.0,5.62,5.75,12.25,10.88,83.38,74.12,29.12,22.75,50.75,49.25,,,5.62,5.75,6.62,5.12,2.12,2.5,6.17,10.5,8.88,7.62,14.62,11.38,1.62,2.62,3.38,3.5,0.32,0.33,0.4,0.44,0.61,0.53,0.52,0.49,0.56,,,0.33,0.32,0.42,0.61,0.46,0.51,0.54,0.53,0.53,,,Colombia Liga BetPlay,2026,2.75,0.25,4.12,3.0,6.12,3.38,15.5,8.0,89.88,72.12,41.88,27.5,54.88,45.12,0.75,0.25,8.75,3.25,6.75,4.75,3.62,1.25,6.71,8.86,11.0,5.0,13.25,12.62,1.25,3.25,2.75,2.88,0.7,0.24,0.12,0.39,0.66,0.52,0.52,0.52,0.52,0.5,0.55,0.7,0.24,0.12,0.64,0.43,0.52,0.53,0.52,0.54,0.52,0.54
Cúcuta Deportivo,1.12,1.38,3.0,5.12,4.12,5.0,8.12,14.38,62.25,90.88,25.5,43.12,50.5,49.5,0.75,0.5,3.86,9.14,3.43,6.43,2.62,1.25,7.57,5.29,6.88,11.38,10.12,15.75,5.25,2.5,2.5,3.25,0.37,0.31,0.36,0.51,0.54,0.52,0.53,0.53,0.51,0.5,0.55,0.37,0.32,0.38,0.55,0.53,0.51,0.54,0.51,0.54,0.53,0.53,Colombia Liga BetPlay,2026,2.62,1.12,5.33,4.11,7.56,3.56,17.11,8.89,92.89,84.67,41.67,36.56,50.33,49.67,1.0,0.0,8.56,4.67,7.0,3.89,1.22,1.67,5.67,11.0,12.25,6.75,10.44,9.22,3.44,5.11,2.5,1.75,0.55,0.27,0.22,0.49,0.56,0.55,0.49,0.54,0.51,0.52,0.53,0.56,0.28,0.23,0.58,0.5,0.52,0.53,0.52,0.54,0.55,0.51
Deportes Tolima,1.67,0.67,5.33,3.5,6.42,4.67,15.42,10.33,101.67,74.83,38.5,26.0,61.08,38.92,0.8,0.4,7.58,5.42,7.83,4.83,1.92,2.25,6.55,8.45,10.92,7.17,9.33,9.33,3.33,4.25,2.27,2.27,0.54,0.29,0.23,0.48,0.57,0.54,0.51,0.52,0.53,0.52,0.53,0.56,0.28,0.22,0.6,0.48,0.51,0.54,0.52,0.54,0.51,0.55,Colombia Liga BetPlay,2026,1.0,1.14,5.44,3.22,5.89,4.0,12.56,8.78,93.89,70.44,35.0,22.89,52.33,47.67,1.0,0.5,4.78,3.89,7.78,4.89,3.89,1.33,5.86,8.71,9.11,6.56,11.33,12.44,2.11,3.22,2.33,2.78,0.47,0.31,0.27,0.48,0.57,0.54,0.5,0.52,0.53,0.49,0.56,0.47,0.31,0.28,0.59,0.49,0.51,0.54,0.53,0.53,0.53,0.53
Deportivo Cali,1.33,0.67,6.0,3.9,6.6,3.2,14.6,9.1,97.6,69.2,36.6,17.6,55.2,44.8,0.67,0.67,7.4,5.1,7.1,4.0,1.22,1.67,4.67,9.56,10.8,6.2,15.1,10.5,3.2,4.4,2.7,3.7,0.49,0.3,0.25,0.47,0.58,0.55,0.51,0.52,0.53,0.49,0.56,0.5,0.3,0.26,0.6,0.48,0.53,0.52,0.53,0.53,0.5,0.56,Colombia Liga BetPlay,2026,1.25,1.0,6.0,4.38,5.25,5.75,10.75,12.25,77.12,86.75,32.25,37.38,51.38,48.62,1.0,1.0,5.75,5.25,4.88,6.38,2.62,1.38,9.0,7.0,8.0,9.71,10.75,14.62,3.5,3.62,3.0,2.88,0.37,0.33,0.35,0.5,0.55,0.52,0.53,0.52,0.53,0.49,0.56,0.38,0.33,0.36,0.57,0.52,0.52,0.53,0.52,0.54,,
Deportivo Pasto,1.44,0.89,4.3,3.7,5.4,4.5,11.6,10.1,85.5,82.5,43.3,35.4,52.5,47.5,0.67,0.33,5.6,4.7,6.0,5.3,3.0,1.7,7.44,8.67,7.7,7.1,9.8,10.4,3.5,3.1,2.22,2.78,0.44,0.31,0.3,0.45,0.6,0.54,0.51,0.52,0.53,0.51,0.54,0.44,0.32,0.3,0.61,0.47,0.53,0.53,0.52,0.54,0.51,0.54,Colombia Liga BetPlay,2026,2.0,1.62,4.89,3.44,4.33,4.33,11.67,11.11,98.67,77.78,35.22,27.33,51.0,49.0,0.5,1.0,6.67,6.0,5.11,5.11,2.78,1.33,6.29,7.14,8.25,7.62,13.67,9.78,3.11,4.44,2.33,3.78,0.49,0.31,0.25,0.47,0.58,0.53,0.52,0.53,0.52,0.5,0.55,0.5,0.31,0.25,0.59,0.49,0.53,0.53,0.53,0.53,0.51,0.55
Deportivo Pereira,1.17,1.83,3.75,4.88,5.5,6.0,11.75,12.62,61.25,97.75,22.12,40.75,46.62,53.38,0.5,1.0,6.5,6.75,5.12,5.88,2.38,1.0,8.43,7.43,8.25,9.5,9.62,10.5,3.25,3.38,2.62,2.38,0.25,0.3,0.5,0.51,0.55,0.55,0.5,0.52,0.53,0.5,0.55,0.26,0.3,0.5,0.56,0.53,0.52,0.53,0.55,0.5,0.5,0.55,Colombia Liga BetPlay,2026,1.56,0.56,6.56,1.56,7.89,3.33,18.33,7.11,102.89,61.89,27.67,15.44,57.56,42.44,1.0,0.5,9.56,2.89,8.78,4.22,0.75,1.62,5.43,10.71,13.33,5.67,11.11,9.22,2.67,4.78,2.38,2.38,0.67,0.25,0.13,0.42,0.63,0.54,0.51,0.52,0.52,0.5,0.54,0.68,0.25,0.15,0.64,0.43,0.53,0.53,0.52,0.54,0.52,0.54
