team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Albirex Niigata,1.57,1.0,4.75,5.5,5.12,2.75,11.75,9.75,82.0,81.62,41.25,38.62,51.5,48.5,,,6.88,4.88,4.88,4.88,1.5,2.12,7.25,10.0,16.0,8.67,8.0,9.88,3.25,3.38,0.75,1.75,0.47,0.3,0.3,,,0.55,0.5,0.52,0.53,0.51,0.55,0.49,0.31,0.31,0.56,0.53,0.51,0.55,0.53,0.53,0.52,0.53,Liga de Visão de 100 Anos J2-J3,2026,1.25,1.0,5.5,4.0,5.5,2.5,12.5,7.5,88.17,77.17,43.83,40.5,53.33,46.67,0.0,1.0,6.83,4.5,5.67,3.0,3.8,1.8,5.67,11.67,8.33,4.0,11.33,12.5,1.33,2.83,1.17,2.0,0.37,0.3,0.4,,,0.54,0.52,0.51,0.55,0.54,0.53,0.37,0.32,0.41,0.56,0.53,0.54,0.52,0.52,0.54,0.53,0.52
Blaublitz Akita,1.29,0.86,5.0,5.38,4.88,2.88,10.62,8.88,72.12,72.25,54.5,46.25,46.0,54.0,0.0,2.0,6.62,5.12,4.0,3.75,1.25,1.75,7.62,10.88,7.6,5.6,11.12,11.75,2.12,2.25,1.25,2.25,0.44,0.33,0.31,,,0.52,0.53,0.5,0.55,,,0.43,0.32,0.34,0.59,0.49,0.53,0.52,0.53,0.53,,,Liga de Visão de 100 Anos J2-J3,2026,0.75,1.5,6.6,6.8,5.6,2.6,12.4,9.2,82.0,84.2,41.2,48.2,57.8,42.2,,,6.8,5.2,5.6,4.0,1.25,1.75,9.0,10.6,14.0,8.0,10.6,12.6,2.2,2.8,1.4,1.8,0.41,0.33,0.34,,,0.53,0.52,0.52,0.54,0.51,0.54,0.41,0.33,0.35,0.59,0.5,0.52,0.54,0.54,0.52,0.51,0.54
Consadole Sapporo,2.0,1.33,3.86,4.14,4.0,3.57,11.29,11.57,84.83,89.67,49.5,50.33,52.43,47.57,1.0,0.0,6.57,6.71,4.71,4.86,1.86,2.14,7.57,7.43,8.75,7.5,9.0,12.14,3.29,2.0,0.5,1.33,0.51,0.28,0.29,,,,,0.53,0.53,0.52,0.55,0.52,0.27,0.3,0.5,0.59,,,0.54,0.52,0.54,0.51,Liga de Visão de 100 Anos J2-J3,2026,1.0,1.5,3.17,4.17,4.33,3.67,11.0,12.33,78.67,86.5,47.5,53.67,45.5,54.5,0.0,1.0,6.5,9.0,4.5,3.33,1.83,1.5,8.17,8.67,9.0,6.0,12.5,10.0,2.17,2.67,1.2,1.4,0.42,0.29,0.38,,,0.5,0.55,0.5,0.57,0.54,0.53,0.39,0.3,0.42,0.51,0.57,,,0.5,0.56,0.53,0.53
Ehime,1.17,1.17,5.67,5.5,4.83,4.33,13.0,12.17,81.17,75.5,49.0,44.17,53.83,46.17,0.0,1.0,8.83,6.83,4.17,5.33,1.67,1.67,8.33,9.33,8.5,7.75,10.0,7.5,2.5,2.5,0.8,1.4,0.47,0.29,0.32,,,,,0.55,0.51,0.52,0.54,0.48,0.29,0.33,0.55,0.55,,,0.53,0.53,0.53,0.52,Liga de Visão de 100 Anos J2-J3,2026,0.43,1.86,7.29,3.71,4.43,3.86,12.43,9.86,82.86,87.14,50.71,42.71,50.86,49.14,0.0,1.0,6.86,6.29,5.57,3.57,1.86,1.14,7.29,9.29,5.67,8.67,7.86,10.86,2.71,2.71,1.33,1.67,0.4,0.31,0.37,,,,,0.54,0.52,0.5,0.56,0.42,0.3,0.38,0.56,0.53,,,0.53,0.52,0.5,0.56
Fujieda MYFC,0.8,1.2,4.6,3.8,4.4,4.6,12.2,11.6,85.0,76.2,48.8,40.6,53.6,46.4,0.0,1.0,7.6,7.6,4.6,4.0,1.0,1.6,8.6,8.2,9.5,7.0,10.8,10.6,2.6,3.2,2.2,0.8,0.44,0.28,0.36,,,,,,,0.53,0.53,0.44,0.29,0.37,0.47,0.61,,,0.5,0.56,0.53,0.53,Liga de Visão de 100 Anos J2-J3,2026,1.14,2.0,3.0,5.33,6.22,4.56,11.78,12.44,79.75,70.88,54.12,45.88,52.56,47.44,0.5,0.5,9.12,7.75,3.38,4.38,2.5,0.88,7.38,11.75,7.0,5.75,9.5,11.88,2.12,2.0,1.0,1.89,0.51,0.29,0.29,,,0.56,0.5,0.53,0.53,0.52,0.55,0.51,0.3,0.3,0.52,0.56,0.53,0.53,0.53,0.53,0.54,0.52
Fukushima United,1.78,2.33,4.11,5.11,3.33,5.0,10.89,14.89,79.0,87.25,41.25,48.88,54.67,45.33,1.0,0.0,6.89,10.11,4.0,4.78,1.67,1.56,10.0,7.89,5.67,10.33,8.33,13.89,3.78,2.11,1.25,2.12,0.31,0.27,0.5,,,,,,,0.53,0.53,0.32,0.27,0.51,0.46,0.61,,,0.51,0.55,0.52,0.54,Liga de Visão de 100 Anos J2-J3,2026,1.0,1.75,4.25,5.25,5.75,1.75,14.25,12.25,91.5,94.25,60.25,46.5,52.25,47.75,0.0,1.0,8.75,6.75,5.5,5.5,1.25,2.25,5.75,9.25,10.0,9.0,10.75,9.5,3.25,3.75,2.67,0.67,0.54,0.26,0.27,,,,,,,0.55,0.51,0.53,0.28,0.28,0.49,0.59,,,,,0.54,0.51
Gainare Tottori,1.33,1.5,3.88,4.75,2.88,5.62,8.62,14.62,73.0,80.75,37.62,44.12,48.25,51.75,0.0,1.0,5.25,7.25,3.38,7.38,1.25,1.12,10.25,7.5,7.0,9.5,8.88,10.0,2.88,2.5,0.88,1.0,0.33,0.31,0.44,,,0.55,0.5,0.52,0.54,0.51,0.54,0.34,0.31,0.46,0.6,0.48,0.53,0.52,0.52,0.54,0.52,0.54,Liga de Visão de 100 Anos J2-J3,2026,1.8,1.6,5.17,4.33,5.83,3.67,14.33,9.17,84.5,70.33,56.0,42.0,51.67,48.33,,,8.17,5.67,6.17,3.5,2.83,0.67,7.0,11.33,10.67,6.33,7.67,7.5,1.33,3.17,0.4,1.2,0.55,0.28,0.25,,,0.54,0.51,0.55,0.5,0.5,0.55,0.58,0.28,0.24,0.59,0.5,0.53,0.53,0.55,0.52,0.52,0.53
Gifu,1.33,1.83,5.0,4.33,4.67,2.5,13.5,9.67,84.67,77.67,60.33,46.0,55.5,44.5,0.0,1.0,8.83,6.5,4.67,3.17,1.6,3.0,6.67,11.83,5.0,13.0,10.83,9.17,2.0,5.5,1.4,1.0,0.55,0.28,0.26,,,,,0.55,0.5,0.52,0.54,0.55,0.29,0.26,0.51,0.58,,,0.55,0.51,0.56,0.5,Liga de Visão de 100 Anos J2-J3,2026,1.57,1.43,3.71,5.14,3.29,5.0,9.29,14.43,72.86,70.29,41.43,38.43,47.57,52.43,,,5.71,8.86,3.57,5.57,2.71,2.43,8.71,7.29,5.8,8.8,7.29,9.43,3.43,2.29,1.14,1.86,0.42,0.27,0.38,,,,,0.54,0.52,0.5,0.55,0.42,0.29,0.39,0.52,0.56,,,0.51,0.54,0.51,0.55
Giravanz Kitakyushu,1.33,1.5,4.0,5.33,4.33,6.33,10.5,16.17,76.5,77.33,41.5,46.67,47.83,52.17,,,7.0,9.67,3.5,6.5,0.75,1.25,11.17,9.0,7.33,10.33,7.83,11.5,3.0,2.5,1.0,1.5,0.34,0.3,0.44,,,0.51,0.54,0.52,0.53,0.52,0.54,0.35,0.3,0.45,0.54,0.54,0.54,0.51,0.53,0.53,0.52,0.54,Liga de Visão de 100 Anos J2-J3,2026,1.0,0.71,6.86,3.57,4.71,3.57,10.29,9.86,70.0,72.43,46.86,39.43,46.86,53.14,0.0,1.0,5.29,4.43,5.0,5.43,1.33,2.17,8.14,11.0,8.33,9.0,12.43,9.29,2.29,2.43,1.43,1.43,0.54,0.28,0.26,,,0.56,0.49,0.53,0.52,0.53,0.53,0.58,0.28,0.24,0.58,0.51,,,0.52,0.54,0.52,0.54
Imabari,0.86,1.43,5.57,4.0,5.14,2.71,14.0,8.57,87.57,82.43,53.57,44.57,49.43,50.57,0.5,0.5,7.57,4.86,6.43,3.71,2.0,2.0,7.57,10.86,10.5,5.33,8.0,12.14,2.17,3.83,1.17,2.0,0.44,0.3,0.34,,,0.57,0.48,0.53,0.53,0.52,0.54,0.44,0.3,0.36,0.56,0.52,,,0.54,0.52,0.53,0.52,Liga de Visão de 100 Anos J2-J3,2026,1.0,0.83,5.43,4.86,4.29,3.43,11.43,9.86,94.86,90.29,52.57,43.14,52.43,47.57,,,7.0,5.86,4.43,4.0,2.86,1.71,7.71,9.57,12.33,6.67,10.14,8.0,3.29,2.57,0.86,1.14,0.38,0.3,0.39,,,0.56,0.5,0.53,0.52,0.51,0.54,0.39,0.31,0.4,0.57,0.52,0.49,0.57,0.54,0.52,0.52,0.53
